Date,Symbol,Buy_Price,Buy_Level,Shares Purchased
2020-10-14,QQQM,116.483923,1%,1
2020-10-16,QQQM,115.11103,1%,1
2020-10-19,QQQM,115.043815,1%,1
2020-10-19,QQQM,113.881756,2%,1
2020-10-19,QQQM,112.719697,3%,1
2020-10-22,QQQM,112.432479,1%,1
2020-10-23,QQQM,112.317262,1%,1
2020-10-26,QQQM,111.376418,1%,1
2020-10-28,QQQM,109.7155,1%,1
2020-10-28,QQQM,108.607263,2%,1
2020-10-30,QQQM,108.198604,1%,1
2020-10-30,QQQM,107.105689,2%,1
2020-11-02,QQQM,107.190551,1%,1
2020-11-06,QQQM,115.811878,1%,1
2020-11-09,QQQM,117.328763,1%,1
2020-11-09,QQQM,116.143624,2%,1
2020-11-09,QQQM,114.958485,3%,1
2020-11-10,QQQM,112.470879,1%,1
2020-11-12,QQQM,114.707813,1%,1
2020-11-23,QQQM,114.986227,1%,1
2020-11-30,QQQM,118.058403,1%,1
2020-12-09,QQQM,121.53384,1%,1
2020-12-09,QQQM,120.306226,2%,1
2020-12-18,QQQM,122.993122,1%,1
2020-12-21,QQQM,121.278655,1%,1
2021-01-04,QQQM,124.62508,1%,1
2021-01-04,QQQM,123.366241,2%,1
2021-01-04,QQQM,122.107402,3%,1
2021-01-12,QQQM,124.326946,1%,1
2021-01-25,QQQM,130.115907,1%,1
2021-01-25,QQQM,128.801605,2%,1
2021-01-27,QQQM,129.086955,1%,1
2021-01-27,QQQM,127.783047,2%,1
2021-01-29,QQQM,126.461739,1%,1
2021-01-29,QQQM,125.184347,2%,1
2021-02-03,QQQM,130.490883,1%,1
2021-02-10,QQQM,132.366025,1%,1
2021-02-19,QQQM,132.067939,1%,1
2021-02-22,QQQM,129.135033,1%,1
2021-02-23,QQQM,125.355902,1%,1
2021-02-25,QQQM,127.106041,1%,1
2021-02-25,QQQM,125.822142,2%,1
2021-02-25,QQQM,124.538242,3%,1
2021-02-26,QQQM,124.833752,1%,1
2021-03-02,QQQM,128.250358,1%,1
2021-03-03,QQQM,125.317437,1%,1
2021-03-03,QQQM,124.051604,2%,1
2021-03-04,QQQM,122.144098,1%,1
2021-03-04,QQQM,120.910319,2%,1
2021-03-05,QQQM,121.557533,1%,1
2021-03-05,QQQM,120.329679,2%,1
2021-03-05,QQQM,119.101825,3%,1
2021-03-08,QQQM,121.894085,1%,1
2021-03-08,QQQM,120.662832,2%,1
2021-03-10,QQQM,125.019308,1%,1
2021-03-18,QQQM,125.355904,1%,1
2021-03-24,QQQM,126.240624,1%,1
2021-03-24,QQQM,124.965466,2%,1
2021-04-14,QQQM,134.944212,1%,1
2021-04-19,QQQM,134.722799,1%,1
2021-04-20,QQQM,133.923675,1%,1
2021-04-22,QQQM,134.174001,1%,1
2021-04-29,QQQM,135.550746,1%,1
2021-05-03,QQQM,134.231727,1%,1
2021-05-04,QQQM,131.969241,1%,1
2021-05-04,QQQM,130.636219,2%,1
2021-05-05,QQQM,131.593712,1%,1
2021-05-10,QQQM,131.728488,1%,1
2021-05-10,QQQM,130.397897,2%,1
2021-05-12,QQQM,126.741269,1%,1
2021-05-18,QQQM,128.878689,1%,1
2021-05-21,QQQM,130.871633,1%,1
2021-06-01,QQQM,132.720175,1%,1
2021-06-16,QQQM,135.714456,1%,1
2021-07-07,QQQM,143.7759,1%,1
2021-07-15,QQQM,143.785564,1%,1
2021-07-16,QQQM,143.158943,1%,1
2021-07-27,QQQM,145.877536,1%,1
2021-07-27,QQQM,144.404026,2%,1
2021-08-16,QQQM,145.713608,1%,1
2021-09-10,QQQM,151.073671,1%,1
2021-09-13,QQQM,150.167458,1%,1
2021-09-17,QQQM,149.57941,1%,1
2021-09-20,QQQM,145.813295,1%,1
2021-09-28,QQQM,145.021935,1%,1
2021-10-01,QQQM,142.252173,1%,1
2021-10-04,QQQM,142.165292,1%,1
