Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2020-10-13,QQQM,117.418084,118.281166,116.913806,117.388992,42,Tuesday,117.500512,100.0,0.85106
2020-11-02,QQQM,108.273284,108.845437,106.382255,107.545967,45,Monday,107.761736,100.0,0.927973
2020-12-01,QQQM,120.317647,121.529843,119.938474,120.94799,49,Tuesday,120.683489,100.0,0.828614
2021-01-04,QQQM,125.883912,125.883912,121.852898,123.436165,1,Monday,124.264222,100.0,0.804737
2021-02-01,QQQM,127.156326,129.06984,126.243277,128.739578,5,Monday,127.802256,100.0,0.782459
2021-03-01,QQQM,127.467177,129.283568,127.025222,129.147583,9,Monday,128.230888,100.0,0.779843
2021-04-01,QQQM,129.003755,129.752593,128.916232,129.723419,13,Thursday,129.349,100.0,0.773102
2021-05-03,QQQM,135.587649,135.869686,134.177509,134.342834,18,Monday,134.99442,100.0,0.740771
2021-06-01,QQQM,134.060798,134.167775,132.572856,133.049377,22,Tuesday,133.462702,100.0,0.749273
2021-07-01,QQQM,141.771296,142.024486,141.196775,141.907623,26,Thursday,141.725045,100.0,0.705592
2021-08-02,QQQM,146.620697,146.776489,145.676138,145.900101,31,Monday,146.243356,100.0,0.683792
2021-09-01,QQQM,152.521711,153.144923,152.239309,152.30748,35,Wednesday,152.553356,100.0,0.655508
2021-10-01,QQQM,143.689048,144.722374,142.01235,144.303192,39,Friday,143.681741,100.0,0.695983
2021-11-01,QQQM,154.967766,155.276786,154.061172,155.211472,44,Monday,154.879299,100.0,0.645664
2021-12-01,QQQM,159.656666,160.456029,154.967766,155.211472,48,Wednesday,157.572983,100.0,0.634627
2022-01-03,QQQM,160.129126,161.270743,159.289987,161.23172,1,Monday,160.480394,100.0,0.623129
2022-02-01,QQQM,146.263832,146.937097,144.137688,146.693161,5,Tuesday,146.007944,100.0,0.684894
2022-03-01,QQQM,138.750599,139.677552,136.057555,137.013779,9,Tuesday,137.874871,100.0,0.725295
2022-04-01,QQQM,145.795968,146.089087,144.105669,145.424683,13,Friday,145.353852,100.0,0.687976
2022-05-02,QQQM,125.746766,128.062392,124.457056,128.052612,18,Monday,126.579707,100.0,0.790016
2022-06-01,QQQM,124.779526,125.637377,122.092628,122.98175,22,Wednesday,123.87282,100.0,0.80728
2022-07-01,QQQM,112.261959,113.681259,111.547411,113.602951,26,Friday,112.773395,100.0,0.886734
2022-08-01,QQQM,126.327714,128.363681,125.86375,126.983528,31,Monday,126.884668,100.0,0.788117
2022-09-01,QQQM,119.446551,120.719032,117.997888,120.562416,35,Thursday,119.681472,100.0,0.835551
2022-10-03,QQQM,108.648763,111.002805,107.962171,110.375061,40,Monday,109.4972,100.0,0.913265
2022-11-01,QQQM,113.651092,113.798213,110.851742,111.002792,44,Tuesday,112.32596,100.0,0.890266
2022-12-01,QQQM,118.506305,119.349837,117.348902,118.54554,48,Thursday,118.437646,100.0,0.844326
2023-01-03,QQQM,108.643837,109.243591,106.03835,106.923233,1,Tuesday,107.712253,100.0,0.928399
2023-02-01,QQQM,119.085447,122.723292,118.239892,121.740089,5,Wednesday,120.44718,100.0,0.830239
2023-03-01,QQQM,118.593861,118.875052,117.394353,117.767967,9,Wednesday,118.157808,100.0,0.846326
2023-04-03,QQQM,129.11954,129.819035,128.607235,129.710663,14,Monday,129.314118,100.0,0.773311
2023-05-01,QQQM,130.498816,131.055438,130.104729,130.518509,18,Monday,130.544373,100.0,0.766023
2023-06-01,QQQM,140.941874,143.158561,140.488693,142.646255,22,Thursday,141.808846,100.0,0.705175
