Date,Symbol,Buy_Price,Buy_Level,Shares Purchased
2025-06-13,QQUP,39.4416,1%,1
2025-06-13,QQUP,39.0432,2%,1
2025-06-17,QQUP,39.639601,1%,1
2025-06-20,QQUP,39.598021,1%,1
2025-06-20,QQUP,39.198041,2%,1
2025-06-23,QQUP,39.105,1%,1
2025-06-26,QQUP,41.708701,1%,1
2025-06-27,QQUP,42.461099,1%,1
2025-06-30,QQUP,43.441201,1%,1
2025-07-01,QQUP,43.025399,1%,1
2025-07-01,QQUP,42.590799,2%,1
2025-07-01,QQUP,42.156199,3%,1
2025-07-10,QQUP,44.0352,1%,1
2025-07-16,QQUP,45.480599,1%,1
2025-07-16,QQUP,45.021199,2%,1
2025-07-18,QQUP,48.005102,1%,1
2025-07-18,QQUP,47.520202,2%,1
2025-07-18,QQUP,47.035302,3%,1
2025-07-18,QQUP,46.550402,4%,1
2025-07-22,QQUP,47.025,1%,1
2025-07-22,QQUP,46.55,2%,1
2025-07-22,QQUP,46.075,3%,1
2025-07-28,QQUP,48.053611,1%,1
2025-07-29,QQUP,48.381299,1%,1
2025-07-29,QQUP,47.892599,2%,1
2025-07-30,QQUP,47.9259,1%,1
2025-07-31,QQUP,50.846401,1%,1
2025-07-31,QQUP,50.332801,2%,1
2025-07-31,QQUP,49.819201,3%,1
2025-07-31,QQUP,49.305601,4%,1
2025-08-01,QQUP,47.480399,1%,1
2025-08-01,QQUP,47.000799,2%,1
2025-08-01,QQUP,46.521199,3%,1
2025-08-01,QQUP,46.041599,4%,1
2025-08-05,QQUP,47.549699,1%,1
2025-08-07,QQUP,49.6782,1%,1
2025-08-07,QQUP,49.1764,2%,1
2025-08-11,QQUP,50.688001,1%,1
2025-08-12,QQUP,51.0543,1%,1
2025-08-13,QQUP,52.143298,1%,1
2025-08-13,QQUP,51.616598,2%,1
2025-08-14,QQUP,51.034499,1%,1
2025-08-14,QQUP,50.518999,2%,1
2025-08-15,QQUP,52.093799,1%,1
2025-08-15,QQUP,51.567599,2%,1
2025-08-19,QQUP,50.767199,1%,1
2025-08-19,QQUP,50.254399,2%,1
2025-08-19,QQUP,49.741599,3%,1
2025-08-20,QQUP,48.9357,1%,1
2025-08-20,QQUP,48.4414,2%,1
2025-08-20,QQUP,47.9471,3%,1
2025-08-20,QQUP,47.4528,4%,1
2025-08-21,QQUP,47.9457,1%,1
2025-08-25,QQUP,49.628701,1%,1
2025-08-26,QQUP,49.787101,1%,1
