Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2025-06-12,QQUP,39.689999,40.099998,39.689999,39.93,24,Thursday,39.852499,25.0,0.627313
2025-06-16,QQUP,39.664001,40.209999,39.664001,40.042999,25,Monday,39.89525,25.0,0.626641
2025-06-23,QQUP,39.5,40.0,38.869999,40.0,26,Monday,39.5925,25.0,0.631433
2025-06-30,QQUP,43.880001,43.990002,43.02,43.889999,27,Monday,43.695001,25.0,0.572148
2025-07-07,QQUP,43.470001,43.84,43.27,43.389999,28,Monday,43.4925,25.0,0.574812
2025-07-14,QQUP,44.599998,44.950001,44.359001,44.950001,29,Monday,44.71475,25.0,0.5591
2025-07-21,QQUP,47.310001,47.5,47.119999,47.5,30,Monday,47.3575,25.0,0.527899
2025-07-28,QQUP,48.539001,48.619999,47.939999,48.619999,31,Monday,48.429749,25.0,0.516212
2025-08-04,QQUP,47.27,48.290001,47.27,48.279999,32,Monday,47.7775,25.0,0.523259
2025-08-11,QQUP,51.200001,51.77,50.639999,50.799,33,Monday,51.10225,25.0,0.489215
2025-08-18,QQUP,51.23,52.0,51.099998,51.605999,34,Monday,51.483999,25.0,0.485588
2025-08-25,QQUP,50.130001,50.889999,49.493,50.293999,35,Monday,50.20175,25.0,0.497991
