Date,Symbol,Buy_Price,Buy_Level,Shares Purchased
2024-10-31,QTOP,24.527839,1%,1
2024-11-11,QTOP,25.761137,1%,1
2024-11-15,QTOP,25.070489,1%,1
2024-11-20,QTOP,25.14942,1%,1
2024-11-21,QTOP,25.297415,1%,1
2024-11-21,QTOP,25.041886,2%,1
2024-11-25,QTOP,25.25795,1%,1
2024-11-27,QTOP,25.179019,1%,1
2024-12-18,QTOP,27.051527,1%,1
2024-12-18,QTOP,26.778279,2%,1
2024-12-18,QTOP,26.505031,3%,1
2024-12-19,QTOP,26.320671,1%,1
2024-12-27,QTOP,26.863876,1%,1
2024-12-27,QTOP,26.592524,2%,1
2024-12-31,QTOP,26.291044,1%,1
2025-01-02,QTOP,26.044134,1%,1
2025-01-07,QTOP,26.616965,1%,1
2025-01-07,QTOP,26.348107,2%,1
2025-01-10,QTOP,25.797221,1%,1
2025-01-14,QTOP,25.649074,1%,1
2025-01-16,QTOP,26.142894,1%,1
2025-01-24,QTOP,26.854,1%,1
2025-01-29,QTOP,26.291042,1%,1
2025-01-30,QTOP,26.291043,1%,1
2025-01-31,QTOP,26.429313,1%,1
2025-02-07,QTOP,26.616966,1%,1
2025-02-18,QTOP,27.100911,1%,1
2025-02-20,QTOP,26.942888,1%,1
2025-02-21,QTOP,26.952765,1%,1
2025-02-21,QTOP,26.680515,2%,1
2025-02-24,QTOP,26.449066,1%,1
2025-02-25,QTOP,25.994751,1%,1
2025-02-25,QTOP,25.732178,2%,1
2025-02-27,QTOP,25.984873,1%,1
2025-02-27,QTOP,25.7224,2%,1
2025-02-27,QTOP,25.459926,3%,1
2025-03-03,QTOP,25.57994,1%,1
2025-03-03,QTOP,25.321556,2%,1
2025-03-03,QTOP,25.063173,3%,1
2025-03-05,QTOP,24.829331,1%,1
2025-03-06,QTOP,24.700939,1%,1
2025-03-07,QTOP,24.325633,1%,1
2025-03-10,QTOP,24.157735,1%,1
2025-03-10,QTOP,23.913717,2%,1
2025-03-10,QTOP,23.6697,3%,1
2025-03-12,QTOP,23.960207,1%,1
2025-03-13,QTOP,23.782431,1%,1
2025-03-13,QTOP,23.542205,2%,1
2025-03-18,QTOP,23.760451,1%,1
2025-03-26,QTOP,24.600914,1%,1
2025-03-26,QTOP,24.35242,2%,1
2025-03-28,QTOP,23.997758,1%,1
2025-03-28,QTOP,23.755357,2%,1
2025-04-03,QTOP,22.811219,1%,1
2025-04-04,QTOP,21.931201,1%,1
2025-04-04,QTOP,21.709674,2%,1
2025-04-04,QTOP,21.488147,3%,1
2025-04-07,QTOP,20.309598,1%,1
2025-04-08,QTOP,22.030081,1%,1
2025-04-08,QTOP,21.807555,2%,1
2025-04-08,QTOP,21.585029,3%,1
2025-04-08,QTOP,21.362503,4%,1
2025-04-08,QTOP,21.139977,5%,1
2025-04-10,QTOP,22.781555,1%,1
2025-04-10,QTOP,22.551438,2%,1
2025-04-10,QTOP,22.321322,3%,1
2025-04-10,QTOP,22.091205,4%,1
2025-04-14,QTOP,23.384711,1%,1
2025-04-14,QTOP,23.148502,2%,1
2025-04-16,QTOP,22.514583,1%,1
2025-04-16,QTOP,22.287163,2%,1
2025-04-17,QTOP,22.346491,1%,1
2025-04-21,QTOP,21.871876,1%,1
2025-04-21,QTOP,21.650948,2%,1
2025-04-23,QTOP,22.905155,1%,1
2025-04-28,QTOP,23.691235,1%,1
2025-05-12,QTOP,25.362278,1%,1
2025-05-21,QTOP,25.906109,1%,1
2025-05-29,QTOP,26.57848,1%,1
2025-06-05,QTOP,26.796013,1%,1
2025-06-20,QTOP,26.838901,1%,1
2025-07-01,QTOP,27.828901,1%,1
2025-07-22,QTOP,28.7298,1%,1
2025-07-31,QTOP,29.422799,1%,1
2025-07-31,QTOP,29.125599,2%,1
2025-08-01,QTOP,28.492201,1%,1
2025-08-19,QTOP,29.7099,1%,1
2025-08-20,QTOP,29.2149,1%,1
