Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2024-10-24,QTOP,24.665968,24.795526,24.616138,24.770611,43,Thursday,24.712061,100.0,4.046607
2024-11-01,QTOP,24.396885,24.606173,24.347055,24.456682,44,Friday,24.451699,100.0,4.089695
2024-12-02,QTOP,25.602777,25.881825,25.602777,25.861895,49,Monday,25.737319,100.0,3.885409
2025-01-02,QTOP,26.307206,26.436895,25.868253,26.107681,1,Thursday,26.180009,100.0,3.819708
2025-02-03,QTOP,25.918134,26.317181,25.838325,26.177515,6,Monday,26.062789,100.0,3.836888
2025-03-03,QTOP,25.838323,25.938085,24.920514,25.110062,10,Monday,25.451746,100.0,3.929004
2025-04-01,QTOP,23.63091,23.950516,23.552007,23.890591,14,Tuesday,23.756006,100.0,4.209462
2025-05-01,QTOP,24.49984,24.659643,24.360011,24.369999,18,Thursday,24.472373,100.0,4.08624
2025-06-02,QTOP,26.577283,26.707123,26.397504,26.707123,23,Monday,26.597258,100.0,3.759786
2025-07-01,QTOP,28.110001,28.139999,27.82,27.93,27,Tuesday,28.0,100.0,3.571429
2025-08-01,QTOP,28.780001,28.780001,28.42,28.530001,31,Friday,28.627501,100.0,3.493145
