Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2024-12-30,QTOP,26.416942,26.626442,26.267299,26.466824,1,Monday,26.444377,25.0,0.945381
2024-10-24,QTOP,24.665968,24.795526,24.616138,24.770611,43,Thursday,24.712061,25.0,1.011652
2024-10-28,QTOP,25.134372,25.134372,24.900171,24.915119,44,Monday,25.021008,25.0,0.99916
2024-11-04,QTOP,24.426783,24.546375,24.30719,24.357021,45,Monday,24.409342,25.0,1.024198
2024-11-11,QTOP,26.021351,26.021351,25.732335,25.871859,46,Monday,25.911724,25.0,0.964814
2024-11-18,QTOP,25.114441,25.31077,25.069593,25.224066,47,Monday,25.179717,25.0,0.992863
2024-11-25,QTOP,25.513083,25.572879,25.19417,25.303795,48,Monday,25.395981,25.0,0.984408
2024-12-02,QTOP,25.602777,25.881825,25.602777,25.861895,49,Monday,25.737319,25.0,0.971352
2024-12-09,QTOP,26.499722,26.499722,26.241601,26.330299,50,Monday,26.392836,25.0,0.947227
2024-12-16,QTOP,27.137548,27.476394,27.127581,27.456461,51,Monday,27.299496,25.0,0.915768
2024-12-23,QTOP,26.646394,26.825966,26.515708,26.825966,52,Monday,26.703508,25.0,0.936207
2025-01-02,QTOP,26.307206,26.436895,25.868253,26.107681,1,Thursday,26.180009,25.0,0.954927
2025-01-06,QTOP,26.776085,26.955656,26.686299,26.815989,2,Monday,26.808507,25.0,0.93254
2025-01-13,QTOP,25.479182,25.738562,25.419324,25.738562,3,Monday,25.593907,25.0,0.976795
2025-01-21,QTOP,26.57656,26.616466,26.327155,26.566584,4,Tuesday,26.521691,25.0,0.942625
2025-01-27,QTOP,25.898179,26.227395,25.838322,26.047823,5,Monday,26.00293,25.0,0.96143
2025-02-03,QTOP,25.918134,26.317181,25.838325,26.177515,6,Monday,26.062789,25.0,0.959222
2025-02-10,QTOP,26.706254,26.900789,26.686301,26.835943,7,Monday,26.782322,25.0,0.933452
2025-02-18,QTOP,27.374657,27.374657,27.065394,27.215038,8,Tuesday,27.257437,25.0,0.917181
2025-02-24,QTOP,26.716228,26.736179,26.257322,26.277275,9,Monday,26.496751,25.0,0.943512
2025-03-03,QTOP,25.838323,25.938085,24.920514,25.110062,10,Monday,25.451746,25.0,0.982251
2025-03-10,QTOP,24.401752,24.401752,23.583705,23.823133,11,Monday,24.052586,25.0,1.039389
2025-03-17,QTOP,24.162325,24.376813,23.982755,24.222183,12,Monday,24.186019,25.0,1.033655
2025-03-24,QTOP,24.559766,24.769507,24.559766,24.709581,13,Monday,24.649655,25.0,1.014213
2025-03-31,QTOP,23.251377,23.750762,23.10156,23.700823,14,Monday,23.451131,25.0,1.066047
2025-04-07,QTOP,20.514746,22.372458,20.305003,21.433613,15,Monday,21.156455,25.0,1.181672
2025-04-14,QTOP,23.620921,23.620921,22.97172,23.201437,16,Monday,23.35375,25.0,1.070492
2025-04-21,QTOP,22.092804,22.142741,21.568448,21.843111,17,Monday,21.911776,25.0,1.140939
2025-04-28,QTOP,23.93054,23.993465,23.551009,23.890591,18,Monday,23.841401,25.0,1.048596
2025-05-05,QTOP,24.469877,24.668632,24.45989,24.539791,19,Monday,24.534548,25.0,1.018971
2025-05-12,QTOP,25.618462,25.648426,25.338808,25.648426,20,Monday,25.563531,25.0,0.977956
2025-05-19,QTOP,26.027958,26.45743,26.027958,26.45743,21,Monday,26.242694,25.0,0.952646
2025-05-27,QTOP,26.237701,26.497381,26.182768,26.497381,22,Tuesday,26.353808,25.0,0.94863
2025-06-02,QTOP,26.577283,26.707123,26.397504,26.707123,23,Monday,26.597258,25.0,0.939947
2025-06-09,QTOP,26.966803,27.071673,26.921858,27.036716,24,Monday,26.999263,25.0,0.925951
2025-06-16,QTOP,27.01,27.264999,27.01,27.200001,25,Monday,27.12125,25.0,0.921786
2025-06-23,QTOP,26.879999,27.184999,26.75,27.16,26,Monday,26.99375,25.0,0.92614
2025-06-30,QTOP,28.26,28.299999,28.1,28.25,27,Monday,28.2275,25.0,0.885661
2025-07-07,QTOP,28.26,28.290001,28.07,28.18,28,Monday,28.2,25.0,0.886525
2025-07-14,QTOP,28.35,28.485001,28.23,28.459999,29,Monday,28.38125,25.0,0.880863
2025-07-21,QTOP,28.870001,29.059999,28.870001,28.959999,30,Monday,28.94,25.0,0.863856
2025-07-28,QTOP,29.15,29.209999,29.120001,29.188,31,Monday,29.167,25.0,0.857133
2025-08-04,QTOP,28.809999,29.059999,28.809999,29.059999,32,Monday,28.934999,25.0,0.864006
2025-08-11,QTOP,29.9,30.01,29.74,29.809999,33,Monday,29.865,25.0,0.8371
2025-08-18,QTOP,30.049999,30.08,29.92,30.049999,34,Monday,30.025,25.0,0.832639
2025-08-25,QTOP,29.59,29.77,29.5,29.620001,35,Monday,29.62,25.0,0.844024
