Date,Symbol,Buy_Price,Buy_Level,Shares Purchased
2015-09-09,SPLG,19.516214,1%,1
2015-09-28,SPLG,18.813395,1%,1
2015-11-09,SPLG,20.554837,1%,1
2015-12-09,SPLG,20.304272,1%,1
2015-12-17,SPLG,20.320976,1%,1
2015-12-18,SPLG,19.990546,1%,1
2016-01-06,SPLG,19.717511,1%,1
2016-01-08,SPLG,19.205039,1%,1
2016-01-12,SPLG,19.068524,1%,1
2016-01-13,SPLG,18.946711,1%,1
2016-01-15,SPLG,18.446839,1%,1
2016-01-19,SPLG,18.589659,1%,1
2016-02-02,SPLG,18.868992,1%,1
2016-02-03,SPLG,18.707272,1%,1
2016-02-05,SPLG,18.669471,1%,1
2016-02-23,SPLG,19.049619,1%,1
2016-03-10,SPLG,19.665007,1%,1
2016-05-18,SPLG,20.373478,1%,1
2016-07-15,SPLG,21.612866,1%,1
2016-09-09,SPLG,21.561941,1%,1
2016-10-11,SPLG,21.562049,1%,1
2016-10-27,SPLG,21.506614,1%,1
2016-11-01,SPLG,21.269951,1%,1
2016-12-14,SPLG,22.864773,1%,1
2016-12-16,SPLG,22.892467,1%,1
2017-01-03,SPLG,22.80884,1%,1
2017-01-30,SPLG,23.128335,1%,1
2017-03-21,SPLG,23.89062,1%,1
2017-04-03,SPLG,23.972444,1%,1
2017-07-27,SPLG,25.234402,1%,1
2017-08-17,SPLG,25.15004,1%,1
2017-08-18,SPLG,24.821193,1%,1
2017-09-20,SPLG,25.733906,1%,1
2017-11-01,SPLG,26.816482,1%,1
2017-11-01,SPLG,26.545608,2%,1
2017-12-01,SPLG,27.025172,1%,1
2018-01-16,SPLG,28.595334,1%,1
2018-01-24,SPLG,29.145912,1%,1
2018-02-02,SPLG,28.682726,1%,1
2018-02-05,SPLG,27.957356,1%,1
2018-02-05,SPLG,27.674958,2%,1
2018-02-05,SPLG,27.392561,3%,1
2018-02-08,SPLG,27.450472,1%,1
2018-02-08,SPLG,27.173194,2%,1
2018-02-08,SPLG,26.895917,3%,1
2018-02-09,SPLG,26.725098,1%,1
2018-02-09,SPLG,26.455147,2%,1
2018-02-09,SPLG,26.185197,3%,1
2018-02-27,SPLG,28.446759,1%,1
2018-02-28,SPLG,28.193317,1%,1
2018-03-01,SPLG,27.808784,1%,1
2018-03-01,SPLG,27.527888,2%,1
2018-03-13,SPLG,28.639031,1%,1
2018-03-14,SPLG,28.481722,1%,1
2018-03-19,SPLG,28.148669,1%,1
2018-03-22,SPLG,27.586924,1%,1
2018-03-23,SPLG,27.253387,1%,1
2018-03-23,SPLG,26.9781,2%,1
2018-03-27,SPLG,27.385048,1%,1
2018-03-27,SPLG,27.108431,2%,1
2018-04-02,SPLG,27.016406,1%,1
2018-04-02,SPLG,26.743513,2%,1
2018-04-06,SPLG,27.0954,1%,1
2018-04-13,SPLG,27.507929,1%,1
2018-04-20,SPLG,27.718585,1%,1
2018-04-24,SPLG,27.604476,1%,1
2018-04-24,SPLG,27.325643,2%,1
2018-04-30,SPLG,27.639588,1%,1
2018-05-03,SPLG,27.08662,1%,1
2018-06-25,SPLG,28.323895,1%,1
2018-06-27,SPLG,28.235713,1%,1
2018-07-27,SPLG,29.382079,1%,1
2018-10-04,SPLG,30.280102,1%,1
2018-10-05,SPLG,30.102772,1%,1
2018-10-10,SPLG,29.765829,1%,1
2018-10-10,SPLG,29.465164,2%,1
2018-10-10,SPLG,29.164499,3%,1
2018-10-11,SPLG,28.781611,1%,1
2018-10-11,SPLG,28.490887,2%,1
2018-10-12,SPLG,28.692944,1%,1
2018-10-18,SPLG,29.038753,1%,1
2018-10-22,SPLG,28.77275,1%,1
2018-10-24,SPLG,28.391473,1%,1
2018-10-24,SPLG,28.104691,2%,1
2018-10-24,SPLG,27.817908,3%,1
2018-10-26,SPLG,27.566861,1%,1
2018-10-29,SPLG,27.788534,1%,1
2018-10-29,SPLG,27.507842,2%,1
2018-11-02,SPLG,28.559944,1%,1
2018-11-09,SPLG,28.95895,1%,1
2018-11-12,SPLG,28.755009,1%,1
2018-11-14,SPLG,28.444677,1%,1
2018-11-14,SPLG,28.157357,2%,1
2018-11-19,SPLG,28.276204,1%,1
2018-12-04,SPLG,28.91462,1%,1
2018-12-04,SPLG,28.622553,2%,1
2018-12-04,SPLG,28.330486,3%,1
2018-12-06,SPLG,27.611194,1%,1
2018-12-07,SPLG,27.983603,1%,1
2018-12-07,SPLG,27.70094,2%,1
2018-12-10,SPLG,27.283129,1%,1
2018-12-11,SPLG,27.850599,1%,1
2018-12-11,SPLG,27.56928,2%,1
2018-12-14,SPLG,27.265391,1%,1
2018-12-17,SPLG,26.866385,1%,1
2018-12-17,SPLG,26.595008,2%,1
2018-12-18,SPLG,26.644716,1%,1
2018-12-19,SPLG,26.458511,1%,1
2018-12-19,SPLG,26.191253,2%,1
2018-12-20,SPLG,25.899908,1%,1
2018-12-20,SPLG,25.638292,2%,1
2018-12-21,SPLG,25.689363,1%,1
2018-12-21,SPLG,25.429875,2%,1
2018-12-24,SPLG,24.859811,1%,1
2018-12-27,SPLG,25.243373,1%,1
2018-12-28,SPLG,25.974806,1%,1
2019-01-03,SPLG,25.832081,1%,1
2019-01-08,SPLG,26.866796,1%,1
2019-01-22,SPLG,27.714186,1%,1
2019-01-23,SPLG,27.642825,1%,1
2019-03-04,SPLG,29.569526,1%,1
2019-03-22,SPLG,29.828012,1%,1
2019-03-27,SPLG,29.604019,1%,1
2019-05-07,SPLG,30.643385,1%,1
2019-05-10,SPLG,30.132662,1%,1
2019-05-28,SPLG,29.863854,1%,1
