Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,SPLG,19.629403,19.707056,19.616811,19.641994,36,Monday,19.648816,100.0,5.089365
2015-09-01,SPLG,19.146691,19.243233,18.982989,18.985088,36,Tuesday,19.0895,100.0,5.238482
2015-10-01,SPLG,18.914852,19.024527,18.914852,19.020309,40,Thursday,18.968635,100.0,5.271861
2015-11-02,SPLG,20.692857,20.844716,20.692857,20.838388,45,Monday,20.767204,100.0,4.815285
2015-12-01,SPLG,20.78355,20.817295,20.747694,20.817295,49,Tuesday,20.791459,100.0,4.809667
2016-01-04,SPLG,19.81697,19.882736,19.770297,19.829699,1,Monday,19.824925,100.0,5.044155
2016-02-01,SPLG,19.059589,19.273861,19.053224,19.273861,5,Monday,19.165134,100.0,5.217809
2016-03-01,SPLG,19.437218,19.572994,19.407517,19.572994,9,Tuesday,19.497681,100.0,5.128815
2016-04-01,SPLG,20.340467,20.592058,20.340467,20.592058,13,Friday,20.466263,100.0,4.88609
2016-05-02,SPLG,20.651764,20.764767,20.651764,20.764767,18,Monday,20.708266,100.0,4.82899
2016-06-01,SPLG,20.894821,21.037673,20.894821,21.027014,22,Wednesday,20.963583,100.0,4.770177
2016-07-01,SPLG,21.078971,21.0854,21.044682,21.074684,26,Friday,21.070934,100.0,4.745874
2016-08-01,SPLG,21.848319,21.869751,21.749739,21.781885,31,Monday,21.812423,100.0,4.584543
2016-09-01,SPLG,21.92118,21.92118,21.715448,21.814028,35,Thursday,21.842959,100.0,4.578134
2016-10-03,SPLG,21.829391,21.829391,21.777704,21.818623,40,Monday,21.813777,100.0,4.584259
2016-11-01,SPLG,21.484799,21.484799,21.211284,21.295277,44,Tuesday,21.36904,100.0,4.679667
2016-12-01,SPLG,22.333337,22.36995,22.197657,22.206272,48,Thursday,22.276804,100.0,4.488974
2017-01-03,SPLG,23.039232,23.039232,22.759824,22.850794,1,Tuesday,22.922271,100.0,4.36257
2017-02-01,SPLG,23.208171,23.275315,23.141026,23.173515,5,Wednesday,23.199507,100.0,4.310436
2017-03-01,SPLG,24.310647,24.44277,24.310647,24.427608,9,Wednesday,24.372918,100.0,4.102915
2017-04-03,SPLG,24.21459,24.21459,23.92966,24.064512,14,Monday,24.105838,100.0,4.148373
2017-05-01,SPLG,24.327692,24.432095,24.327692,24.432095,18,Monday,24.379894,100.0,4.101741
2017-06-01,SPLG,24.740947,24.840998,24.688747,24.808372,22,Thursday,24.769766,100.0,4.03718
2017-07-03,SPLG,25.004166,25.004166,24.908014,24.908014,27,Monday,24.95609,100.0,4.007038
2017-08-01,SPLG,25.432478,25.432478,25.307916,25.414997,31,Tuesday,25.396967,100.0,3.937478
2017-09-01,SPLG,25.432484,25.467449,25.395334,25.445597,35,Friday,25.435216,100.0,3.931557
2017-10-02,SPLG,26.002626,26.004822,25.938948,25.938948,40,Monday,25.971336,100.0,3.850399
2017-11-01,SPLG,27.087356,27.087356,26.498882,26.534014,44,Wednesday,26.801902,100.0,3.731079
2017-12-01,SPLG,27.298151,27.333285,26.920474,27.26302,48,Friday,27.203733,100.0,3.675966
2018-01-02,SPLG,27.754234,27.948442,27.710095,27.948442,1,Tuesday,27.840303,100.0,3.591915
2018-02-01,SPLG,29.051895,29.237275,28.963619,29.104862,5,Thursday,29.089413,100.0,3.437677
2018-03-01,SPLG,28.089683,28.195616,27.524712,27.710093,9,Thursday,27.880026,100.0,3.586797
2018-04-02,SPLG,27.289297,27.369091,26.517962,26.775074,14,Monday,26.987856,100.0,3.70537
2018-05-01,SPLG,27.546411,27.599606,27.315896,27.599606,18,Tuesday,27.51538,100.0,3.634331
2018-06-01,SPLG,28.459591,28.565984,28.415262,28.548252,22,Friday,28.497272,100.0,3.509108
2018-07-02,SPLG,28.253701,28.476381,28.218073,28.467474,27,Monday,28.353907,100.0,3.526851
2018-08-01,SPLG,29.402732,29.465086,29.251311,29.340382,31,Wednesday,29.364877,100.0,3.405429
2018-09-04,SPLG,30.36471,30.373616,30.24001,30.33799,36,Tuesday,30.329082,100.0,3.297165
2018-10-01,SPLG,30.675518,30.782993,30.550129,30.621778,40,Monday,30.657605,100.0,3.261833
2018-11-01,SPLG,28.481214,28.723036,28.337912,28.714081,44,Thursday,28.564061,100.0,3.500903
2018-12-03,SPLG,29.323112,29.385807,29.090245,29.269373,49,Monday,29.267134,100.0,3.416802
2019-01-02,SPLG,25.903808,26.426389,25.894797,26.318268,1,Wednesday,26.135815,100.0,3.826167
2019-02-01,SPLG,28.597792,28.696902,28.489673,28.606802,5,Friday,28.597792,100.0,3.496773
2019-03-01,SPLG,29.760088,29.778109,29.56187,29.75108,9,Friday,29.712787,100.0,3.365554
2019-04-01,SPLG,30.31032,30.437027,30.265064,30.427975,14,Monday,30.360097,100.0,3.293797
2019-05-01,SPLG,31.378283,31.405437,31.070568,31.079617,18,Wednesday,31.233476,100.0,3.201693
2019-06-03,SPLG,29.13375,29.459571,29.079449,29.233307,23,Monday,29.226519,100.0,3.42155
2019-07-01,SPLG,31.788464,31.815749,31.524696,31.661129,27,Monday,31.69751,100.0,3.154822
2019-08-01,SPLG,31.87942,32.243238,31.515606,31.588367,31,Thursday,31.806658,100.0,3.143996
2019-09-03,SPLG,31.115401,31.179069,30.94259,31.09721,36,Tuesday,31.083567,100.0,3.217134
2019-10-01,SPLG,31.923699,32.005954,31.430175,31.439316,40,Tuesday,31.699786,100.0,3.154595
2019-11-01,SPLG,32.718837,32.865067,32.709699,32.865067,44,Friday,32.789667,100.0,3.049741
2019-12-02,SPLG,33.824692,33.842971,33.431703,33.468258,49,Monday,33.641906,100.0,2.972483
2020-01-02,SPLG,34.931136,35.032173,34.802544,35.032173,1,Thursday,34.949507,100.0,2.861271
2020-02-03,SPLG,34.940321,35.234245,34.92195,35.022987,6,Monday,35.029876,100.0,2.854706
2020-03-02,SPLG,32.19396,33.397217,31.808186,33.397217,10,Monday,32.699145,100.0,3.058184
2020-04-01,SPLG,26.942636,27.303229,26.489586,26.72998,14,Wednesday,26.866358,100.0,3.722127
2020-05-01,SPLG,30.964617,31.057075,30.576286,30.705729,18,Friday,30.825927,100.0,3.244023
2020-06-01,SPLG,32.989482,33.257615,32.924761,33.192894,23,Monday,33.091188,100.0,3.021953
2020-07-01,SPLG,33.792522,34.024741,33.727501,33.894699,27,Wednesday,33.859866,100.0,2.953349
2020-08-03,SPLG,35.826768,35.966101,35.771034,35.873211,32,Monday,35.859278,100.0,2.788679
2020-09-01,SPLG,38.22327,38.492642,38.121093,38.474064,36,Tuesday,38.327767,100.0,2.609074
2020-10-01,SPLG,37.000086,37.121307,36.711022,36.916164,40,Thursday,36.937145,100.0,2.707302
2020-11-02,SPLG,36.160867,36.412632,35.862479,36.198166,45,Monday,36.158536,100.0,2.765599
2020-12-01,SPLG,40.077207,40.300999,39.993285,40.123829,49,Tuesday,40.12383,100.0,2.492285
2021-01-04,SPLG,41.32113,41.32113,40.169419,40.60014,1,Monday,40.852955,100.0,2.447803
2021-02-01,SPLG,41.133852,41.545845,40.899765,41.424122,5,Monday,41.250896,100.0,2.42419
2021-03-01,SPLG,42.472842,43.044016,42.463476,42.884834,9,Monday,42.716292,100.0,2.341027
2021-04-01,SPLG,44.005509,44.268676,43.996112,44.249882,13,Thursday,44.130045,100.0,2.26603
2021-05-03,SPLG,46.345832,46.392825,46.157853,46.19545,18,Monday,46.27299,100.0,2.161088
2021-06-01,SPLG,46.702992,46.702992,46.32704,46.38343,22,Tuesday,46.529114,100.0,2.149192
2021-07-01,SPLG,47.560729,47.730488,47.541866,47.730488,26,Thursday,47.640893,100.0,2.099037
2021-08-02,SPLG,48.83392,48.881078,48.484972,48.522697,31,Monday,48.680667,100.0,2.054204
2021-09-01,SPLG,50.201421,50.248575,50.078816,50.088249,35,Wednesday,50.154265,100.0,1.993848
2021-10-01,SPLG,47.957177,48.49634,47.522064,48.307159,39,Friday,48.070685,100.0,2.08027
2021-11-01,SPLG,51.220541,51.248917,50.974605,51.192162,44,Monday,51.159056,100.0,1.954688
2021-12-01,SPLG,51.334046,51.69349,50.094915,50.132751,48,Wednesday,50.8138,100.0,1.967969
2022-01-03,SPLG,53.169223,53.349617,52.903378,53.349617,1,Monday,53.192959,100.0,1.879948
2022-02-01,SPLG,50.339859,50.653175,49.912605,50.6152,5,Tuesday,50.38021,100.0,1.984906
2022-03-01,SPLG,48.592877,48.811251,47.709888,48.004219,9,Tuesday,48.279559,100.0,2.07127
2022-04-01,SPLG,50.796021,50.796021,50.319779,50.748394,13,Friday,50.665054,100.0,1.973747
2022-05-02,SPLG,46.147893,46.586035,45.376379,46.443161,18,Monday,46.138367,100.0,2.167394
2022-06-01,SPLG,46.490787,46.633658,45.595449,45.909771,22,Wednesday,46.157416,100.0,2.166499
