Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,SPLG,19.629403,19.707056,19.616811,19.641994,36,Monday,19.648816,25.0,1.272341
2015-09-08,SPLG,19.474091,19.520264,19.474091,19.520264,37,Tuesday,19.497178,25.0,1.282237
2015-09-14,SPLG,19.492979,19.492979,19.417425,19.417425,38,Monday,19.455202,25.0,1.285003
2015-09-21,SPLG,19.606642,19.606642,19.556023,19.556023,39,Monday,19.581332,25.0,1.276726
2015-09-28,SPLG,19.003433,19.003433,18.672297,18.718699,40,Monday,18.849466,25.0,1.326298
2015-10-05,SPLG,19.604537,19.724758,19.593992,19.724758,41,Monday,19.662011,25.0,1.271487
2015-10-12,SPLG,20.003174,20.003174,20.003174,20.003174,42,Monday,20.003174,25.0,1.249802
2015-10-19,SPLG,20.131826,20.150809,20.093861,20.142372,43,Monday,20.129717,25.0,1.241945
2015-10-26,SPLG,20.496713,20.509368,20.469295,20.500931,44,Monday,20.494077,25.0,1.219865
2015-11-02,SPLG,20.692857,20.844716,20.692857,20.838388,45,Monday,20.767204,25.0,1.203821
2015-11-09,SPLG,20.762463,20.762463,20.534675,20.56842,46,Monday,20.657005,25.0,1.210243
2015-11-16,SPLG,20.083319,20.349073,20.083319,20.332199,47,Monday,20.211978,25.0,1.23689
2015-11-23,SPLG,20.684421,20.751914,20.66122,20.694967,48,Monday,20.69813,25.0,1.207839
2015-11-30,SPLG,20.739264,20.741372,20.692863,20.730827,49,Monday,20.726082,25.0,1.20621
2015-12-07,SPLG,20.68442,20.68442,20.68442,20.68442,50,Monday,20.68442,25.0,1.208639
2015-12-14,SPLG,19.893492,19.92091,19.876618,19.92091,51,Monday,19.902982,25.0,1.256093
2015-12-21,SPLG,20.005789,20.037611,19.954872,19.954872,52,Monday,19.988286,25.0,1.250733
2015-12-28,SPLG,20.434328,20.434328,20.434328,20.434328,53,Monday,20.434328,25.0,1.223431
2016-01-04,SPLG,19.81697,19.882736,19.770297,19.829699,1,Monday,19.824925,25.0,1.261039
2016-01-11,SPLG,19.065952,19.065952,19.065952,19.065952,2,Monday,19.065952,25.0,1.311238
2016-01-19,SPLG,18.777433,18.777433,18.46345,18.599226,3,Tuesday,18.654386,25.0,1.340167
2016-01-25,SPLG,18.751978,18.751978,18.751978,18.751978,4,Monday,18.751978,25.0,1.333193
2016-02-01,SPLG,19.059589,19.273861,19.053224,19.273861,5,Monday,19.165134,25.0,1.304452
2016-02-08,SPLG,18.251294,18.251294,18.085817,18.085817,6,Monday,18.168556,25.0,1.376004
2016-02-16,SPLG,18.660754,18.762587,18.575893,18.686213,7,Tuesday,18.671362,25.0,1.338949
2016-02-22,SPLG,19.282353,19.282353,19.252652,19.265381,8,Monday,19.270685,25.0,1.297307
2016-02-29,SPLG,19.280226,19.367208,19.280226,19.367208,9,Monday,19.323717,25.0,1.293747
2016-03-07,SPLG,19.82546,19.954872,19.82546,19.954872,10,Monday,19.890166,25.0,1.256903
2016-03-14,SPLG,20.031242,20.126711,20.031242,20.08428,11,Monday,20.068369,25.0,1.245741
2016-03-21,SPLG,20.289304,20.40657,20.289304,20.39591,12,Monday,20.345272,25.0,1.228787
2016-03-28,SPLG,20.272241,20.272241,20.26158,20.26158,13,Monday,20.26691,25.0,1.233538
2016-04-04,SPLG,20.664555,20.664555,20.562214,20.562214,14,Monday,20.613384,25.0,1.212804
2016-04-11,SPLG,20.398035,20.398035,20.398035,20.398035,15,Monday,20.398035,25.0,1.225608
2016-04-18,SPLG,20.84152,20.879898,20.84152,20.879898,16,Monday,20.860709,25.0,1.198425
2016-04-25,SPLG,20.860706,20.860706,20.737044,20.783951,17,Monday,20.810602,25.0,1.201311
2016-05-02,SPLG,20.651764,20.764767,20.651764,20.764767,18,Monday,20.708266,25.0,1.207247
2016-05-09,SPLG,20.656025,20.656025,20.476928,20.553684,19,Monday,20.585666,25.0,1.214437
2016-05-16,SPLG,20.508906,20.6944,20.496112,20.651758,20,Monday,20.587794,25.0,1.214312
2016-05-23,SPLG,20.562214,20.562214,20.483324,20.513174,21,Monday,20.530231,25.0,1.217716
2016-05-31,SPLG,21.041937,21.056861,20.926802,20.926802,22,Tuesday,20.9881,25.0,1.191151
2016-06-06,SPLG,21.11657,21.148552,21.101645,21.148552,23,Monday,21.12883,25.0,1.183217
2016-06-13,SPLG,20.982242,20.982242,20.832993,20.832993,24,Monday,20.907617,25.0,1.195736
2016-06-20,SPLG,20.995397,21.038258,20.907532,20.907532,25,Monday,20.96218,25.0,1.192624
2016-06-27,SPLG,20.031016,20.037445,19.934578,20.037445,26,Monday,20.010121,25.0,1.249368
2016-07-05,SPLG,20.894664,20.894664,20.873234,20.873234,27,Tuesday,20.883949,25.0,1.197092
2016-07-11,SPLG,21.451861,21.481863,21.389712,21.481863,28,Monday,21.451325,25.0,1.165429
2016-07-18,SPLG,21.721882,21.730455,21.721882,21.724026,29,Monday,21.724561,25.0,1.150771
2016-07-25,SPLG,21.848317,21.848317,21.687589,21.739023,30,Monday,21.780812,25.0,1.147799
2016-08-01,SPLG,21.848319,21.869751,21.749739,21.781885,31,Monday,21.812423,25.0,1.146136
2016-08-08,SPLG,22.00905,22.00905,21.919043,21.919043,32,Monday,21.964046,25.0,1.138224
2016-08-15,SPLG,22.058335,22.086194,22.01976,22.01976,33,Monday,22.046012,25.0,1.133992
2016-08-22,SPLG,21.972619,21.974763,21.880468,21.951189,34,Monday,21.94476,25.0,1.139224
2016-08-29,SPLG,21.951189,21.972619,21.940473,21.951189,35,Monday,21.953868,25.0,1.138752
2016-09-06,SPLG,21.925466,21.996187,21.90618,21.996187,36,Tuesday,21.956005,25.0,1.138641
2016-09-12,SPLG,21.391851,21.775456,21.391851,21.762598,37,Monday,21.580439,25.0,1.158457
2016-09-19,SPLG,21.736772,21.736772,21.530022,21.549404,38,Monday,21.638243,25.0,1.155362
2016-09-26,SPLG,21.710928,21.719543,21.685085,21.685085,39,Monday,21.70016,25.0,1.152065
2016-10-03,SPLG,21.829391,21.829391,21.777704,21.818623,40,Monday,21.813777,25.0,1.146065
2016-10-10,SPLG,21.878922,21.878922,21.855233,21.872461,41,Monday,21.871385,25.0,1.143046
2016-10-17,SPLG,21.52141,21.549407,21.467569,21.499874,42,Monday,21.509565,25.0,1.162274
2016-10-24,SPLG,21.713093,21.728168,21.698017,21.698017,43,Monday,21.709324,25.0,1.151579
2016-10-31,SPLG,21.502023,21.510638,21.456797,21.456797,44,Monday,21.481564,25.0,1.163789
2016-11-07,SPLG,21.474038,21.497728,21.353434,21.497728,45,Monday,21.455732,25.0,1.16519
2016-11-14,SPLG,21.965063,21.965063,21.902607,21.902607,46,Monday,21.933835,25.0,1.139792
2016-11-21,SPLG,22.161047,22.290266,22.161047,22.290266,47,Monday,22.225657,25.0,1.124826
2016-11-28,SPLG,22.456095,22.469018,22.3398,22.3398,48,Monday,22.401178,25.0,1.116013
2016-12-05,SPLG,22.369949,22.430251,22.29457,22.369949,49,Monday,22.36618,25.0,1.117759
2016-12-12,SPLG,23.035426,23.035426,22.815755,22.839445,50,Monday,22.931513,25.0,1.090203
2016-12-19,SPLG,22.959087,22.991576,22.89844,22.922266,51,Monday,22.942842,25.0,1.089664
2016-12-27,SPLG,23.095543,23.095543,23.0284,23.052225,52,Tuesday,23.067928,25.0,1.083756
2017-01-03,SPLG,23.039232,23.039232,22.759824,22.850794,1,Tuesday,22.922271,25.0,1.090642
2017-01-09,SPLG,23.221169,23.221169,23.058723,23.084715,2,Monday,23.146444,25.0,1.08008
