Date,Symbol,Buy_Price,Buy_Level,Shares Purchased
2015-09-01,SPY,161.167176,1%,1
2015-09-02,SPY,162.418973,1%,1
2015-09-09,SPY,166.34138,1%,1
2015-09-09,SPY,164.661164,2%,1
2015-09-25,SPY,163.280203,1%,1
2015-09-28,SPY,160.88097,1%,1
2015-09-28,SPY,159.25591,2%,1
2015-10-01,SPY,161.132655,1%,1
2015-11-09,SPY,175.58659,1%,1
2015-12-02,SPY,176.685534,1%,1
2015-12-03,SPY,175.18393,1%,1
2015-12-14,SPY,169.513102,1%,1
2015-12-17,SPY,174.823208,1%,1
2015-12-18,SPY,171.112667,1%,1
2016-01-08,SPY,164.716096,1%,1
2016-01-11,SPY,162.876424,1%,1
2016-01-12,SPY,163.559935,1%,1
2016-01-13,SPY,164.091624,1%,1
2016-01-13,SPY,162.434133,2%,1
2016-01-13,SPY,160.776642,3%,1
2016-01-19,SPY,160.30258,1%,1
2016-01-20,SPY,156.142262,1%,1
2016-01-20,SPY,154.565067,2%,1
2016-01-25,SPY,160.268776,1%,1
2016-01-27,SPY,159.98189,1%,1
2016-01-28,SPY,160.302607,1%,1
2016-02-02,SPY,161.990325,1%,1
2016-02-03,SPY,161.526212,1%,1
2016-02-03,SPY,159.894635,2%,1
2016-02-05,SPY,161.171769,1%,1
2016-02-08,SPY,156.766738,1%,1
2016-03-10,SPY,168.741315,1%,1
2016-05-17,SPY,175.125119,1%,1
2016-06-16,SPY,176.219315,1%,1
2016-06-27,SPY,171.883508,1%,1
2016-09-09,SPY,184.997061,1%,1
2016-09-13,SPY,183.180941,1%,1
2016-09-29,SPY,185.443112,1%,1
2016-10-11,SPY,184.809013,1%,1
2016-11-01,SPY,182.469493,1%,1
2016-12-28,SPY,195.302672,1%,1
2017-03-21,SPY,205.588968,1%,1
2017-04-24,SPY,205.337895,1%,1
2017-05-17,SPY,207.848583,1%,1
2017-06-29,SPY,211.976623,1%,1
2017-08-10,SPY,214.264667,1%,1
2017-08-17,SPY,214.221169,1%,1
2017-12-01,SPY,231.47605,1%,1
2018-01-16,SPY,245.480304,1%,1
2018-02-02,SPY,246.121679,1%,1
2018-02-05,SPY,240.29564,1%,1
2018-02-05,SPY,237.868411,2%,1
2018-02-05,SPY,235.441182,3%,1
2018-02-08,SPY,235.51519,1%,1
2018-02-08,SPY,233.136248,2%,1
2018-02-08,SPY,230.757307,3%,1
2018-02-09,SPY,229.179351,1%,1
2018-02-09,SPY,226.864408,2%,1
2018-02-09,SPY,224.549465,3%,1
2018-02-15,SPY,238.643516,1%,1
2018-02-27,SPY,244.390537,1%,1
2018-02-28,SPY,242.255254,1%,1
2018-03-01,SPY,238.503003,1%,1
2018-03-13,SPY,245.910916,1%,1
2018-03-14,SPY,244.12701,1%,1
2018-03-19,SPY,241.169817,1%,1
2018-03-22,SPY,236.370278,1%,1
2018-03-23,SPY,233.070556,1%,1
2018-03-23,SPY,230.716308,2%,1
2018-03-26,SPY,231.27068,1%,1
2018-03-27,SPY,234.835054,1%,1
2018-03-27,SPY,232.462983,2%,1
2018-04-02,SPY,231.641217,1%,1
2018-04-02,SPY,229.301407,2%,1
2018-04-02,SPY,226.961597,3%,1
2018-04-06,SPY,232.408791,1%,1
2018-04-06,SPY,230.061228,2%,1
2018-04-13,SPY,235.929064,1%,1
2018-04-20,SPY,237.164235,1%,1
2018-04-24,SPY,236.211389,1%,1
2018-04-24,SPY,233.825416,2%,1
2018-04-30,SPY,235.796791,1%,1
2018-05-03,SPY,231.385432,1%,1
2018-06-25,SPY,242.332513,1%,1
2018-06-27,SPY,241.28675,1%,1
2018-07-27,SPY,251.434203,1%,1
2018-10-04,SPY,259.222536,1%,1
2018-10-05,SPY,257.896084,1%,1
2018-10-10,SPY,255.349897,1%,1
2018-10-10,SPY,252.770605,2%,1
2018-10-10,SPY,250.191313,3%,1
2018-10-11,SPY,246.67,1%,1
2018-10-11,SPY,244.178384,2%,1
2018-10-12,SPY,246.394051,1%,1
2018-10-17,SPY,249.661215,1%,1
2018-10-18,SPY,248.735399,1%,1
2018-10-24,SPY,243.331553,1%,1
2018-10-24,SPY,240.873658,2%,1
2018-10-24,SPY,238.415764,3%,1
2018-10-26,SPY,236.734865,1%,1
2018-10-29,SPY,239.298651,1%,1
2018-10-29,SPY,236.881493,2%,1
2018-10-29,SPY,234.464335,3%,1
2018-11-02,SPY,244.59575,1%,1
2018-11-09,SPY,248.405976,1%,1
2018-11-12,SPY,246.767885,1%,1
2018-11-14,SPY,244.070496,1%,1
2018-11-14,SPY,241.605137,2%,1
2018-11-19,SPY,243.082326,1%,1
2018-12-04,SPY,247.818451,1%,1
2018-12-04,SPY,245.315234,2%,1
2018-12-04,SPY,242.812018,3%,1
2018-12-06,SPY,236.734839,1%,1
2018-12-07,SPY,239.886298,1%,1
2018-12-07,SPY,237.463204,2%,1
2018-12-10,SPY,234.464699,1%,1
2018-12-11,SPY,238.283829,1%,1
2018-12-14,SPY,234.099708,1%,1
2018-12-17,SPY,230.930423,1%,1
2018-12-17,SPY,228.597793,2%,1
2018-12-18,SPY,228.971925,1%,1
2018-12-19,SPY,227.164664,1%,1
2018-12-19,SPY,224.870071,2%,1
2018-12-20,SPY,222.437467,1%,1
2018-12-20,SPY,220.190624,2%,1
2018-12-21,SPY,220.942592,1%,1
2018-12-21,SPY,218.710849,2%,1
2018-12-24,SPY,214.04763,1%,1
2018-12-27,SPY,217.208617,1%,1
2018-12-28,SPY,223.485681,1%,1
2019-01-03,SPY,222.276814,1%,1
2019-01-08,SPY,229.968724,1%,1
2019-01-22,SPY,237.132263,1%,1
2019-01-23,SPY,236.406994,1%,1
2019-03-04,SPY,252.157795,1%,1
2019-03-22,SPY,254.725636,1%,1
2019-03-27,SPY,252.827818,1%,1
2019-05-07,SPY,260.958268,1%,1
2019-05-10,SPY,256.884144,1%,1
2019-05-28,SPY,254.608684,1%,1
2019-06-25,SPY,265.435938,1%,1
2019-07-19,SPY,271.165866,1%,1
2019-07-31,SPY,272.024367,1%,1
2019-08-01,SPY,268.960569,1%,1
2019-08-02,SPY,265.571525,1%,1
2019-08-05,SPY,260.36584,1%,1
2019-08-05,SPY,257.735882,2%,1
2019-08-09,SPY,264.423807,1%,1
2019-08-12,SPY,262.055897,1%,1
2019-08-14,SPY,260.347753,1%,1
2019-08-23,SPY,262.923509,1%,1
2019-08-23,SPY,260.267716,2%,1
2019-08-27,SPY,261.676265,1%,1
2019-09-24,SPY,271.846087,1%,1
2019-09-27,SPY,270.41154,1%,1
2019-10-01,SPY,270.329772,1%,1
2019-10-02,SPY,264.664224,1%,1
2019-10-03,SPY,261.313991,1%,1
2019-12-02,SPY,285.62861,1%,1
2020-01-24,SPY,303.319256,1%,1
