Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,SPY,167.001572,167.861409,166.074295,166.630661,36,Monday,166.891984,100.0,0.59919
2015-09-01,SPY,162.795127,164.186042,160.78042,161.65712,36,Tuesday,162.354677,100.0,0.615935
2015-10-01,SPY,162.760257,163.107676,160.845236,162.802628,40,Thursday,162.378949,100.0,0.615843
2015-11-02,SPY,176.521308,178.470218,176.394197,178.27533,45,Monday,177.415263,100.0,0.563649
2015-12-01,SPY,177.470343,178.639699,177.190714,178.521057,49,Tuesday,177.955454,100.0,0.561938
2016-01-04,SPY,170.897579,171.357869,169.278012,171.34935,1,Monday,170.720703,100.0,0.585752
2016-02-01,SPY,164.112456,165.859877,163.524298,165.067139,5,Monday,164.640942,100.0,0.607382
2016-03-01,SPY,166.226422,168.954111,165.749081,168.868866,9,Tuesday,167.44962,100.0,0.597195
2016-04-01,SPY,175.086279,177.476735,174.769256,177.288239,13,Friday,176.155127,100.0,0.567681
2016-05-02,SPY,177.288182,178.36774,176.851221,178.18782,18,Monday,177.673741,100.0,0.562829
2016-06-01,SPY,179.173185,180.338428,178.976126,180.158508,22,Wednesday,179.661562,100.0,0.556602
2016-07-01,SPY,180.415008,181.28488,180.251368,180.793961,26,Friday,180.686304,100.0,0.553445
2016-08-01,SPY,187.055233,187.451401,186.383458,186.83992,31,Monday,186.932503,100.0,0.534952
2016-09-01,SPY,187.210249,187.5203,186.056175,187.227478,35,Thursday,187.003551,100.0,0.534749
2016-10-03,SPY,186.814188,187.004608,186.139006,186.779556,40,Monday,186.68434,100.0,0.535664
2016-11-01,SPY,184.312619,184.364567,181.430177,182.650665,44,Tuesday,183.189507,100.0,0.545883
2016-12-01,SPY,191.064345,191.064345,189.696692,190.060257,48,Thursday,190.47141,100.0,0.525013
2017-01-03,SPY,195.943219,196.631083,194.933213,196.117371,1,Tuesday,195.906221,100.0,0.510448
2017-02-01,SPY,198.111261,199.034205,197.597549,198.189621,5,Wednesday,198.233159,100.0,0.504456
2017-03-01,SPY,207.567096,209.247562,207.549679,208.777374,9,Wednesday,208.285428,100.0,0.48011
2017-04-03,SPY,206.205186,206.406316,204.552397,205.794174,14,Monday,205.739518,100.0,0.486051
2017-05-01,SPY,208.723709,209.152215,208.303957,208.723709,18,Monday,208.725897,100.0,0.479097
2017-06-01,SPY,211.600787,212.833824,211.312203,212.81633,22,Thursday,212.140786,100.0,0.471385
2017-07-03,SPY,213.432378,213.871756,212.843613,212.843613,27,Monday,213.24784,100.0,0.468938
2017-08-01,SPY,217.457086,217.49223,216.806801,217.334061,31,Tuesday,217.272545,100.0,0.460251
2017-09-01,SPY,217.861318,218.221611,217.641629,217.791016,35,Friday,217.878893,100.0,0.458971
2017-10-02,SPY,222.095288,222.828278,221.918654,222.828278,40,Monday,222.417624,100.0,0.449605
2017-11-01,SPY,227.879667,228.224069,227.023042,227.393936,44,Wednesday,227.630178,100.0,0.439309
2017-12-01,SPY,233.814192,234.299895,230.281722,233.54924,48,Friday,232.986262,100.0,0.42921
2018-01-02,SPY,237.743235,238.604238,237.352675,238.568726,1,Tuesday,238.067218,100.0,0.420049
2018-02-01,SPY,249.486642,251.25302,249.140453,249.939316,5,Thursday,249.954858,100.0,0.400072
2018-03-01,SPY,240.912125,242.474365,236.110034,237.619019,9,Thursday,239.278886,100.0,0.417922
2018-04-02,SPY,233.981028,234.497931,226.958486,229.453812,14,Monday,231.222814,100.0,0.432483
2018-05-01,SPY,235.15739,236.25356,233.588893,236.146622,18,Tuesday,235.286616,100.0,0.425014
2018-06-01,SPY,242.768175,244.13169,242.696865,243.82869,22,Friday,243.356355,100.0,0.41092
2018-07-02,SPY,241.262205,243.52703,241.020486,243.365875,27,Monday,242.293899,100.0,0.412722
2018-08-01,SPY,252.049296,252.55956,250.769183,251.422653,31,Wednesday,251.700173,100.0,0.397298
2018-09-04,SPY,259.461364,259.792579,258.422942,259.434509,36,Tuesday,259.277849,100.0,0.385687
2018-10-01,SPY,262.677229,263.414613,261.66111,262.335541,40,Monday,262.522123,100.0,0.38092
2018-11-01,SPY,244.233696,246.149082,243.136621,245.951248,44,Thursday,244.867662,100.0,0.408384
2018-12-03,SPY,252.039133,252.147037,249.548247,251.157867,49,Monday,251.223071,100.0,0.398053
