Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,SPY,167.001572,167.861409,166.074295,166.630661,36,Monday,166.891984,25.0,0.149797
2015-09-08,SPY,165.172322,166.580087,164.523228,166.428345,37,Tuesday,165.675995,25.0,0.150897
2015-09-14,SPY,166.023721,166.074297,164.742397,165.231323,38,Monday,165.517935,25.0,0.151041
2015-09-21,SPY,166.454683,167.505397,165.412438,166.471634,39,Monday,166.461038,25.0,0.150185
2015-09-28,SPY,162.506031,162.616191,158.997975,159.311493,40,Monday,160.857922,25.0,0.155417
2015-10-05,SPY,166.471699,168.403671,166.361538,168.174881,41,Monday,167.352947,25.0,0.149385
2015-10-12,SPY,170.674552,170.96265,170.242405,170.759293,42,Monday,170.659725,25.0,0.14649
2015-10-19,SPY,171.589678,172.326874,171.27616,172.326874,43,Monday,171.879896,25.0,0.14545
2015-10-26,SPY,175.656996,175.716304,175.029947,175.402786,44,Monday,175.451508,25.0,0.14249
2015-11-02,SPY,176.521308,178.470218,176.394197,178.27533,45,Monday,177.415263,25.0,0.140912
2015-11-09,SPY,177.360192,177.512723,175.36043,176.317947,46,Monday,176.637823,25.0,0.141533
2015-11-16,SPY,171.437178,174.292765,171.318536,174.233444,47,Monday,172.820481,25.0,0.144659
2015-11-23,SPY,177.419478,177.927884,176.690751,177.156799,48,Monday,177.298728,25.0,0.141005
2015-11-30,SPY,177.733035,177.851664,176.724678,176.834839,49,Monday,177.286054,25.0,0.141015
2015-12-07,SPY,177.292403,177.716081,175.57227,176.546738,50,Monday,176.781873,25.0,0.141417
2015-12-14,SPY,171.225355,172.055761,169.428951,171.92865,51,Monday,171.159679,25.0,0.146062
2015-12-21,SPY,171.681777,172.082406,170.556604,171.903397,52,Monday,171.556046,25.0,0.145725
2015-12-28,SPY,174.622553,174.963508,173.838347,174.920898,53,Monday,174.586327,25.0,0.143196
2016-01-04,SPY,170.897579,171.357869,169.278012,171.34935,1,Monday,170.720703,25.0,0.146438
2016-01-11,SPY,164.521641,164.862608,161.802497,163.754486,2,Monday,163.735308,25.0,0.152685
2016-01-19,SPY,161.921798,162.049652,158.716767,160.302231,3,Tuesday,160.747612,25.0,0.155523
2016-01-25,SPY,161.887652,162.083701,159.748135,159.944183,4,Monday,160.915918,25.0,0.155361
2016-02-01,SPY,164.112456,165.859877,163.524298,165.067139,5,Monday,164.640942,25.0,0.151846
2016-02-08,SPY,158.35024,158.648572,155.818613,158.051895,6,Monday,157.71733,25.0,0.158511
2016-02-16,SPY,160.907422,161.793912,159.935688,161.768341,7,Tuesday,161.101341,25.0,0.155182
2016-02-22,SPY,165.254663,166.175256,165.18647,166.03035,8,Monday,165.661685,25.0,0.15091
2016-02-29,SPY,166.311716,167.2664,164.794445,164.990494,9,Monday,165.840764,25.0,0.150747
2016-03-07,SPY,169.917319,171.39198,169.840606,170.982819,10,Monday,170.533181,25.0,0.146599
2016-03-14,SPY,172.321103,173.071206,171.988668,172.610916,11,Monday,172.497973,25.0,0.144929
2016-03-21,SPY,174.846343,175.591751,174.615004,175.360413,12,Monday,175.103378,25.0,0.142773
2016-03-28,SPY,174.452249,174.666448,173.681138,174.135239,13,Monday,174.233768,25.0,0.143485
2016-04-04,SPY,177.2111,177.416736,176.40571,176.714157,14,Monday,176.936926,25.0,0.141293
2016-04-11,SPY,175.857337,176.559916,174.709234,174.803482,15,Monday,175.482492,25.0,0.142464
2016-04-18,SPY,178.025043,179.310237,177.356743,179.27597,16,Monday,178.491998,25.0,0.140062
2016-04-25,SPY,178.436337,178.779064,177.819443,178.736221,17,Monday,178.442766,25.0,0.140101
2016-05-02,SPY,177.288182,178.36774,176.851221,178.18782,18,Monday,177.673741,25.0,0.140707
2016-05-09,SPY,176.131548,176.842677,175.951615,176.405716,19,Monday,176.332889,25.0,0.141777
2016-05-16,SPY,175.608882,177.648047,175.5489,177.168243,20,Monday,176.493518,25.0,0.141648
2016-05-23,SPY,176.080087,176.362832,175.634563,175.823059,21,Monday,175.975135,25.0,0.142066
2016-05-31,SPY,180.406964,180.518351,179.224581,179.79007,22,Tuesday,179.984991,25.0,0.1389
2016-06-06,SPY,180.526891,181.443669,180.364098,181.083817,23,Monday,180.854619,25.0,0.138233
2016-06-13,SPY,179.378809,180.244168,178.513449,178.599121,24,Monday,179.183887,25.0,0.139521
2016-06-20,SPY,179.846554,180.526937,178.925009,179.011139,25,Monday,179.57741,25.0,0.139216
2016-06-27,SPY,173.619705,173.628326,171.087623,171.905823,26,Monday,172.560369,25.0,0.144877
2016-07-05,SPY,179.958493,180.07046,178.89055,179.493423,27,Tuesday,179.603232,25.0,0.139196
2016-07-11,SPY,183.610206,184.368111,183.403501,183.791061,28,Monday,183.79322,25.0,0.136022
2016-07-18,SPY,186.004516,186.547109,185.746138,186.383469,29,Monday,186.170308,25.0,0.134286
2016-07-25,SPY,186.891592,186.943265,186.004504,186.590149,30,Monday,186.607378,25.0,0.133971
2016-08-01,SPY,187.055233,187.451401,186.383458,186.83992,31,Monday,186.932503,25.0,0.133738
2016-08-08,SPY,188.097344,188.200703,187.528928,187.795914,32,Monday,187.905722,25.0,0.133045
2016-08-15,SPY,188.519326,189.04469,188.510719,188.691574,33,Monday,188.691577,25.0,0.132491
2016-08-22,SPY,187.976763,188.441846,187.606431,188.209305,34,Monday,188.058586,25.0,0.132937
2016-08-29,SPY,187.270532,188.329867,187.236074,188.062881,35,Monday,187.724839,25.0,0.133174
2016-09-06,SPY,188.355769,188.717494,187.632321,188.639984,36,Tuesday,188.336392,25.0,0.132741
2016-09-12,SPY,182.921195,186.727925,182.852293,186.323135,37,Monday,184.706137,25.0,0.13535
2016-09-19,SPY,185.351338,186.000539,184.399171,184.728104,38,Monday,185.119788,25.0,0.135048
2016-09-26,SPY,186.121732,186.303501,185.247466,185.446564,39,Monday,185.779816,25.0,0.134568
2016-10-03,SPY,186.814188,187.004608,186.139006,186.779556,40,Monday,186.68434,25.0,0.133916
2016-10-10,SPY,187.108536,187.575955,186.961385,187.108536,41,Monday,187.188603,25.0,0.133555
2016-10-17,SPY,184.451164,184.710847,183.654811,183.836594,42,Monday,184.163354,25.0,0.135749
2016-10-24,SPY,186.104403,186.381401,185.654286,186.009186,43,Monday,186.037319,25.0,0.134382
2016-10-31,SPY,184.312623,184.537688,183.819237,183.983704,44,Monday,184.163313,25.0,0.135749
2016-11-07,SPY,180.521365,184.53776,180.521365,184.503128,45,Monday,182.520905,25.0,0.136971
2016-11-14,SPY,187.861626,188.069375,186.727689,187.480759,46,Monday,187.534862,25.0,0.133309
2016-11-21,SPY,189.714015,190.588269,189.566864,190.562302,47,Monday,190.107863,25.0,0.131504
2016-11-28,SPY,191.436578,191.713564,190.744093,190.847961,48,Monday,191.185549,25.0,0.130763
2016-12-05,SPY,190.995053,191.644255,190.795969,191.298019,49,Monday,191.183324,25.0,0.130765
2016-12-12,SPY,195.972303,196.457052,195.418318,195.842468,50,Monday,195.922535,25.0,0.127601
2016-12-19,SPY,196.126092,196.796538,195.978074,196.369888,51,Monday,196.317648,25.0,0.127345
2016-12-27,SPY,196.796545,197.414738,196.779127,197.014221,52,Tuesday,197.001158,25.0,0.126903
2017-01-03,SPY,195.943219,196.631083,194.933213,196.117371,1,Tuesday,195.906221,25.0,0.127612
2017-01-09,SPY,197.571425,197.710741,197.144776,197.179611,2,Monday,197.401638,25.0,0.126645
2017-01-17,SPY,197.049021,197.458252,196.604966,196.99678,3,Tuesday,197.027255,25.0,0.126886
2017-01-23,SPY,197.423455,197.484397,196.143518,196.909729,4,Monday,196.990275,25.0,0.12691
2017-01-30,SPY,198.66851,198.69463,197.136075,198.128677,5,Monday,198.156973,25.0,0.126163
2017-02-06,SPY,199.278036,199.678566,198.990702,199.330276,6,Monday,199.319395,25.0,0.125427
2017-02-13,SPY,202.072964,202.934966,202.046844,202.673752,7,Monday,202.432131,25.0,0.123498
2017-02-21,SPY,205.068197,206.086919,205.059481,205.912781,8,Tuesday,205.531844,25.0,0.121636
2017-02-27,SPY,206.04339,206.62676,205.790891,206.452621,9,Monday,206.228415,25.0,0.121225
2017-03-06,SPY,206.792152,207.331985,206.365503,206.975006,10,Monday,206.866161,25.0,0.120851
2017-03-13,SPY,206.896667,207.105641,206.565809,207.062103,11,Monday,206.907555,25.0,0.120827
2017-03-20,SPY,207.280845,207.569429,206.659963,207.053482,12,Monday,207.14093,25.0,0.120691
2017-03-27,SPY,202.820904,204.561148,202.541074,204.298798,13,Monday,203.555481,25.0,0.122817
2017-04-03,SPY,206.205186,206.406316,204.552397,205.794174,14,Monday,205.739518,25.0,0.121513
2017-04-10,SPY,205.820442,206.607479,205.269507,205.802948,15,Monday,205.875094,25.0,0.121433
2017-04-17,SPY,203.852814,205.129578,203.651684,205.129578,16,Monday,204.440913,25.0,0.122285
2017-04-24,SPY,207.412015,207.613157,205.12085,207.403275,17,Monday,206.887324,25.0,0.120839
2017-05-01,SPY,208.723709,209.152215,208.303957,208.723709,18,Monday,208.725897,25.0,0.119774
2017-05-08,SPY,209.659451,209.808113,209.152244,209.58075,19,Monday,209.550139,25.0,0.119303
2017-05-15,SPY,209.414581,210.26284,209.397088,210.140411,20,Monday,209.80373,25.0,0.119159
2017-05-22,SPY,208.916149,209.624499,208.846202,209.458344,21,Monday,209.211298,25.0,0.119496
2017-05-30,SPY,211.049867,211.443386,210.892465,211.189789,22,Tuesday,211.143877,25.0,0.118403
2017-06-05,SPY,213.349755,213.638339,213.166106,213.367249,23,Monday,213.380362,25.0,0.117162
2017-06-12,SPY,212.615201,212.868797,211.959332,212.81633,24,Monday,212.564915,25.0,0.117611
2017-06-19,SPY,214.056245,215.058027,213.959582,214.996521,25,Monday,214.517594,25.0,0.116541
2017-06-26,SPY,214.328706,214.750518,213.581771,213.792664,26,Monday,214.113415,25.0,0.116761
2017-07-03,SPY,213.432378,213.871756,212.843613,212.843613,27,Monday,213.24784,25.0,0.117234
2017-07-10,SPY,212.755796,213.362141,212.448226,212.984268,28,Monday,212.887608,25.0,0.117433
2017-07-17,SPY,215.708385,216.09504,215.58536,215.761108,29,Monday,215.787473,25.0,0.115855
2017-07-24,SPY,216.868324,217.03529,216.420163,216.894699,30,Monday,216.804619,25.0,0.115311
2017-07-31,SPY,217.377984,217.474648,216.639832,216.850739,31,Monday,217.085801,25.0,0.115162
2017-08-07,SPY,217.483403,217.817322,217.377944,217.817322,32,Monday,217.623998,25.0,0.114877
2017-08-14,SPY,215.81382,216.868325,215.778675,216.648636,33,Monday,216.277364,25.0,0.115592
2017-08-21,SPY,213.221495,213.713596,212.509704,213.449966,34,Monday,213.22369,25.0,0.117248
2017-08-28,SPY,215.444742,215.471103,214.495683,214.917496,35,Monday,215.082256,25.0,0.116235
2017-09-05,SPY,217.281342,217.509828,215.251417,216.226837,36,Tuesday,216.567356,25.0,0.115438
2017-09-11,SPY,217.966777,219.074019,217.949212,218.994934,37,Monday,218.496235,25.0,0.114418
2017-09-18,SPY,220.434976,220.885361,220.143546,220.53212,38,Monday,220.499001,25.0,0.113379
2017-09-25,SPY,220.028729,220.381984,219.0838,219.834442,39,Monday,219.832239,25.0,0.113723
2017-10-02,SPY,222.095288,222.828278,221.918654,222.828278,40,Monday,222.417624,25.0,0.112401
2017-10-09,SPY,224.868258,224.930069,224.002793,224.267731,41,Monday,224.517213,25.0,0.11135
2017-10-16,SPY,225.380443,225.645367,225.036027,225.45108,42,Monday,225.378229,25.0,0.110925
2017-10-23,SPY,227.385064,227.411557,226.095694,226.175171,43,Monday,226.766871,25.0,0.110245
2017-10-30,SPY,226.493176,227.491103,226.440191,226.740448,44,Monday,226.79123,25.0,0.110234
2017-11-06,SPY,228.109255,228.727448,228.038618,228.594986,45,Monday,228.367577,25.0,0.109473
2017-11-13,SPY,227.234926,228.365316,227.199594,228.135696,46,Monday,227.733883,25.0,0.109777
2017-11-20,SPY,227.967963,228.303525,227.720664,228.109238,47,Monday,228.025347,25.0,0.109637
2017-11-27,SPY,229.972691,230.272947,229.610609,229.813736,48,Monday,229.917496,25.0,0.108735
2017-12-04,SPY,235.183012,235.615731,233.213651,233.266663,49,Monday,234.319764,25.0,0.106692
2017-12-11,SPY,235.183014,235.244839,234.450038,235.183014,50,Monday,235.015226,25.0,0.106376
2017-12-18,SPY,237.974021,238.417837,237.86751,238.06279,51,Monday,238.08054,25.0,0.105006
2017-12-26,SPY,237.041994,237.388183,236.899996,237.166275,52,Tuesday,237.124112,25.0,0.10543
2018-01-02,SPY,237.743235,238.604238,237.352675,238.568726,1,Tuesday,238.067218,25.0,0.105012
2018-01-08,SPY,242.598561,243.299797,242.305654,243.14003,2,Monday,242.83601,25.0,0.10295
2018-01-16,SPY,247.959903,248.616742,245.146099,245.847336,3,Tuesday,246.89252,25.0,0.101259
2018-01-22,SPY,248.687754,250.924576,248.634471,250.924576,4,Monday,249.792844,25.0,0.100083
2018-01-29,SPY,253.800457,254.244273,252.531151,252.690918,5,Monday,253.3167,25.0,0.098691
2018-02-05,SPY,242.722868,244.853179,233.722271,234.272598,6,Monday,238.892729,25.0,0.104649
2018-02-12,SPY,234.183868,237.006557,232.257722,235.5242,7,Monday,234.743087,25.0,0.106499
2018-02-20,SPY,241.462426,242.918155,240.10435,240.903214,8,Tuesday,241.347036,25.0,0.103585
2018-02-26,SPY,244.924171,246.770459,244.329473,246.672806,9,Monday,245.674227,25.0,0.101761
2018-03-05,SPY,237.645557,242.225738,237.539019,241.604385,10,Monday,239.753675,25.0,0.104274
2018-03-12,SPY,247.826693,248.456904,246.832524,247.223083,11,Monday,247.584801,25.0,0.100976
2018-03-19,SPY,243.605876,244.541611,239.390553,241.057068,12,Monday,242.148777,25.0,0.103242
2018-03-26,SPY,233.606748,236.547653,231.182719,236.262466,13,Monday,234.399896,25.0,0.106655
2018-04-02,SPY,233.981028,234.497931,226.958486,229.453812,14,Monday,231.222814,25.0,0.108121
2018-04-09,SPY,232.929466,236.021885,231.655076,232.599731,15,Monday,233.30154,25.0,0.107157
2018-04-16,SPY,237.946796,239.01623,237.117999,238.240875,16,Monday,238.080475,25.0,0.105007
2018-04-23,SPY,238.178596,238.740048,236.476426,237.563675,17,Monday,237.739686,25.0,0.105157
2018-04-30,SPY,238.178577,238.740029,235.656504,235.727814,18,Monday,237.075731,25.0,0.105452
2018-05-07,SPY,237.848784,238.855802,237.153633,237.875519,19,Monday,237.933435,25.0,0.105071
2018-05-14,SPY,243.596968,244.256437,242.723595,243.276154,20,Monday,243.463288,25.0,0.102685
2018-05-21,SPY,243.302919,244.167372,242.910795,243.623734,21,Monday,243.501205,25.0,0.102669
2018-05-29,SPY,240.896648,241.663082,238.624133,239.747009,22,Tuesday,240.232718,25.0,0.104066
2018-06-04,SPY,244.657448,245.245634,244.416837,244.987183,23,Monday,244.826776,25.0,0.102113
2018-06-11,SPY,248.141933,248.97073,248.026074,248.248871,24,Monday,248.346902,25.0,0.100666
2018-06-18,SPY,246.615399,247.698597,246.132017,247.573257,25,Monday,247.004818,25.0,0.101213
2018-06-25,SPY,244.780316,244.941443,240.895202,242.596054,26,Monday,243.303254,25.0,0.102752
2018-07-02,SPY,241.262205,243.52703,241.020486,243.365875,27,Monday,242.293899,25.0,0.10318
2018-07-09,SPY,247.564302,248.826521,247.519554,248.772812,28,Monday,248.170797,25.0,0.100737
2018-07-16,SPY,250.330447,250.473653,249.61428,250.061874,29,Monday,250.120064,25.0,0.099952
2018-07-23,SPY,250.160426,251.037693,249.81129,250.831818,30,Monday,250.460307,25.0,0.099816
2018-07-30,SPY,252.004401,252.165529,250.079725,250.60791,31,Monday,251.214391,25.0,0.099517
2018-08-06,SPY,253.911284,255.119767,253.517399,254.806473,32,Monday,254.338731,25.0,0.098294
2018-08-13,SPY,253.758996,254.376678,252.237165,252.532593,33,Monday,253.226358,25.0,0.098726
2018-08-20,SPY,255.638976,255.997046,255.182421,255.7285,34,Monday,255.636736,25.0,0.097795
2018-08-27,SPY,258.584069,259.515072,258.422941,259.407654,35,Monday,258.982434,25.0,0.096532
2018-09-04,SPY,259.461364,259.792579,258.422942,259.434509,36,Tuesday,259.277849,25.0,0.096422
2018-09-10,SPY,258.476654,258.745227,257.706805,257.903748,37,Monday,258.208108,25.0,0.096821
2018-09-17,SPY,260.338652,260.37444,258.736257,259.013763,38,Monday,259.615778,25.0,0.096296
2018-09-24,SPY,261.984816,262.128697,261.112551,261.697052,39,Monday,261.730779,25.0,0.095518
2018-10-01,SPY,262.677229,263.414613,261.66111,262.335541,40,Monday,262.522123,25.0,0.09523
2018-10-08,SPY,258.127086,259.17921,256.733274,258.819519,41,Monday,258.214772,25.0,0.096819
2018-10-15,SPY,247.785754,249.125641,246.661703,246.751633,42,Monday,247.581183,25.0,0.100977
2018-10-22,SPY,249.089682,249.413395,246.760651,247.300201,43,Monday,248.140982,25.0,0.100749
2018-10-29,SPY,241.715809,243.019719,233.667624,237.27356,44,Monday,238.919178,25.0,0.104638
2018-11-05,SPY,244.989125,246.400939,244.008956,245.843414,45,Monday,245.310608,25.0,0.101912
2018-11-12,SPY,249.26049,249.503275,244.584428,245.106003,46,Monday,247.113549,25.0,0.101168
2018-11-19,SPY,245.537703,245.834468,241.059501,241.985718,47,Monday,243.604347,25.0,0.102625
2018-11-26,SPY,239.000165,240.77167,238.604497,240.54686,48,Monday,239.730798,25.0,0.104284
2018-12-03,SPY,252.039133,252.147037,249.548247,251.157867,49,Monday,251.223071,25.0,0.099513
2018-12-10,SPY,236.83303,238.442678,232.561636,237.462509,50,Monday,236.324963,25.0,0.105787
2018-12-17,SPY,233.263054,234.387105,227.984515,229.630127,51,Monday,231.3162,25.0,0.108077
2018-12-24,SPY,216.209727,217.837815,211.895311,211.958618,52,Monday,214.475368,25.0,0.116564
2019-01-02,SPY,222.486949,227.217452,222.459815,226.285812,1,Wednesday,224.612507,25.0,0.111303
2019-01-07,SPY,228.556093,231.504732,227.651601,230.084686,2,Monday,229.449278,25.0,0.108957
2019-01-14,SPY,232.327759,233.63023,231.920755,232.816193,3,Monday,232.673734,25.0,0.107447
2019-01-22,SPY,239.527539,239.744608,236.126641,237.754715,4,Tuesday,238.288376,25.0,0.104915
2019-01-28,SPY,238.23416,238.632111,236.786967,238.568817,5,Monday,238.055514,25.0,0.105018
2019-02-04,SPY,244.312341,246.048978,243.633972,245.985657,6,Monday,244.995237,25.0,0.102043
2019-02-11,SPY,245.298211,245.560494,244.239943,244.77359,7,Monday,244.968059,25.0,0.102054
2019-02-19,SPY,250.073946,251.973357,250.064892,251.313095,8,Tuesday,250.856322,25.0,0.099659
2019-02-25,SPY,253.918018,254.442611,252.742162,252.823563,9,Monday,253.481588,25.0,0.098626
2019-03-04,SPY,254.704843,254.949046,250.399454,252.714951,10,Monday,253.192073,25.0,0.098739
2019-03-11,SPY,248.970463,252.009543,248.943329,251.846741,11,Monday,250.442519,25.0,0.099823
2019-03-18,SPY,255.781319,256.789742,255.5542,256.489929,12,Monday,256.153798,25.0,0.097598
2019-03-25,SPY,253.346676,254.545871,252.229268,253.501129,13,Monday,253.405736,25.0,0.098656
2019-04-01,SPY,258.643123,259.96949,258.370564,259.669678,14,Monday,259.163214,25.0,0.096464
2019-04-08,SPY,261.731914,262.467777,261.068717,262.358765,15,Monday,261.906793,25.0,0.095454
2019-04-15,SPY,263.676065,263.776011,262.622229,263.430786,16,Monday,263.376273,25.0,0.094921
2019-04-22,SPY,262.704037,263.857792,262.613184,263.703339,17,Monday,263.219588,25.0,0.094978
2019-04-29,SPY,266.646839,267.500809,266.555986,266.973877,18,Monday,266.919378,25.0,0.093661
2019-05-06,SPY,262.776753,266.465164,262.45878,266.02002,19,Monday,264.430179,25.0,0.094543
2019-05-13,SPY,256.571789,257.543837,254.309665,255.154541,20,Monday,255.894958,25.0,0.097696
2019-05-20,SPY,258.061619,259.787718,257.20765,257.9617,21,Monday,258.254672,25.0,0.096804
2019-05-28,SPY,257.180489,258.143472,254.491408,254.509567,22,Tuesday,256.081234,25.0,0.097625
2019-06-03,SPY,250.11251,251.239011,248.095692,249.440247,23,Monday,249.721865,25.0,0.100111
2019-06-10,SPY,262.885693,264.202994,262.431455,262.522308,24,Monday,263.010613,25.0,0.095053
2019-06-17,SPY,263.021947,263.657891,262.713069,262.885681,25,Monday,263.069647,25.0,0.095032
2019-06-24,SPY,268.600921,268.920412,267.907113,268.062317,26,Monday,268.372691,25.0,0.093154
2019-07-01,SPY,270.837514,271.056628,268.692207,269.906372,27,Monday,270.12318,25.0,0.09255
2019-07-08,SPY,271.138815,272.279933,270.41762,270.965363,28,Monday,271.200433,25.0,0.092183
2019-07-15,SPY,274.899944,274.899944,274.041821,274.55304,29,Monday,274.598687,25.0,0.091042
2019-07-22,SPY,271.686547,272.499036,271.166218,271.951294,30,Monday,271.825774,25.0,0.091971
2019-07-29,SPY,275.58463,275.703311,274.64435,275.201202,31,Monday,275.283373,25.0,0.090816
