Date,Symbol,Buy_Price,Buy_Level,Shares Purchased
2015-08-31,SSO,13.939173,1%,1
2015-09-01,SSO,13.222528,1%,1
2015-09-01,SSO,13.088967,2%,1
2015-09-02,SSO,13.441768,1%,1
2015-09-02,SSO,13.305992,2%,1
2015-09-03,SSO,13.651575,1%,1
2015-09-04,SSO,13.184814,1%,1
2015-09-09,SSO,14.075904,1%,1
2015-09-09,SSO,13.933723,2%,1
2015-09-09,SSO,13.791542,3%,1
2015-09-09,SSO,13.649361,4%,1
2015-09-14,SSO,13.738798,1%,1
2015-09-21,SSO,13.800089,1%,1
2015-09-22,SSO,13.444124,1%,1
2015-09-23,SSO,13.465341,1%,1
2015-09-24,SSO,13.196598,1%,1
2015-09-25,SSO,13.538423,1%,1
2015-09-25,SSO,13.401671,2%,1
2015-09-28,SSO,13.144739,1%,1
2015-09-28,SSO,13.011964,2%,1
2015-09-28,SSO,12.879189,3%,1
2015-09-28,SSO,12.746414,4%,1
2015-09-29,SSO,12.659118,1%,1
2015-10-01,SSO,13.175384,1%,1
2015-10-01,SSO,13.042299,2%,1
2015-10-06,SSO,14.040542,1%,1
2015-10-07,SSO,14.108905,1%,1
2015-10-14,SSO,14.302212,1%,1
2015-10-21,SSO,14.780759,1%,1
2015-10-30,SSO,15.57284,1%,1
2015-11-04,SSO,15.909941,1%,1
2015-11-05,SSO,15.773213,1%,1
2015-11-06,SSO,15.662422,1%,1
2015-11-09,SSO,15.601125,1%,1
2015-11-09,SSO,15.443538,2%,1
2015-11-11,SSO,15.535123,1%,1
2015-11-12,SSO,15.181515,1%,1
2015-11-13,SSO,14.85855,1%,1
2015-11-17,SSO,15.096649,1%,1
2015-11-30,SSO,15.636483,1%,1
2015-12-02,SSO,15.768501,1%,1
2015-12-02,SSO,15.609223,2%,1
2015-12-03,SSO,15.502115,1%,1
2015-12-03,SSO,15.345528,2%,1
2015-12-03,SSO,15.188941,3%,1
2015-12-07,SSO,15.546903,1%,1
2015-12-09,SSO,15.09429,1%,1
2015-12-11,SSO,14.679392,1%,1
2015-12-14,SSO,14.4908,1%,1
2015-12-14,SSO,14.344428,2%,1
2015-12-16,SSO,15.101363,1%,1
2015-12-17,SSO,15.403103,1%,1
2015-12-17,SSO,15.247517,2%,1
2015-12-17,SSO,15.09193,3%,1
2015-12-18,SSO,14.752469,1%,1
2015-12-18,SSO,14.603455,2%,1
2015-12-21,SSO,14.55445,1%,1
2015-12-22,SSO,14.732698,1%,1
2015-12-30,SSO,15.357004,1%,1
2015-12-31,SSO,15.070862,1%,1
2016-01-04,SSO,14.380343,1%,1
2016-01-05,SSO,14.53169,1%,1
2016-01-07,SSO,13.640158,1%,1
2016-01-08,SSO,13.65435,1%,1
2016-01-08,SSO,13.516427,2%,1
2016-01-08,SSO,13.378504,3%,1
2016-01-11,SSO,13.330373,1%,1
2016-01-11,SSO,13.195722,2%,1
2016-01-11,SSO,13.061072,3%,1
2016-01-12,SSO,13.448611,1%,1
2016-01-12,SSO,13.312767,2%,1
2016-01-13,SSO,13.533745,1%,1
2016-01-13,SSO,13.39704,2%,1
2016-01-13,SSO,13.260336,3%,1
2016-01-13,SSO,13.123631,4%,1
2016-01-13,SSO,12.986927,5%,1
2016-01-14,SSO,12.850321,1%,1
2016-01-14,SSO,12.720519,2%,1
2016-01-15,SSO,12.438842,1%,1
2016-01-19,SSO,12.864505,1%,1
2016-01-19,SSO,12.73456,2%,1
2016-01-19,SSO,12.604616,3%,1
2016-01-20,SSO,12.209458,1%,1
2016-01-20,SSO,12.08613,2%,1
2016-01-20,SSO,11.962802,3%,1
2016-01-20,SSO,11.839475,4%,1
2016-01-21,SSO,12.370264,1%,1
2016-01-25,SSO,12.864504,1%,1
2016-01-25,SSO,12.73456,2%,1
2016-01-27,SSO,12.805387,1%,1
2016-01-27,SSO,12.67604,2%,1
2016-01-28,SSO,12.859775,1%,1
2016-01-28,SSO,12.729879,2%,1
2016-02-02,SSO,13.112811,1%,1
2016-02-02,SSO,12.980358,2%,1
2016-02-03,SSO,13.039502,1%,1
2016-02-03,SSO,12.90779,2%,1
2016-02-03,SSO,12.776077,3%,1
2016-02-03,SSO,12.644365,4%,1
2016-02-05,SSO,12.989838,1%,1
2016-02-05,SSO,12.858627,2%,1
2016-02-05,SSO,12.727417,3%,1
2016-02-05,SSO,12.596206,4%,1
2016-02-08,SSO,12.282765,1%,1
2016-02-08,SSO,12.158696,2%,1
2016-02-08,SSO,12.034628,3%,1
2016-02-10,SSO,12.353709,1%,1
2016-02-11,SSO,11.821628,1%,1
2016-02-16,SSO,12.684782,1%,1
2016-02-18,SSO,13.252334,1%,1
2016-02-23,SSO,13.351651,1%,1
2016-02-24,SSO,12.902343,1%,1
2016-02-26,SSO,13.722924,1%,1
2016-02-29,SSO,13.512461,1%,1
2016-03-08,SSO,14.08947,1%,1
2016-03-10,SSO,14.202982,1%,1
2016-03-10,SSO,14.059518,2%,1
2016-03-23,SSO,14.879313,1%,1
2016-04-07,SSO,15.01647,1%,1
2016-04-07,SSO,14.864788,2%,1
2016-04-08,SSO,15.044851,1%,1
2016-04-11,SSO,15.035392,1%,1
2016-04-21,SSO,15.730647,1%,1
2016-04-28,SSO,15.494157,1%,1
2016-04-29,SSO,15.23403,1%,1
2016-05-03,SSO,15.189104,1%,1
2016-05-05,SSO,15.056672,1%,1
2016-05-11,SSO,15.390111,1%,1
2016-05-12,SSO,15.300246,1%,1
