Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,SSO,14.079978,14.222849,13.920438,14.015686,36,Monday,14.059738,100.0,7.112508
2015-09-01,SSO,13.356092,13.598973,13.029869,13.165597,36,Tuesday,13.287633,100.0,7.525795
2015-10-01,SSO,13.308469,13.358473,12.994152,13.315612,40,Thursday,13.244176,100.0,7.550488
2015-11-02,SSO,15.606315,15.95873,15.592029,15.911107,45,Monday,15.767045,100.0,6.342342
2015-12-01,SSO,15.749191,15.961117,15.701568,15.937305,49,Tuesday,15.837295,100.0,6.314209
2016-01-04,SSO,14.525598,14.616367,14.258064,14.616367,1,Monday,14.504099,100.0,6.894603
2016-02-01,SSO,13.331251,13.62267,13.242869,13.500848,5,Monday,13.42441,100.0,7.449117
2016-03-01,SSO,13.637005,14.071745,13.555789,14.066968,9,Tuesday,13.832877,100.0,7.229154
2016-04-01,SSO,15.060663,15.469129,15.005723,15.440464,13,Friday,15.243995,100.0,6.55996
2016-05-02,SSO,15.41419,15.600507,15.34253,15.564678,18,Monday,15.480476,100.0,6.45975
2016-06-01,SSO,15.705606,15.913423,15.674554,15.887147,22,Wednesday,15.795183,100.0,6.331044
2016-07-01,SSO,15.843556,16.013377,15.838773,15.922487,26,Friday,15.904548,100.0,6.28751
2016-08-01,SSO,17.027512,17.096875,16.905527,16.986849,31,Monday,17.004191,100.0,5.880903
2016-09-01,SSO,17.034693,17.087314,16.82421,17.032301,35,Thursday,16.99463,100.0,5.884212
2016-10-03,SSO,16.903683,16.937198,16.78638,16.891712,40,Monday,16.879743,100.0,5.924261
2016-11-01,SSO,16.429684,16.434473,15.917379,16.140017,44,Tuesday,16.230388,100.0,6.161282
2016-12-01,SSO,17.612291,17.612291,17.36332,17.415987,48,Thursday,17.500972,100.0,5.713968
2017-01-03,SSO,18.486771,18.613805,18.299818,18.517931,1,Tuesday,18.479581,100.0,5.411378
2017-02-01,SSO,18.982915,19.042836,18.771994,18.887043,5,Wednesday,18.921197,100.0,5.285078
2017-03-01,SSO,20.361092,21.00584,20.361092,20.900379,9,Wednesday,20.657101,100.0,4.84095
2017-04-03,SSO,20.366016,20.402007,20.037301,20.282038,14,Monday,20.27184,100.0,4.932951
2017-05-01,SSO,20.821896,20.905874,20.740318,20.819496,18,Monday,20.821896,100.0,4.802637
2017-06-01,SSO,21.347364,21.589703,21.294577,21.580105,22,Thursday,21.452937,100.0,4.661366
2017-07-03,SSO,21.666915,21.758174,21.558844,21.558844,27,Monday,21.635694,100.0,4.621992
2017-08-01,SSO,22.447425,22.457031,22.334551,22.413803,31,Tuesday,22.413203,100.0,4.461656
2017-09-01,SSO,22.471436,22.543484,22.425806,22.469034,35,Friday,22.47744,100.0,4.448905
2017-10-02,SSO,23.300389,23.449428,23.285967,23.442215,40,Monday,23.3695,100.0,4.279082
2017-11-01,SSO,24.478273,24.547984,24.293176,24.372503,44,Wednesday,24.422984,100.0,4.094504
2017-12-01,SSO,25.711435,25.809993,24.925381,25.634512,48,Friday,25.52033,100.0,3.918445
2018-01-02,SSO,26.519455,26.700006,26.427974,26.700006,1,Tuesday,26.58686,100.0,3.761256
2018-02-01,SSO,29.080878,29.514201,29.020694,29.208467,5,Thursday,29.20606,100.0,3.423947
2018-03-01,SSO,26.93352,27.263328,25.770767,26.192055,9,Thursday,26.539917,100.0,3.767909
2018-04-02,SSO,25.243475,25.354371,23.727082,24.281567,14,Monday,24.651624,100.0,4.056528
2018-05-01,SSO,25.385714,25.602684,25.038558,25.590631,18,Tuesday,25.404397,100.0,3.936326
2018-06-01,SSO,26.935858,27.242029,26.923803,27.162472,22,Friday,27.06604,100.0,3.694667
2018-07-02,SSO,26.514096,27.018781,26.458556,26.999462,27,Monday,26.747724,100.0,3.738636
2018-08-01,SSO,28.822612,28.955425,28.549744,28.709118,31,Wednesday,28.759225,100.0,3.477145
2018-09-04,SSO,30.454991,30.525019,30.203856,30.45982,36,Tuesday,30.410921,100.0,3.288292
2018-10-01,SSO,31.12655,31.298161,30.887264,31.037121,40,Monday,31.087274,100.0,3.21675
2018-11-01,SSO,26.693713,27.099774,26.449592,27.034513,44,Thursday,26.819398,100.0,3.728644
2018-12-03,SSO,28.257533,28.269617,27.691947,28.032749,49,Monday,28.062962,100.0,3.563416
2019-01-02,SSO,21.787432,22.703623,21.758345,22.524263,1,Wednesday,22.193416,100.0,4.505841
2019-02-01,SSO,26.092075,26.302944,25.917562,26.089651,5,Friday,26.100558,100.0,3.831336
2019-03-01,SSO,28.028684,28.111094,27.703897,28.04565,9,Friday,27.972331,100.0,3.574961
2019-04-01,SSO,29.013483,29.300024,28.952775,29.246601,14,Monday,29.128221,100.0,3.433097
2019-05-01,SSO,30.98041,31.02412,30.36119,30.387901,18,Wednesday,30.688405,100.0,3.25856
2019-06-03,SSO,26.871708,27.119395,26.439467,26.726007,23,Monday,26.789144,100.0,3.732855
2019-07-01,SSO,31.393498,31.442169,30.906817,31.17206,27,Monday,31.228636,100.0,3.202189
2019-08-01,SSO,31.466501,32.157591,30.699977,30.875181,31,Thursday,31.299812,100.0,3.194907
2019-09-03,SSO,29.777709,29.977249,29.497866,29.811777,36,Tuesday,29.766151,100.0,3.359521
2019-10-01,SSO,31.456766,31.605205,30.456632,30.515034,40,Tuesday,31.008409,100.0,3.224932
2019-11-01,SSO,32.841376,33.133385,32.797572,33.133385,44,Friday,32.976429,100.0,3.032469
2019-12-02,SSO,34.875719,34.875719,34.121359,34.225994,49,Monday,34.524698,100.0,2.896477
2020-01-02,SSO,37.151608,37.441703,36.915144,37.431953,1,Thursday,37.235102,100.0,2.685638
2020-02-03,SSO,36.971206,37.612337,36.95658,37.156475,6,Monday,37.174149,100.0,2.690041
2020-03-02,SSO,31.113252,33.473013,30.423365,33.45351,10,Monday,32.115785,100.0,3.113734
2020-04-01,SSO,20.10522,20.691734,19.420954,19.772863,14,Wednesday,19.997693,100.0,5.000577
2020-05-01,SSO,26.236741,26.383369,25.542698,25.760199,18,Friday,25.980752,100.0,3.849003
2020-06-01,SSO,29.579873,30.088185,29.474789,29.963551,23,Monday,29.776599,100.0,3.358342
2020-07-01,SSO,30.765121,31.214783,30.664926,30.955738,27,Wednesday,30.900142,100.0,3.236231
2020-08-03,SSO,34.521259,34.785191,34.399069,34.611683,32,Monday,34.579301,100.0,2.891903
2020-09-01,SSO,39.208493,39.77057,39.008098,39.741241,36,Tuesday,39.432101,100.0,2.536005
2020-10-01,SSO,36.510523,36.720691,35.953334,36.388332,40,Thursday,36.39322,100.0,2.747765
2020-11-02,SSO,34.750967,35.190854,34.130241,34.746078,45,Monday,34.704535,100.0,2.881468
2020-12-01,SSO,42.439196,42.918181,42.297455,42.541836,49,Tuesday,42.549167,100.0,2.350222
2021-01-04,SSO,45.023598,45.057844,42.518756,43.472748,1,Monday,44.018236,100.0,2.271786
2021-02-01,SSO,44.490344,45.346492,43.947301,45.077415,5,Monday,44.715388,100.0,2.236367
2021-03-01,SSO,47.244698,48.536259,47.244698,48.208477,9,Monday,47.808533,100.0,2.091677
2021-04-01,SSO,50.582203,51.17458,50.52835,51.135414,13,Thursday,50.855137,100.0,1.96637
2021-05-03,SSO,55.952777,56.065376,55.487685,55.624767,18,Monday,55.782651,100.0,1.792672
2021-06-01,SSO,56.652859,56.687129,55.756948,55.889133,22,Tuesday,56.246517,100.0,1.777888
2021-07-01,SSO,58.648181,59.113446,58.618796,59.06937,26,Thursday,58.862448,100.0,1.698876
2021-08-02,SSO,61.660174,61.84628,60.832487,60.920643,31,Monday,61.314896,100.0,1.630925
2021-09-01,SSO,65.044377,65.205997,64.760318,64.833786,35,Wednesday,64.96112,100.0,1.539382
2021-10-01,SSO,59.200359,60.586797,58.196052,60.087093,39,Friday,59.517575,100.0,1.680176
2021-11-01,SSO,67.396504,67.504276,66.769416,67.323013,44,Monday,67.248302,100.0,1.487026
2021-12-01,SSO,67.592466,68.469396,64.30029,64.378677,48,Wednesday,66.185207,100.0,1.510912
2022-01-03,SSO,72.211216,72.65246,71.45621,72.608337,1,Monday,72.232056,100.0,1.384427
2022-02-01,SSO,64.391474,65.215124,63.303083,65.038628,5,Tuesday,64.487077,100.0,1.550698
2022-03-01,SSO,59.733958,60.273253,57.53757,58.302383,9,Tuesday,58.961791,100.0,1.696014
2022-04-01,SSO,64.813719,64.843152,63.616734,64.676361,13,Friday,64.487492,100.0,1.550688
2022-05-02,SSO,53.17747,54.178227,51.381992,53.815205,18,Monday,53.138223,100.0,1.881885
