Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,SSO,14.079978,14.222849,13.920438,14.015686,36,Monday,14.059738,25.0,1.778127
2015-09-08,SSO,13.746608,13.97044,13.637074,13.960916,37,Tuesday,13.828759,25.0,1.807827
2015-09-14,SSO,13.877574,13.877574,13.663268,13.739466,38,Monday,13.78947,25.0,1.812978
2015-09-21,SSO,13.939484,14.110929,13.763275,13.93234,39,Monday,13.936507,25.0,1.79385
2015-09-28,SSO,13.277513,13.291801,12.706028,12.74889,40,Monday,13.006058,25.0,1.922181
2015-10-05,SSO,13.908527,14.232369,13.896621,14.19427,41,Monday,14.057947,25.0,1.778354
2015-10-12,SSO,14.622888,14.665749,14.544309,14.62765,42,Monday,14.615149,25.0,1.710554
2015-10-19,SSO,14.77052,14.891961,14.713372,14.880055,43,Monday,14.813977,25.0,1.687595
2015-10-26,SSO,15.465826,15.477733,15.358673,15.425346,44,Monday,15.431895,25.0,1.620021
2015-11-02,SSO,15.606315,15.95873,15.592029,15.911107,45,Monday,15.767045,25.0,1.585586
2015-11-09,SSO,15.758717,15.780147,15.399157,15.572985,46,Monday,15.627752,25.0,1.599718
2015-11-16,SSO,14.710988,15.196751,14.689558,15.187226,47,Monday,14.946131,25.0,1.672674
2015-11-23,SSO,15.739665,15.837294,15.615844,15.701567,48,Monday,15.723592,25.0,1.589967
2015-11-30,SSO,15.794428,15.820621,15.6206,15.642032,49,Monday,15.71942,25.0,1.590389
2015-12-07,SSO,15.703946,15.703946,15.396774,15.563457,50,Monday,15.592031,25.0,1.603383
2015-12-14,SSO,14.637172,14.763375,14.325236,14.75385,51,Monday,14.619908,25.0,1.709997
2015-12-21,SSO,14.701466,14.758614,14.503827,14.720515,52,Monday,14.671106,25.0,1.70403
2015-12-28,SSO,15.182486,15.246981,15.055885,15.244592,53,Monday,15.182486,25.0,1.646634
2016-01-04,SSO,14.525598,14.616367,14.258064,14.616367,1,Monday,14.504099,25.0,1.723651
2016-01-11,SSO,13.46502,13.512794,13.015948,13.321699,2,Monday,13.328865,25.0,1.875629
2016-01-19,SSO,12.994451,13.030281,12.502381,12.74125,3,Tuesday,12.817091,25.0,1.950521
2016-01-25,SSO,12.994451,13.027892,12.650479,12.693476,4,Monday,12.841574,25.0,1.946802
2016-02-01,SSO,13.331251,13.62267,13.242869,13.500848,5,Monday,13.42441,25.0,1.862279
2016-02-08,SSO,12.40683,12.447438,12.000754,12.351891,6,Monday,12.301728,25.0,2.032235
2016-02-16,SSO,12.812911,12.927568,12.643315,12.915625,7,Tuesday,12.824855,25.0,1.94934
2016-02-22,SSO,13.476963,13.632228,13.472186,13.601174,8,Monday,13.545638,25.0,1.845613
2016-02-29,SSO,13.64895,13.801826,13.405304,13.405304,9,Monday,13.565346,25.0,1.842931
2016-03-07,SSO,14.229401,14.482602,14.227013,14.420496,10,Monday,14.339878,25.0,1.74339
2016-03-14,SSO,14.630703,14.762081,14.575764,14.67131,11,Monday,14.659964,25.0,1.705325
2016-03-21,SSO,15.058276,15.187265,15.022445,15.146657,12,Monday,15.103661,25.0,1.655228
2016-03-28,SSO,14.960339,14.991391,14.824184,14.898232,13,Monday,14.918537,25.0,1.675768
2016-04-04,SSO,15.430909,15.461963,15.285199,15.342528,14,Monday,15.38015,25.0,1.625472
2016-04-11,SSO,15.187263,15.297143,14.984225,14.998557,15,Monday,15.116797,25.0,1.653789
2016-04-18,SSO,15.438073,15.772489,15.435686,15.765324,16,Monday,15.602893,25.0,1.602267
2016-04-25,SSO,15.614835,15.667385,15.509732,15.662608,17,Monday,15.61364,25.0,1.601164
2016-05-02,SSO,15.41419,15.600507,15.34253,15.564678,18,Monday,15.480476,25.0,1.614937
2016-05-09,SSO,15.199208,15.325809,15.175321,15.261313,19,Monday,15.240413,25.0,1.640376
2016-05-16,SSO,15.110826,15.457186,15.096495,15.371193,20,Monday,15.258925,25.0,1.638385
2016-05-23,SSO,15.180097,15.227871,15.101271,15.129935,21,Monday,15.159794,25.0,1.649099
2016-05-31,SSO,15.925366,15.949253,15.717552,15.822653,22,Tuesday,15.853706,25.0,1.576918
2016-06-06,SSO,15.951646,16.104522,15.918205,16.049583,23,Monday,16.005989,25.0,1.561915
2016-06-13,SSO,15.741438,15.889535,15.583784,15.602894,24,Monday,15.704413,25.0,1.591909
2016-06-20,SSO,15.813095,15.927752,15.650664,15.662608,25,Monday,15.76353,25.0,1.585939
2016-06-27,SSO,14.716999,14.716999,14.279293,14.40606,26,Monday,14.529838,25.0,1.720597
2016-07-05,SSO,15.786153,15.79572,15.592414,15.697654,27,Tuesday,15.717985,25.0,1.590535
2016-07-11,SSO,16.427167,16.551542,16.384114,16.45587,28,Monday,16.454673,25.0,1.519325
2016-07-18,SSO,16.848126,16.946191,16.800288,16.91749,29,Monday,16.878024,25.0,1.481216
2016-07-25,SSO,17.001204,17.013162,16.843342,16.958151,30,Monday,16.953965,25.0,1.474581
2016-08-01,SSO,17.027512,17.096875,16.905527,16.986849,31,Monday,17.004191,25.0,1.470226
2016-08-08,SSO,17.21647,17.230821,17.108836,17.161457,32,Monday,17.179396,25.0,1.455232
2016-08-15,SSO,17.283444,17.379118,17.281051,17.314537,33,Monday,17.314538,25.0,1.443873
2016-08-22,SSO,17.178199,17.264305,17.111227,17.223644,34,Monday,17.194344,25.0,1.453967
2016-08-29,SSO,17.04904,17.235604,17.037082,17.185375,35,Monday,17.126775,25.0,1.459703
