Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD83-17,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD83-17_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
AAPL,2012-01-03,12.24500499717948,12.337724589561564,12.233040869643702,12.299738883972168,302220800,2012,1,1,Tuesday,12.2789,12.113399505615234,1.54,1.09,0.99,1.54,-0.99,0,0.0,11.9923,11.8711,11.75,11.6289,11.5077,11.3866,11.2655,11.1443,11.0232,10.9021,10.7809,10.6598,10.5387,10.4175,10.2964,10.1753,10.0541,9.933,9.8119,9.6907,9.5696,9.4485,9.3273,9.2062,9.085,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2012-01-04,12.262948009649527,12.40292588774574,12.241413381535732,12.365837097167969,260022000,2012,1,1,Wednesday,12.3183,12.299738883972168,0.54,-0.3,-0.47,0.54,0.47,0,0.0,12.1767,12.0537,11.9307,11.8077,11.6848,11.5618,11.4388,11.3158,11.1928,11.0698,10.9468,10.8238,10.7008,10.5778,10.4548,10.3318,10.2088,10.0858,9.9628,9.8398,9.7168,9.5938,9.4708,9.3478,9.2248,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2012-01-05,12.410999064633486,12.518672984712728,12.34280435728446,12.50312042236328,271269600,2012,1,1,Thursday,12.4439,12.365837097167969,1.11,0.37,-0.19,1.11,0.19,0,0.0,12.2422,12.1185,11.9949,11.8712,11.7475,11.6239,11.5002,11.3766,11.2529,11.1293,11.0056,10.8819,10.7583,10.6346,10.511,10.3873,10.2636,10.14,10.0163,9.8927,9.769,9.6454,9.5217,9.398,9.2744,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2012-01-06,12.555166977704031,12.644297328712833,12.5387167022535,12.633829116821287,318292800,2012,1,1,Friday,12.593,12.50312042236328,1.05,0.42,0.28,1.05,-0.28,0,0.0,12.3781,12.2531,12.128,12.003,11.878,11.7529,11.6279,11.5029,11.3778,11.2528,11.1278,11.0027,10.8777,10.7527,10.6277,10.5026,10.3776,10.2526,10.1275,10.0025,9.8775,9.7524,9.6274,9.5024,9.3773,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2012-01-09,12.726546572814604,12.793842775666707,12.602420779243994,12.613786697387695,394024400,2012,1,2,Monday,12.6841,12.633829116821287,-0.16,0.73,-0.25,-0.16,0.25,0,0.0,12.5075,12.3812,12.2548,12.1285,12.0021,11.8758,11.7495,11.6231,11.4968,11.3704,11.2441,11.1178,10.9914,10.8651,10.7388,10.6124,10.4861,10.3597,10.2334,10.1071,9.9807,9.8544,9.728,9.6017,9.4754,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2012-01-10,12.738809343744252,12.741501671218955,12.606907660334263,12.658950805664062,258196400,2012,1,2,Tuesday,12.6865,12.613786697387695,0.36,0.99,-0.05,0.36,0.05,0,0.0,12.4876,12.3615,12.2354,12.1092,11.9831,11.857,11.7308,11.6047,11.4785,11.3524,11.2263,11.1001,10.974,10.8479,10.7217,10.5956,10.4694,10.3433,10.2172,10.091,9.9649,9.8388,9.7126,9.5865,9.4603,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2012-01-11,12.64220409673022,12.647289250449877,12.541409114025395,12.63831615447998,215084800,2012,1,2,Wednesday,12.6173,12.658950805664062,-0.16,-0.13,-0.93,-0.16,0.93,0,0.0,12.5324,12.4058,12.2792,12.1526,12.026,11.8994,11.7728,11.6462,11.5196,11.3931,11.2665,11.1399,11.0133,10.8867,10.7601,10.6335,10.5069,10.3803,10.2538,10.1272,10.0006,9.874,9.7474,9.6208,9.4942,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2012-01-12,12.63024126928078,12.64878486968193,12.524659832523517,12.60362148284912,212587200,2012,1,2,Thursday,12.6018,12.63831615447998,-0.27,-0.06,-0.9,-0.27,0.9,0,0.0,12.5119,12.3855,12.2592,12.1328,12.0064,11.88,11.7536,11.6273,11.5009,11.3745,11.2481,11.1217,10.9953,10.869,10.7426,10.6162,10.4898,10.3634,10.237,10.1107,9.9843,9.8579,9.7315,9.6051,9.4787,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2012-01-13,12.553074168691898,12.575505709946343,12.521967436911718,12.556363105773926,226021600,2012,1,2,Friday,12.5517,12.60362148284912,-0.37,-0.4,-0.65,-0.37,0.65,0,0.0,12.4776,12.3515,12.2255,12.0995,11.9734,11.8474,11.7214,11.5953,11.4693,11.3433,11.2172,11.0912,10.9652,10.8391,10.7131,10.587,10.461,10.335,10.2089,10.0829,9.9569,9.8308,9.7048,9.5788,9.4527,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2012-01-17,12.687661538059109,12.74120058836085,12.65057355597718,12.702616691589355,242897200,2012,1,3,Tuesday,12.6955,12.556363105773926,1.16,1.05,0.75,1.16,-0.75,0,0.0,12.4308,12.3052,12.1797,12.0541,11.9285,11.803,11.6774,11.5519,11.4263,11.3007,11.1752,11.0496,10.924,10.7985,10.6729,10.5473,10.4218,10.2962,10.1707,10.0451,9.9195,9.794,9.6684,9.5428,9.4173,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
