Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,Shares_Purchased,Total_Value_Purchased,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
AAPL,2019-01-02 05:00:00+00:00,36.78414211195393,37.72458662290483,36.62740075617171,37.50372314453125,148158800,2019,1,1,Wednesday,37.16,37.46098709106445,0.11,-1.81,-2.23,0.11,2.23,37.0864,36.7118,36.3372,35.9625,35.5879,35.2133,34.8387,34.4641,34.0895,33.7149,33.3403,32.9657,32.5911,32.2164,31.8418,31.4672,30.718,30.3434,29.9688,29.5942,29.2196,28.845,28.4704,28.0957,2,73.7981,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2019-01-03 05:00:00+00:00,34.19317934017915,34.6064056330403,33.72295881640133,33.76808166503906,365248800,2019,1,1,Thursday,34.0727,37.50372314453125,-9.96,-8.83,-10.08,-9.96,10.08,37.1287,36.7536,36.3786,36.0036,35.6285,35.2535,34.8785,34.5034,34.1284,33.7534,33.3783,33.0033,32.6282,32.2532,31.8782,31.5031,30.7531,30.378,30.003,29.6279,29.2529,28.8779,28.5028,28.1278,10,354.4102,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2019-01-04 05:00:00+00:00,34.32379724419946,35.27849047559891,34.1504337518255,35.209617614746094,234428400,2019,1,1,Friday,34.7406,33.76808166503906,4.27,1.65,1.13,4.27,-1.13,33.4304,33.0927,32.755,32.4174,32.0797,31.742,31.4043,31.0666,30.729,30.3913,30.0536,29.7159,29.3782,29.0406,28.7029,28.3652,27.6898,27.3521,27.0145,26.6768,26.3391,26.0014,25.6637,25.3261,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2019-01-07 05:00:00+00:00,35.314113428905806,35.34498772125398,34.649152921842216,35.131248474121094,219111200,2019,1,1,Monday,35.1099,35.209617614746094,-0.22,0.3,-1.59,-0.22,1.59,34.8575,34.5054,34.1533,33.8012,33.4491,33.097,32.7449,32.3928,32.0408,31.6887,31.3366,30.9845,30.6324,30.2803,29.9282,29.5761,28.8719,28.5198,28.1677,27.8156,27.4635,27.1114,26.7593,26.4072,1,34.8575,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2019-01-08 05:00:00+00:00,35.518340693165854,36.05506039185335,35.2713572988194,35.80094909667969,164101200,2019,1,1,Tuesday,35.6614,35.131248474121094,1.91,1.1,0.4,1.91,-0.4,34.7799,34.4286,34.0773,33.726,33.3747,33.0234,32.6721,32.3207,31.9694,31.6181,31.2668,30.9155,30.5642,30.2129,29.8616,29.5102,28.8076,28.4563,28.105,27.7537,27.4024,27.0511,26.6997,26.3484,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2019-01-09 05:00:00+00:00,35.92920207933708,36.698656883144814,35.53497865783523,36.4089241027832,180396400,2019,1,1,Wednesday,36.1429,35.80094909667969,1.7,0.36,-0.74,1.7,0.74,35.4429,35.0849,34.7269,34.3689,34.0109,33.6529,33.2949,32.9369,32.5789,32.2209,31.8628,31.5048,31.1468,30.7888,30.4308,30.0728,29.3568,28.9988,28.6408,28.2827,27.9247,27.5667,27.2087,26.8507,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2019-01-10 05:00:00+00:00,36.2165556097032,36.56565974711911,35.82707935334201,36.52528762817383,143122800,2019,1,1,Thursday,36.2836,36.4089241027832,0.32,-0.53,-1.6,0.32,1.6,36.0448,35.6807,35.3167,34.9526,34.5885,34.2244,33.8603,33.4962,33.1321,32.768,32.4039,32.0399,31.6758,31.3117,30.9476,30.5835,29.8553,29.4912,29.1271,28.7631,28.399,28.0349,27.6708,27.3067,1,36.0448,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2019-01-11 05:00:00+00:00,36.306798636311406,36.50153493832651,35.98144090958733,36.16667938232422,108092800,2019,1,1,Friday,36.2391,36.52528762817383,-0.98,-0.6,-1.49,-0.98,1.49,36.16,35.7948,35.4295,35.0643,34.699,34.3338,33.9685,33.6033,33.238,32.8728,32.5075,32.1423,31.777,31.4117,31.0465,30.6812,29.9507,29.5855,29.2202,28.855,28.4897,28.1245,27.7592,27.394,1,36.16,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2019-01-14 05:00:00+00:00,35.824705095839064,35.924448615457706,35.43760239866407,35.622840881347656,129756800,2019,1,2,Monday,35.7024,36.16667938232422,-1.5,-0.95,-2.02,-1.5,2.02,35.805,35.4433,35.0817,34.72,34.3583,33.9967,33.635,33.2733,32.9117,32.55,32.1883,31.8267,31.465,31.1033,30.7417,30.38,29.6567,29.295,28.9333,28.5717,28.21,27.8483,27.4867,27.125,2,71.2484,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2019-01-15 05:00:00+00:00,35.68696070331559,36.42791458616587,35.634713583499995,36.35192108154297,114843600,2019,1,2,Tuesday,36.0254,35.622840881347656,2.05,0.18,0.03,2.05,-0.03,35.2666,34.9104,34.5542,34.1979,33.8417,33.4855,33.1292,32.773,32.4168,32.0606,31.7043,31.3481,30.9919,30.6356,30.2794,29.9232,29.2107,28.8545,28.4983,28.142,27.7858,27.4296,27.0734,26.7171,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
