Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD83-17,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD83-17_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
AMZN,2018-01-02 05:00:00+00:00,58.59999847412109,59.5,58.5255012512207,59.45050048828125,53890000,2018,1,1,Tuesday,59.019,58.4734992980957,1.67,0.22,0.09,1.67,-0.09,0,0.0,57.8888,57.304,56.7193,56.1346,55.5498,54.9651,54.3804,53.7956,53.2109,52.6261,52.0414,51.4567,50.8719,50.2872,49.7025,49.1177,48.533,47.9483,47.3635,46.7788,46.1941,45.6093,45.0246,44.4399,43.8551,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMZN,2018-01-03 05:00:00+00:00,59.415000915527344,60.27450180053711,59.415000915527344,60.209999084472656,62176000,2018,1,1,Wednesday,59.8286,59.45050048828125,1.28,-0.06,-0.06,1.28,0.06,0,0.0,58.856,58.2615,57.667,57.0725,56.478,55.8835,55.289,54.6945,54.1,53.5055,52.9109,52.3164,51.7219,51.1274,50.5329,49.9384,49.3439,48.7494,48.1549,47.5604,46.9659,46.3714,45.7769,45.1824,44.5879,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMZN,2018-01-04 05:00:00+00:00,60.25,60.79349899291992,60.233001708984375,60.47949981689453,60442000,2018,1,1,Thursday,60.439,60.209999084472656,0.45,0.07,0.04,0.45,-0.04,0,0.0,59.6079,59.0058,58.4037,57.8016,57.1995,56.5974,55.9953,55.3932,54.7911,54.189,53.5869,52.9848,52.3827,51.7806,51.1785,50.5764,49.9743,49.3722,48.7701,48.168,47.5659,46.9638,46.3617,45.7596,45.1575,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMZN,2018-01-05 05:00:00+00:00,60.8754997253418,61.45700073242188,60.5,61.45700073242188,70894000,2018,1,1,Friday,61.0724,60.47949981689453,1.62,0.65,0.03,1.62,-0.03,0,0.0,59.8747,59.2699,58.6651,58.0603,57.4555,56.8507,56.2459,55.6411,55.0363,54.4315,53.8268,53.222,52.6172,52.0124,51.4076,50.8028,50.198,49.5932,48.9884,48.3836,47.7788,47.174,46.5692,45.9644,45.3596,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMZN,2018-01-08 05:00:00+00:00,61.79999923706055,62.65399932861328,61.60150146484375,62.34349822998047,85590000,2018,1,2,Monday,62.0997,61.45700073242188,1.44,0.56,0.24,1.44,-0.24,0,0.0,60.8424,60.2279,59.6133,58.9987,58.3842,57.7696,57.155,56.5404,55.9259,55.3113,54.6967,54.0822,53.4676,52.853,52.2385,51.6239,51.0093,50.3947,49.7802,49.1656,48.551,47.9365,47.3219,46.7073,46.0928,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMZN,2018-01-09 05:00:00+00:00,62.845001220703125,62.96649932861328,62.0880012512207,62.6349983215332,73226000,2018,1,2,Tuesday,62.6336,62.34349822998047,0.47,0.8,-0.41,0.47,0.41,0,0.0,61.7201,61.0966,60.4732,59.8498,59.2263,58.6029,57.9795,57.356,56.7326,56.1091,55.4857,54.8623,54.2388,53.6154,52.992,52.3685,51.7451,51.1217,50.4982,49.8748,49.2514,48.6279,48.0045,47.3811,46.7576,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMZN,2018-01-10 05:00:00+00:00,62.25749969482422,62.71649932861328,61.86149978637695,62.71649932861328,53720000,2018,1,2,Wednesday,62.388,62.6349983215332,0.13,-0.6,-1.23,0.13,1.23,1,62.0086,62.0086,61.3823,60.7559,60.1296,59.5032,58.8769,58.2505,57.6242,56.9978,56.3715,55.7451,55.1188,54.4924,53.8661,53.2397,52.6134,51.987,51.3607,50.7343,50.108,49.4816,48.8553,48.2289,47.6026,46.9762,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMZN,2018-01-11 05:00:00+00:00,62.98699951171875,63.8385009765625,62.823001861572266,63.83399963378906,62500000,2018,1,2,Thursday,63.3706,62.71649932861328,1.78,0.43,0.17,1.78,-0.17,0,0.0,62.0893,61.4622,60.835,60.2078,59.5807,58.9535,58.3263,57.6992,57.072,56.4448,55.8177,55.1905,54.5634,53.9362,53.309,52.6819,52.0547,51.4275,50.8004,50.1732,49.546,48.9189,48.2917,47.6645,47.0374,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMZN,2018-01-12 05:00:00+00:00,63.66949844360352,65.28800201416016,63.66949844360352,65.26000213623047,108874000,2018,1,2,Friday,64.4718,63.83399963378906,2.23,-0.26,-0.26,2.23,0.26,0,0.0,63.1957,62.5573,61.919,61.2806,60.6423,60.004,59.3656,58.7273,58.0889,57.4506,56.8123,56.1739,55.5356,54.8972,54.2589,53.6206,52.9822,52.3439,51.7055,51.0672,50.4289,49.7905,49.1522,48.5138,47.8755,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMZN,2018-01-16 05:00:00+00:00,66.1500015258789,66.99700164794922,64.61499786376953,65.24299621582031,144414000,2018,1,3,Tuesday,65.7512,65.26000213623047,-0.03,1.36,-0.99,-0.03,0.99,0,0.0,64.6074,63.9548,63.3022,62.6496,61.997,61.3444,60.6918,60.0392,59.3866,58.734,58.0814,57.4288,56.7762,56.1236,55.471,54.8184,54.1658,53.5132,52.8606,52.208,51.5554,50.9028,50.2502,49.5976,48.945,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
