Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,Shares_Purchased,Total_Value_Purchased,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
ARKK,2023-01-03 05:00:00+00:00,31.57665612698793,31.884093523859587,29.7717093858047,30.20806884765625,24764600,2023,1,1,Tuesday,30.8601,30.981618881225582,-2.5,1.92,-3.91,-2.5,3.91,30.6718,30.362,30.0522,29.7424,29.4325,29.1227,28.8129,28.5031,28.1933,27.8835,27.5736,27.2638,26.954,26.6442,26.3344,26.0246,25.4049,25.0951,24.7853,24.4755,24.1657,23.8558,23.546,23.2362,3,91.086,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARKK,2023-01-04 05:00:00+00:00,30.634512564374432,31.67582929751072,30.317159541862765,31.517152786254883,24025500,2023,1,1,Wednesday,31.0362,30.20806884765625,4.33,1.41,0.36,4.33,-0.36,29.906,29.6039,29.3018,28.9997,28.6977,28.3956,28.0935,27.7914,27.4893,27.1873,26.8852,26.5831,26.281,25.9789,25.6769,25.3748,24.7706,24.4685,24.1665,23.8644,23.5623,23.2602,22.9581,22.6561,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARKK,2023-01-05 05:00:00+00:00,31.130377910548145,31.170047985137085,30.29732525991309,30.7634391784668,15689500,2023,1,1,Thursday,30.8403,31.517152786254883,-2.39,-1.23,-3.87,-2.39,3.87,31.202,30.8868,30.5716,30.2565,29.9413,29.6261,29.311,28.9958,28.6806,28.3654,28.0503,27.7351,27.4199,27.1048,26.7896,26.4744,25.8441,25.5289,25.2137,24.8986,24.5834,24.2682,23.953,23.6379,3,92.6604,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARKK,2023-01-06 05:00:00+00:00,30.674182849956185,31.41797971094805,29.80146014044472,31.11054420471192,24596200,2023,1,1,Friday,30.751,30.7634391784668,1.13,-0.29,-3.13,1.13,3.13,30.4558,30.1482,29.8405,29.5329,29.2253,28.9176,28.61,28.3024,27.9947,27.6871,27.3795,27.0718,26.7642,26.4566,26.1489,25.8413,25.226,24.9184,24.6108,24.3031,23.9955,23.6878,23.3802,23.0726,3,90.4445,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARKK,2023-01-09 05:00:00+00:00,32.161777112060456,33.173341313975044,31.75516830588223,32.53863525390625,25848500,2023,1,2,Monday,32.4072,31.11054420471192,4.59,3.38,2.07,4.59,-2.07,30.7994,30.4883,30.1772,29.8661,29.555,29.2439,28.9328,28.6217,28.3106,27.9995,27.6884,27.3773,27.0662,26.7551,26.444,26.1329,25.5106,25.1995,24.8884,24.5773,24.2662,23.9551,23.644,23.3329,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARKK,2023-01-10 05:00:00+00:00,32.37004005492285,33.36176924181704,32.32045435220746,33.34193420410156,18974600,2023,1,2,Tuesday,32.8485,32.53863525390625,2.47,-0.52,-0.67,2.47,0.67,32.2132,31.8879,31.5625,31.2371,30.9117,30.5863,30.2609,29.9355,29.6102,29.2848,28.9594,28.634,28.3086,27.9832,27.6578,27.3325,26.6817,26.3563,26.0309,25.7055,25.3801,25.0547,24.7294,24.404,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARKK,2023-01-11 05:00:00+00:00,33.649370433109766,34.472503662109375,33.18325652101998,34.472503662109375,22832100,2023,1,2,Wednesday,33.9444,33.34193420410156,3.39,0.92,-0.48,3.39,0.48,33.0085,32.6751,32.3417,32.0083,31.6748,31.3414,31.008,30.6746,30.3412,30.0077,29.6743,29.3409,29.0075,28.6741,28.3406,28.0072,27.3404,27.007,26.6735,26.3401,26.0067,25.6733,25.3399,25.0065,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARKK,2023-01-12 05:00:00+00:00,34.61134801749014,35.20638397994903,33.10391929169504,35.196468353271484,26598200,2023,1,2,Thursday,34.5295,34.472503662109375,2.1,0.4,-3.97,2.1,3.97,34.1278,33.7831,33.4383,33.0936,32.7489,32.4042,32.0594,31.7147,31.37,31.0253,30.6805,30.3358,29.9911,29.6464,29.3016,28.9569,28.2675,27.9227,27.578,27.2333,26.8886,26.5438,26.1991,25.8544,3,101.3492,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARKK,2023-01-13 05:00:00+00:00,34.375314025134465,35.72208388486886,34.323745956306965,35.69233322143555,26437400,2023,1,2,Friday,35.0284,35.196468353271484,1.41,-2.33,-2.48,1.41,2.48,34.8445,34.4925,34.1406,33.7886,33.4366,33.0847,32.7327,32.3808,32.0288,31.6768,31.3249,30.9729,30.6209,30.269,29.917,29.565,28.8611,28.5091,28.1572,27.8052,27.4532,27.1013,26.7493,26.3974,2,69.337,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARKK,2023-01-17 05:00:00+00:00,35.92042884186729,36.81298275276736,35.17663202454412,36.733646392822266,19280800,2023,1,3,Tuesday,36.1609,35.69233322143555,2.92,0.64,-1.44,2.92,1.44,35.3354,34.9785,34.6216,34.2646,33.9077,33.5508,33.1939,32.8369,32.48,32.1231,31.7662,31.4093,31.0523,30.6954,30.3385,29.9816,29.2677,28.9108,28.5539,28.1969,27.84,27.4831,27.1262,26.7692,1,35.3354,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARKK,2023-01-18 05:00:00+00:00,37.27909940741216,37.695623840173184,35.63282914732267,35.65266418457031,29263000,2023,1,3,Wednesday,36.5651,36.733646392822266,-2.94,1.48,-3.0,-2.94,3.0,36.3663,35.999,35.6316,35.2643,34.897,34.5296,34.1623,33.795,33.4276,33.0603,32.6929,32.3256,31.9583,31.5909,31.2236,30.8563,30.1216,29.7543,29.3869,29.0196,28.6522,28.2849,27.9176,27.5502,2,72.3653,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARKK,2023-01-19 05:00:00+00:00,35.01200702725615,35.31547590735969,34.150194903811624,34.50225830078125,24398300,2023,1,3,Thursday,34.745,35.65266418457031,-3.23,-1.8,-4.21,-3.23,4.21,35.2961,34.9396,34.5831,34.2266,33.87,33.5135,33.157,32.8005,32.4439,32.0874,31.7309,31.3743,31.0178,30.6613,30.3048,29.9482,29.2352,28.8787,28.5221,28.1656,27.8091,27.4526,27.096,26.7395,4,139.0454,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARKK,2023-01-20 05:00:00+00:00,35.03779124587532,36.31711892162255,34.52209165508537,36.19811248779297,25075100,2023,1,3,Friday,35.5188,34.50225830078125,4.92,1.55,0.06,4.92,-0.06,34.1572,33.8122,33.4672,33.1222,32.7771,32.4321,32.0871,31.7421,31.3971,31.052,30.707,30.362,30.017,29.6719,29.3269,28.9819,28.2919,27.9468,27.6018,27.2568,26.9118,26.5667,26.2217,25.8767,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
