Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD83-17,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD83-17_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
ARKK,2024-01-02 05:00:00+00:00,51.79999923706055,51.84000015258789,50.21500015258789,50.5,24389200,2024,1,1,Tuesday,51.0887,52.369998931884766,-3.57,-1.09,-4.11,-3.57,4.11,4,204.243,51.8463,51.3226,50.7989,50.2752,49.7515,49.2278,48.7041,48.1804,47.6567,47.133,46.6093,46.0856,45.5619,45.0382,44.5145,43.9908,43.4671,42.9434,42.4197,41.896,41.3723,40.8486,40.3249,39.8012,39.2775,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARKK,2024-01-03 05:00:00+00:00,49.23500061035156,49.459999084472656,48.369998931884766,48.52000045776367,27345600,2024,1,1,Wednesday,48.8962,50.5,-3.92,-2.5,-4.22,-3.92,4.22,4,196.95,49.995,49.49,48.985,48.48,47.975,47.47,46.965,46.46,45.955,45.45,44.945,44.44,43.935,43.43,42.925,42.42,41.915,41.41,40.905,40.4,39.895,39.39,38.885,38.38,37.875,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARKK,2024-01-04 05:00:00+00:00,48.40999984741211,49.38999938964844,48.06999969482422,48.90999984741211,16950600,2024,1,1,Thursday,48.695,48.52000045776367,0.8,-0.23,-0.93,0.8,0.93,0,0.0,48.0348,47.5496,47.0644,46.5792,46.094,45.6088,45.1236,44.6384,44.1532,43.668,43.1828,42.6976,42.2124,41.7272,41.242,40.7568,40.2716,39.7864,39.3012,38.816,38.3308,37.8456,37.3604,36.8752,36.39,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARKK,2024-01-05 05:00:00+00:00,48.35200119018555,49.34999847412109,48.16999816894531,48.900001525878906,17077900,2024,1,1,Friday,48.693,48.90999984741211,-0.02,-1.14,-1.51,-0.02,1.51,1,48.4209,48.4209,47.9318,47.4427,46.9536,46.4645,45.9754,45.4863,44.9972,44.5081,44.019,43.5299,43.0408,42.5517,42.0626,41.5735,41.0844,40.5953,40.1062,39.6171,39.128,38.6389,38.1498,37.6607,37.1716,36.6825,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARKK,2024-01-08 05:00:00+00:00,48.970001220703125,50.375,48.70000076293945,50.27999877929688,16536500,2024,1,2,Monday,49.5813,48.900001525878906,2.82,0.14,-0.41,2.82,0.41,0,0.0,48.411,47.922,47.433,46.944,46.455,45.966,45.477,44.988,44.499,44.01,43.521,43.032,42.543,42.054,41.565,41.076,40.587,40.098,39.609,39.12,38.631,38.142,37.653,37.164,36.675,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARKK,2024-01-09 05:00:00+00:00,49.70000076293945,50.15900039672852,49.369998931884766,49.5,13039100,2024,1,2,Tuesday,49.6823,50.27999877929688,-1.55,-1.15,-1.81,-1.55,1.81,1,49.7772,49.7772,49.2744,48.7716,48.2688,47.766,47.2632,46.7604,46.2576,45.7548,45.252,44.7492,44.2464,43.7436,43.2408,42.738,42.2352,41.7324,41.2296,40.7268,40.224,39.7212,39.2184,38.7156,38.2128,37.71,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARKK,2024-01-10 05:00:00+00:00,49.5,49.79999923706055,48.52000045776367,49.34999847412109,15628700,2024,1,2,Wednesday,49.2925,49.5,-0.3,0.0,-1.98,-0.3,1.98,1,49.005,49.005,48.51,48.015,47.52,47.025,46.53,46.035,45.54,45.045,44.55,44.055,43.56,43.065,42.57,42.075,41.58,41.085,40.59,40.095,39.6,39.105,38.61,38.115,37.62,37.125,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARKK,2024-01-11 05:00:00+00:00,49.40999984741211,49.540000915527344,47.380001068115234,48.18000030517578,21393200,2024,1,2,Thursday,48.6275,49.34999847412109,-2.37,0.12,-3.99,-2.37,3.99,3,145.089,48.8565,48.363,47.8695,47.376,46.8825,46.389,45.8955,45.402,44.9085,44.415,43.9215,43.428,42.9345,42.441,41.9475,41.454,40.9605,40.467,39.9735,39.48,38.9865,38.493,37.9995,37.506,37.0125,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARKK,2024-01-12 05:00:00+00:00,48.02999877929688,48.900001525878906,47.32400131225586,47.380001068115234,14080300,2024,1,2,Friday,47.9085,48.18000030517578,-1.66,-0.31,-1.78,-1.66,1.78,1,47.6982,47.6982,47.2164,46.7346,46.2528,45.771,45.2892,44.8074,44.3256,43.8438,43.362,42.8802,42.3984,41.9166,41.4348,40.953,40.4712,39.9894,39.5076,39.0258,38.544,38.0622,37.5804,37.0986,36.6168,36.135,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARKK,2024-01-16 05:00:00+00:00,46.71200180053711,47.18000030517578,46.040000915527344,46.7599983215332,17273000,2024,1,3,Tuesday,46.673,47.380001068115234,-1.31,-1.41,-2.83,-1.31,2.83,2,93.3386,46.9062,46.4324,45.9586,45.4848,45.011,44.5372,44.0634,43.5896,43.1158,42.642,42.1682,41.6944,41.2206,40.7468,40.273,39.7992,39.3254,38.8516,38.3778,37.904,37.4302,36.9564,36.4826,36.0088,35.535,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARKK,2024-01-17 05:00:00+00:00,45.93999862670898,45.9900016784668,45.20000076293945,45.91999816894531,15512800,2024,1,3,Wednesday,45.7625,46.7599983215332,-1.8,-1.75,-3.34,-1.8,3.34,3,137.4744,46.2924,45.8248,45.3572,44.8896,44.422,43.9544,43.4868,43.0192,42.5516,42.084,41.6164,41.1488,40.6812,40.2136,39.746,39.2784,38.8108,38.3432,37.8756,37.408,36.9404,36.4728,36.0052,35.5376,35.07,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARKK,2024-01-18 05:00:00+00:00,46.45000076293945,46.56499862670898,45.08000183105469,45.65999984741211,18101400,2024,1,3,Thursday,45.9388,45.91999816894531,-0.57,1.15,-1.83,-0.57,1.83,1,45.4608,45.4608,45.0016,44.5424,44.0832,43.624,43.1648,42.7056,42.2464,41.7872,41.328,40.8688,40.4096,39.9504,39.4912,39.032,38.5728,38.1136,37.6544,37.1952,36.736,36.2768,35.8176,35.3584,34.8992,34.44,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARKK,2024-01-19 05:00:00+00:00,45.91999816894531,46.29999923706055,45.02000045776367,46.27999877929688,16684600,2024,1,3,Friday,45.88,45.65999984741211,1.36,0.57,-1.4,1.36,1.4,1,45.2034,45.2034,44.7468,44.2902,43.8336,43.377,42.9204,42.4638,42.0072,41.5506,41.094,40.6374,40.1808,39.7242,39.2676,38.811,38.3544,37.8978,37.4412,36.9846,36.528,36.0714,35.6148,35.1582,34.7016,34.245,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
