Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD83-17,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD83-17_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
FBCG,2026-01-02,55.2400016784668,55.64500045776367,54.59999847412109,54.95000076293945,661100,2026,1,1,Friday,55.1088,54.84000015258789,0.2,0.73,-0.44,0.2,0.44,0,0.0,54.2916,53.7432,53.1948,52.6464,52.098,51.5496,51.0012,50.4528,49.9044,49.356,48.8076,48.2592,47.7108,47.1624,46.614,46.0656,45.5172,44.9688,44.4204,43.872,43.3236,42.7752,42.2268,41.6784,41.13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FBCG,2026-01-05,55.290000915527344,55.36000061035156,55.01800155639648,55.09999847412109,570700,2026,1,1,Monday,55.192,54.95000076293945,0.27,0.62,0.12,0.27,-0.12,0,0.0,54.4005,53.851,53.3015,52.752,52.2025,51.653,51.1035,50.554,50.0045,49.455,48.9055,48.356,47.8065,47.257,46.7075,46.158,45.6085,45.059,44.5095,43.96,43.4105,42.861,42.3115,41.762,41.2125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FBCG,2026-01-06,55.27999877929688,55.61000061035156,55.02799987792969,55.59000015258789,418800,2026,1,1,Tuesday,55.377,55.09999847412109,0.89,0.33,-0.13,0.89,0.13,0,0.0,54.549,53.998,53.447,52.896,52.345,51.794,51.243,50.692,50.141,49.59,49.039,48.488,47.937,47.386,46.835,46.284,45.733,45.182,44.631,44.08,43.529,42.978,42.427,41.876,41.325,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FBCG,2026-01-07,55.54999923706055,56.040000915527344,55.41999816894531,55.70000076293945,442300,2026,1,1,Wednesday,55.6775,55.59000015258789,0.2,-0.07,-0.31,0.2,0.31,0,0.0,55.0341,54.4782,53.9223,53.3664,52.8105,52.2546,51.6987,51.1428,50.5869,50.031,49.4751,48.9192,48.3633,47.8074,47.2515,46.6956,46.1397,45.5838,45.0279,44.472,43.9161,43.3602,42.8043,42.2484,41.6925,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FBCG,2026-01-08,55.630001068115234,55.68999862670898,54.95000076293945,55.220001220703125,291800,2026,1,1,Thursday,55.3725,55.70000076293945,-0.86,-0.13,-1.35,-0.86,1.35,1,55.143,55.143,54.586,54.029,53.472,52.915,52.358,51.801,51.244,50.687,50.13,49.573,49.016,48.459,47.902,47.345,46.788,46.231,45.674,45.117,44.56,44.003,43.446,42.889,42.332,41.775,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FBCG,2026-01-09,55.25,55.6510009765625,55.0099983215332,55.56999969482422,329900,2026,1,1,Friday,55.3702,55.220001220703125,0.63,0.05,-0.38,0.63,0.38,0,0.0,54.6678,54.1156,53.5634,53.0112,52.459,51.9068,51.3546,50.8024,50.2502,49.698,49.1458,48.5936,48.0414,47.4892,46.937,46.3848,45.8326,45.2804,44.7282,44.176,43.6238,43.0716,42.5194,41.9672,41.415,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FBCG,2026-01-12,55.20000076293945,55.91999816894531,55.108001708984375,55.75,448300,2026,1,2,Monday,55.4945,55.56999969482422,0.32,-0.67,-0.83,0.32,0.83,0,0.0,55.0143,54.4586,53.9029,53.3472,52.7915,52.2358,51.6801,51.1244,50.5687,50.013,49.4573,48.9016,48.3459,47.7902,47.2345,46.6788,46.1231,45.5674,45.0117,44.456,43.9003,43.3446,42.7889,42.2332,41.6775,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FBCG,2026-01-13,55.86000061035156,56.060001373291016,55.47999954223633,55.84000015258789,312800,2026,1,2,Tuesday,55.81,55.75,0.16,0.2,-0.48,0.16,0.48,0,0.0,55.1925,54.635,54.0775,53.52,52.9625,52.405,51.8475,51.29,50.7325,50.175,49.6175,49.06,48.5025,47.945,47.3875,46.83,46.2725,45.715,45.1575,44.6,44.0425,43.485,42.9275,42.37,41.8125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FBCG,2026-01-14,55.540000915527344,55.540000915527344,54.560001373291016,54.93000030517578,574800,2026,1,2,Wednesday,55.1425,55.84000015258789,-1.63,-0.54,-2.29,-1.63,2.29,2,110.0048,55.2816,54.7232,54.1648,53.6064,53.048,52.4896,51.9312,51.3728,50.8144,50.256,49.6976,49.1392,48.5808,48.0224,47.464,46.9056,46.3472,45.7888,45.2304,44.672,44.1136,43.5552,42.9968,42.4384,41.88,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FBCG,2026-01-15,55.4900016784668,55.619998931884766,55.09000015258789,55.16999816894531,1882100,2026,1,2,Thursday,55.3425,54.93000030517578,0.44,1.02,0.29,0.44,-0.29,0,0.0,54.3807,53.8314,53.2821,52.7328,52.1835,51.6342,51.0849,50.5356,49.9863,49.437,48.8877,48.3384,47.7891,47.2398,46.6905,46.1412,45.5919,45.0426,44.4933,43.944,43.3947,42.8454,42.2961,41.7468,41.1975,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
