Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
GOOGL,2005-01-03 05:00:00+00:00,4.906102127467516,5.061188544925127,4.8578855067774445,5.038074970245361,633134232,2005,1,1,Monday,4.9658,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,2005-01-04 05:00:00+00:00,5.0055157987464,5.043541642034368,4.808675610088342,4.8340253829956055,549685764,2005,1,1,Tuesday,4.9229,5.038074970245361,-4.05,-0.65,-4.55,-4.05,4.55,4,19.6485,4.9877,4.9373,4.8869,4.8366,4.7862,4.7358,4.6854,4.635,4.5846,4.5343,4.4839,4.4335,4.3831,4.3327,4.2824,4.232,4.1312,4.0808,4.0305,3.9801,3.9297,3.8793,3.8289,3.7786,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,2005-01-05 05:00:00+00:00,4.807930744556592,4.893675023276273,4.777609892296797,4.809422492980957,329134536,2005,1,1,Wednesday,4.8222,4.8340253829956055,-0.51,-0.54,-1.17,-0.51,1.17,1,4.7857,4.7857,4.7373,4.689,4.6407,4.5923,4.544,4.4956,4.4473,4.399,4.3506,4.3023,4.2539,4.2056,4.1573,4.1089,4.0606,3.9639,3.9156,3.8672,3.8189,3.7705,3.7222,3.6739,3.6255,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,2005-01-06 05:00:00+00:00,4.848442340272841,4.868821517910003,4.665519887446286,4.686147689819336,415068516,2005,1,1,Thursday,4.7672,4.809422492980957,-2.56,0.81,-2.99,-2.56,2.99,2,9.4746,4.7613,4.7132,4.6651,4.617,4.569,4.5209,4.4728,4.4247,4.3766,4.3285,4.2804,4.2323,4.1842,4.1361,4.088,4.0399,3.9437,3.8956,3.8475,3.7994,3.7513,3.7033,3.6552,3.6071,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,2005-01-07 05:00:00+00:00,4.738091454977104,4.82781276649171,4.691863363405878,4.81787109375,386129484,2005,1,1,Friday,4.7689,4.686147689819336,2.81,1.11,0.12,2.81,-0.12,0,0.0,4.6393,4.5924,4.5456,4.4987,4.4518,4.405,4.3581,4.3113,4.2644,4.2175,4.1707,4.1238,4.0769,4.0301,3.9832,3.9364,3.8426,3.7958,3.7489,3.7021,3.6552,3.6083,3.5615,3.5146,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,2005-01-10 05:00:00+00:00,4.8340260111696445,4.92349918023808,4.767667837270027,4.847944259643555,301282416,2005,1,2,Monday,4.8433,4.81787109375,0.62,0.34,-1.04,0.62,1.04,1,4.7697,4.7697,4.7215,4.6733,4.6252,4.577,4.5288,4.4806,4.4324,4.3843,4.3361,4.2879,4.2397,4.1915,4.1434,4.0952,4.047,3.9507,3.9025,3.8543,3.8061,3.7579,3.7098,3.6616,3.6134,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,2005-01-11 05:00:00+00:00,4.861862310707013,4.913807357502622,4.801219660441124,4.810166835784912,278069652,2005,1,2,Tuesday,4.8468,4.847944259643555,-0.78,0.29,-0.96,-0.78,0.96,0,0.0,4.7995,4.751,4.7025,4.654,4.6055,4.5571,4.5086,4.4601,4.4116,4.3631,4.3147,4.2662,4.2177,4.1692,4.1208,4.0723,3.9753,3.9268,3.8784,3.8299,3.7814,3.7329,3.6844,3.636,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,2005-01-12 05:00:00+00:00,4.82980130258661,4.869567050410638,4.734612132527384,4.855897426605225,326784888,2005,1,2,Wednesday,4.8225,4.810166835784912,0.95,0.41,-1.57,0.95,1.57,1,4.7621,4.7621,4.714,4.6659,4.6178,4.5697,4.5216,4.4735,4.4254,4.3773,4.3292,4.281,4.2329,4.1848,4.1367,4.0886,4.0405,3.9443,3.8962,3.8481,3.8,3.7519,3.7038,3.6557,3.6076,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,2005-01-13 05:00:00+00:00,4.855897438995438,4.905853958977723,4.822842190630552,4.854654788970947,273702024,2005,1,2,Thursday,4.8598,4.855897426605225,-0.03,0.0,-0.68,-0.03,0.68,0,0.0,4.8073,4.7588,4.7102,4.6617,4.6131,4.5645,4.516,4.4674,4.4189,4.3703,4.3217,4.2732,4.2246,4.1761,4.1275,4.079,3.9818,3.9333,3.8847,3.8362,3.7876,3.739,3.6905,3.6419,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,2005-01-14 05:00:00+00:00,4.871307442941787,4.970970447308173,4.824831190869954,4.96997594833374,385226388,2005,1,2,Friday,4.9093,4.854654788970947,2.38,0.34,-0.61,2.38,0.61,0,0.0,4.8061,4.7576,4.709,4.6605,4.6119,4.5634,4.5148,4.4663,4.4177,4.3692,4.3206,4.2721,4.2235,4.175,4.1265,4.0779,3.9808,3.9323,3.8837,3.8352,3.7866,3.7381,3.6895,3.641,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
