Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD83-17,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD83-17_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
GOOGL,2016-01-04,37.775039816843936,37.775039816843936,37.04848069065021,37.63825225830078,67382000,2016,1,1,Monday,37.5592,38.55859375,-2.39,-2.03,-3.92,-2.39,3.92,3,113.3623,38.173,37.7874,37.4018,37.0162,36.6307,36.2451,35.8595,35.4739,35.0883,34.7027,34.3171,33.9316,33.546,33.1604,32.7748,32.3892,32.0036,31.618,31.2325,30.8469,30.4613,30.0757,29.6901,29.3045,28.9189,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,2016-01-05,37.8692051787552,38.12196117527121,37.450418068829,37.7418327331543,45216000,2016,1,1,Tuesday,37.7959,37.63825225830078,0.28,0.61,-0.5,0.28,0.5,0,0.0,37.2619,36.8855,36.5091,36.1327,35.7563,35.38,35.0036,34.6272,34.2508,33.8744,33.498,33.1217,32.7453,32.3689,31.9925,31.6161,31.2397,30.8634,30.487,30.1106,29.7342,29.3578,28.9815,28.6051,28.2287,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,2016-01-06,37.18874059024456,37.949988183144754,37.07128236216746,37.6328010559082,48206000,2016,1,1,Wednesday,37.4607,37.7418327331543,-0.29,-1.47,-1.78,-0.29,1.78,1,37.3644,37.3644,36.987,36.6096,36.2322,35.8547,35.4773,35.0999,34.7225,34.3451,33.9676,33.5902,33.2128,32.8354,32.458,32.0806,31.7031,31.3257,30.9483,30.5709,30.1935,29.816,29.4386,29.0612,28.6838,28.3064,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,2016-01-07,36.99645058407354,37.433572665397314,36.44087581089708,36.72436141967773,63132000,2016,1,1,Thursday,36.8988,37.6328010559082,-2.41,-1.69,-3.17,-2.41,3.17,3,110.6404,37.2565,36.8801,36.5038,36.1275,35.7512,35.3748,34.9985,34.6222,34.2458,33.8695,33.4932,33.1169,32.7405,32.3642,31.9879,31.6116,31.2352,30.8589,30.4826,30.1062,29.7299,29.3536,28.9773,28.6009,28.2246,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,2016-01-08,37.06136399928371,37.17634554894805,36.1256609440653,36.22428894042969,47506000,2016,1,1,Friday,36.6469,36.72436141967773,-1.36,0.92,-1.63,-1.36,1.63,1,36.3571,36.3571,35.9899,35.6226,35.2554,34.8881,34.5209,34.1537,33.7864,33.4192,33.0519,32.6847,32.3174,31.9502,31.583,31.2157,30.8485,30.4812,30.114,29.7467,29.3795,29.0122,28.645,28.2778,27.9105,27.5433,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,2016-01-11,36.27583704177879,36.43096328618479,35.66178273867717,36.33134460449219,50896000,2016,1,2,Monday,36.175,36.22428894042969,0.3,0.14,-1.55,0.3,1.55,1,35.862,35.862,35.4998,35.1376,34.7753,34.4131,34.0508,33.6886,33.3263,32.9641,32.6019,32.2396,31.8774,31.5151,31.1529,30.7906,30.4284,30.0662,29.7039,29.3417,28.9794,28.6172,28.2549,27.8927,27.5305,27.1682,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,2016-01-12,36.7119628335669,37.08812860515437,36.49786172701111,36.93944549560547,46816000,2016,1,2,Tuesday,36.8093,36.33134460449219,1.67,1.05,0.46,1.67,-0.46,0,0.0,35.968,35.6047,35.2414,34.8781,34.5148,34.1515,33.7882,33.4248,33.0615,32.6982,32.3349,31.9716,31.6083,31.245,30.8816,30.5183,30.155,29.7917,29.4284,29.0651,28.7018,28.3384,27.9751,27.6118,27.2485,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,2016-01-13,37.13768918662728,37.31908318919751,35.52399985144096,35.66227340698242,51728000,2016,1,2,Wednesday,36.4108,36.93944549560547,-3.46,0.54,-3.83,-3.46,3.83,3,108.602,36.5701,36.2007,35.8313,35.4619,35.0925,34.7231,34.3537,33.9843,33.6149,33.2455,32.8761,32.5067,32.1373,31.7679,31.3985,31.0291,30.6597,30.2903,29.921,29.5516,29.1822,28.8128,28.4434,28.074,27.7046,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,2016-01-14,35.90363562560155,36.66934501648407,34.94017866316869,36.24808120727539,55558000,2016,1,2,Thursday,35.9403,35.66227340698242,1.64,0.68,-2.02,1.64,2.02,2,70.2547,35.3057,34.949,34.5924,34.2358,33.8792,33.5225,33.1659,32.8093,32.4527,32.096,31.7394,31.3828,31.0262,30.6696,30.3129,29.9563,29.5997,29.2431,28.8864,28.5298,28.1732,27.8166,27.46,27.1033,26.7467,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,2016-01-15,35.187483235583336,35.889755900212855,34.76721012583254,35.21226501464844,76676000,2016,1,2,Friday,35.2642,36.24808120727539,-2.86,-2.93,-4.09,-2.86,4.09,4,141.3675,35.8856,35.5231,35.1606,34.7982,34.4357,34.0732,33.7107,33.3482,32.9858,32.6233,32.2608,31.8983,31.5358,31.1733,30.8109,30.4484,30.0859,29.7234,29.3609,28.9985,28.636,28.2735,27.911,27.5485,27.1861,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,2016-01-19,35.6910161169174,35.94873299571442,35.180543252321726,35.63798522949219,48724000,2016,1,3,Tuesday,35.6146,35.21226501464844,1.21,1.36,-0.09,1.21,0.09,0,0.0,34.8601,34.508,34.1559,33.8038,33.4517,33.0995,32.7474,32.3953,32.0432,31.691,31.3389,30.9868,30.6347,30.2825,29.9304,29.5783,29.2262,28.8741,28.5219,28.1698,27.8177,27.4656,27.1134,26.7613,26.4092,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,2016-01-20,34.9847774134782,36.02802826653734,34.08674233606714,35.61221694946289,82440000,2016,1,3,Wednesday,35.1779,35.63798522949219,-0.07,-1.83,-4.35,-0.07,4.35,4,138.9881,35.2816,34.9252,34.5688,34.2125,33.8561,33.4997,33.1433,32.7869,32.4306,32.0742,31.7178,31.3614,31.005,30.6487,30.2923,29.9359,29.5795,29.2231,28.8668,28.5104,28.154,27.7976,27.4412,27.0849,26.7285,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,2016-01-21,35.69201208578,36.55932150761559,35.242994485192334,36.014156341552734,51938000,2016,1,3,Thursday,35.8771,35.61221694946289,1.13,0.22,-1.04,1.13,1.04,1,35.2561,35.2561,34.9,34.5439,34.1877,33.8316,33.4755,33.1194,32.7632,32.4071,32.051,31.6949,31.3388,30.9826,30.6265,30.2704,29.9143,29.5581,29.202,28.8459,28.4898,28.1337,27.7775,27.4214,27.0653,26.7092,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,2016-01-22,36.7739128370194,37.0990328273889,36.69957506475171,36.94539260864258,47146000,2016,1,3,Friday,36.8795,36.014156341552734,2.59,2.11,1.9,2.59,-1.9,0,0.0,35.654,35.2939,34.9337,34.5736,34.2134,33.8533,33.4932,33.133,32.7729,32.4127,32.0526,31.6925,31.3323,30.9722,30.612,30.2519,29.8917,29.5316,29.1715,28.8113,28.4512,28.091,27.7309,27.3708,27.0106,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,2016-01-25,36.86511474128454,37.29232636958022,36.303096866334485,36.35860443115234,45340000,2016,1,4,Monday,36.7048,36.94539260864258,-1.59,-0.22,-1.74,-1.59,1.74,1,36.5759,36.5759,36.2065,35.837,35.4676,35.0981,34.7287,34.3592,33.9898,33.6203,33.2509,32.8814,32.5119,32.1425,31.773,31.4036,31.0341,30.6647,30.2952,29.9258,29.5563,29.1869,28.8174,28.448,28.0785,27.709,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GOOGL,2016-01-26,36.43740618317008,36.64803620787639,36.02902479571149,36.36702728271485,30940000,2016,1,4,Tuesday,36.3704,36.35860443115234,0.02,0.22,-0.91,0.02,0.91,0,0.0,35.995,35.6314,35.2678,34.9043,34.5407,34.1771,33.8135,33.4499,33.0863,32.7227,32.3592,31.9956,31.632,31.2684,30.9048,30.5412,30.1776,29.8141,29.4505,29.0869,28.7233,28.3597,27.9961,27.6325,27.269,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
