Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,Shares_Purchased,Total_Value_Purchased,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
HSBC,2005-01-03 05:00:00+00:00,28.864875209613725,28.96665389136748,28.729167712203505,28.732561111450195,348600,2005,1,1,Monday,28.8233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2005-01-04 05:00:00+00:00,28.942912174957847,28.946305575013703,28.600253833085727,28.62400245666504,528900,2005,1,1,Tuesday,28.7784,28.732561111450195,-0.38,0.73,-0.46,-0.38,0.46,28.4452,28.1579,27.8706,27.5833,27.2959,27.0086,26.7213,26.434,26.1466,25.8593,25.572,25.2847,24.9973,24.71,24.4227,24.1354,23.5607,23.2734,22.986,22.6987,22.4114,22.1241,21.8367,21.5494,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2005-01-05 05:00:00+00:00,28.579878486939588,28.691837324441728,28.50863265991211,28.50863265991211,340300,2005,1,1,Wednesday,28.5722,28.62400245666504,-0.4,-0.15,-0.4,-0.4,0.4,28.3378,28.0515,27.7653,27.479,27.1928,26.9066,26.6203,26.3341,26.0478,25.7616,25.4754,25.1891,24.9029,24.6166,24.3304,24.0442,23.4717,23.1854,22.8992,22.613,22.3267,22.0405,21.7542,21.468,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2005-01-06 05:00:00+00:00,28.38312194136946,28.478116432743327,28.30848267288835,28.345802307128903,415600,2005,1,1,Thursday,28.3789,28.50863265991211,-0.57,-0.44,-0.7,-0.57,0.7,28.2235,27.9385,27.6534,27.3683,27.0832,26.7981,26.513,26.2279,25.9429,25.6578,25.3727,25.0876,24.8025,24.5174,24.2323,23.9473,23.3771,23.092,22.8069,22.5218,22.2367,21.9516,21.6666,21.3815,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2005-01-07 05:00:00+00:00,28.37294616683583,28.40348159434332,28.098140261299232,28.11510467529297,441000,2005,1,1,Friday,28.2474,28.345802307128903,-0.81,0.1,-0.87,-0.81,0.87,28.0623,27.7789,27.4954,27.212,26.9285,26.6451,26.3616,26.0781,25.7947,25.5112,25.2278,24.9443,24.6608,24.3774,24.0939,23.8105,23.2436,22.9601,22.6766,22.3932,22.1097,21.8263,21.5428,21.2594,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2005-01-10 05:00:00+00:00,28.05063439134737,28.17277088704597,28.00653055228052,28.081167221069336,258900,2005,1,2,Monday,28.0778,28.11510467529297,-0.12,-0.23,-0.39,-0.12,0.39,27.834,27.5528,27.2717,26.9905,26.7093,26.4282,26.147,25.8659,25.5847,25.3036,25.0224,24.7413,24.4601,24.179,23.8978,23.6167,23.0544,22.7732,22.4921,22.2109,21.9298,21.6486,21.3675,21.0863,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2005-01-11 05:00:00+00:00,27.95224637620193,28.060811862016948,27.85385850024374,27.881000518798828,268100,2005,1,2,Tuesday,27.937,28.081167221069336,-0.71,-0.46,-0.81,-0.71,0.81,27.8004,27.5195,27.2387,26.9579,26.6771,26.3963,26.1155,25.8347,25.5539,25.2731,24.9922,24.7114,24.4306,24.1498,23.869,23.5882,23.0266,22.7457,22.4649,22.1841,21.9033,21.6225,21.3417,21.0609,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2005-01-12 05:00:00+00:00,27.84029330110881,28.06081771818201,27.755476416727262,28.05064010620117,540400,2005,1,2,Wednesday,27.9268,27.881000518798828,0.61,-0.15,-0.45,0.61,0.45,27.6022,27.3234,27.0446,26.7658,26.487,26.2081,25.9293,25.6505,25.3717,25.0929,24.8141,24.5353,24.2565,23.9777,23.6989,23.42,22.8624,22.5836,22.3048,22.026,21.7472,21.4684,21.1896,20.9108,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2005-01-13 05:00:00+00:00,27.938678174845617,28.009924039409142,27.76904442443562,27.786008834838867,514700,2005,1,2,Thursday,27.8759,28.05064010620117,-0.94,-0.4,-1.0,-0.94,1.0,27.7701,27.4896,27.2091,26.9286,26.6481,26.3676,26.0871,25.8066,25.5261,25.2456,24.9651,24.6846,24.4041,24.1236,23.843,23.5625,23.0015,22.721,22.4405,22.16,21.8795,21.599,21.3185,21.038,1,27.7701,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2005-01-14 05:00:00+00:00,27.89457466845273,27.9895691556847,27.83011301422862,27.92171669006348,451000,2005,1,2,Friday,27.909,27.786008834838867,0.49,0.39,0.16,0.49,-0.16,27.5081,27.2303,26.9524,26.6746,26.3967,26.1188,25.841,25.5631,25.2853,25.0074,24.7295,24.4517,24.1738,23.896,23.6181,23.3402,22.7845,22.5067,22.2288,21.9509,21.6731,21.3952,21.1174,20.8395,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2005-01-18 05:00:00+00:00,27.830116364373257,28.026892162130256,27.779225714828385,27.98957252502441,422900,2005,1,3,Tuesday,27.9065,27.92171669006348,0.24,-0.33,-0.51,0.24,0.51,27.6425,27.3633,27.0841,26.8048,26.5256,26.2464,25.9672,25.688,25.4088,25.1295,24.8503,24.5711,24.2919,24.0127,23.7335,23.4542,22.8958,22.6166,22.3374,22.0582,21.7789,21.4997,21.2205,20.9413,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HSBC,2005-01-19 05:00:00+00:00,28.03705962629813,28.074379249896072,27.85724830627441,27.85724830627441,393400,2005,1,3,Wednesday,27.9565,27.98957252502441,-0.47,0.17,-0.47,-0.47,0.47,27.7097,27.4298,27.1499,26.87,26.5901,26.3102,26.0303,25.7504,25.4705,25.1906,24.9107,24.6308,24.3509,24.071,23.7911,23.5112,22.9514,22.6716,22.3917,22.1118,21.8319,21.552,21.2721,20.9922,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
