Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,Executed_Levels,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed
MGK,2007-12-27 05:00:00+00:00,42.25531527017523,42.25531527017523,41.88240051269531,41.88240051269531,73900,2007,12,52,Thursday,42.0689,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2007-12-28 05:00:00+00:00,41.99842994126163,41.99842994126163,41.67523811125661,41.78296661376953,5000,2007,12,52,Friday,41.8638,41.88240051269531,-0.24,0.28,-0.49,-0.24,0.49,0,0.0,41.4636,41.0448,40.6259,40.2071,39.7883,39.3695,38.9506,38.5318,38.113,37.6942,37.2753,36.8565,36.4377,36.0189,35.6,35.1812,34.3436,33.9247,33.5059,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2007-12-31 05:00:00+00:00,41.64209159151273,42.31333838506169,41.41005706787109,41.41005706787109,9200,2007,12,52,Monday,41.6939,41.78296661376953,-0.89,-0.34,-0.89,-0.89,0.89,0,0.0,41.3651,40.9473,40.5295,40.1116,39.6938,39.276,38.8582,38.4403,38.0225,37.6047,37.1868,36.769,36.3512,35.9334,35.5155,35.0977,34.262,33.8442,33.4264,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2008-01-02 05:00:00+00:00,41.4597672563692,41.4597672563692,40.82995805599327,40.904541015625,6800,2008,1,1,Wednesday,41.1635,41.41005706787109,-1.22,0.12,-1.4,-1.22,1.4,1,40.996,40.996,40.5819,40.1678,39.7537,39.3396,38.9255,38.5114,38.0973,37.6832,37.2691,36.855,36.4409,36.0267,35.6126,35.1985,34.7844,33.9562,33.5421,33.128,BOD99-1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2008-01-03 05:00:00+00:00,40.97083619071082,41.13657645616428,40.94597625732422,40.94597625732422,13700,2008,1,1,Thursday,40.9998,40.904541015625,0.1,0.16,0.1,0.1,-0.1,0,0.0,40.4955,40.0865,39.6774,39.2684,38.8593,38.4503,38.0412,37.6322,37.2231,36.8141,36.405,35.996,35.587,35.1779,34.7689,34.3598,33.5417,33.1327,32.7236,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2008-01-04 05:00:00+00:00,40.515053434658086,40.515053434658086,39.777512561707,39.818946838378906,23500,2008,1,1,Friday,40.1566,40.94597625732422,-2.75,-1.05,-2.85,-2.75,2.85,2,80.6636,40.5365,40.1271,39.7176,39.3081,38.8987,38.4892,38.0798,37.6703,37.2608,36.8514,36.4419,36.0325,35.623,35.2135,34.8041,34.3946,33.5757,33.1662,32.7568,"BOD99-1,BOD98-2",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2008-01-07 05:00:00+00:00,39.92669078567087,39.97641382973338,39.54549026489258,39.54549026489258,2800,2008,1,1,Monday,39.7485,39.818946838378906,-0.69,0.27,-0.69,-0.69,0.69,0,0.0,39.4208,39.0226,38.6244,38.2262,37.828,37.4298,37.0316,36.6334,36.2352,35.8371,35.4389,35.0407,34.6425,34.2443,33.8461,33.4479,32.6515,32.2533,31.8552,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2008-01-08 05:00:00+00:00,39.9598361420411,40.026130367350206,39.13942337036133,39.13942337036133,8000,2008,1,1,Tuesday,39.5662,39.54549026489258,-1.03,1.05,-1.03,-1.03,1.03,1,39.15,39.15,38.7546,38.3591,37.9637,37.5682,37.1728,36.7773,36.3819,35.9864,35.5909,35.1955,34.8,34.4046,34.0091,33.6137,33.2182,32.4273,32.0318,31.6364,BOD99-1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2008-01-09 05:00:00+00:00,39.13113206897125,39.6532096862793,38.86594888395458,39.6532096862793,2200,2008,1,1,Wednesday,39.3259,39.13942337036133,1.31,-0.02,-0.7,1.31,0.7,0,0.0,38.748,38.3566,37.9652,37.5738,37.1825,36.7911,36.3997,36.0083,35.6169,35.2255,34.8341,34.4427,34.0513,33.6599,33.2685,32.8771,32.0943,31.7029,31.3115,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2008-01-10 05:00:00+00:00,39.48747188411657,40.1338554912693,39.48747188411657,39.91839218139648,12900,2008,1,1,Thursday,39.7568,39.6532096862793,0.67,-0.42,-0.42,0.67,0.42,0,0.0,39.2567,38.8601,38.4636,38.0671,37.6705,37.274,36.8775,36.481,36.0844,35.6879,35.2914,34.8948,34.4983,34.1018,33.7052,33.3087,32.5156,32.1191,31.7226,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
