Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD83-17,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD83-17_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
MGK,2009-01-02 05:00:00+00:00,26.32498160954774,27.22812737683554,26.30825633348461,27.161226272583008,40000,2009,1,1,Friday,26.7556,26.350072860717773,3.08,-0.1,-0.16,3.08,0.16,0,0.0,26.0866,25.8231,25.5596,25.2961,25.0326,24.7691,24.5056,24.2421,23.9786,23.7151,23.4516,23.1881,22.9246,22.6611,22.3976,22.1341,21.8706,21.6071,21.3436,21.0801,20.8166,20.5531,20.2896,20.0261,19.7626,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2009-01-05 05:00:00+00:00,27.01906949817464,27.37029076816877,26.885270463412024,27.16959381103516,346900,2009,1,1,Monday,27.1111,27.161226272583008,0.03,-0.52,-1.02,0.03,1.02,1,26.8896,26.8896,26.618,26.3464,26.0748,25.8032,25.5316,25.2599,24.9883,24.7167,24.4451,24.1735,23.9019,23.6303,23.3587,23.087,22.8154,22.5438,22.2722,22.0006,21.729,21.4574,21.1858,20.9141,20.6425,20.3709,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2009-01-06 05:00:00+00:00,27.428832489592384,27.637893717699068,27.211410215970755,27.395381927490234,155300,2009,1,1,Tuesday,27.4184,27.16959381103516,0.83,0.95,0.15,0.83,-0.15,0,0.0,26.8979,26.6262,26.3545,26.0828,25.8111,25.5394,25.2677,24.996,24.7243,24.4526,24.1809,23.9092,23.6375,23.3659,23.0942,22.8225,22.5508,22.2791,22.0074,21.7357,21.464,21.1923,20.9206,20.6489,20.3772,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2009-01-07 05:00:00+00:00,27.00234850156325,27.16123388365525,26.64276294049405,26.79328727722168,83200,2009,1,1,Wednesday,26.8999,27.395381927490234,-2.2,-1.43,-2.75,-2.2,2.75,2,53.9689,27.1214,26.8475,26.5735,26.2996,26.0256,25.7517,25.4777,25.2038,24.9298,24.6558,24.3819,24.1079,23.834,23.56,23.2861,23.0121,22.7382,22.4642,22.1903,21.9163,21.6424,21.3684,21.0944,20.8205,20.5465,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2009-01-08 05:00:00+00:00,26.734739449411872,26.851814778726407,26.37515560904653,26.84345054626465,7212300,2009,1,1,Thursday,26.7013,26.79328727722168,0.19,-0.22,-1.56,0.19,1.56,1,26.5254,26.5254,26.2574,25.9895,25.7216,25.4536,25.1857,24.9178,24.6498,24.3819,24.114,23.846,23.5781,23.3102,23.0422,22.7743,22.5064,22.2384,21.9705,21.7026,21.4346,21.1667,20.8988,20.6308,20.3629,20.095,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2009-01-09 05:00:00+00:00,26.893637587492616,26.893637587492616,26.249728590242857,26.274816513061523,239200,2009,1,1,Friday,26.578,26.84345054626465,-2.12,0.19,-2.21,-2.12,2.21,2,52.8816,26.575,26.3066,26.0381,25.7697,25.5013,25.2328,24.9644,24.696,24.4275,24.1591,23.8907,23.6222,23.3538,23.0854,22.8169,22.5485,22.2801,22.0116,21.7432,21.4748,21.2063,20.9379,20.6695,20.401,20.1326,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2009-01-12 05:00:00+00:00,26.23299584763911,26.23299584763911,25.681072901229136,25.82323455810547,180000,2009,1,2,Monday,25.9926,26.274816513061523,-1.72,-0.16,-2.26,-1.72,2.26,2,51.7614,26.0121,25.7493,25.4866,25.2238,24.9611,24.6983,24.4356,24.1728,23.9101,23.6473,23.3846,23.1218,22.8591,22.5963,22.3336,22.0708,21.8081,21.5453,21.2826,21.0199,20.7571,20.4944,20.2316,19.9689,19.7061,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2009-01-13 05:00:00+00:00,25.739615081607376,26.04066211989395,25.64762764476435,25.898500442504883,840200,2009,1,2,Tuesday,25.8316,25.82323455810547,0.29,-0.32,-0.68,0.29,0.68,0,0.0,25.565,25.3068,25.0485,24.7903,24.5321,24.2738,24.0156,23.7574,23.4991,23.2409,22.9827,22.7244,22.4662,22.208,21.9497,21.6915,21.4333,21.1751,20.9168,20.6586,20.4004,20.1421,19.8839,19.6257,19.3674,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2009-01-14 05:00:00+00:00,25.40512147746047,25.53892214002115,24.986998992614105,25.17933654785156,2575000,2009,1,2,Wednesday,25.2776,25.898500442504883,-2.78,-1.91,-3.52,-2.78,3.52,3,76.1416,25.6395,25.3805,25.1215,24.8626,24.6036,24.3446,24.0856,23.8266,23.5676,23.3087,23.0497,22.7907,22.5317,22.2727,22.0137,21.7547,21.4958,21.2368,20.9778,20.7188,20.4598,20.2008,19.9418,19.6829,19.4239,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2009-01-15 05:00:00+00:00,25.09570460205484,25.438564814619568,24.59395744378614,25.2295036315918,1156100,2009,1,2,Thursday,25.0894,25.17933654785156,0.2,-0.33,-2.32,0.2,2.32,2,49.6033,24.9275,24.6757,24.424,24.1722,23.9204,23.6686,23.4168,23.165,22.9132,22.6614,22.4096,22.1578,21.906,21.6542,21.4024,21.1506,20.8988,20.6471,20.3953,20.1435,19.8917,19.6399,19.3881,19.1363,18.8845,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
