Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,Shares_Purchased,Total_Value_Purchased,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
MGK,2023-01-03 05:00:00+00:00,171.3230764649781,172.45798709478632,167.29658774894529,168.70782470703125,371600,2023,1,1,Tuesday,169.9464,169.81317138671875,-0.65,0.89,-1.48,-0.65,1.48,168.115,166.4169,164.7188,163.0206,161.3225,159.6244,157.9262,156.2281,154.53,152.8319,151.1337,149.4356,147.7375,146.0393,144.3412,142.6431,139.2468,137.5487,135.8505,134.1524,132.4543,130.7561,129.058,127.3599,1,168.115,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2023-01-04 05:00:00+00:00,169.72431784815385,170.53357001230674,167.42487616199858,169.5072021484375,421900,2023,1,1,Wednesday,169.2975,168.70782470703125,0.47,0.6,-0.76,0.47,0.76,167.0207,165.3337,163.6466,161.9595,160.2724,158.5854,156.8983,155.2112,153.5241,151.837,150.15,148.4629,146.7758,145.0887,143.4017,141.7146,138.3404,136.6533,134.9663,133.2792,131.5921,129.905,128.2179,126.5309,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2023-01-05 05:00:00+00:00,168.39204467378727,168.67823444695824,166.2998400689435,166.4873504638672,219900,2023,1,1,Thursday,167.4644,169.5072021484375,-1.78,-0.66,-1.89,-1.78,1.89,167.8121,166.1171,164.422,162.7269,161.0318,159.3368,157.6417,155.9466,154.2516,152.5565,150.8614,149.1663,147.4713,145.7762,144.0811,142.386,138.9959,137.3008,135.6058,133.9107,132.2156,130.5205,128.8255,127.1304,1,167.8121,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2023-01-06 05:00:00+00:00,167.55318994692269,171.1849314529924,165.46100036563743,170.5829315185547,226700,2023,1,1,Friday,168.6955,166.4873504638672,2.46,0.64,-0.62,2.46,0.62,164.8225,163.1576,161.4927,159.8279,158.163,156.4981,154.8332,153.1684,151.5035,149.8386,148.1737,146.5089,144.844,143.1791,141.5142,139.8494,136.5196,134.8548,133.1899,131.525,129.8601,128.1953,126.5304,124.8655,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2023-01-09 05:00:00+00:00,171.92509133599316,174.87586525441083,171.81653347907988,171.95469665527344,272800,2023,1,2,Monday,172.643,170.5829315185547,0.8,0.79,0.72,0.8,-0.72,168.8771,167.1713,165.4654,163.7596,162.0538,160.348,158.6421,156.9363,155.2305,153.5246,151.8188,150.113,148.4072,146.7013,144.9955,143.2897,139.878,138.1722,136.4663,134.7605,133.0547,131.3489,129.643,127.9372,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2023-01-10 05:00:00+00:00,171.37243411575176,173.74096521448868,171.37243411575176,173.5238494873047,182100,2023,1,2,Tuesday,172.5024,171.95469665527344,0.91,-0.34,-0.34,0.91,0.34,170.2351,168.5156,166.7961,165.0765,163.357,161.6374,159.9179,158.1983,156.4788,154.7592,153.0397,151.3201,149.6006,147.881,146.1615,144.4419,141.0029,139.2833,137.5638,135.8442,134.1247,132.4051,130.6856,128.966,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2023-01-11 05:00:00+00:00,174.34293441163325,177.18515014648438,174.3133290957555,177.18515014648438,297100,2023,1,2,Wednesday,175.7566,173.5238494873047,2.11,0.47,0.45,2.11,-0.45,171.7886,170.0534,168.3181,166.5829,164.8477,163.1124,161.3772,159.6419,157.9067,156.1715,154.4362,152.701,150.9657,149.2305,147.4953,145.76,142.2896,140.5543,138.8191,137.0838,135.3486,133.6134,131.8781,130.1429,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2023-01-12 05:00:00+00:00,177.5404413923561,178.77404650224923,175.03376243486196,178.09310913085938,261000,2023,1,2,Thursday,177.3603,177.18515014648438,0.51,0.2,-1.21,0.51,1.21,175.4133,173.6414,171.8696,170.0977,168.3259,166.554,164.7822,163.0103,161.2385,159.4666,157.6948,155.9229,154.1511,152.3792,150.6074,148.8355,145.2918,143.52,141.7481,139.9763,138.2044,136.4326,134.6607,132.8889,1,175.4133,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2023-01-13 05:00:00+00:00,176.58316898005407,179.52409451015623,176.41540048610705,179.3760528564453,214100,2023,1,2,Friday,177.9747,178.09310913085938,0.72,-0.85,-0.94,0.72,0.94,176.3122,174.5312,172.7503,170.9694,169.1885,167.4075,165.6266,163.8457,162.0647,160.2838,158.5029,156.7219,154.941,153.1601,151.3791,149.5982,146.0363,144.2554,142.4745,140.6936,138.9126,137.1317,135.3508,133.5698,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MGK,2023-01-17 05:00:00+00:00,179.21816029638416,180.7971658362821,178.86288141464223,179.77081298828125,211200,2023,1,3,Tuesday,179.6623,179.3760528564453,0.22,-0.09,-0.29,0.22,0.29,177.5823,175.7885,173.9948,172.201,170.4073,168.6135,166.8197,165.026,163.2322,161.4384,159.6447,157.8509,156.0572,154.2634,152.4696,150.6759,147.0884,145.2946,143.5008,141.7071,139.9133,138.1196,136.3258,134.532,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
