Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
MSFT,2015-01-02 05:00:00+00:00,39.84766095030489,40.49669986025541,39.74518180826074,39.93305969238281,27913900,2015,1,1,Friday,40.0057,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2015-01-05 05:00:00+00:00,39.5999915802946,39.907432198522,39.49751246013629,39.56583404541016,39673900,2015,1,1,Monday,39.6427,39.93305969238281,-0.92,-0.83,-1.09,-0.92,1.09,1,39.5337,39.5337,39.1344,38.7351,38.3357,37.9364,37.5371,37.1377,36.7384,36.3391,35.9398,35.5404,35.1411,34.7418,34.3424,33.9431,33.5438,32.7451,32.3458,31.9464,31.5471,31.1478,30.7485,30.3491,29.9498,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2015-01-06 05:00:00+00:00,39.60854650728631,39.92452579930231,38.891185913416514,38.98512649536133,36447900,2015,1,1,Tuesday,39.3523,39.56583404541016,-1.47,0.11,-1.71,-1.47,1.71,1,39.1702,39.1702,38.7745,38.3789,37.9832,37.5875,37.1919,36.7962,36.4006,36.0049,35.6093,35.2136,34.8179,34.4223,34.0266,33.631,33.2353,32.444,32.0483,31.6527,31.257,30.8614,30.4657,30.07,29.6744,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2015-01-07 05:00:00+00:00,39.26692674950648,39.67684643311755,38.84846849775337,39.48042678833008,29114100,2015,1,1,Wednesday,39.3182,38.98512649536133,1.27,0.72,-0.35,1.27,0.35,0,0.0,38.5953,38.2054,37.8156,37.4257,37.0359,36.646,36.2562,35.8663,35.4765,35.0866,34.6968,34.3069,33.9171,33.5272,33.1374,32.7475,31.9678,31.578,31.1881,30.7982,30.4084,30.0185,29.6287,29.2388,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2015-01-08 05:00:00+00:00,39.92450456429047,40.77850466192236,39.8988856038421,40.64186477661133,29645200,2015,1,1,Thursday,40.3109,39.48042678833008,2.94,1.12,1.06,2.94,-1.06,0,0.0,39.0856,38.6908,38.296,37.9012,37.5064,37.1116,36.7168,36.322,35.9272,35.5324,35.1376,34.7428,34.348,33.9532,33.5584,33.1636,32.3739,31.9791,31.5843,31.1895,30.7947,30.3999,30.0051,29.6103,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2015-01-09 05:00:00+00:00,40.65895187475466,40.83829114297261,40.05261248730217,40.300270080566406,23944200,2015,1,1,Friday,40.4625,40.64186477661133,-0.84,0.04,-1.45,-0.84,1.45,1,40.2354,40.2354,39.829,39.4226,39.0162,38.6098,38.2034,37.7969,37.3905,36.9841,36.5777,36.1713,35.7648,35.3584,34.952,34.5456,34.1392,33.3263,32.9199,32.5135,32.1071,31.7007,31.2942,30.8878,30.4814,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2015-01-12 05:00:00+00:00,40.49670506558383,40.59918747855395,39.59146655528962,39.796424865722656,23651900,2015,1,2,Monday,40.1209,40.300270080566406,-1.25,0.49,-1.76,-1.25,1.76,1,39.8973,39.8973,39.4943,39.0913,38.6883,38.2853,37.8823,37.4793,37.0762,36.6732,36.2702,35.8672,35.4642,35.0612,34.6582,34.2552,33.8522,33.0462,32.6432,32.2402,31.8372,31.4342,31.0312,30.6282,30.2252,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2015-01-13 05:00:00+00:00,40.1123942449471,40.91515333637416,39.33525411947171,39.591453552246094,35270600,2015,1,2,Tuesday,39.9886,39.796424865722656,-0.52,0.79,-1.16,-0.52,1.16,1,39.3985,39.3985,39.0005,38.6025,38.2046,37.8066,37.4086,37.0107,36.6127,36.2147,35.8168,35.4188,35.0209,34.6229,34.2249,33.827,33.429,32.6331,32.2351,31.8371,31.4392,31.0412,30.6432,30.2453,29.8473,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2015-01-14 05:00:00+00:00,39.24983978271485,39.488962001425406,38.9594796482282,39.24983978271485,29719600,2015,1,2,Wednesday,39.237,39.591453552246094,-0.86,-0.86,-1.6,-0.86,1.6,1,39.1955,39.1955,38.7996,38.4037,38.0078,37.6119,37.216,36.8201,36.4241,36.0282,35.6323,35.2364,34.8405,34.4446,34.0487,33.6527,33.2568,32.465,32.0691,31.6732,31.2772,30.8813,30.4854,30.0895,29.6936,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2015-01-15 05:00:00+00:00,39.4719047450273,39.608544696768384,38.78016315685177,38.839942932128906,32750800,2015,1,2,Thursday,39.1751,39.24983978271485,-1.04,0.57,-1.2,-1.04,1.2,1,38.8573,38.8573,38.4648,38.0723,37.6798,37.2873,36.8948,36.5024,36.1099,35.7174,35.3249,34.9324,34.5399,34.1474,33.7549,33.3624,32.9699,32.1849,31.7924,31.3999,31.0074,30.6149,30.2224,29.8299,29.4374,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
