Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD83-17,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD83-17_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
MSFT,2008-01-02 05:00:00+00:00,25.602305327697184,25.723913176681595,25.037179758233552,25.194557189941406,63004200,2008,1,1,Wednesday,25.3895,25.466384887695312,-1.07,0.53,-1.69,-1.07,1.69,1,25.2117,25.2117,24.9571,24.7024,24.4477,24.1931,23.9384,23.6837,23.4291,23.1744,22.9197,22.6651,22.4104,22.1558,21.9011,21.6464,21.3918,21.1371,20.8824,20.6278,20.3731,20.1184,19.8638,19.6091,19.3545,19.0998,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-01-03 05:00:00+00:00,25.19456213395661,25.5021620496546,24.93703636929442,25.301862716674805,49599600,2008,1,1,Thursday,25.2339,25.194557189941406,0.43,0.0,-1.02,0.43,1.02,1,24.9426,24.9426,24.6907,24.4387,24.1868,23.9348,23.6829,23.4309,23.179,22.927,22.6751,22.4232,22.1712,21.9193,21.6673,21.4154,21.1634,20.9115,20.6595,20.4076,20.1556,19.9037,19.6518,19.3998,19.1479,18.8959,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-01-04 05:00:00+00:00,25.17309233090329,25.18024733825373,24.386210710172392,24.59366226196289,72090800,2008,1,1,Friday,24.8333,25.301862716674805,-2.8,-0.51,-3.62,-2.8,3.62,3,74.3875,25.0488,24.7958,24.5428,24.2898,24.0368,23.7838,23.5307,23.2777,23.0247,22.7717,22.5187,22.2656,22.0126,21.7596,21.5066,21.2536,21.0005,20.7475,20.4945,20.2415,19.9885,19.7355,19.4824,19.2294,18.9764,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-01-07 05:00:00+00:00,24.71527782076633,24.894114856703624,24.500673923408904,24.75819969177246,80164300,2008,1,1,Monday,24.7171,24.59366226196289,0.67,0.49,-0.38,0.67,0.38,0,0.0,24.3477,24.1018,23.8559,23.6099,23.364,23.118,22.8721,22.6262,22.3802,22.1343,21.8884,21.6424,21.3965,21.1505,20.9046,20.6587,20.4127,20.1668,19.9209,19.6749,19.429,19.1831,18.9371,18.6912,18.4452,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-01-08 05:00:00+00:00,24.829735674806752,24.829735674806752,23.892631267648305,23.92839813232422,79148300,2008,1,1,Tuesday,24.3701,24.75819969177246,-3.35,0.29,-3.5,-3.35,3.5,3,72.7891,24.5106,24.263,24.0155,23.7679,23.5203,23.2727,23.0251,22.7775,22.53,22.2824,22.0348,21.7872,21.5396,21.2921,21.0445,20.7969,20.5493,20.3017,20.0541,19.8066,19.559,19.3114,19.0638,18.8162,18.5686,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-01-09 05:00:00+00:00,23.86401817030485,24.708129327633248,23.85686315962203,24.636592864990234,74305500,2008,1,1,Wednesday,24.2664,23.92839813232422,2.96,-0.27,-0.3,2.96,0.3,0,0.0,23.6891,23.4498,23.2105,22.9713,22.732,22.4927,22.2534,22.0141,21.7748,21.5356,21.2963,21.057,20.8177,20.5784,20.3391,20.0999,19.8606,19.6213,19.382,19.1427,18.9034,18.6642,18.4249,18.1856,17.9463,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-01-10 05:00:00+00:00,24.57221357679202,24.67951691578687,24.164465254751217,24.55790901184082,72446000,2008,1,1,Thursday,24.4935,24.636592864990234,-0.32,-0.26,-1.92,-0.32,1.92,1,24.3902,24.3902,24.1439,23.8975,23.6511,23.4048,23.1584,22.912,22.6657,22.4193,22.1729,21.9266,21.6802,21.4338,21.1875,20.9411,20.6947,20.4484,20.202,19.9556,19.7093,19.4629,19.2165,18.9702,18.7238,18.4774,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-01-11 05:00:00+00:00,24.421979813131355,24.493516249055528,24.12153496875785,24.25745010375977,55187900,2008,1,1,Friday,24.3236,24.55790901184082,-1.22,-0.55,-1.78,-1.22,1.78,1,24.3123,24.3123,24.0668,23.8212,23.5756,23.33,23.0844,22.8389,22.5933,22.3477,22.1021,21.8565,21.611,21.3654,21.1198,20.8742,20.6286,20.3831,20.1375,19.8919,19.6463,19.4007,19.1552,18.9096,18.664,18.4184,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-01-14 05:00:00+00:00,24.650900423399424,24.72958916873696,24.379070048935123,24.60082626342773,52792200,2008,1,2,Monday,24.5901,24.25745010375977,1.42,1.62,0.5,1.42,-0.5,0,0.0,24.0149,23.7723,23.5297,23.2872,23.0446,22.802,22.5594,22.3169,22.0743,21.8317,21.5891,21.3466,21.104,20.8614,20.6188,20.3763,20.1337,19.8911,19.6485,19.406,19.1634,18.9208,18.6782,18.4357,18.1931,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-01-15 05:00:00+00:00,24.34328840614933,24.59366181094361,24.32182884216309,24.32182884216309,61606200,2008,1,2,Tuesday,24.3952,24.60082626342773,-1.13,-1.05,-1.13,-1.13,1.13,1,24.3548,24.3548,24.1088,23.8628,23.6168,23.3708,23.1248,22.8788,22.6328,22.3868,22.1407,21.8947,21.6487,21.4027,21.1567,20.9107,20.6647,20.4187,20.1727,19.9267,19.6807,19.4347,19.1886,18.9426,18.6966,18.4506,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-01-16 05:00:00+00:00,23.90693223142709,24.071464696073416,23.255965568511296,23.77101707458496,120778500,2008,1,2,Wednesday,23.7513,24.32182884216309,-2.26,-1.71,-4.38,-2.26,4.38,4,94.8551,24.0786,23.8354,23.5922,23.349,23.1057,22.8625,22.6193,22.3761,22.1329,21.8896,21.6464,21.4032,21.16,20.9168,20.6736,20.4303,20.1871,19.9439,19.7007,19.4575,19.2142,18.971,18.7278,18.4846,18.2414,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-01-17 05:00:00+00:00,23.99277482922484,24.178764126012087,23.58502664922068,23.6851749420166,94247800,2008,1,2,Thursday,23.8604,23.77101707458496,-0.36,0.93,-0.78,-0.36,0.78,0,0.0,23.5333,23.2956,23.0579,22.8202,22.5825,22.3448,22.107,21.8693,21.6316,21.3939,21.1562,20.9185,20.6808,20.4431,20.2054,19.9677,19.7299,19.4922,19.2545,19.0168,18.7791,18.5414,18.3037,18.066,17.8283,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-01-18 05:00:00+00:00,23.72094313921917,24.32183565876566,23.58502798115425,23.61363983154297,117062000,2008,1,2,Friday,23.8104,23.6851749420166,-0.3,0.15,-0.42,-0.3,0.42,0,0.0,23.4483,23.2115,22.9746,22.7378,22.5009,22.2641,22.0272,21.7904,21.5535,21.3167,21.0798,20.843,20.6061,20.3693,20.1324,19.8955,19.6587,19.4218,19.185,18.9481,18.7113,18.4744,18.2376,18.0007,17.7639,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-01-22 05:00:00+00:00,22.56208667730162,23.270279986253467,22.533472089568523,22.862531661987305,108521400,2008,1,3,Tuesday,22.8071,23.61363983154297,-3.18,-4.45,-4.57,-3.18,4.57,4,92.0932,23.3775,23.1414,22.9052,22.6691,22.433,22.1968,21.9607,21.7245,21.4884,21.2523,21.0161,20.78,20.5439,20.3077,20.0716,19.8355,19.5993,19.3632,19.127,18.8909,18.6548,18.4186,18.1825,17.9464,17.7102,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-01-23 05:00:00+00:00,22.519153509852707,22.9269016297691,22.20440138904375,22.84106063842773,137597400,2008,1,3,Wednesday,22.6229,22.862531661987305,-0.09,-1.5,-2.88,-0.09,2.88,2,45.0392,22.6339,22.4053,22.1767,21.948,21.7194,21.4908,21.2622,21.0335,20.8049,20.5763,20.3477,20.119,19.8904,19.6618,19.4332,19.2045,18.9759,18.7473,18.5187,18.29,18.0614,17.8328,17.6041,17.3755,17.1469,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-01-24 05:00:00+00:00,23.141511577046284,23.86401473719686,22.97698182989235,23.78532600402832,155640400,2008,1,3,Thursday,23.442,22.84106063842773,4.13,1.32,0.6,4.13,-0.6,0,0.0,22.6127,22.3842,22.1558,21.9274,21.699,21.4706,21.2422,21.0138,20.7854,20.557,20.3285,20.1001,19.8717,19.6433,19.4149,19.1865,18.9581,18.7297,18.5013,18.2728,18.0444,17.816,17.5876,17.3592,17.1308,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-01-25 05:00:00+00:00,24.96563645811032,25.037170138400327,23.51347873447531,23.563552856445312,196992300,2008,1,3,Friday,24.27,23.78532600402832,-0.93,4.96,-1.14,-0.93,1.14,1,23.5475,23.5475,23.3096,23.0718,22.8339,22.5961,22.3582,22.1204,21.8825,21.6446,21.4068,21.1689,20.9311,20.6932,20.4554,20.2175,19.9797,19.7418,19.504,19.2661,19.0283,18.7904,18.5526,18.3147,18.0768,17.839,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-01-28 05:00:00+00:00,23.62079475795594,23.67802118736921,23.191584257592364,23.406190872192383,81019000,2008,1,4,Monday,23.4741,23.563552856445312,-0.67,0.24,-1.58,-0.67,1.58,1,23.3279,23.3279,23.0923,22.8566,22.621,22.3854,22.1497,21.9141,21.6785,21.4428,21.2072,20.9716,20.7359,20.5003,20.2647,20.029,19.7934,19.5577,19.3221,19.0865,18.8508,18.6152,18.3796,18.1439,17.9083,17.6727,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-01-29 05:00:00+00:00,23.49918193425545,23.52779651066873,23.14150791559807,23.32034492492676,68023000,2008,1,4,Tuesday,23.3722,23.406190872192383,-0.37,0.4,-1.13,-0.37,1.13,1,23.1721,23.1721,22.9381,22.704,22.4699,22.2359,22.0018,21.7678,21.5337,21.2996,21.0656,20.8315,20.5974,20.3634,20.1293,19.8953,19.6612,19.4271,19.1931,18.959,18.725,18.4909,18.2568,18.0228,17.7887,17.5546,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-01-30 05:00:00+00:00,23.291739824421697,23.46342187496124,22.92691069156044,23.03421401977539,106432600,2008,1,4,Wednesday,23.1791,23.32034492492676,-1.23,-0.12,-1.69,-1.23,1.69,1,23.0871,23.0871,22.8539,22.6207,22.3875,22.1543,21.9211,21.6879,21.4547,21.2215,20.9883,20.7551,20.5219,20.2887,20.0555,19.8223,19.5891,19.3559,19.1227,18.8895,18.6563,18.4231,18.1899,17.9567,17.7235,17.4903,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-01-31 05:00:00+00:00,22.826755761560605,23.42049594237324,22.690839252433733,23.32034492492676,103642200,2008,1,4,Thursday,23.0646,23.03421401977539,1.24,-0.9,-1.49,1.24,1.49,1,22.8039,22.8039,22.5735,22.3432,22.1128,21.8825,21.6522,21.4218,21.1915,20.9611,20.7308,20.5005,20.2701,20.0398,19.8094,19.5791,19.3487,19.1184,18.8881,18.6577,18.4274,18.197,17.9667,17.7363,17.506,17.2757,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-02-01 05:00:00+00:00,22.218702232565267,23.7853142928372,21.639270897994745,21.78234100341797,291138900,2008,2,4,Friday,22.3564,23.32034492492676,-6.6,-4.72,-7.21,-6.6,7.21,7,156.7127,23.0871,22.8539,22.6207,22.3875,22.1543,21.9211,21.6879,21.4547,21.2215,20.9883,20.7551,20.5219,20.2887,20.0555,19.8223,19.5891,19.3559,19.1227,18.8895,18.6563,18.4231,18.1899,17.9567,17.7235,17.4903,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-02-04 05:00:00+00:00,21.810955429290075,21.975485104663363,21.539123851039328,21.59635162353516,119998600,2008,2,5,Monday,21.7305,21.78234100341797,-0.85,0.13,-1.12,-0.85,1.12,1,21.5645,21.5645,21.3467,21.1289,20.911,20.6932,20.4754,20.2576,20.0398,19.8219,19.6041,19.3863,19.1685,18.9506,18.7328,18.515,18.2972,18.0793,17.8615,17.6437,17.4259,17.208,16.9902,16.7724,16.5546,16.3368,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-02-05 05:00:00+00:00,21.396058441135605,21.41751937219599,20.666403158098724,20.795166015625,137534100,2008,2,5,Tuesday,21.0688,21.59635162353516,-3.71,-0.93,-4.31,-3.71,4.31,4,84.2258,21.3804,21.1644,20.9485,20.7325,20.5165,20.3006,20.0846,19.8686,19.6527,19.4367,19.2208,19.0048,18.7888,18.5729,18.3569,18.1409,17.925,17.709,17.493,17.2771,17.0611,16.8452,16.6292,16.4132,16.1973,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-02-06 05:00:00+00:00,20.945386509255115,20.99546064276741,20.23719226868593,20.401721954345703,138315600,2008,2,5,Wednesday,20.6449,20.795166015625,-1.89,0.72,-2.68,-1.89,2.68,2,40.9665,20.5872,20.3793,20.1713,19.9634,19.7554,19.5475,19.3395,19.1316,18.9236,18.7156,18.5077,18.2997,18.0918,17.8838,17.6759,17.4679,17.26,17.052,16.8441,16.6361,16.4282,16.2202,16.0123,15.8043,15.5964,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-02-07 05:00:00+00:00,20.272955621061826,20.587709017397955,19.95820222472569,20.11557960510254,164964900,2008,2,5,Thursday,20.2336,20.401721954345703,-1.4,-0.63,-2.17,-1.4,2.17,2,40.1914,20.1977,19.9937,19.7897,19.5857,19.3816,19.1776,18.9736,18.7696,18.5656,18.3615,18.1575,17.9535,17.7495,17.5455,17.3415,17.1374,16.9334,16.7294,16.5254,16.3214,16.1174,15.9133,15.7093,15.5053,15.3013,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-02-08 05:00:00+00:00,20.237196877755924,20.80232112464025,20.20142865680241,20.430339813232425,124872000,2008,2,5,Friday,20.4178,20.11557960510254,1.56,0.6,0.43,1.56,-0.43,0,0.0,19.9144,19.7133,19.5121,19.311,19.1098,18.9086,18.7075,18.5063,18.3052,18.104,17.9029,17.7017,17.5006,17.2994,17.0982,16.8971,16.6959,16.4948,16.2936,16.0925,15.8913,15.6902,15.489,15.2878,15.0867,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-02-11 05:00:00+00:00,20.401730615238154,20.466112061204388,19.965367784671106,20.17997169494629,156814100,2008,2,6,Monday,20.2533,20.430339813232425,-1.23,-0.14,-2.28,-1.23,2.28,2,40.2478,20.226,20.0217,19.8174,19.6131,19.4088,19.2045,19.0002,18.7959,18.5916,18.3873,18.183,17.9787,17.7744,17.5701,17.3658,17.1615,16.9572,16.7529,16.5486,16.3443,16.14,15.9357,15.7314,15.5271,15.3228,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-02-12 05:00:00+00:00,20.33734208638592,20.473258576581035,20.108430964637016,20.2729606628418,84365900,2008,2,6,Tuesday,20.298,20.17997169494629,0.46,0.78,-0.35,0.46,0.35,0,0.0,19.9782,19.7764,19.5746,19.3728,19.171,18.9692,18.7674,18.5656,18.3638,18.162,17.9602,17.7584,17.5566,17.3548,17.153,16.9512,16.7494,16.5476,16.3458,16.144,15.9422,15.7404,15.5386,15.3368,15.135,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-02-13 05:00:00+00:00,20.4732669270777,20.7808655196278,20.408885477274115,20.71648406982422,88986200,2008,2,6,Wednesday,20.5949,20.2729606628418,2.19,0.99,0.67,2.19,-0.67,0,0.0,20.0702,19.8675,19.6648,19.462,19.2593,19.0566,18.8539,18.6511,18.4484,18.2457,18.0429,17.8402,17.6375,17.4347,17.232,17.0293,16.8266,16.6238,16.4211,16.2184,16.0156,15.8129,15.6102,15.4075,15.2047,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-02-14 05:00:00+00:00,20.659254262123383,20.773711222997488,20.3588079803224,20.387422561645508,69113500,2008,2,6,Thursday,20.5448,20.71648406982422,-1.59,-0.28,-1.73,-1.59,1.73,1,20.5093,20.5093,20.3022,20.095,19.8878,19.6807,19.4735,19.2663,19.0592,18.852,18.6448,18.4377,18.2305,18.0233,17.8162,17.609,17.4018,17.1947,16.9875,16.7804,16.5732,16.366,16.1589,15.9517,15.7445,15.5374,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-02-15 05:00:00+00:00,20.2515076401356,20.48757249715607,20.208587129155084,20.330196380615234,68166100,2008,2,6,Friday,20.3195,20.387422561645508,-0.28,-0.67,-0.88,-0.28,0.88,0,0.0,20.1835,19.9797,19.7758,19.5719,19.3681,19.1642,18.9603,18.7564,18.5526,18.3487,18.1448,17.9409,17.7371,17.5332,17.3293,17.1254,16.9216,16.7177,16.5138,16.3099,16.1061,15.9022,15.6983,15.4944,15.2906,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2008-02-19 05:00:00+00:00,20.68207604221419,20.71080180605484,20.157843179600604,20.229656219482425,68261200,2008,2,7,Tuesday,20.4451,20.330196380615234,-0.49,1.73,-0.85,-0.49,0.85,0,0.0,20.1269,19.9236,19.7203,19.517,19.3137,19.1104,18.9071,18.7038,18.5005,18.2972,18.0939,17.8906,17.6873,17.484,17.2807,17.0774,16.8741,16.6708,16.4675,16.2642,16.0609,15.8576,15.6543,15.4509,15.2476,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
