Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,Shares_Purchased,Total_Value_Purchased,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
MSFT,2017-01-03 05:00:00+00:00,56.48823563013914,56.53321681572955,55.89447505755009,56.299312591552734,20694100,2017,1,1,Tuesday,56.3038,55.903465270996094,0.71,1.05,-0.02,0.71,0.02,55.3444,54.7854,54.2264,53.6673,53.1083,52.5493,51.9902,51.4312,50.8722,50.3131,49.7541,49.195,48.636,48.077,47.5179,46.9589,45.8408,45.2818,44.7228,44.1637,43.6047,43.0457,42.4866,41.9276,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2017-01-04 05:00:00+00:00,56.209351714805024,56.45225425649498,55.885481659218414,56.04741668701172,21340000,2017,1,1,Wednesday,56.1486,56.299312591552734,-0.45,-0.16,-0.74,-0.45,0.74,55.7363,55.1733,54.6103,54.0473,53.4843,52.9214,52.3584,51.7954,51.2324,50.6694,50.1064,49.5434,48.9804,48.4174,47.8544,47.2914,46.1654,45.6024,45.0395,44.4765,43.9135,43.3505,42.7875,42.2245,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2017-01-05 05:00:00+00:00,55.94845601093305,56.37128674259833,55.80451414532176,56.04741668701172,24876000,2017,1,1,Thursday,56.0429,56.04741668701172,0.0,-0.18,-0.43,0.0,0.43,55.4869,54.9265,54.366,53.8055,53.245,52.6846,52.1241,51.5636,51.0031,50.4427,49.8822,49.3217,48.7613,48.2008,47.6403,47.0798,45.9589,45.3984,44.8379,44.2775,43.717,43.1565,42.596,42.0356,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2017-01-06 05:00:00+00:00,56.047409547594576,56.812103399620426,55.81350533271314,56.5332145690918,19922900,2017,1,1,Friday,56.3016,56.04741668701172,0.87,-0.0,-0.42,0.87,0.42,55.4869,54.9265,54.366,53.8055,53.245,52.6846,52.1241,51.5636,51.0031,50.4427,49.8822,49.3217,48.7613,48.2008,47.6403,47.0798,45.9589,45.3984,44.8379,44.2775,43.717,43.1565,42.596,42.0356,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2017-01-09 05:00:00+00:00,56.46125373732842,56.74914092393036,56.26333580083624,56.35329818725586,20382700,2017,1,2,Monday,56.4568,56.5332145690918,-0.32,-0.13,-0.48,-0.32,0.48,55.9679,55.4026,54.8372,54.2719,53.7066,53.1412,52.5759,52.0106,51.4452,50.8799,50.3146,49.7492,49.1839,48.6186,48.0532,47.4879,46.3572,45.7919,45.2266,44.6612,44.0959,43.5306,42.9652,42.3999,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2017-01-10 05:00:00+00:00,56.4342611216833,56.74013801523625,56.02942355200369,56.33530044555664,18593000,2017,1,2,Tuesday,56.3848,56.35329818725586,-0.03,0.14,-0.57,-0.03,0.57,55.7898,55.2262,54.6627,54.0992,53.5356,52.9721,52.4086,51.845,51.2815,50.718,50.1544,49.5909,49.0274,48.4638,47.9003,47.3368,46.2097,45.6462,45.0826,44.5191,43.9556,43.392,42.8285,42.265,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2017-01-11 05:00:00+00:00,56.32629939196622,56.88407363121877,56.16436438188574,56.848087310791016,21517300,2017,1,2,Wednesday,56.5557,56.33530044555664,0.91,-0.02,-0.3,0.91,0.3,55.7719,55.2086,54.6452,54.0819,53.5185,52.9552,52.3918,51.8285,51.2651,50.7018,50.1384,49.5751,49.0117,48.4484,47.885,47.3217,46.1949,45.6316,45.0682,44.5049,43.9415,43.3782,42.8148,42.2515,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2017-01-12 05:00:00+00:00,56.73113143136664,57.03700826173597,55.73253344304779,56.3262939453125,20968200,2017,1,2,Thursday,56.4567,56.848087310791016,-0.92,-0.21,-1.96,-0.92,1.96,56.2796,55.7111,55.1426,54.5742,54.0057,53.4372,52.8687,52.3002,51.7318,51.1633,50.5948,50.0263,49.4578,48.8894,48.3209,47.7524,46.6154,46.047,45.4785,44.91,44.3415,43.773,43.2045,42.6361,1,56.2796,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2017-01-13 05:00:00+00:00,56.33530350089807,56.56021289271305,56.0924009459165,56.40727615356445,19422300,2017,1,2,Friday,56.3488,56.3262939453125,0.14,0.02,-0.42,0.14,0.42,55.763,55.1998,54.6365,54.0732,53.51,52.9467,52.3835,51.8202,51.2569,50.6937,50.1304,49.5671,49.0039,48.4406,47.8773,47.3141,46.1876,45.6243,45.061,44.4978,43.9345,43.3712,42.808,42.2447,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSFT,2017-01-17 05:00:00+00:00,56.389265202563024,56.40725836005373,55.80449959556877,56.25431823730469,20664000,2017,1,3,Tuesday,56.2138,56.40727615356445,-0.27,-0.03,-1.07,-0.27,1.07,55.8432,55.2791,54.7151,54.151,53.5869,53.0228,52.4588,51.8947,51.3306,50.7665,50.2025,49.6384,49.0743,48.5103,47.9462,47.3821,46.254,45.6899,45.1258,44.5617,43.9977,43.4336,42.8695,42.3055,1,55.8432,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
