Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,Shares_Purchased,Total_Value_Purchased,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
NVDA,2017-01-03 05:00:00+00:00,2.5712085491106675,2.6197266908003494,2.447573839262562,2.512346744537353,1501996000,2017,1,1,Tuesday,2.5377,2.628839492797852,-4.43,-2.19,-6.9,-4.43,6.9,2.6026,2.5763,2.55,2.5237,2.4974,2.4711,2.4448,2.4185,2.3922,2.366,2.3397,2.3134,2.2871,2.2608,2.2345,2.2082,2.1556,2.1294,2.1031,2.0768,2.0505,2.0242,1.9979,1.9716,6,15.221,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NVDA,2017-01-04 05:00:00+00:00,2.5465812280239137,2.598300971460817,2.5005259686377994,2.570963382720948,1199220000,2017,1,1,Wednesday,2.5541,2.512346744537353,2.33,1.36,-0.47,2.33,0.47,2.4872,2.4621,2.437,2.4119,2.3867,2.3616,2.3365,2.3114,2.2862,2.2611,2.236,2.2109,2.1857,2.1606,2.1355,2.1104,2.0601,2.035,2.0099,1.9848,1.9596,1.9345,1.9094,1.8843,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NVDA,2017-01-05 05:00:00+00:00,2.5744109074379304,2.606181524343365,2.488703804678348,2.50569748878479,984296000,2017,1,1,Thursday,2.5437,2.570963382720948,-2.54,0.13,-3.2,-2.54,3.2,2.5453,2.5195,2.4938,2.4681,2.4424,2.4167,2.391,2.3653,2.3396,2.3139,2.2882,2.2624,2.2367,2.211,2.1853,2.1596,2.1082,2.0825,2.0568,2.0311,2.0054,1.9796,1.9539,1.9282,3,7.5586,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NVDA,2017-01-06 05:00:00+00:00,2.5330349489459816,2.567514848582558,2.492398033423457,2.5391921997070312,822856000,2017,1,1,Friday,2.533,2.50569748878479,1.34,1.09,-0.53,1.34,0.53,2.4806,2.4556,2.4305,2.4055,2.3804,2.3554,2.3303,2.3052,2.2802,2.2551,2.2301,2.205,2.18,2.1549,2.1298,2.1048,2.0547,2.0296,2.0046,1.9795,1.9544,1.9294,1.9043,1.8793,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NVDA,2017-01-09 05:00:00+00:00,2.549043166018844,2.659871078698997,2.549043166018844,2.6421384811401367,916248000,2017,1,2,Monday,2.6,2.5391921997070312,4.05,0.39,0.39,4.05,-0.39,2.5138,2.4884,2.463,2.4376,2.4122,2.3868,2.3614,2.3361,2.3107,2.2853,2.2599,2.2345,2.2091,2.1837,2.1583,2.1329,2.0821,2.0567,2.0314,2.006,1.9806,1.9552,1.9298,1.9044,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NVDA,2017-01-10 05:00:00+00:00,2.6551918225179927,2.689178950904246,2.601501728478383,2.62218976020813,880920000,2017,1,2,Tuesday,2.642,2.6421384811401367,-0.76,0.49,-1.54,-0.76,1.54,2.6157,2.5893,2.5629,2.5365,2.51,2.4836,2.4572,2.4308,2.4043,2.3779,2.3515,2.3251,2.2987,2.2722,2.2458,2.2194,2.1666,2.1401,2.1137,2.0873,2.0609,2.0344,2.008,1.9816,1,2.6157,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NVDA,2017-01-11 05:00:00+00:00,2.6106142734622613,2.6155398384583823,2.565051564154047,2.589926242828369,525664000,2017,1,2,Wednesday,2.5953,2.62218976020813,-1.23,-0.44,-2.18,-1.23,2.18,2.596,2.5697,2.5435,2.5173,2.4911,2.4649,2.4386,2.4124,2.3862,2.36,2.3337,2.3075,2.2813,2.2551,2.2289,2.2026,2.1502,2.124,2.0978,2.0715,2.0453,2.0191,1.9929,1.9666,2,5.1657,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NVDA,2017-01-12 05:00:00+00:00,2.567021801470244,2.578597148733022,2.5027414316971006,2.547565221786499,625616000,2017,1,2,Thursday,2.549,2.589926242828369,-1.64,-0.88,-3.37,-1.64,3.37,2.564,2.5381,2.5122,2.4863,2.4604,2.4345,2.4086,2.3827,2.3568,2.3309,2.305,2.2791,2.2532,2.2273,2.2014,2.1755,2.1237,2.0978,2.0719,2.046,2.0201,1.9942,1.9683,1.9424,3,7.6144,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NVDA,2017-01-13 05:00:00+00:00,2.5515067770497777,2.5859866840589514,2.5382074413873474,2.5473201274871826,457820000,2017,1,2,Friday,2.5558,2.547565221786499,-0.01,0.15,-0.37,-0.01,0.37,2.5221,2.4966,2.4711,2.4457,2.4202,2.3947,2.3692,2.3438,2.3183,2.2928,2.2673,2.2419,2.2164,2.1909,2.1654,2.14,2.089,2.0635,2.0381,2.0126,1.9871,1.9616,1.9361,1.9107,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NVDA,2017-01-17 05:00:00+00:00,2.5367294699261373,2.541655035990982,2.476882350781287,2.4901816844940186,580612000,2017,1,3,Tuesday,2.5114,2.5473201274871826,-2.24,-0.42,-2.77,-2.24,2.77,2.5218,2.4964,2.4709,2.4454,2.42,2.3945,2.369,2.3435,2.3181,2.2926,2.2671,2.2416,2.2162,2.1907,2.1652,2.1397,2.0888,2.0633,2.0379,2.0124,1.9869,1.9614,1.936,1.9105,2,5.0182,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
