Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD83-17,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD83-17_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
OEF,2014-01-02 05:00:00+00:00,67.33516394964374,67.4008022636485,66.90852742784114,67.04800415039062,447600,2014,1,1,Thursday,67.1731,67.56488800048828,-0.77,-0.34,-0.97,-0.77,0.97,0,0.0,66.8892,66.2136,65.5379,64.8623,64.1866,63.511,62.8353,62.1597,61.484,60.8084,60.1328,59.4571,58.7815,58.1058,57.4302,56.7545,56.0789,55.4032,54.7276,54.0519,53.3763,52.7006,52.025,51.3493,50.6737,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2014-01-03 05:00:00+00:00,67.17105411184973,67.25309884973842,66.900300843166,66.98234558105469,1508600,2014,1,1,Friday,67.0767,67.04800415039062,-0.1,0.18,-0.22,-0.1,0.22,0,0.0,66.3775,65.707,65.0366,64.3661,63.6956,63.0251,62.3546,61.6842,61.0137,60.3432,59.6727,59.0022,58.3318,57.6613,56.9908,56.3203,55.6498,54.9794,54.3089,53.6384,52.9679,52.2974,51.627,50.9565,50.286,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2014-01-06 05:00:00+00:00,67.2120811231406,67.2120811231406,66.71980637927135,66.88389587402344,378300,2014,1,1,Monday,67.007,66.98234558105469,-0.15,0.34,-0.39,-0.15,0.39,0,0.0,66.3125,65.6427,64.9729,64.3031,63.6332,62.9634,62.2936,61.6238,60.9539,60.2841,59.6143,58.9445,58.2746,57.6048,56.935,56.2652,55.5953,54.9255,54.2557,53.5859,52.9161,52.2462,51.5764,50.9066,50.2368,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2014-01-07 05:00:00+00:00,67.19565034706126,67.35973978239925,67.11360562939227,67.25308227539062,261900,2014,1,1,Tuesday,67.2305,66.88389587402344,0.55,0.47,0.34,0.55,-0.34,0,0.0,66.2151,65.5462,64.8774,64.2085,63.5397,62.8709,62.202,61.5332,60.8643,60.1955,59.5267,58.8578,58.189,57.5202,56.8513,56.1825,55.5136,54.8448,54.176,53.5071,52.8383,52.1694,51.5006,50.8318,50.1629,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2014-01-08 05:00:00+00:00,67.17924572620029,67.26949680437227,66.94131163462066,67.13002014160156,551000,2014,1,1,Wednesday,67.13,67.25308227539062,-0.18,-0.11,-0.46,-0.18,0.46,0,0.0,66.5806,65.908,65.2355,64.563,63.8904,63.2179,62.5454,61.8728,61.2003,60.5278,59.8552,59.1827,58.5102,57.8377,57.1651,56.4926,55.8201,55.1475,54.475,53.8025,53.1299,52.4574,51.7849,51.1123,50.4398,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2014-01-09 05:00:00+00:00,67.33515553834636,67.33515553834636,66.8346744109034,67.09722137451172,407800,2014,1,1,Thursday,67.1506,67.13002014160156,-0.05,0.31,-0.44,-0.05,0.44,0,0.0,66.4587,65.7874,65.1161,64.4448,63.7735,63.1022,62.4309,61.7596,61.0883,60.417,59.7457,59.0744,58.4031,57.7318,57.0605,56.3892,55.7179,55.0466,54.3753,53.704,53.0327,52.3614,51.6901,51.0188,50.3475,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2014-01-10 05:00:00+00:00,67.25307759912968,67.30230317438617,66.79362220444175,67.16282653808594,373600,2014,1,1,Friday,67.128,67.09722137451172,0.1,0.23,-0.45,0.1,0.45,0,0.0,66.4262,65.7553,65.0843,64.4133,63.7424,63.0714,62.4004,61.7294,61.0585,60.3875,59.7165,59.0456,58.3746,57.7036,57.0326,56.3617,55.6907,55.0197,54.3487,53.6778,53.0068,52.3358,51.6649,50.9939,50.3229,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2014-01-13 05:00:00+00:00,66.99055053627428,67.21207194991727,66.27674818633645,66.39981842041016,487500,2014,1,2,Monday,66.7198,67.16282653808594,-1.14,-0.26,-1.32,-1.14,1.32,1,66.4912,66.4912,65.8196,65.1479,64.4763,63.8047,63.1331,62.4614,61.7898,61.1182,60.4465,59.7749,59.1033,58.4317,57.76,57.0884,56.4168,55.7451,55.0735,54.4019,53.7303,53.0586,52.387,51.7154,51.0437,50.3721,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2014-01-14 05:00:00+00:00,66.58029951988244,67.07257404073647,66.46543567367019,67.05616760253906,398800,2014,1,2,Tuesday,66.7936,66.39981842041016,0.99,0.27,0.1,0.99,-0.1,0,0.0,65.7358,65.0718,64.4078,63.7438,63.0798,62.4158,61.7518,61.0878,60.4238,59.7598,59.0958,58.4318,57.7678,57.1038,56.4398,55.7758,55.1118,54.4479,53.7839,53.1199,52.4559,51.7919,51.1279,50.4639,49.7999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2014-01-15 05:00:00+00:00,67.19566142539858,67.61409769199065,67.19566142539858,67.51564025878906,923200,2014,1,2,Wednesday,67.3803,67.05616760253906,0.69,0.21,0.21,0.69,-0.21,0,0.0,66.3856,65.715,65.0445,64.3739,63.7034,63.0328,62.3622,61.6917,61.0211,60.3506,59.68,59.0094,58.3389,57.6683,56.9977,56.3272,55.6566,54.9861,54.3155,53.6449,52.9744,52.3038,51.6332,50.9627,50.2921,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
