Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,Shares_Purchased,Total_Value_Purchased,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
OEF,2021-01-04 05:00:00+00:00,162.79291581089507,162.79291581089507,158.19243593688563,160.07229614257812,296300,2021,1,1,Monday,160.9626,162.14111328125,-1.28,0.4,-2.44,-1.28,2.44,160.5197,158.8983,157.2769,155.6555,154.0341,152.4126,150.7912,149.1698,147.5484,145.927,144.3056,142.6842,141.0628,139.4414,137.8199,136.1985,132.9557,131.3343,129.7129,128.0915,126.4701,124.8487,123.2272,121.6058,2,319.418,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2021-01-05 05:00:00+00:00,159.6566661937924,161.53654107144678,159.6566661937924,161.03587341308594,306800,2021,1,1,Tuesday,160.4714,160.07229614257812,0.6,-0.26,-0.26,0.6,0.26,158.4716,156.8709,155.2701,153.6694,152.0687,150.468,148.8672,147.2665,145.6658,144.0651,142.4643,140.8636,139.2629,137.6622,136.0615,134.4607,131.2593,129.6586,128.0578,126.4571,124.8564,123.2557,121.6549,120.0542,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2021-01-06 05:00:00+00:00,159.97783736778416,162.73623698602938,159.5810683248985,161.01695251464844,237800,2021,1,1,Wednesday,160.828,161.03587341308594,-0.01,-0.66,-0.9,-0.01,0.9,159.4255,157.8152,156.2048,154.5944,152.9841,151.3737,149.7634,148.153,146.5426,144.9323,143.3219,141.7116,140.1012,138.4909,136.8805,135.2701,132.0494,130.4391,128.8287,127.2183,125.608,123.9976,122.3873,120.7769,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2021-01-07 05:00:00+00:00,162.2544537509217,163.9642968480285,162.13165801202004,163.54864501953125,185800,2021,1,1,Thursday,162.9748,161.01695251464844,1.57,0.77,0.69,1.57,-0.69,159.4068,157.7966,156.1864,154.5763,152.9661,151.3559,149.7458,148.1356,146.5254,144.9153,143.3051,141.6949,140.0847,138.4746,136.8644,135.2542,132.0339,130.4237,128.8136,127.2034,125.5932,123.9831,122.3729,120.7627,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2021-01-08 05:00:00+00:00,164.43665904446183,164.9184295351066,163.04801034363496,164.8900909423828,313200,2021,1,1,Friday,164.3233,163.54864501953125,0.82,0.54,-0.31,0.82,0.31,161.9132,160.2777,158.6422,157.0067,155.3712,153.7357,152.1002,150.4648,148.8293,147.1938,145.5583,143.9228,142.2873,140.6518,139.0163,137.3809,134.1099,132.4744,130.8389,129.2034,127.5679,125.9325,124.297,122.6615,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2021-01-11 05:00:00+00:00,163.35024584946166,164.37991952315377,163.1707585383099,163.44471740722656,158500,2021,1,2,Monday,163.5864,164.8900909423828,-0.88,-0.93,-1.04,-0.88,1.04,163.2412,161.5923,159.9434,158.2945,156.6456,154.9967,153.3478,151.6989,150.05,148.4011,146.7522,145.1033,143.4544,141.8055,140.1566,138.5077,135.2099,133.561,131.9121,130.2632,128.6143,126.9654,125.3165,123.6676,1,163.2412,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2021-01-12 05:00:00+00:00,163.4541736361283,163.64310235447368,162.1599967804084,163.19911193847656,283600,2021,1,2,Tuesday,163.1141,163.44471740722656,-0.15,0.01,-0.79,-0.15,0.79,161.8103,160.1758,158.5414,156.9069,155.2725,153.638,152.0036,150.3691,148.7347,147.1002,145.4658,143.8314,142.1969,140.5625,138.928,137.2936,134.0247,132.3902,130.7558,129.1213,127.4869,125.8524,124.218,122.5835,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2021-01-13 05:00:00+00:00,163.24635509818123,164.47441344442373,163.14244213624522,164.0587615966797,341400,2021,1,2,Wednesday,163.7305,163.19911193847656,0.53,0.03,-0.03,0.53,0.03,161.5671,159.9351,158.3031,156.6711,155.0392,153.4072,151.7752,150.1432,148.5112,146.8792,145.2472,143.6152,141.9832,140.3512,138.7192,137.0873,133.8233,132.1913,130.5593,128.9273,127.2953,125.6633,124.0313,122.3993,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2021-01-14 05:00:00+00:00,164.30437465226038,164.60667215990136,163.08577205863662,163.16134643554688,302300,2021,1,2,Thursday,163.7895,164.0587615966797,-0.55,0.15,-0.59,-0.55,0.59,162.4182,160.7776,159.137,157.4964,155.8558,154.2152,152.5746,150.9341,149.2935,147.6529,146.0123,144.3717,142.7311,141.0905,139.4499,137.8094,134.5282,132.8876,131.247,129.6064,127.9658,126.3252,124.6847,123.0441,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OEF,2021-01-15 05:00:00+00:00,162.7268200994769,163.12357482291537,161.4232015551335,161.91441345214844,279700,2021,1,2,Friday,162.297,163.16134643554688,-0.76,-0.27,-1.07,-0.76,1.07,161.5297,159.8981,158.2665,156.6349,155.0033,153.3717,151.7401,150.1084,148.4768,146.8452,145.2136,143.582,141.9504,140.3188,138.6871,137.0555,133.7923,132.1607,130.5291,128.8975,127.2659,125.6342,124.0026,122.371,1,161.5297,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
