Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD83-17,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD83-17_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
QQQ,2025-01-02,511.06042287109295,513.3857099460889,502.52453474139946,507.0160827636719,36389800,2025,1,1,Thursday,508.4967,508.0097961425781,-0.2,0.6,-1.08,-0.2,1.08,1,502.9297,502.9297,497.8496,492.7695,487.6894,482.6093,477.5292,472.4491,467.369,462.2889,457.2088,452.1287,447.0486,441.9685,436.8884,431.8083,426.7282,421.6481,416.568,411.4879,406.4078,401.3277,396.2476,391.1675,386.0874,381.0073,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2025-01-03,510.1164395600479,516.37680506136,509.3016580240605,515.3135375976562,29059500,2025,1,1,Friday,512.7771,507.0160827636719,1.64,0.61,0.45,1.64,-0.45,0,0.0,501.9459,496.8758,491.8056,486.7354,481.6653,476.5951,471.525,466.4548,461.3846,456.3145,451.2443,446.1742,441.104,436.0338,430.9637,425.8935,420.8233,415.7532,410.683,405.6129,400.5427,395.4725,390.4024,385.3322,380.2621,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2025-01-06,520.7191566265536,524.5945536836261,518.7417015715621,521.23583984375,36109700,2025,1,1,Monday,521.3228,515.3135375976562,1.15,1.05,0.67,1.15,-0.67,0,0.0,510.1604,505.0073,499.8541,494.701,489.5479,484.3947,479.2416,474.0885,468.9353,463.7822,458.629,453.4759,448.3228,443.1696,438.0165,432.8634,427.7102,422.5571,417.404,412.2508,407.0977,401.9446,396.7914,391.6383,386.4852,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2025-01-07,522.2793368947259,522.67678090554,510.0468799728483,511.9348754882813,36690300,2025,1,1,Tuesday,516.7345,521.23583984375,-1.78,0.2,-2.15,-1.78,2.15,2,1026.8346,516.0235,510.8111,505.5988,500.3864,495.174,489.9617,484.7493,479.537,474.3246,469.1123,463.8999,458.6875,453.4752,448.2628,443.0505,437.8381,432.6257,427.4134,422.201,416.9887,411.7763,406.564,401.3516,396.1392,390.9269,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2025-01-08,511.8354863915311,513.6638621182858,507.3538855422856,512.0242919921875,30777800,2025,1,1,Wednesday,511.2194,511.9348754882813,0.02,-0.02,-0.89,0.02,0.89,0,0.0,506.8155,501.6962,496.5768,491.4575,486.3381,481.2188,476.0994,470.9801,465.8607,460.7414,455.622,450.5027,445.3833,440.264,435.1446,430.0253,424.9059,419.7866,414.6672,409.5479,404.4286,399.3092,394.1899,389.0705,383.9512,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2025-01-10,508.2581944885488,508.3575403275065,500.7458174123479,503.9952087402344,40532500,2025,1,1,Friday,505.3392,512.0242919921875,-1.57,-0.74,-2.2,-1.57,2.2,2,1008.6879,506.904,501.7838,496.6636,491.5433,486.4231,481.3028,476.1826,471.0623,465.9421,460.8219,455.7016,450.5814,445.4611,440.3409,435.2206,430.1004,424.9802,419.8599,414.7397,409.6194,404.4992,399.3789,394.2587,389.1385,384.0182,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2025-01-13,498.04296636403393,502.8325822621149,496.5524148250259,502.37548828125,31694200,2025,1,2,Monday,499.9509,503.9952087402344,-0.32,-1.18,-1.48,-0.32,1.48,1,498.9553,498.9553,493.9153,488.8754,483.8354,478.7954,473.7555,468.7155,463.6756,458.6356,453.5957,448.5557,443.5158,438.4758,433.4359,428.3959,423.356,418.316,413.2761,408.2361,403.1962,398.1562,393.1163,388.0763,383.0364,377.9964,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2025-01-14,505.5354171737264,506.9464858814396,498.4304613679452,501.8984680175781,33737200,2025,1,2,Tuesday,503.2027,502.37548828125,-0.09,0.63,-0.79,-0.09,0.79,0,0.0,497.3517,492.328,487.3042,482.2805,477.2567,472.233,467.2092,462.1854,457.1617,452.1379,447.1142,442.0904,437.0667,432.0429,427.0192,421.9954,416.9717,411.9479,406.9241,401.9004,396.8766,391.8529,386.8291,381.8054,376.7816,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2025-01-15,509.7983862555164,514.5879710744987,508.2382382867803,513.4452514648438,34957600,2025,1,2,Wednesday,511.5175,501.8984680175781,2.3,1.57,1.26,2.3,-1.26,0,0.0,496.8795,491.8605,486.8415,481.8225,476.8035,471.7846,466.7656,461.7466,456.7276,451.7086,446.6896,441.6707,436.6517,431.6327,426.6137,421.5947,416.5757,411.5567,406.5378,401.5188,396.4998,391.4808,386.4618,381.4428,376.4239,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQ,2025-01-16,515.7109442532102,515.7904573182853,509.7189585445146,509.84814453125,28229000,2025,1,2,Thursday,512.7671,513.4452514648438,-0.7,0.44,-0.73,-0.7,0.73,0,0.0,508.3108,503.1763,498.0419,492.9074,487.773,482.6385,477.5041,472.3696,467.2352,462.1007,456.9663,451.8318,446.6974,441.5629,436.4285,431.294,426.1596,421.0251,415.8907,410.7562,405.6217,400.4873,395.3528,390.2184,385.0839,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
