Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
QQQJ,2020-10-13 04:00:00+00:00,25.811553844523733,25.92717007392945,25.71809644294925,25.8308219909668,889600,2020,10,41,Tuesday,25.8219,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2020-10-14 04:00:00+00:00,26.08614025862636,26.13912994945889,25.628488320500427,25.70556640625,1540400,2020,10,41,Wednesday,25.8898,25.8308219909668,-0.48,0.99,-0.78,-0.48,0.78,0,0.0,25.5725,25.3142,25.0559,24.7976,24.5393,24.281,24.0227,23.7644,23.506,23.2477,22.9894,22.7311,22.4728,22.2145,21.9562,21.6979,21.1813,20.923,20.6647,20.4063,20.148,19.8897,19.6314,19.3731,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2020-10-15 04:00:00+00:00,25.40688927192668,25.676661655524256,25.25273126141679,25.62848854064941,518800,2020,10,41,Thursday,25.4912,25.70556640625,-0.3,-1.16,-1.76,-0.3,1.76,1,25.4485,25.4485,25.1915,24.9344,24.6773,24.4203,24.1632,23.9062,23.6491,23.3921,23.135,22.878,22.6209,22.3638,22.1068,21.8497,21.5927,21.0786,20.8215,20.5645,20.3074,20.0503,19.7933,19.5362,19.2792,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2020-10-16 04:00:00+00:00,25.724836646043485,25.82118287593533,25.58031362583263,25.60921859741211,460000,2020,10,41,Friday,25.6839,25.62848854064941,-0.08,0.38,-0.19,-0.08,0.19,0,0.0,25.3722,25.1159,24.8596,24.6033,24.3471,24.0908,23.8345,23.5782,23.3219,23.0656,22.8094,22.5531,22.2968,22.0405,21.7842,21.5279,21.0154,20.7591,20.5028,20.2465,19.9902,19.7339,19.4777,19.2214,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2020-10-19 04:00:00+00:00,25.71520097387233,25.86935714283685,25.30090558064776,25.50323486328125,560500,2020,10,42,Monday,25.5972,25.60921859741211,-0.41,0.41,-1.2,-0.41,1.2,1,25.3531,25.3531,25.097,24.8409,24.5848,24.3288,24.0727,23.8166,23.5605,23.3044,23.0483,22.7922,22.5361,22.28,22.0239,21.7678,21.5117,20.9996,20.7435,20.4874,20.2313,19.9752,19.7191,19.463,19.2069,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2020-10-20 04:00:00+00:00,25.57067656452058,25.618849672103256,25.29126739501953,25.29126739501953,485000,2020,10,42,Tuesday,25.443,25.50323486328125,-0.83,0.26,-0.83,-0.83,0.83,0,0.0,25.2482,24.9932,24.7381,24.4831,24.2281,23.973,23.718,23.463,23.2079,22.9529,22.6979,22.4428,22.1878,21.9328,21.6777,21.4227,20.9127,20.6576,20.4026,20.1476,19.8925,19.6375,19.3825,19.1274,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2020-10-21 04:00:00+00:00,25.387620627434742,25.48878527660965,25.10821140092884,25.1660213470459,259100,2020,10,42,Wednesday,25.2877,25.29126739501953,-0.5,0.38,-0.72,-0.5,0.72,0,0.0,25.0384,24.7854,24.5325,24.2796,24.0267,23.7738,23.5209,23.268,23.0151,22.7621,22.5092,22.2563,22.0034,21.7505,21.4976,21.2447,20.7388,20.4859,20.233,19.9801,19.7272,19.4743,19.2214,18.9685,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2020-10-22 04:00:00+00:00,25.243096263771825,25.349077476288457,24.954052082587115,25.252729415893555,200900,2020,10,42,Thursday,25.1997,25.1660213470459,0.34,0.31,-0.84,0.34,0.84,0,0.0,24.9144,24.6627,24.411,24.1594,23.9077,23.6561,23.4044,23.1527,22.9011,22.6494,22.3978,22.1461,21.8944,21.6428,21.3911,21.1395,20.6361,20.3845,20.1328,19.8812,19.6295,19.3778,19.1262,18.8745,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2020-10-23 04:00:00+00:00,25.445428770610544,25.512871870152576,25.272002607395805,25.48396873474121,224100,2020,10,42,Friday,25.4286,25.252729415893555,0.92,0.76,0.08,0.92,-0.08,0,0.0,25.0002,24.7477,24.4951,24.2426,23.9901,23.7376,23.485,23.2325,22.98,22.7275,22.4749,22.2224,21.9699,21.7173,21.4648,21.2123,20.7072,20.4547,20.2022,19.9497,19.6971,19.4446,19.1921,18.9395,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2020-10-26 04:00:00+00:00,25.37798211486133,25.435790215270067,24.76135747667109,25.031129837036133,593200,2020,10,43,Monday,25.1516,25.48396873474121,-1.78,-0.42,-2.84,-1.78,2.84,2,50.2034,25.2291,24.9743,24.7194,24.4646,24.2098,23.9549,23.7001,23.4453,23.1904,22.9356,22.6807,22.4259,22.1711,21.9162,21.6614,21.4065,20.8969,20.642,20.3872,20.1323,19.8775,19.6227,19.3678,19.113,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
