Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,Shares_Purchased,Total_Value_Purchased,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
QQQJ,2020-10-13 04:00:00+00:00,25.73049291124769,25.84574604901181,25.637329011731968,25.74970054626465,889600,2020,10,41,Tuesday,25.7408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2020-10-14 04:00:00+00:00,26.00421846819145,26.057041748420325,25.548003755572843,25.624839782714844,1540400,2020,10,41,Wednesday,25.8085,25.74970054626465,-0.48,0.99,-0.78,-0.48,0.78,25.4922,25.2347,24.9772,24.7197,24.4622,24.2047,23.9472,23.6897,23.4322,23.1747,22.9172,22.6597,22.4022,22.1447,21.8872,21.6297,21.1148,20.8573,20.5998,20.3423,20.0848,19.8273,19.5698,19.3123,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2020-10-15 04:00:00+00:00,25.327102688789523,25.59602789206205,25.173428788742363,25.54800605773925,518800,2020,10,41,Thursday,25.4111,25.624839782714844,-0.3,-1.16,-1.76,-0.3,1.76,25.3686,25.1123,24.8561,24.5998,24.3436,24.0873,23.8311,23.5749,23.3186,23.0624,22.8061,22.5499,22.2936,22.0374,21.7811,21.5249,21.0124,20.7561,20.4999,20.2436,19.9874,19.7311,19.4749,19.2186,1,25.3686,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2020-10-16 04:00:00+00:00,25.644048287316263,25.74009194371116,25.49997913889328,25.528793334960938,460000,2020,10,41,Friday,25.6032,25.54800605773925,-0.08,0.38,-0.19,-0.08,0.19,25.2925,25.037,24.7816,24.5261,24.2706,24.0151,23.7596,23.5042,23.2487,22.9932,22.7377,22.4822,22.2268,21.9713,21.7158,21.4603,20.9494,20.6939,20.4384,20.1829,19.9274,19.672,19.4165,19.161,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2020-10-19 04:00:00+00:00,25.634443829768816,25.78811587994445,25.22144950795356,25.42314338684082,560500,2020,10,42,Monday,25.5168,25.528793334960938,-0.41,0.41,-1.2,-0.41,1.2,25.2735,25.0182,24.7629,24.5076,24.2524,23.9971,23.7418,23.4865,23.2312,22.9759,22.7206,22.4653,22.2101,21.9548,21.6995,21.4442,20.9336,20.6783,20.423,20.1677,19.9125,19.6572,19.4019,19.1466,1,25.2735,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2020-10-20 04:00:00+00:00,25.490377140712614,25.53839897060922,25.21184539794922,25.21184539794922,485000,2020,10,42,Tuesday,25.3631,25.42314338684082,-0.83,0.26,-0.83,-0.83,0.83,25.1689,24.9147,24.6604,24.4062,24.152,23.8978,23.6435,23.3893,23.1351,22.8808,22.6266,22.3724,22.1181,21.8639,21.6097,21.3554,20.847,20.5927,20.3385,20.0843,19.8301,19.5758,19.3216,19.0674,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2020-10-21 04:00:00+00:00,25.30789180568132,25.408738751263595,25.02936005283642,25.08698844909668,259100,2020,10,42,Wednesday,25.2082,25.21184539794922,-0.5,0.38,-0.72,-0.5,0.72,24.9597,24.7076,24.4555,24.2034,23.9513,23.6991,23.447,23.1949,22.9428,22.6907,22.4385,22.1864,21.9343,21.6822,21.4301,21.178,20.6737,20.4216,20.1695,19.9174,19.6652,19.4131,19.161,18.9089,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2020-10-22 04:00:00+00:00,25.16382277429437,25.26947116311745,24.87568630825745,25.17342567443848,200900,2020,10,42,Thursday,25.1206,25.08698844909668,0.34,0.31,-0.84,0.34,0.84,24.8361,24.5852,24.3344,24.0835,23.8326,23.5818,23.3309,23.08,22.8292,22.5783,22.3274,22.0765,21.8257,21.5748,21.3239,21.0731,20.5713,20.3205,20.0696,19.8187,19.5679,19.317,19.0661,18.8152,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2020-10-23 04:00:00+00:00,25.365515552187528,25.4327468417737,25.192634046442944,25.40393447875977,224100,2020,10,42,Friday,25.3487,25.17342567443848,0.92,0.76,0.08,0.92,-0.08,24.9217,24.67,24.4182,24.1665,23.9148,23.663,23.4113,23.1596,22.9078,22.6561,22.4043,22.1526,21.9009,21.6491,21.3974,21.1457,20.6422,20.3905,20.1387,19.887,19.6353,19.3835,19.1318,18.8801,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2020-10-26 04:00:00+00:00,25.298287237326736,25.35591380204593,24.68359899521413,24.952524185180664,593200,2020,10,43,Monday,25.0726,25.40393447875977,-1.78,-0.42,-2.84,-1.78,2.84,25.1499,24.8959,24.6418,24.3878,24.1337,23.8797,23.6257,23.3716,23.1176,22.8635,22.6095,22.3555,22.1014,21.8474,21.5933,21.3393,20.8312,20.5772,20.3231,20.0691,19.8151,19.561,19.307,19.053,2,50.0458,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
