Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD83-17,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD83-17_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
QQQJ,2021-01-04,29.780648866690623,29.79981317207335,28.774546593011323,29.15782356262207,1080100,2021,1,1,Monday,29.3782,29.579423904418945,-1.43,0.68,-2.72,-1.43,2.72,2,58.2715,29.2836,28.9878,28.692,28.3962,28.1005,27.8047,27.5089,27.2131,26.9173,26.6215,26.3257,26.0299,25.7341,25.4383,25.1425,24.8467,24.5509,24.2551,23.9593,23.6635,23.3677,23.072,22.7762,22.4804,22.1846,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2021-01-05,29.11949506670708,29.589009584783145,29.06871130209043,29.5698471069336,375400,2021,1,1,Tuesday,29.3368,29.15782356262207,1.41,-0.13,-0.31,1.41,0.31,0,0.0,28.8662,28.5747,28.2831,27.9915,27.6999,27.4084,27.1168,26.8252,26.5336,26.242,25.9505,25.6589,25.3673,25.0757,24.7842,24.4926,24.201,23.9094,23.6178,23.3263,23.0347,22.7431,22.4515,22.1599,21.8684,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2021-01-06,29.469234241538828,30.0681050561561,29.36862438330921,29.742321014404297,725200,2021,1,1,Wednesday,29.6621,29.5698471069336,0.58,-0.34,-0.68,0.58,0.68,0,0.0,29.2741,28.9785,28.6828,28.3871,28.0914,27.7957,27.5,27.2043,26.9086,26.6129,26.3172,26.0215,25.7258,25.4301,25.1344,24.8387,24.543,24.2473,23.9516,23.6559,23.3602,23.0645,22.7688,22.4731,22.1774,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2021-01-07,30.068108193209167,30.63344244739877,30.068108193209167,30.595115661621094,849400,2021,1,1,Thursday,30.3412,29.742321014404297,2.87,1.1,1.1,2.87,-1.1,0,0.0,29.4449,29.1475,28.8501,28.5526,28.2552,27.9578,27.6604,27.3629,27.0655,26.7681,26.4707,26.1732,25.8758,25.5784,25.281,24.9835,24.6861,24.3887,24.0913,23.7939,23.4964,23.199,22.9016,22.6042,22.3067,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2021-01-08,30.758003674691867,31.04546459079829,30.51845717569013,30.9208984375,807900,2021,1,1,Friday,30.8107,30.595115661621094,1.06,0.53,-0.25,1.06,0.25,0,0.0,30.2892,29.9832,29.6773,29.3713,29.0654,28.7594,28.4535,28.1475,27.8416,27.5356,27.2297,26.9237,26.6178,26.3118,26.0058,25.6999,25.3939,25.088,24.782,24.4761,24.1701,23.8642,23.5582,23.2523,22.9463,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2021-01-11,30.671764524518306,31.10295222087777,30.4140114012162,30.930477142333984,824900,2021,1,2,Monday,30.7798,30.9208984375,0.03,-0.81,-1.64,0.03,1.64,1,30.6117,30.6117,30.3025,29.9933,29.6841,29.3749,29.0656,28.7564,28.4472,28.138,27.8288,27.5196,27.2104,26.9012,26.592,26.2828,25.9736,25.6643,25.3551,25.0459,24.7367,24.4275,24.1183,23.8091,23.4999,23.1907,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2021-01-12,31.11254367646273,31.26585448809469,30.97839717318703,31.179616928100582,1155000,2021,1,2,Tuesday,31.1341,30.930477142333984,0.81,0.59,0.15,0.81,-0.15,0,0.0,30.6212,30.3119,30.0026,29.6933,29.384,29.0746,28.7653,28.456,28.1467,27.8374,27.5281,27.2188,26.9095,26.6002,26.2909,25.9816,25.6723,25.363,25.0537,24.7444,24.4351,24.1258,23.8165,23.5072,23.1979,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2021-01-13,31.27543158743948,31.294595893818222,30.956353013907925,31.09337615966797,1182600,2021,1,2,Wednesday,31.1549,31.179616928100582,-0.28,0.31,-0.72,-0.28,0.72,0,0.0,30.8678,30.556,30.2442,29.9324,29.6206,29.3088,28.997,28.6852,28.3735,28.0617,27.7499,27.4381,27.1263,26.8145,26.5027,26.1909,25.8791,25.5673,25.2555,24.9437,24.6319,24.3201,24.0083,23.6965,23.3847,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2021-01-14,31.304181319345545,31.534149378138192,31.23423506212459,31.33292961120605,1047400,2021,1,2,Thursday,31.3514,31.09337615966797,0.77,0.68,0.45,0.77,-0.45,0,0.0,30.7824,30.4715,30.1606,29.8496,29.5387,29.2278,28.9168,28.6059,28.295,27.984,27.6731,27.3622,27.0512,26.7403,26.4294,26.1184,25.8075,25.4966,25.1856,24.8747,24.5638,24.2528,23.9419,23.631,23.32,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2021-01-15,31.33291902412342,31.41915656012957,30.74842057510585,30.94964027404785,1137600,2021,1,2,Friday,31.1125,31.33292961120605,-1.22,-0.0,-1.87,-1.22,1.87,1,31.0196,31.0196,30.7063,30.3929,30.0796,29.7663,29.453,29.1396,28.8263,28.513,28.1996,27.8863,27.573,27.2596,26.9463,26.633,26.3197,26.0063,25.693,25.3797,25.0663,24.753,24.4397,24.1264,23.813,23.4997,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2021-01-19,31.25147715954974,31.41916026175688,31.170027948291285,31.352087020874023,951000,2021,1,3,Tuesday,31.2982,30.94964027404785,1.3,0.98,0.71,1.3,-0.71,0,0.0,30.6401,30.3306,30.0212,29.7117,29.4022,29.0927,28.7832,28.4737,28.1642,27.8547,27.5452,27.2357,26.9262,26.6167,26.3072,25.9977,25.6882,25.3787,25.0692,24.7597,24.4502,24.1407,23.8312,23.5217,23.2122,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2021-01-20,31.62037878177677,31.77368956299487,31.43353138139275,31.629959106445312,1585500,2021,1,3,Wednesday,31.6144,31.352087020874023,0.89,0.86,0.26,0.89,-0.26,0,0.0,31.0386,30.725,30.4115,30.098,29.7845,29.471,29.1574,28.8439,28.5304,28.2169,27.9034,27.5898,27.2763,26.9628,26.6493,26.3358,26.0222,25.7087,25.3952,25.0817,24.7681,24.4546,24.1411,23.8276,23.5141,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2021-01-21,31.840762801326708,31.86950743054968,31.49581262978164,31.629959106445312,897700,2021,1,3,Thursday,31.709,31.629959106445312,0.0,0.67,-0.42,0.0,0.42,0,0.0,31.3137,30.9974,30.6811,30.3648,30.0485,29.7322,29.4159,29.0996,28.7833,28.467,28.1507,27.8344,27.5181,27.2018,26.8855,26.5692,26.2529,25.9366,25.6203,25.304,24.9877,24.6714,24.3551,24.0388,23.7225,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2021-01-22,31.524560191451,31.687451293603,31.40957436676072,31.658706665039062,702700,2021,1,3,Friday,31.5701,31.629959106445312,0.09,-0.33,-0.7,0.09,0.7,0,0.0,31.3137,30.9974,30.6811,30.3648,30.0485,29.7322,29.4159,29.0996,28.7833,28.467,28.1507,27.8344,27.5181,27.2018,26.8855,26.5692,26.2529,25.9366,25.6203,25.304,24.9877,24.6714,24.3551,24.0388,23.7225,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2021-01-25,31.831196718114352,32.00367188105324,30.997565545503388,31.495826721191406,1117500,2021,1,4,Monday,31.5821,31.658706665039062,-0.51,0.54,-2.09,-0.51,2.09,2,62.3677,31.3421,31.0255,30.7089,30.3924,30.0758,29.7592,29.4426,29.126,28.8094,28.4928,28.1762,27.8597,27.5431,27.2265,26.9099,26.5933,26.2767,25.9601,25.6436,25.327,25.0104,24.6938,24.3772,24.0606,23.744,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQQJ,2021-01-26,31.75452183405084,31.75452183405084,30.97838768698965,31.026296615600582,971100,2021,1,4,Tuesday,31.3784,31.495826721191406,-1.49,0.82,-1.64,-1.49,1.64,1,31.1809,31.1809,30.8659,30.551,30.236,29.921,29.6061,29.2911,28.9762,28.6612,28.3462,28.0313,27.7163,27.4014,27.0864,26.7715,26.4565,26.1415,25.8266,25.5116,25.1967,24.8817,24.5667,24.2518,23.9368,23.6219,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
