Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
QQUP,2025-06-12 04:00:00+00:00,39.68999862670898,40.09999847412109,39.68999862670898,39.93000030517578,5900,2025,6,23,Thursday,39.8525,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQUP,2025-06-13 04:00:00+00:00,39.84000015258789,39.84000015258789,38.869998931884766,38.90999984741211,13900,2025,6,23,Friday,39.365,39.93000030517578,-2.55,-0.23,-2.65,-2.55,2.65,2,78.6621,39.5307,39.1314,38.7321,38.3328,37.9335,37.5342,37.1349,36.7356,36.3363,35.937,35.5377,35.1384,34.7391,34.3398,33.9405,33.5412,32.7426,32.3433,31.944,31.5447,31.1454,30.7461,30.3468,29.9475,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQUP,2025-06-16 04:00:00+00:00,39.66400146484375,40.209999084472656,39.66400146484375,40.042999267578125,6200,2025,6,24,Monday,39.8953,38.90999984741211,2.91,1.94,1.94,2.91,-1.94,0,0.0,38.5209,38.1318,37.7427,37.3536,36.9645,36.5754,36.1863,35.7972,35.4081,35.019,34.6299,34.2408,33.8517,33.4626,33.0735,32.6844,31.9062,31.5171,31.128,30.7389,30.3498,29.9607,29.5716,29.1825,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQUP,2025-06-17 04:00:00+00:00,40.040000915527344,40.119998931884766,39.415000915527344,39.52999877929688,7700,2025,6,24,Tuesday,39.7762,40.042999267578125,-1.28,-0.01,-1.57,-1.28,1.57,1,39.6426,39.6426,39.2421,38.8417,38.4413,38.0408,37.6404,37.24,36.8396,36.4391,36.0387,35.6383,35.2378,34.8374,34.437,34.0365,33.6361,32.8353,32.4348,32.0344,31.634,31.2335,30.8331,30.4327,30.0322,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQUP,2025-06-18 04:00:00+00:00,39.41600036621094,40.275001525878906,39.41600036621094,39.630001068115234,14200,2025,6,24,Wednesday,39.6843,39.52999877929688,0.25,-0.29,-0.29,0.25,0.29,0,0.0,39.1347,38.7394,38.3441,37.9488,37.5535,37.1582,36.7629,36.3676,35.9723,35.577,35.1817,34.7864,34.3911,33.9958,33.6005,33.2052,32.4146,32.0193,31.624,31.2287,30.8334,30.4381,30.0428,29.6475,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQUP,2025-06-20 04:00:00+00:00,39.99800109863281,40.150001525878906,38.80500030517578,39.36000061035156,24700,2025,6,24,Friday,39.5783,39.630001068115234,-0.68,0.93,-2.08,-0.68,2.08,2,78.0711,39.2337,38.8374,38.4411,38.0448,37.6485,37.2522,36.8559,36.4596,36.0633,35.667,35.2707,34.8744,34.4781,34.0818,33.6855,33.2892,32.4966,32.1003,31.704,31.3077,30.9114,30.5151,30.1188,29.7225,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQUP,2025-06-23 04:00:00+00:00,39.5,40.0,38.869998931884766,40.0,14300,2025,6,25,Monday,39.5925,39.36000061035156,1.63,0.36,-1.24,1.63,1.24,1,38.9664,38.9664,38.5728,38.1792,37.7856,37.392,36.9984,36.6048,36.2112,35.8176,35.424,35.0304,34.6368,34.2432,33.8496,33.456,33.0624,32.2752,31.8816,31.488,31.0944,30.7008,30.3072,29.9136,29.52,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQUP,2025-06-24 04:00:00+00:00,41.0,41.2599983215332,40.63999938964844,41.2599983215332,20400,2025,6,25,Tuesday,41.04,40.0,3.15,2.5,1.6,3.15,-1.6,0,0.0,39.6,39.2,38.8,38.4,38.0,37.6,37.2,36.8,36.4,36.0,35.6,35.2,34.8,34.4,34.0,33.6,32.8,32.4,32.0,31.6,31.2,30.8,30.4,30.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQUP,2025-06-25 04:00:00+00:00,41.470001220703125,41.821998596191406,41.41999816894531,41.70000076293945,39000,2025,6,25,Wednesday,41.603,41.2599983215332,1.07,0.51,0.39,1.07,-0.39,0,0.0,40.8474,40.4348,40.0222,39.6096,39.197,38.7844,38.3718,37.9592,37.5466,37.134,36.7214,36.3088,35.8962,35.4836,35.071,34.6584,33.8332,33.4206,33.008,32.5954,32.1828,31.7702,31.3576,30.945,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQUP,2025-06-26 04:00:00+00:00,42.130001068115234,43.040000915527344,41.66999816894531,43.040000915527344,54700,2025,6,25,Thursday,42.47,41.70000076293945,3.21,1.03,-0.07,3.21,0.07,0,0.0,41.283,40.866,40.449,40.032,39.615,39.198,38.781,38.364,37.947,37.53,37.113,36.696,36.279,35.862,35.445,35.028,34.194,33.777,33.36,32.943,32.526,32.109,31.692,31.275,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
