Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,Shares_Purchased,Total_Value_Purchased,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
QQUP,2025-06-12 04:00:00+00:00,39.64112651868039,40.05062151455488,39.64112651868039,39.88083267211914,5900,2025,6,23,Thursday,39.8034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQUP,2025-06-13 04:00:00+00:00,39.79094238066752,39.79094238066752,38.822135590146765,38.86208724975586,13900,2025,6,23,Friday,39.3165,39.88083267211914,-2.55,-0.23,-2.65,-2.55,2.65,39.482,39.0832,38.6844,38.2856,37.8868,37.488,37.0892,36.6904,36.2916,35.8927,35.4939,35.0951,34.6963,34.2975,33.8987,33.4999,32.7023,32.3035,31.9047,31.5059,31.107,30.7082,30.3094,29.9106,2,78.5652,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQUP,2025-06-16 04:00:00+00:00,39.61515938425044,40.16048466476184,39.61515938425044,39.993690490722656,6200,2025,6,24,Monday,39.8461,38.86208724975586,2.91,1.94,1.94,2.91,-1.94,38.4735,38.0848,37.6962,37.3076,36.919,36.5304,36.1417,35.7531,35.3645,34.9759,34.5873,34.1986,33.81,33.4214,33.0328,32.6442,31.8669,31.4783,31.0897,30.701,30.3124,29.9238,29.5352,29.1466,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQUP,2025-06-17 04:00:00+00:00,39.99069738376392,40.0705968940112,39.36646698183204,39.4813232421875,7700,2025,6,24,Tuesday,39.7273,39.993690490722656,-1.28,-0.01,-1.57,-1.28,1.57,39.5938,39.1938,38.7939,38.3939,37.994,37.5941,37.1941,36.7942,36.3943,35.9943,35.5944,35.1944,34.7945,34.3946,33.9946,33.5947,32.7948,32.3949,31.995,31.595,31.1951,30.7951,30.3952,29.9953,1,39.5938,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQUP,2025-06-18 04:00:00+00:00,39.367466264263655,40.22540971007256,39.367466264263655,39.58120346069336,14200,2025,6,24,Wednesday,39.6354,39.4813232421875,0.25,-0.29,-0.29,0.25,0.29,39.0865,38.6917,38.2969,37.9021,37.5073,37.1124,36.7176,36.3228,35.928,35.5332,35.1384,34.7436,34.3488,33.9539,33.5591,33.1643,32.3747,31.9799,31.5851,31.1902,30.7954,30.4006,30.0058,29.611,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQUP,2025-06-20 04:00:00+00:00,39.948749771343216,40.10056303366645,38.75721797310898,39.3115348815918,24700,2025,6,24,Friday,39.5295,39.58120346069336,-0.68,0.93,-2.08,-0.68,2.08,39.1854,38.7896,38.3938,37.998,37.6021,37.2063,36.8105,36.4147,36.0189,35.6231,35.2273,34.8315,34.4356,34.0398,33.644,33.2482,32.4566,32.0608,31.665,31.2692,30.8733,30.4775,30.0817,29.6859,2,77.975,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQUP,2025-06-23 04:00:00+00:00,39.45136032104492,39.95074462890625,38.82213502633967,39.95074462890625,14300,2025,6,25,Monday,39.5437,39.3115348815918,1.63,0.36,-1.24,1.63,1.24,38.9184,38.5253,38.1322,37.7391,37.346,36.9528,36.5597,36.1666,35.7735,35.3804,34.9873,34.5942,34.201,33.8079,33.4148,33.0217,32.2355,31.8423,31.4492,31.0561,30.663,30.2699,29.8768,29.4837,1,38.9184,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQUP,2025-06-24 04:00:00+00:00,40.94951221151582,41.20919036865234,40.58995490932693,41.20919036865234,20400,2025,6,25,Tuesday,40.9895,39.95074462890625,3.15,2.5,1.6,3.15,-1.6,39.5512,39.1517,38.7522,38.3527,37.9532,37.5537,37.1542,36.7547,36.3552,35.9557,35.5562,35.1567,34.7571,34.3576,33.9581,33.5586,32.7596,32.3601,31.9606,31.5611,31.1616,30.7621,30.3626,29.9631,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQUP,2025-06-25 04:00:00+00:00,41.41893480367513,41.77049872740937,41.36899332598577,41.64865112304688,39000,2025,6,25,Wednesday,41.5518,41.20919036865234,1.07,0.51,0.39,1.07,-0.39,40.7971,40.385,39.9729,39.5608,39.1487,38.7366,38.3245,37.9125,37.5004,37.0883,36.6762,36.2641,35.852,35.4399,35.0278,34.6157,33.7915,33.3794,32.9674,32.5553,32.1432,31.7311,31.319,30.9069,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQUP,2025-06-26 04:00:00+00:00,42.07812401332033,42.987003326416016,41.618687541755456,42.987003326416016,54700,2025,6,25,Thursday,42.4177,41.64865112304688,3.21,1.03,-0.07,3.21,0.07,41.2322,40.8157,40.3992,39.9827,39.5662,39.1497,38.7332,38.3168,37.9003,37.4838,37.0673,36.6508,36.2343,35.8178,35.4014,34.9849,34.1519,33.7354,33.3189,32.9024,32.4859,32.0695,31.653,31.2365,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQUP,2025-06-27 04:00:00+00:00,42.83718536521508,43.2466803457056,42.22793589936335,43.2366943359375,27500,2025,6,25,Friday,42.8871,42.987003326416016,0.58,-0.35,-1.77,0.58,1.77,42.5571,42.1273,41.6974,41.2675,40.8377,40.4078,39.9779,39.548,39.1182,38.6883,38.2584,37.8286,37.3987,36.9688,36.539,36.1091,35.2493,34.8195,34.3896,33.9597,33.5299,33.1,32.6701,32.2403,1,42.5571,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQUP,2025-06-30 04:00:00+00:00,43.82596674929962,43.93583190368252,42.96702515321493,43.83595275878906,10700,2025,6,26,Monday,43.6412,43.2366943359375,1.39,1.36,-0.62,1.39,0.62,42.8043,42.372,41.9396,41.5072,41.0749,40.6425,40.2101,39.7778,39.3454,38.913,38.4807,38.0483,37.6159,37.1836,36.7512,36.3188,35.4541,35.0217,34.5894,34.157,33.7246,33.2923,32.8599,32.4275,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQUP,2025-07-01 04:00:00+00:00,43.406485203513206,43.406485203513206,41.94828386912921,42.99699020385742,12600,2025,7,26,Tuesday,42.9396,43.83595275878906,-1.91,-0.98,-4.31,-1.91,4.31,43.3976,42.9592,42.5209,42.0825,41.6442,41.2058,40.7674,40.3291,39.8907,39.4524,39.014,38.5756,38.1373,37.6989,37.2606,36.8222,35.9455,35.5071,35.0688,34.6304,34.192,33.7537,33.3153,32.877,4,170.9602,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQUP,2025-07-02 04:00:00+00:00,42.61745386181824,43.14680380476312,42.56052484472789,42.697357177734375,21000,2025,7,26,Wednesday,42.7555,42.99699020385742,-0.7,-0.88,-1.02,-0.7,1.02,42.567,42.1371,41.7071,41.2771,40.8471,40.4172,39.9872,39.5572,39.1273,38.6973,38.2673,37.8374,37.4074,36.9774,36.5474,36.1175,35.2575,34.8276,34.3976,33.9676,33.5377,33.1077,32.6777,32.2477,1,42.567,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQUP,2025-07-03 04:00:00+00:00,43.90586672206741,44.29638789625357,43.62621273339177,44.2354621887207,12800,2025,7,26,Thursday,44.016,42.697357177734375,3.6,2.83,2.18,3.6,-2.18,42.2704,41.8434,41.4164,40.9895,40.5625,40.1355,39.7085,39.2816,38.8546,38.4276,38.0006,37.5737,37.1467,36.7197,36.2928,35.8658,35.0118,34.5849,34.1579,33.7309,33.3039,32.877,32.45,32.023,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
