Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
QQXL,2025-08-15 04:00:00+00:00,39.65999984741211,40.01499938964844,39.63999938964844,39.78499984741211,22700,2025,8,32,Friday,39.775,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQXL,2025-08-18 04:00:00+00:00,39.790000915527344,40.459999084472656,39.73400115966797,39.803001403808594,22700,2025,8,33,Monday,39.9468,39.78499984741211,0.05,0.01,-0.13,0.05,0.13,0,0.0,39.3871,38.9893,38.5914,38.1936,37.7957,37.3979,37.0,36.6022,36.2043,35.8065,35.4086,35.0108,34.6129,34.2151,33.8172,33.4194,32.6237,32.2258,31.828,31.4301,31.0323,30.6344,30.2366,29.8387,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQXL,2025-08-19 04:00:00+00:00,39.79999923706055,40.09999847412109,38.34000015258789,38.44400024414063,26500,2025,8,33,Tuesday,39.171,39.803001403808594,-3.41,-0.01,-3.68,-3.41,3.68,3,117.0208,39.405,39.0069,38.6089,38.2109,37.8129,37.4148,37.0168,36.6188,36.2207,35.8227,35.4247,35.0266,34.6286,34.2306,33.8326,33.4345,32.6385,32.2404,31.8424,31.4444,31.0463,30.6483,30.2503,29.8523,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQXL,2025-08-20 04:00:00+00:00,38.11000061035156,38.11000061035156,37.30400085449219,37.979000091552734,14100,2025,8,33,Wednesday,37.8758,38.44400024414063,-1.21,-0.87,-2.97,-1.21,2.97,2,75.7347,38.0596,37.6751,37.2907,36.9062,36.5218,36.1374,35.7529,35.3685,34.984,34.5996,34.2152,33.8307,33.4463,33.0618,32.6774,32.293,31.5241,31.1396,30.7552,30.3708,29.9863,29.6019,29.2174,28.833,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQXL,2025-08-21 04:00:00+00:00,37.78400039672852,37.93999862670898,37.40999984741211,37.55899810791016,4800,2025,8,33,Thursday,37.6732,37.979000091552734,-1.11,-0.51,-1.5,-1.11,1.5,1,37.5992,37.5992,37.2194,36.8396,36.4598,36.0801,35.7003,35.3205,34.9407,34.5609,34.1811,33.8013,33.4215,33.0417,32.6619,32.2822,31.9024,31.1428,30.763,30.3832,30.0034,29.6236,29.2438,28.864,28.4843,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQXL,2025-08-22 04:00:00+00:00,37.821998596191406,38.77999877929688,37.821998596191406,38.59600067138672,10000,2025,8,33,Friday,38.255,37.55899810791016,2.76,0.7,0.7,2.76,-0.7,0,0.0,37.1834,36.8078,36.4322,36.0566,35.681,35.3055,34.9299,34.5543,34.1787,33.8031,33.4275,33.0519,32.6763,32.3007,31.9251,31.5496,30.7984,30.4228,30.0472,29.6716,29.296,28.9204,28.5448,28.1692,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQXL,2025-08-25 04:00:00+00:00,39.380001068115234,39.380001068115234,38.354000091552734,38.755001068115234,24400,2025,8,34,Monday,38.9673,38.59600067138672,0.41,2.03,-0.63,0.41,0.63,0,0.0,38.21,37.8241,37.4381,37.0522,36.6662,36.2802,35.8943,35.5083,35.1224,34.7364,34.3504,33.9645,33.5785,33.1926,32.8066,32.4206,31.6487,31.2628,30.8768,30.4908,30.1049,29.7189,29.333,28.947,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQXL,2025-08-26 04:00:00+00:00,38.7599983215332,38.93199920654297,38.400001525878906,38.93199920654297,18400,2025,8,34,Tuesday,38.756,38.755001068115234,0.46,0.01,-0.92,0.46,0.92,0,0.0,38.3675,37.9799,37.5924,37.2048,36.8173,36.4297,36.0422,35.6546,35.2671,34.8795,34.492,34.1044,33.7169,33.3293,32.9418,32.5542,31.7791,31.3916,31.004,30.6165,30.2289,29.8414,29.4538,29.0663,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQXL,2025-08-27 04:00:00+00:00,38.93999862670898,39.09000015258789,38.619998931884766,39.0099983215332,5900,2025,8,34,Wednesday,38.915,38.93199920654297,0.2,0.02,-0.8,0.2,0.8,0,0.0,38.5427,38.1534,37.764,37.3747,36.9854,36.5961,36.2068,35.8174,35.4281,35.0388,34.6495,34.2602,33.8708,33.4815,33.0922,32.7029,31.9242,31.5349,31.1456,30.7563,30.367,29.9776,29.5883,29.199,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQXL,2025-08-28 04:00:00+00:00,39.152000427246094,39.56999969482422,38.81999969482422,39.47499847412109,6300,2025,8,34,Thursday,39.2542,39.0099983215332,1.19,0.36,-0.49,1.19,0.49,0,0.0,38.6199,38.2298,37.8397,37.4496,37.0595,36.6694,36.2793,35.8892,35.4991,35.109,34.7189,34.3288,33.9387,33.5486,33.1585,32.7684,31.9882,31.5981,31.208,30.8179,30.4278,30.0377,29.6476,29.2575,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
