Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,Shares_Purchased,Total_Value_Purchased,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
QQXL,2025-08-15 04:00:00+00:00,39.65715541889941,40.01212950044931,39.637156395575296,39.78214645385742,22700,2025,8,32,Friday,39.7721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQXL,2025-08-18 04:00:00+00:00,39.78714845395035,40.45709859213442,39.73115271259583,39.80014801025391,22700,2025,8,33,Monday,39.9439,39.78214645385742,0.05,0.01,-0.13,0.05,0.13,39.3843,38.9865,38.5887,38.1909,37.793,37.3952,36.9974,36.5996,36.2018,35.8039,35.4061,35.0083,34.6105,34.2126,33.8148,33.417,32.6214,32.2235,31.8257,31.4279,31.0301,30.6323,30.2344,29.8366,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQXL,2025-08-19 04:00:00+00:00,39.79714392968109,40.097121644378525,38.33724958757627,38.44124221801758,26500,2025,8,33,Tuesday,39.1682,39.80014801025391,-3.41,-0.01,-3.68,-3.41,3.68,39.4021,39.0041,38.6061,38.2081,37.8101,37.4121,37.0141,36.6161,36.2181,35.8201,35.4221,35.0241,34.6261,34.2281,33.8301,33.4321,32.6361,32.2381,31.8401,31.4421,31.0441,30.6461,30.2481,29.8501,3,117.0124,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQXL,2025-08-20 04:00:00+00:00,38.10726752169872,38.10726752169872,37.30132556874545,37.97627639770508,14100,2025,8,33,Wednesday,37.873,38.44124221801758,-1.21,-0.87,-2.97,-1.21,2.97,38.0568,37.6724,37.288,36.9036,36.5192,36.1348,35.7504,35.3659,34.9815,34.5971,34.2127,33.8283,33.4439,33.0595,32.6751,32.2906,31.5218,31.1374,30.753,30.3686,29.9842,29.5998,29.2153,28.8309,2,75.7292,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQXL,2025-08-21 04:00:00+00:00,37.78129108662008,37.93727813071296,37.40731735509581,37.55630493164063,4800,2025,8,33,Thursday,37.6705,37.97627639770508,-1.11,-0.51,-1.5,-1.11,1.5,37.5965,37.2168,36.837,36.4572,36.0775,35.6977,35.3179,34.9382,34.5584,34.1786,33.7989,33.4191,33.0394,32.6596,32.2798,31.9001,31.1405,30.7608,30.381,30.0013,29.6215,29.2417,28.862,28.4822,1,37.5965,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQXL,2025-08-22 04:00:00+00:00,37.81928840297751,38.77721993911318,37.81928840297751,38.59323501586914,10000,2025,8,33,Friday,38.2523,37.55630493164063,2.76,0.7,0.7,2.76,-0.7,37.1807,36.8052,36.4296,36.0541,35.6785,35.3029,34.9274,34.5518,34.1762,33.8007,33.4251,33.0495,32.674,32.2984,31.9229,31.5473,30.7962,30.4206,30.045,29.6695,29.2939,28.9184,28.5428,28.1672,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQXL,2025-08-25 04:00:00+00:00,39.37717918235677,39.37717918235677,38.3512517268066,38.75222396850586,24400,2025,8,34,Monday,38.9645,38.59323501586914,0.41,2.03,-0.63,0.41,0.63,38.2073,37.8214,37.4354,37.0495,36.6636,36.2776,35.8917,35.5058,35.1198,34.7339,34.348,33.962,33.5761,33.1902,32.8042,32.4183,31.6465,31.2605,30.8746,30.4887,30.1027,29.7168,29.3309,28.9449,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQXL,2025-08-26 04:00:00+00:00,38.75721829972486,38.92920684814453,38.397247324477846,38.92920684814453,18400,2025,8,34,Tuesday,38.7532,38.75222396850586,0.46,0.01,-0.92,0.46,0.92,38.3647,37.9772,37.5897,37.2021,36.8146,36.4271,36.0396,35.652,35.2645,34.877,34.4895,34.102,33.7144,33.3269,32.9394,32.5519,31.7768,31.3893,31.0018,30.6143,30.2267,29.8392,29.4517,29.0642,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQXL,2025-08-27 04:00:00+00:00,38.93720747107731,39.087198245091336,38.61723071330964,39.0072021484375,5900,2025,8,34,Wednesday,38.9122,38.92920684814453,0.2,0.02,-0.8,0.2,0.8,38.5399,38.1506,37.7613,37.372,36.9827,36.5935,36.2042,35.8149,35.4256,35.0363,34.647,34.2577,33.8684,33.4791,33.0898,32.7005,31.9219,31.5327,31.1434,30.7541,30.3648,29.9755,29.5862,29.1969,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QQXL,2025-08-28 04:00:00+00:00,39.14919308204579,39.56716237750947,38.817216155321006,39.47216796875,6300,2025,8,34,Thursday,39.2514,39.0072021484375,1.19,0.36,-0.49,1.19,0.49,38.6171,38.2271,37.837,37.4469,37.0568,36.6668,36.2767,35.8866,35.4966,35.1065,34.7164,34.3263,33.9363,33.5462,33.1561,32.766,31.9859,31.5958,31.2058,30.8157,30.4256,30.0355,29.6455,29.2554,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
