Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
QTOP,2024-10-24 04:00:00+00:00,24.66596776592262,24.795525548107104,24.616138288360755,24.77061080932617,1020500,2024,10,43,Thursday,24.7121,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QTOP,2024-10-25 04:00:00+00:00,24.86528893693753,25.16127952482115,24.86528893693753,24.93505096435547,72000,2024,10,43,Friday,24.9567,24.77061080932617,0.66,0.38,0.38,0.66,-0.38,0,0.0,24.5229,24.2752,24.0275,23.7798,23.5321,23.2844,23.0367,22.789,22.5413,22.2935,22.0458,21.7981,21.5504,21.3027,21.055,20.8073,20.3119,20.0642,19.8165,19.5688,19.3211,19.0734,18.8257,18.578,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QTOP,2024-10-28 04:00:00+00:00,25.1343696114012,25.1343696114012,24.90016880171489,24.915117263793945,73400,2024,10,44,Monday,25.021,24.93505096435547,-0.08,0.8,-0.14,-0.08,0.14,0,0.0,24.6857,24.4363,24.187,23.9376,23.6883,23.4389,23.1896,22.9402,22.6909,22.4415,22.1922,21.9428,21.6935,21.4441,21.1948,20.9454,20.4467,20.1974,19.948,19.6987,19.4493,19.2,18.9506,18.7013,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QTOP,2024-10-29 04:00:00+00:00,24.954983936185627,25.23403205056378,24.840372716782927,25.174236297607425,90900,2024,10,44,Tuesday,25.0509,24.915117263793945,1.04,0.16,-0.3,1.04,0.3,0,0.0,24.666,24.4168,24.1677,23.9185,23.6694,23.4202,23.1711,22.9219,22.6728,22.4236,22.1745,21.9253,21.6762,21.427,21.1778,20.9287,20.4304,20.1812,19.9321,19.6829,19.4338,19.1846,18.9355,18.6863,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QTOP,2024-10-30 04:00:00+00:00,25.214099080641805,25.214099080641805,24.974914171915,24.98488044738769,93400,2024,10,44,Wednesday,25.097,25.174236297607425,-0.75,0.16,-0.79,-0.75,0.79,0,0.0,24.9225,24.6708,24.419,24.1673,23.9155,23.6638,23.412,23.1603,22.9086,22.6568,22.4051,22.1533,21.9016,21.6498,21.3981,21.1464,20.6429,20.3911,20.1394,19.8876,19.6359,19.3842,19.1324,18.8807,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QTOP,2024-10-31 04:00:00+00:00,24.77559540389972,24.77559540389972,24.30519782675179,24.30718994140625,75200,2024,10,44,Thursday,24.5409,24.98488044738769,-2.71,-0.84,-2.72,-2.71,2.72,2,49.2202,24.735,24.4852,24.2353,23.9855,23.7356,23.4858,23.2359,22.9861,22.7362,22.4864,22.2365,21.9867,21.7368,21.487,21.2371,20.9873,20.4876,20.2378,19.9879,19.7381,19.4882,19.2384,18.9885,18.7387,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QTOP,2024-11-01 04:00:00+00:00,24.39688454979239,24.606172541974185,24.34705507115865,24.456682205200195,49800,2024,11,44,Friday,24.4517,24.30718994140625,0.62,0.37,0.16,0.62,-0.16,0,0.0,24.0641,23.821,23.578,23.3349,23.0918,22.8488,22.6057,22.3626,22.1195,21.8765,21.6334,21.3903,21.1473,20.9042,20.6611,20.418,19.9319,19.6888,19.4458,19.2027,18.9596,18.7165,18.4735,18.2304,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QTOP,2024-11-04 05:00:00+00:00,24.42678336217971,24.546374871174805,24.30718995231185,24.35702133178711,36100,2024,11,45,Monday,24.4093,24.456682205200195,-0.41,-0.12,-0.61,-0.41,0.61,0,0.0,24.2121,23.9675,23.723,23.4784,23.2338,22.9893,22.7447,22.5001,22.2556,22.011,21.7664,21.5219,21.2773,21.0327,20.7882,20.5436,20.0545,19.8099,19.5653,19.3208,19.0762,18.8316,18.5871,18.3425,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QTOP,2024-11-05 05:00:00+00:00,24.46664510097777,24.72576255612709,24.46664510097777,24.69586563110352,37400,2024,11,45,Tuesday,24.5887,24.35702133178711,1.39,0.45,0.45,1.39,-0.45,0,0.0,24.1135,23.8699,23.6263,23.3827,23.1392,22.8956,22.652,22.4085,22.1649,21.9213,21.6777,21.4342,21.1906,20.947,20.7035,20.4599,19.9728,19.7292,19.4856,19.242,18.9985,18.7549,18.5113,18.2678,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QTOP,2024-11-06 05:00:00+00:00,25.164268924636232,25.43335265251504,25.07457434867663,25.403453826904297,55200,2024,11,45,Wednesday,25.2689,24.69586563110352,2.87,1.9,1.53,2.87,-1.53,0,0.0,24.4489,24.2019,23.955,23.708,23.4611,23.2141,22.9672,22.7202,22.4732,22.2263,21.9793,21.7324,21.4854,21.2384,20.9915,20.7445,20.2506,20.0037,19.7567,19.5097,19.2628,19.0158,18.7689,18.5219,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
