Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,Shares_Purchased,Total_Value_Purchased,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
QTOP,2026-01-02 05:00:00+00:00,32.2599983215332,32.5,31.75,31.89999961853028,259200,2026,1,1,Friday,32.1025,31.959999084472656,-0.19,0.94,-0.66,-0.19,0.66,31.6404,31.3208,31.0012,30.6816,30.362,30.0424,29.7228,29.4032,29.0836,28.764,28.4444,28.1248,27.8052,27.4856,27.166,26.8464,26.2072,25.8876,25.568,25.2484,24.9288,24.6092,24.2896,23.97,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QTOP,2026-01-05 05:00:00+00:00,32.255001068115234,32.28499984741211,32.06999969482422,32.119998931884766,288300,2026,1,1,Monday,32.1825,31.89999961853028,0.69,1.11,0.53,0.69,-0.53,31.581,31.262,30.943,30.624,30.305,29.986,29.667,29.348,29.029,28.71,28.391,28.072,27.753,27.434,27.115,26.796,26.158,25.839,25.52,25.201,24.882,24.563,24.244,23.925,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QTOP,2026-01-06 05:00:00+00:00,32.209999084472656,32.34600067138672,32.099998474121094,32.345001220703125,127800,2026,1,1,Tuesday,32.2502,32.119998931884766,0.7,0.28,-0.06,0.7,0.06,31.7988,31.4776,31.1564,30.8352,30.514,30.1928,29.8716,29.5504,29.2292,28.908,28.5868,28.2656,27.9444,27.6232,27.302,26.9808,26.3384,26.0172,25.696,25.3748,25.0536,24.7324,24.4112,24.09,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QTOP,2026-01-07 05:00:00+00:00,32.33000183105469,32.630001068115234,32.27000045776367,32.402000427246094,176200,2026,1,1,Wednesday,32.408,32.345001220703125,0.18,-0.05,-0.23,0.18,0.23,32.0216,31.6981,31.3747,31.0512,30.7278,30.4043,30.0809,29.7574,29.434,29.1105,28.7871,28.4636,28.1402,27.8167,27.4933,27.1698,26.5229,26.1995,25.876,25.5526,25.2291,24.9057,24.5822,24.2588,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QTOP,2026-01-08 05:00:00+00:00,32.400001525878906,32.41999816894531,32.05500030517578,32.15999984741211,177500,2026,1,1,Thursday,32.2587,32.402000427246094,-0.75,-0.01,-1.07,-0.75,1.07,32.078,31.754,31.4299,31.1059,30.7819,30.4579,30.1339,29.8098,29.4858,29.1618,28.8378,28.5138,28.1897,27.8657,27.5417,27.2177,26.5696,26.2456,25.9216,25.5976,25.2736,24.9495,24.6255,24.3015,1,32.078,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QTOP,2026-01-09 05:00:00+00:00,32.20000076293945,32.619998931884766,32.13999938964844,32.54999923706055,131400,2026,1,1,Friday,32.3775,32.15999984741211,1.21,0.12,-0.06,1.21,0.06,31.8384,31.5168,31.1952,30.8736,30.552,30.2304,29.9088,29.5872,29.2656,28.944,28.6224,28.3008,27.9792,27.6576,27.336,27.0144,26.3712,26.0496,25.728,25.4064,25.0848,24.7632,24.4416,24.12,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QTOP,2026-01-12 05:00:00+00:00,32.34000015258789,32.72999954223633,32.34000015258789,32.630001068115234,152600,2026,1,2,Monday,32.51,32.54999923706055,0.25,-0.65,-0.65,0.25,0.65,32.2245,31.899,31.5735,31.248,30.9225,30.597,30.2715,29.946,29.6205,29.295,28.9695,28.644,28.3185,27.993,27.6675,27.342,26.691,26.3655,26.04,25.7145,25.389,25.0635,24.738,24.4125,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QTOP,2026-01-13 05:00:00+00:00,32.65999984741211,32.779998779296875,32.470001220703125,32.61000061035156,83100,2026,1,2,Tuesday,32.63,32.630001068115234,-0.06,0.09,-0.49,-0.06,0.49,32.3037,31.9774,31.6511,31.3248,30.9985,30.6722,30.3459,30.0196,29.6933,29.367,29.0407,28.7144,28.3881,28.0618,27.7355,27.4092,26.7566,26.4303,26.104,25.7777,25.4514,25.1251,24.7988,24.4725,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QTOP,2026-01-14 05:00:00+00:00,32.38999938964844,32.38999938964844,31.915000915527344,32.17100143432617,113700,2026,1,2,Wednesday,32.2165,32.61000061035156,-1.35,-0.67,-2.13,-1.35,2.13,32.2839,31.9578,31.6317,31.3056,30.9795,30.6534,30.3273,30.0012,29.6751,29.349,29.0229,28.6968,28.3707,28.0446,27.7185,27.3924,26.7402,26.4141,26.088,25.7619,25.4358,25.1097,24.7836,24.4575,2,64.2417,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QTOP,2026-01-15 05:00:00+00:00,32.619998931884766,32.63999938964844,32.25,32.27299880981445,119100,2026,1,2,Thursday,32.4457,32.17100143432617,0.32,1.4,0.25,0.32,-0.25,31.8493,31.5276,31.2059,30.8842,30.5625,30.2407,29.919,29.5973,29.2756,28.9539,28.6322,28.3105,27.9888,27.6671,27.3454,27.0236,26.3802,26.0585,25.7368,25.4151,25.0934,24.7717,24.45,24.1283,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
