Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD83-17,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD83-17_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
TSLA,2026-01-02,457.7999877929688,458.3399963378906,435.2999877929688,438.0700073242188,85535400,2026,1,1,Friday,447.3775,449.7200012207031,-2.59,1.8,-3.21,-2.59,3.21,3,1322.1768,445.2228,440.7256,436.2284,431.7312,427.234,422.7368,418.2396,413.7424,409.2452,404.748,400.2508,395.7536,391.2564,386.7592,382.262,377.7648,373.2676,368.7704,364.2732,359.776,355.2788,350.7816,346.2844,341.7872,337.29,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TSLA,2026-01-05,447.989990234375,457.5499877929688,444.5700073242188,451.6700134277344,67940800,2026,1,1,Monday,450.445,438.0700073242188,3.1,2.26,1.48,3.1,-1.48,0,0.0,433.6893,429.3086,424.9279,420.5472,416.1665,411.7858,407.4051,403.0244,398.6437,394.263,389.8823,385.5016,381.1209,376.7402,372.3595,367.9788,363.5981,359.2174,354.8367,350.456,346.0753,341.6946,337.3139,332.9332,328.5525,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TSLA,2026-01-06,446.3800048828125,448.25,428.7799987792969,432.9599914550781,89093800,2026,1,1,Tuesday,439.0925,451.6700134277344,-4.14,-1.17,-5.07,-4.14,5.07,5,2190.5996,447.1533,442.6366,438.1199,433.6032,429.0865,424.5698,420.0531,415.5364,411.0197,406.503,401.9863,397.4696,392.9529,388.4362,383.9195,379.4028,374.8861,370.3694,365.8527,361.336,356.8193,352.3026,347.7859,343.2692,338.7525,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TSLA,2026-01-07,435.8999938964844,438.3699951171875,431.2900085449219,431.4100036621094,59828800,2026,1,1,Wednesday,434.2425,432.9599914550781,-0.36,0.68,-0.39,-0.36,0.39,0,0.0,428.6304,424.3008,419.9712,415.6416,411.312,406.9824,402.6528,398.3232,393.9936,389.664,385.3344,381.0048,376.6752,372.3456,368.016,363.6864,359.3568,355.0272,350.6976,346.368,342.0384,337.7088,333.3792,329.0496,324.72,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TSLA,2026-01-08,427.8900146484375,436.8900146484375,424.3699951171875,435.7999877929688,57041100,2026,1,1,Thursday,431.2375,431.4100036621094,1.02,-0.82,-1.63,1.02,1.63,1,427.0959,427.0959,422.7818,418.4677,414.1536,409.8395,405.5254,401.2113,396.8972,392.5831,388.269,383.9549,379.6408,375.3267,371.0126,366.6985,362.3844,358.0703,353.7562,349.4421,345.128,340.8139,336.4998,332.1857,327.8716,323.5575,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TSLA,2026-01-09,435.9500122070313,449.0499877929688,430.3900146484375,445.010009765625,67331500,2026,1,1,Friday,440.1,435.7999877929688,2.11,0.03,-1.24,2.11,1.24,1,431.442,431.442,427.084,422.726,418.368,414.01,409.652,405.294,400.936,396.578,392.22,387.862,383.504,379.146,374.788,370.43,366.072,361.714,357.356,352.998,348.64,344.282,339.924,335.566,331.208,326.85,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TSLA,2026-01-12,441.2300109863281,454.2999877929688,438.0,448.9599914550781,61649600,2026,1,2,Monday,445.6225,445.010009765625,0.89,-0.85,-1.58,0.89,1.58,1,440.5599,440.5599,436.1098,431.6597,427.2096,422.7595,418.3094,413.8593,409.4092,404.9591,400.509,396.0589,391.6088,387.1587,382.7086,378.2585,373.8084,369.3583,364.9082,360.4581,356.008,351.5579,347.1078,342.6577,338.2076,333.7575,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TSLA,2026-01-13,450.2000122070313,451.80999755859375,443.9500122070313,447.2000122070313,53719200,2026,1,2,Tuesday,448.29,448.9599914550781,-0.39,0.28,-1.12,-0.39,1.12,1,444.4704,444.4704,439.9808,435.4912,431.0016,426.512,422.0224,417.5328,413.0432,408.5536,404.064,399.5744,395.0848,390.5952,386.1056,381.616,377.1264,372.6368,368.1472,363.6576,359.168,354.6784,350.1888,345.6992,341.2096,336.72,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TSLA,2026-01-14,442.80999755859375,443.9100036621094,434.2200012207031,439.2000122070313,57259500,2026,1,2,Wednesday,440.035,447.2000122070313,-1.79,-0.98,-2.9,-1.79,2.9,2,880.984,442.728,438.256,433.784,429.312,424.84,420.368,415.896,411.424,406.952,402.48,398.008,393.536,389.064,384.592,380.12,375.648,371.176,366.704,362.232,357.76,353.288,348.816,344.344,339.872,335.4,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TSLA,2026-01-15,441.1300048828125,445.3599853515625,437.6499938964844,438.5700073242188,49465800,2026,1,2,Thursday,440.6775,439.2000122070313,-0.14,0.44,-0.35,-0.14,0.35,0,0.0,434.808,430.416,426.024,421.632,417.24,412.848,408.456,404.064,399.672,395.28,390.888,386.496,382.104,377.712,373.32,368.928,364.536,360.144,355.752,351.36,346.968,342.576,338.184,333.792,329.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TSLA,2026-01-16,439.5,447.25,435.260009765625,437.5,60220600,2026,1,2,Friday,439.8775,438.5700073242188,-0.24,0.21,-0.75,-0.24,0.75,0,0.0,434.1843,429.7986,425.4129,421.0272,416.6415,412.2558,407.8701,403.4844,399.0987,394.713,390.3273,385.9416,381.5559,377.1702,372.7845,368.3988,364.0131,359.6274,355.2417,350.856,346.4703,342.0846,337.6989,333.3132,328.9275,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TSLA,2026-01-20,429.3599853515625,430.7300109863281,417.4400024414063,419.25,63187300,2026,1,3,Tuesday,424.195,437.5,-4.17,-1.86,-4.59,-4.17,4.59,4,1706.25,433.125,428.75,424.375,420.0,415.625,411.25,406.875,402.5,398.125,393.75,389.375,385.0,380.625,376.25,371.875,367.5,363.125,358.75,354.375,350.0,345.625,341.25,336.875,332.5,328.125,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TSLA,2026-01-21,421.6600036621094,438.2000122070313,419.6199951171875,431.4400024414063,68124000,2026,1,3,Wednesday,427.73,419.25,2.91,0.57,0.09,2.91,-0.09,0,0.0,415.0575,410.865,406.6725,402.48,398.2875,394.095,389.9025,385.71,381.5175,377.325,373.1325,368.94,364.7475,360.555,356.3625,352.17,347.9775,343.785,339.5925,335.4,331.2075,327.015,322.8225,318.63,314.4375,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TSLA,2026-01-22,435.1600036621094,449.5,432.6300048828125,449.3599853515625,71546700,2026,1,3,Thursday,441.6625,431.4400024414063,4.15,0.86,0.28,4.15,-0.28,0,0.0,427.1256,422.8112,418.4968,414.1824,409.868,405.5536,401.2392,396.9248,392.6104,388.296,383.9816,379.6672,375.3528,371.0384,366.724,362.4096,358.0952,353.7808,349.4664,345.152,340.8376,336.5232,332.2088,327.8944,323.58,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TSLA,2026-01-23,447.4299926757813,452.4299926757813,444.0400085449219,449.05999755859375,56771400,2026,1,3,Friday,448.24,449.3599853515625,-0.07,-0.43,-1.18,-0.07,1.18,1,444.8664,444.8664,440.3728,435.8792,431.3856,426.892,422.3984,417.9048,413.4112,408.9176,404.424,399.9304,395.4368,390.9432,386.4496,381.956,377.4624,372.9688,368.4752,363.9816,359.488,354.9944,350.5008,346.0072,341.5136,337.02,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TSLA,2026-01-26,445.0,445.0400085449219,434.2799987792969,435.2000122070313,49397400,2026,1,4,Monday,439.88,449.05999755859375,-3.09,-0.9,-3.29,-3.09,3.29,3,1320.2364,444.5694,440.0788,435.5882,431.0976,426.607,422.1164,417.6258,413.1352,408.6446,404.154,399.6634,395.1728,390.6822,386.1916,381.701,377.2104,372.7198,368.2292,363.7386,359.248,354.7574,350.2668,345.7762,341.2856,336.795,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TSLA,2026-01-27,437.4100036621094,437.5199890136719,430.6900024414063,430.8999938964844,37733100,2026,1,4,Tuesday,434.13,435.2000122070313,-0.99,0.51,-1.04,-0.99,1.04,1,430.848,430.848,426.496,422.144,417.792,413.44,409.088,404.736,400.384,396.032,391.68,387.328,382.976,378.624,374.272,369.92,365.568,361.216,356.864,352.512,348.16,343.808,339.456,335.104,330.752,326.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
