Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,Shares_Purchased,Total_Value_Purchased,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
UPRO,2025-01-02 05:00:00+00:00,89.44940385511178,90.26375362875362,85.49682331969171,87.29435729980469,5994200,2025,1,1,Thursday,88.1261,88.02926635742188,-0.83,1.61,-2.88,-0.83,2.88,87.149,86.2687,85.3884,84.5081,83.6278,82.7475,81.8672,80.9869,80.1066,79.2263,78.346,77.4658,76.5855,75.7052,74.8249,73.9446,72.184,71.3037,70.4234,69.5431,68.6628,67.7825,66.9022,66.0219,2,173.4177,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UPRO,2025-01-03 05:00:00+00:00,88.58540303984542,90.81990039028037,88.07892242906263,90.49217987060548,9809800,2025,1,1,Friday,89.4941,87.29435729980469,3.66,1.48,0.9,3.66,-0.9,86.4214,85.5485,84.6755,83.8026,82.9296,82.0567,81.1838,80.3108,79.4379,78.5649,77.692,76.819,75.9461,75.0731,74.2002,73.3273,71.5814,70.7084,69.8355,68.9625,68.0896,67.2167,66.3437,65.4708,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UPRO,2025-01-06 05:00:00+00:00,92.45852474892908,94.06736542017592,91.25686274966496,92.061279296875,4328000,2025,1,1,Monday,92.461,90.49217987060548,1.73,2.17,0.85,1.73,-0.85,89.5873,88.6823,87.7774,86.8725,85.9676,85.0626,84.1577,83.2528,82.3479,81.443,80.538,79.6331,78.7282,77.8233,76.9184,76.0134,74.2036,73.2987,72.3937,71.4888,70.5839,69.679,68.7741,67.8691,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UPRO,2025-01-07 05:00:00+00:00,93.01467436506096,93.14377592092517,88.04912499883291,88.9826431274414,4744800,2025,1,1,Tuesday,90.7976,92.061279296875,-3.34,1.04,-4.36,-3.34,4.36,91.1407,90.2201,89.2994,88.3788,87.4582,86.5376,85.617,84.6964,83.7758,82.8552,81.9345,81.0139,80.0933,79.1727,78.2521,77.3315,75.4902,74.5696,73.649,72.7284,71.8078,70.8872,69.9666,69.046,4,359.039,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UPRO,2025-01-08 05:00:00+00:00,88.9031905632238,89.73740677834697,87.30429067315593,89.22098541259766,3747700,2025,1,1,Wednesday,88.7915,88.9826431274414,0.27,-0.09,-1.89,0.27,1.89,88.0928,87.203,86.3132,85.4233,84.5335,83.6437,82.7539,81.864,80.9742,80.0844,79.1946,78.3047,77.4149,76.5251,75.6352,74.7454,72.9658,72.0759,71.1861,70.2963,69.4065,68.5166,67.6268,66.737,1,88.0928,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UPRO,2025-01-10 05:00:00+00:00,87.53270282227417,87.56249490590713,84.20578629265196,85.10951232910156,8894800,2025,1,1,Friday,86.1026,89.22098541259766,-4.61,-1.89,-5.62,-4.61,5.62,88.3288,87.4366,86.5444,85.6521,84.7599,83.8677,82.9755,82.0833,81.1911,80.2989,79.4067,78.5145,77.6223,76.73,75.8378,74.9456,73.1612,72.269,71.3768,70.4846,69.5924,68.7002,67.8079,66.9157,5,432.7218,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UPRO,2025-01-13 05:00:00+00:00,82.98425986852192,85.61600258873096,82.78564092152874,85.51669311523438,4371800,2025,1,2,Monday,84.2256,85.10951232910156,0.48,-2.5,-2.73,0.48,2.73,84.2584,83.4073,82.5562,81.7051,80.854,80.0029,79.1518,78.3008,77.4497,76.5986,75.7475,74.8964,74.0453,73.1942,72.3431,71.492,69.7898,68.9387,68.0876,67.2365,66.3854,65.5343,64.6832,63.8321,2,167.6657,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UPRO,2025-01-14 05:00:00+00:00,86.74814552062898,87.02621507158884,84.11640285305539,85.76496887207031,4444100,2025,1,2,Tuesday,85.9139,85.51669311523438,0.29,1.44,-1.64,0.29,1.64,84.6615,83.8064,82.9512,82.096,81.2409,80.3857,79.5305,78.6754,77.8202,76.965,76.1099,75.2547,74.3995,73.5444,72.6892,71.834,70.1237,69.2685,68.4134,67.5582,66.703,65.8479,64.9927,64.1375,1,84.6615,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UPRO,2025-01-15 05:00:00+00:00,89.36995960920396,90.94900832248275,88.85354578443516,90.44252014160156,5440800,2025,1,2,Wednesday,89.9038,85.76496887207031,5.45,4.2,3.6,5.45,-3.6,84.9073,84.0497,83.192,82.3344,81.4767,80.6191,79.7614,78.9038,78.0461,77.1885,76.3308,75.4732,74.6155,73.7579,72.9002,72.0426,70.3273,69.4696,68.612,67.7543,66.8967,66.039,65.1814,64.3237,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UPRO,2025-01-16 05:00:00+00:00,91.04831310908088,91.1277637170534,89.56858152552098,89.92610168457031,3315400,2025,1,2,Thursday,90.4177,90.44252014160156,-0.57,0.67,-0.97,-0.57,0.97,89.5381,88.6337,87.7292,86.8248,85.9204,85.016,84.1115,83.2071,82.3027,81.3983,80.4938,79.5894,78.685,77.7806,76.8761,75.9717,74.1629,73.2584,72.354,71.4496,70.5452,69.6407,68.7363,67.8319,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
