Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,Shares_Purchased,Total_Value_Purchased,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
VGT,2025-01-02 05:00:00+00:00,624.8096341515525,627.0019608217345,613.1504948427106,619.16943359375,951300,2025,1,1,Thursday,621.0329,619.6277465820312,-0.07,0.84,-1.05,-0.07,1.05,613.4315,607.2352,601.0389,594.8426,588.6464,582.4501,576.2538,570.0575,563.8612,557.665,551.4687,545.2724,539.0761,532.8799,526.6836,520.4873,508.0948,501.8985,495.7022,489.5059,483.3096,477.1134,470.9171,464.7208,1,613.4315,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VGT,2025-01-03 05:00:00+00:00,622.876387690248,631.087592009573,622.3681596133594,630.6890258789062,469600,2025,1,1,Friday,626.7553,619.16943359375,1.86,0.6,0.52,1.86,-0.52,612.9777,606.786,600.5944,594.4027,588.211,582.0193,575.8276,569.6359,563.4442,557.2525,551.0608,544.8691,538.6774,532.4857,526.294,520.1023,507.7189,501.5272,495.3355,489.1439,482.9522,476.7605,470.5688,464.3771,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VGT,2025-01-06 05:00:00+00:00,638.7606932576788,645.5269507802225,637.0865695661814,639.3386840820312,645900,2025,1,1,Monday,640.1782,630.6890258789062,1.37,1.28,1.01,1.37,-1.01,624.3821,618.0752,611.7684,605.4615,599.1546,592.8477,586.5408,580.2339,573.927,567.6201,561.3132,555.0063,548.6995,542.3926,536.0857,529.7788,517.165,510.8581,504.5512,498.2443,491.9374,485.6305,479.3237,473.0168,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VGT,2025-01-07 05:00:00+00:00,643.4841487678895,643.5738611216753,622.9162383744415,625.2779541015625,640800,2025,1,1,Tuesday,633.8131,639.3386840820312,-2.2,0.65,-2.57,-2.2,2.57,632.9453,626.5519,620.1585,613.7651,607.3717,600.9784,594.585,588.1916,581.7982,575.4048,569.0114,562.618,556.2247,549.8313,543.4379,537.0445,524.2577,517.8643,511.4709,505.0776,498.6842,492.2908,485.8974,479.504,2,1259.4972,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VGT,2025-01-08 05:00:00+00:00,626.5932675923585,626.5932675923585,617.7343714935913,624.6102294921875,488300,2025,1,1,Wednesday,623.8828,625.2779541015625,-0.11,0.21,-1.21,-0.11,1.21,619.0252,612.7724,606.5196,600.2668,594.0141,587.7613,581.5085,575.2557,569.0029,562.7502,556.4974,550.2446,543.9918,537.739,531.4863,525.2335,512.7279,506.4751,500.2224,493.9696,487.7168,481.464,475.2112,468.9585,1,619.0252,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VGT,2025-01-10 05:00:00+00:00,618.9999734480397,618.9999734480397,607.031919725927,611.2969970703125,848300,2025,1,1,Friday,614.0822,624.6102294921875,-2.13,-0.9,-2.81,-2.13,2.81,618.3641,612.118,605.8719,599.6258,593.3797,587.1336,580.8875,574.6414,568.3953,562.1492,555.9031,549.657,543.4109,537.1648,530.9187,524.6726,512.1804,505.9343,499.6882,493.4421,487.196,480.9499,474.7038,468.4577,2,1230.4822,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VGT,2025-01-13 05:00:00+00:00,600.9532341489331,606.7030963723354,598.5516801389155,606.2944946289062,766900,2025,1,2,Monday,603.1256,611.2969970703125,-0.82,-1.69,-2.08,-0.82,2.08,605.184,599.0711,592.9581,586.8451,580.7321,574.6192,568.5062,562.3932,556.2803,550.1673,544.0543,537.9414,531.8284,525.7154,519.6024,513.4895,501.2635,495.1506,489.0376,482.9246,476.8117,470.6987,464.5857,458.4727,2,1204.2551,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VGT,2025-01-14 05:00:00+00:00,611.7354418895665,613.5191667068274,603.2153231056348,607.7394409179688,418200,2025,1,2,Tuesday,609.0523,606.2944946289062,0.24,0.9,-0.51,0.24,0.51,600.2315,594.1686,588.1057,582.0427,575.9798,569.9168,563.8539,557.7909,551.728,545.665,539.6021,533.5392,527.4762,521.4133,515.3503,509.2874,497.1615,491.0985,485.0356,478.9727,472.9097,466.8468,460.7838,454.7209,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VGT,2025-01-15 05:00:00+00:00,617.4453953669979,622.8365297450708,615.0438413955836,621.2122192382812,732100,2025,1,2,Wednesday,619.1345,607.7394409179688,2.22,1.6,1.2,2.22,-1.2,601.662,595.5847,589.5073,583.4299,577.3525,571.2751,565.1977,559.1203,553.0429,546.9655,540.8881,534.8107,528.7333,522.6559,516.5785,510.5011,498.3463,492.2689,486.1916,480.1142,474.0368,467.9594,461.882,455.8046,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VGT,2025-01-16 05:00:00+00:00,626.6332574119651,626.663120982325,615.8211243932838,616.00048828125,377200,2025,1,2,Thursday,621.2795,621.2122192382812,-0.84,0.87,-0.87,-0.84,0.87,615.0001,608.788,602.5759,596.3637,590.1516,583.9395,577.7274,571.5152,565.3031,559.091,552.8789,546.6668,540.4546,534.2425,528.0304,521.8183,509.394,503.1819,496.9698,490.7577,484.5455,478.3334,472.1213,465.9092,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
