Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,Executed_Levels,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed
VTI,2005-09-13 04:00:00+00:00,42.605829037169045,42.605829037169045,42.27662685280723,42.311279296875,518600,2005,9,37,Tuesday,42.4499,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VTI,2005-09-14 04:00:00+00:00,42.31128827739094,42.349406767099694,42.07564790637895,42.13802337646485,340000,2005,9,37,Wednesday,42.2186,42.311279296875,-0.41,0.0,-0.56,-0.41,0.56,0,0.0,41.8882,41.4651,41.0419,40.6188,40.1957,39.7726,39.3495,38.9264,38.5033,38.0802,37.657,37.2339,36.8108,36.3877,35.9646,35.5415,34.6952,34.2721,33.849,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VTI,2005-09-15 04:00:00+00:00,42.283545701736784,42.283545701736784,42.03404658060413,42.148399353027344,207600,2005,9,37,Thursday,42.1874,42.13802337646485,0.02,0.35,-0.25,0.02,0.25,0,0.0,41.7166,41.2953,40.8739,40.4525,40.0311,39.6097,39.1884,38.767,38.3456,37.9242,37.5028,37.0815,36.6601,36.2387,35.8173,35.3959,34.5532,34.1318,33.7104,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VTI,2005-09-16 04:00:00+00:00,42.32167208923302,42.463750537881246,42.20385325809124,42.43602752685547,142000,2005,9,37,Friday,42.3563,42.148399353027344,0.68,0.41,0.13,0.68,-0.13,0,0.0,41.7269,41.3054,40.8839,40.4625,40.041,39.6195,39.198,38.7765,38.355,37.9336,37.5121,37.0906,36.6691,36.2476,35.8261,35.4047,34.5617,34.1402,33.7187,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VTI,2005-09-19 04:00:00+00:00,42.328608098627406,42.39791298882236,42.11375870892369,42.28009414672852,199000,2005,9,38,Monday,42.2801,42.43602752685547,-0.37,-0.25,-0.76,-0.37,0.76,0,0.0,42.0117,41.5873,41.1629,40.7386,40.3142,39.8899,39.4655,39.0411,38.6168,38.1924,37.7681,37.3437,36.9193,36.495,36.0706,35.6463,34.7975,34.3732,33.9488,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VTI,2005-09-20 04:00:00+00:00,42.35979545555638,42.41524148400483,41.84000083600684,41.8642578125,173600,2005,9,38,Tuesday,42.1198,42.28009414672852,-0.98,0.19,-1.04,-0.98,1.04,1,41.8573,41.8573,41.4345,41.0117,40.5889,40.1661,39.7433,39.3205,38.8977,38.4749,38.0521,37.6293,37.2065,36.7837,36.3609,35.9381,35.5153,34.6697,34.2469,33.8241,BOD99-1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VTI,2005-09-21 04:00:00+00:00,41.729112357541474,41.79148781903695,41.46575164794922,41.46575164794922,739800,2005,9,38,Wednesday,41.613,41.8642578125,-0.95,-0.32,-0.95,-0.95,0.95,0,0.0,41.4456,41.027,40.6083,40.1897,39.771,39.3524,38.9338,38.5151,38.0965,37.6778,37.2592,36.8405,36.4219,36.0033,35.5846,35.166,34.3287,33.91,33.4914,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VTI,2005-09-22 04:00:00+00:00,41.32713040852172,41.687521593253415,41.27861646478973,41.607818603515625,574800,2005,9,38,Thursday,41.4753,41.46575164794922,0.34,-0.33,-0.45,0.34,0.45,0,0.0,41.0511,40.6364,40.2218,39.8071,39.3925,38.9778,38.5631,38.1485,37.7338,37.3192,36.9045,36.4899,36.0752,35.6605,35.2459,34.8312,34.0019,33.5873,33.1726,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VTI,2005-09-23 04:00:00+00:00,41.49693085070763,41.78108509399549,41.42069389502839,41.69098663330078,158600,2005,9,38,Friday,41.5974,41.607818603515625,0.2,-0.27,-0.45,0.2,0.45,0,0.0,41.1917,40.7757,40.3596,39.9435,39.5274,39.1113,38.6953,38.2792,37.8631,37.447,37.031,36.6149,36.1988,35.7827,35.3666,34.9506,34.1184,33.7023,33.2863,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VTI,2005-09-26 04:00:00+00:00,41.89989709597176,41.95212452400756,41.607427749207055,41.74321746826172,365000,2005,9,39,Monday,41.8007,41.69098663330078,0.13,0.5,-0.2,0.13,0.2,0,0.0,41.2741,40.8572,40.4403,40.0233,39.6064,39.1895,38.7726,38.3557,37.9388,37.5219,37.105,36.6881,36.2712,35.8542,35.4373,35.0204,34.1866,33.7697,33.3528,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
