Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD83-17,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD83-17_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
VTI,2015-01-02,88.29000313481701,88.48069707332814,87.2785099076488,87.81742095947266,5298300,2015,1,1,Friday,87.9667,87.88374328613281,-0.08,0.46,-0.69,-0.08,0.69,0,0.0,87.0049,86.1261,85.2472,84.3684,83.4896,82.6107,81.7319,80.853,79.9742,79.0954,78.2165,77.3377,76.4589,75.58,74.7012,73.8223,72.9435,72.0647,71.1858,70.307,69.4282,68.5493,67.6705,66.7916,65.9128,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VTI,2015-01-05,87.34483662859218,87.51065881569872,86.10949138062931,86.3084716796875,5383500,2015,1,1,Monday,86.8184,87.81742095947266,-1.72,-0.54,-1.94,-1.72,1.94,1,86.9392,86.9392,86.0611,85.1829,84.3047,83.4265,82.5484,81.6702,80.792,79.9139,79.0357,78.1575,77.2793,76.4012,75.523,74.6448,73.7666,72.8885,72.0103,71.1321,70.2539,69.3758,68.4976,67.6194,66.7412,65.8631,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VTI,2015-01-06,86.55720791199295,86.64011584866799,84.99022450459532,85.46280670166016,4226100,2015,1,1,Tuesday,85.9126,86.3084716796875,-0.98,0.29,-1.53,-0.98,1.53,1,85.4454,85.4454,84.5823,83.7192,82.8561,81.993,81.13,80.2669,79.4038,78.5407,77.6776,76.8145,75.9515,75.0884,74.2253,73.3622,72.4991,71.636,70.7729,69.9099,69.0468,68.1837,67.3206,66.4575,65.5944,64.7314,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VTI,2015-01-07,86.30018084527934,86.59865446302162,85.85247674413571,86.48258209228516,3661500,2015,1,1,Wednesday,86.3085,85.46280670166016,1.19,0.98,0.46,1.19,-0.46,0,0.0,84.6082,83.7536,82.8989,82.0443,81.1897,80.335,79.4804,78.6258,77.7712,76.9165,76.0619,75.2073,74.3526,73.498,72.6434,71.7888,70.9341,70.0795,69.2249,68.3702,67.5156,66.661,65.8064,64.9517,64.0971,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VTI,2015-01-08,87.2287616043899,88.08272528421051,87.14585367609585,88.00811004638672,2796200,2015,1,1,Thursday,87.6164,86.48258209228516,1.76,0.86,0.77,1.76,-0.77,0,0.0,85.6178,84.7529,83.8881,83.0233,82.1585,81.2936,80.4288,79.564,78.6991,77.8343,76.9695,76.1047,75.2398,74.375,73.5102,72.6454,71.7805,70.9157,70.0509,69.1861,68.3212,67.4564,66.5916,65.7268,64.8619,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VTI,2015-01-09,88.14904475649679,88.17391649978565,86.98831490775629,87.27849578857422,3272500,2015,1,1,Friday,87.6474,88.00811004638672,-0.83,0.16,-1.16,-0.83,1.16,1,87.128,87.128,86.2479,85.3679,84.4878,83.6077,82.7276,81.8475,80.9675,80.0874,79.2073,78.3272,77.4471,76.5671,75.687,74.8069,73.9268,73.0467,72.1667,71.2866,70.4065,69.5264,68.6463,67.7662,66.8862,66.0061,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VTI,2015-01-12,87.51064716367985,87.51064716367985,86.32504556697664,86.65667724609375,3705900,2015,1,2,Monday,87.0008,87.27849578857422,-0.71,0.27,-1.09,-0.71,1.09,1,86.4057,86.4057,85.5329,84.6601,83.7874,82.9146,82.0418,81.169,80.2962,79.4234,78.5506,77.6779,76.8051,75.9323,75.0595,74.1867,73.3139,72.4412,71.5684,70.6956,69.8228,68.95,68.0772,67.2044,66.3317,65.4589,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VTI,2015-01-13,87.32825937131172,87.8837494772533,85.75298335143681,86.45771026611328,2936200,2015,1,2,Tuesday,86.8557,86.65667724609375,-0.23,0.77,-1.04,-0.23,1.04,1,85.7901,85.7901,84.9235,84.057,83.1904,82.3238,81.4573,80.5907,79.7241,78.8576,77.991,77.1244,76.2579,75.3913,74.5247,73.6582,72.7916,71.925,71.0585,70.1919,69.3253,68.4588,67.5922,66.7256,65.8591,64.9925,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VTI,2015-01-14,85.42959470915426,86.0514133762988,84.9818845097542,85.9850845336914,3291600,2015,1,2,Wednesday,85.612,86.45771026611328,-0.55,-1.19,-1.71,-0.55,1.71,1,85.5931,85.5931,84.7286,83.864,82.9994,82.1348,81.2702,80.4057,79.5411,78.6765,77.8119,76.9474,76.0828,75.2182,74.3536,73.4891,72.6245,71.7599,70.8953,70.0307,69.1662,68.3016,67.437,66.5724,65.7079,64.8433,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VTI,2015-01-15,86.26702322497559,86.441131782074,85.03996430886848,85.11458587646484,5615200,2015,1,2,Thursday,85.7157,85.9850845336914,-1.01,0.33,-1.1,-1.01,1.1,1,85.1252,85.1252,84.2654,83.4055,82.5457,81.6858,80.826,79.9661,79.1063,78.2464,77.3866,76.5267,75.6669,74.807,73.9472,73.0873,72.2275,71.3676,70.5078,69.6479,68.7881,67.9282,67.0684,66.2085,65.3487,64.4888,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
