Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
XLG,2015-01-02 05:00:00+00:00,12.198163378231834,12.239327322125234,12.091824280305032,12.133845329284668,1780000,2015,1,1,Friday,12.1658,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2015-01-05 05:00:00+00:00,12.088389240060112,12.088389240060112,11.920304284224963,11.94002914428711,457000,2015,1,1,Monday,12.0093,12.133845329284668,-1.6,-0.37,-1.76,-1.6,1.76,1,12.0125,12.0125,11.8912,11.7698,11.6485,11.5272,11.4058,11.2845,11.1631,11.0418,10.9205,10.7991,10.6778,10.5564,10.4351,10.3138,10.1924,9.9498,9.8284,9.7071,9.5857,9.4644,9.3431,9.2217,9.1004,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2015-01-06 05:00:00+00:00,11.964898186190256,12.00091703335834,11.784807221742152,11.837120056152344,424000,2015,1,1,Tuesday,11.8969,11.94002914428711,-0.86,0.21,-1.3,-0.86,1.3,1,11.8206,11.8206,11.7012,11.5818,11.4624,11.343,11.2236,11.1042,10.9848,10.8654,10.746,10.6266,10.5072,10.3878,10.2684,10.149,10.0296,9.7908,9.6714,9.552,9.4326,9.3132,9.1938,9.0744,8.955,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2015-01-07 05:00:00+00:00,11.927168029803696,11.991486071779482,11.901440976583038,11.970046997070312,240000,2015,1,1,Wednesday,11.9475,11.837120056152344,1.12,0.76,0.54,1.12,-0.54,0,0.0,11.7187,11.6004,11.482,11.3636,11.2453,11.1269,11.0085,10.8902,10.7718,10.6534,10.535,10.4167,10.2983,10.1799,10.0616,9.9432,9.7064,9.5881,9.4697,9.3513,9.233,9.1146,8.9962,8.8778,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2015-01-08 05:00:00+00:00,12.091822518029844,12.201591656000437,12.066094647921895,12.176722526550291,795000,2015,1,1,Thursday,12.1341,11.970046997070312,1.73,1.02,0.8,1.73,-0.8,0,0.0,11.8503,11.7306,11.6109,11.4912,11.3715,11.2518,11.1321,11.0124,10.8927,10.773,10.6533,10.5336,10.4139,10.2942,10.1745,10.0548,9.8154,9.6957,9.576,9.4563,9.3366,9.2169,9.0972,8.9775,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2015-01-09 05:00:00+00:00,12.208454293186916,12.208454293186916,12.072957266149102,12.093539237976074,115000,2015,1,1,Friday,12.1459,12.176722526550291,-0.68,0.26,-0.85,-0.68,0.85,0,0.0,12.055,11.9332,11.8114,11.6897,11.5679,11.4461,11.3244,11.2026,11.0808,10.9591,10.8373,10.7155,10.5937,10.472,10.3502,10.2284,9.9849,9.8631,9.7414,9.6196,9.4978,9.3761,9.2543,9.1325,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2015-01-12 05:00:00+00:00,12.124408103029706,12.124408103029706,11.968329964170444,11.99748706817627,167000,2015,1,2,Monday,12.0537,12.093539237976074,-0.79,0.26,-1.04,-0.79,1.04,1,11.9726,11.9726,11.8517,11.7307,11.6098,11.4889,11.3679,11.247,11.1261,11.0051,10.8842,10.7632,10.6423,10.5214,10.4004,10.2795,10.1586,9.9167,9.7958,9.6748,9.5539,9.433,9.312,9.1911,9.0702,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2015-01-13 05:00:00+00:00,12.100398056194626,12.169861999221194,11.893722890638944,11.962328910827637,129000,2015,1,2,Tuesday,12.0316,11.99748706817627,-0.29,0.86,-0.86,-0.29,0.86,0,0.0,11.8775,11.7575,11.6376,11.5176,11.3976,11.2776,11.1577,11.0377,10.9177,10.7977,10.6778,10.5578,10.4378,10.3178,10.1979,10.0779,9.8379,9.718,9.598,9.478,9.358,9.2381,9.1181,8.9981,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2015-01-14 05:00:00+00:00,11.8422676637222,11.919449638922718,11.789097713188822,11.901440620422363,319000,2015,1,2,Wednesday,11.8631,11.962328910827637,-0.51,-1.0,-1.45,-0.51,1.45,1,11.8427,11.8427,11.7231,11.6035,11.4838,11.3642,11.2446,11.125,11.0053,10.8857,10.7661,10.6465,10.5268,10.4072,10.2876,10.168,10.0484,9.8091,9.6895,9.5699,9.4502,9.3306,9.211,9.0914,8.9717,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2015-01-15 05:00:00+00:00,11.932312461936633,11.932312461936633,11.767658348894772,11.777949333190918,173000,2015,1,2,Thursday,11.8526,11.901440620422363,-1.04,0.26,-1.12,-1.04,1.12,1,11.7824,11.7824,11.6634,11.5444,11.4254,11.3064,11.1874,11.0683,10.9493,10.8303,10.7113,10.5923,10.4733,10.3543,10.2352,10.1162,9.9972,9.7592,9.6402,9.5212,9.4021,9.2831,9.1641,9.0451,8.9261,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
