Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,Shares_Purchased,Total_Value_Purchased,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
XLG,2016-01-04 05:00:00+00:00,12.44638699255424,12.46653449303255,12.32287808641702,12.465658187866213,652000,2016,1,1,Monday,12.4254,12.66449737548828,-1.57,-1.72,-2.7,-1.57,2.7,12.5379,12.4112,12.2846,12.1579,12.0313,11.9046,11.778,11.6513,11.5247,11.398,11.2714,11.1448,11.0181,10.8915,10.7648,10.6382,10.3849,10.2582,10.1316,10.005,9.8783,9.7517,9.625,9.4984,2,24.9491,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2016-01-05 05:00:00+00:00,12.516461250058988,12.530477118525576,12.410471779118742,12.478796005249023,690000,2016,1,1,Tuesday,12.4841,12.465658187866213,0.11,0.41,-0.44,0.11,0.44,12.341,12.2163,12.0917,11.967,11.8424,11.7177,11.5931,11.4684,11.3437,11.2191,11.0944,10.9698,10.8451,10.7205,10.5958,10.4712,10.2218,10.0972,9.9725,9.8479,9.7232,9.5986,9.4739,9.3492,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2016-01-06 05:00:00+00:00,12.265065000136438,12.428868067374752,12.265065000136438,12.35616397857666,964000,2016,1,1,Wednesday,12.3288,12.478796005249023,-0.98,-1.71,-1.71,-0.98,1.71,12.354,12.2292,12.1044,11.9796,11.8549,11.7301,11.6053,11.4805,11.3557,11.2309,11.1061,10.9813,10.8566,10.7318,10.607,10.4822,10.2326,10.1078,9.983,9.8582,9.7335,9.6087,9.4839,9.3591,1,12.354,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2016-01-07 05:00:00+00:00,12.131923306223,12.276455207132466,12.033816373444289,12.046079635620115,703000,2016,1,1,Thursday,12.1221,12.35616397857666,-2.51,-1.81,-2.61,-2.51,2.61,12.2326,12.109,11.9855,11.8619,11.7384,11.6148,11.4912,11.3677,11.2441,11.1205,10.997,10.8734,10.7499,10.6263,10.5027,10.3792,10.1321,10.0085,9.8849,9.7614,9.6378,9.5142,9.3907,9.2671,2,24.3416,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2016-01-08 05:00:00+00:00,12.150314918614836,12.150314918614836,11.896289196658657,11.923443794250488,481000,2016,1,1,Friday,12.0301,12.046079635620115,-1.02,0.87,-1.24,-1.02,1.24,11.9256,11.8052,11.6847,11.5642,11.4438,11.3233,11.2029,11.0824,10.9619,10.8415,10.721,10.6006,10.4801,10.3596,10.2392,10.1187,9.8778,9.7573,9.6369,9.5164,9.3959,9.2755,9.155,9.0346,1,11.9256,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2016-01-11 05:00:00+00:00,11.994397548131944,12.043450592916493,11.806944244582407,11.963739395141602,512000,2016,1,2,Monday,11.9521,11.923443794250488,0.34,0.6,-0.98,0.34,0.98,11.8042,11.685,11.5657,11.4465,11.3273,11.208,11.0888,10.9696,10.8503,10.7311,10.6119,10.4926,10.3734,10.2542,10.1349,10.0157,9.7772,9.658,9.5388,9.4195,9.3003,9.1811,9.0618,8.9426,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2016-01-12 05:00:00+00:00,12.11002342559931,12.115279586483368,11.963739756697686,12.08549690246582,349000,2016,1,2,Tuesday,12.0686,11.963739395141602,1.02,1.22,0.0,1.02,-0.0,11.8441,11.7245,11.6048,11.4852,11.3656,11.2459,11.1263,11.0066,10.887,10.7674,10.6477,10.5281,10.4085,10.2888,10.1692,10.0495,9.8103,9.6906,9.571,9.4514,9.3317,9.2121,9.0924,8.9728,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2016-01-13 05:00:00+00:00,12.15031666215007,12.151192131982098,11.780665397644045,11.780665397644045,418000,2016,1,2,Wednesday,11.9657,12.08549690246582,-2.52,0.54,-2.52,-2.52,2.52,11.9646,11.8438,11.7229,11.6021,11.4812,11.3604,11.2395,11.1187,10.9978,10.8769,10.7561,10.6352,10.5144,10.3935,10.2727,10.1518,9.9101,9.7893,9.6684,9.5475,9.4267,9.3058,9.185,9.0641,2,23.8084,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2016-01-14 05:00:00+00:00,11.87264161417309,12.093381173537468,11.739497502584909,12.013669967651367,921000,2016,1,2,Thursday,11.9298,11.780665397644045,1.98,0.78,-0.35,1.98,0.35,11.6629,11.5451,11.4272,11.3094,11.1916,11.0738,10.956,10.8382,10.7204,10.6026,10.4848,10.367,10.2492,10.1314,10.0136,9.8958,9.6601,9.5423,9.4245,9.3067,9.1889,9.0711,8.9533,8.8355,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLG,2016-01-15 05:00:00+00:00,11.716720126644043,11.791175989952604,11.609853503822352,11.723727226257324,355000,2016,1,2,Friday,11.7104,12.013669967651367,-2.41,-2.47,-3.36,-2.41,3.36,11.8935,11.7734,11.6533,11.5331,11.413,11.2928,11.1727,11.0526,10.9324,10.8123,10.6922,10.572,10.4519,10.3318,10.2116,10.0915,9.8512,9.7311,9.6109,9.4908,9.3707,9.2505,9.1304,9.0103,3,35.3202,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
