Date,Symbol,Buy_Price,Buy_Level,Shares Purchased
2024-10-25,TOPT,24.884996,1%,1
2024-10-28,TOPT,24.924479,1%,1
2024-10-31,TOPT,24.430926,1%,1
2024-10-31,TOPT,24.184149,2%,1
2024-11-11,TOPT,25.437777,1%,1
2024-11-15,TOPT,24.914609,1%,1
2024-11-20,TOPT,25.042935,1%,1
2024-11-21,TOPT,25.171257,1%,1
2024-11-21,TOPT,24.917002,2%,1
2024-11-25,TOPT,25.112031,1%,1
2024-12-18,TOPT,26.553201,1%,1
2024-12-18,TOPT,26.284987,2%,1
2024-12-18,TOPT,26.016773,3%,1
2024-12-19,TOPT,26.029645,1%,1
2024-12-27,TOPT,26.513686,1%,1
2024-12-31,TOPT,26.049403,1%,1
2025-01-02,TOPT,25.891347,1%,1
2025-01-07,TOPT,26.434661,1%,1
2025-01-07,TOPT,26.167644,2%,1
2025-01-10,TOPT,25.733291,1%,1
2025-01-14,TOPT,25.545601,1%,1
2025-01-16,TOPT,25.970375,1%,1
2025-01-29,TOPT,26.11855,1%,1
2025-01-30,TOPT,26.088914,1%,1
2025-01-31,TOPT,26.256849,1%,1
2025-02-07,TOPT,26.306239,1%,1
2025-02-18,TOPT,26.701377,1%,1
2025-02-20,TOPT,26.612472,1%,1
2025-02-21,TOPT,26.395144,1%,1
2025-02-24,TOPT,26.079037,1%,1
2025-02-25,TOPT,25.772805,1%,1
2025-02-27,TOPT,25.802441,1%,1
2025-02-27,TOPT,25.541811,2%,1
2025-02-27,TOPT,25.28118,3%,1
2025-03-03,TOPT,25.575236,1%,1
2025-03-03,TOPT,25.3169,2%,1
2025-03-03,TOPT,25.058564,3%,1
2025-03-04,TOPT,24.528125,1%,1
2025-03-06,TOPT,24.508368,1%,1
2025-03-07,TOPT,24.251527,1%,1
2025-03-10,TOPT,23.945296,1%,1
2025-03-10,TOPT,23.703425,2%,1
2025-03-12,TOPT,23.767484,1%,1
2025-03-13,TOPT,23.648946,1%,1
2025-03-18,TOPT,23.703106,1%,1
2025-03-26,TOPT,24.533754,1%,1
2025-03-26,TOPT,24.285938,2%,1
2025-03-28,TOPT,23.940433,1%,1
2025-03-28,TOPT,23.698611,2%,1
2025-04-04,TOPT,21.933038,1%,1
2025-04-04,TOPT,21.711492,2%,1
2025-04-04,TOPT,21.489946,3%,1
2025-04-08,TOPT,22.200032,1%,1
2025-04-08,TOPT,21.975789,2%,1
2025-04-08,TOPT,21.751546,3%,1
2025-04-08,TOPT,21.527304,4%,1
2025-04-08,TOPT,21.303061,5%,1
2025-04-10,TOPT,22.75874,1%,1
2025-04-10,TOPT,22.528854,2%,1
2025-04-10,TOPT,22.298967,3%,1
2025-04-10,TOPT,22.069081,4%,1
2025-04-14,TOPT,23.574556,1%,1
2025-04-14,TOPT,23.336429,2%,1
2025-04-16,TOPT,22.64502,1%,1
2025-04-16,TOPT,22.416283,2%,1
2025-04-17,TOPT,22.457135,1%,1
2025-04-21,TOPT,21.972592,1%,1
2025-04-21,TOPT,21.750647,2%,1
2025-04-23,TOPT,22.981235,1%,1
2025-04-28,TOPT,23.703106,1%,1
2025-04-30,TOPT,23.366892,1%,1
2025-05-12,TOPT,25.028186,1%,1
2025-05-29,TOPT,25.858834,1%,1
2025-05-30,TOPT,25.59184,1%,1
2025-06-05,TOPT,25.987388,1%,1
2025-06-20,TOPT,26.126099,1%,1
2025-07-31,TOPT,28.5615,1%,1
2025-08-01,TOPT,27.819,1%,1
2025-08-07,TOPT,28.343699,1%,1
2025-08-19,TOPT,28.749601,1%,1
2025-08-20,TOPT,28.3932,1%,1
