Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2024-10-24,TOPT,24.687674,24.777411,24.607908,24.757469,43,Thursday,24.707616,100.0,4.047335
2024-11-01,TOPT,24.338695,24.498227,24.248958,24.298813,44,Friday,24.346173,100.0,4.107422
2024-12-02,TOPT,25.575072,25.764518,25.575072,25.744576,49,Monday,25.664809,100.0,3.896386
2025-01-02,TOPT,26.152874,26.232701,25.67392,25.913397,1,Thursday,25.993223,100.0,3.847157
2025-02-03,TOPT,25.63401,26.008193,25.564163,25.863508,6,Monday,25.767468,100.0,3.880862
2025-03-03,TOPT,25.833572,25.833572,24.864689,25.075228,10,Monday,25.401765,100.0,3.936734
2025-04-01,TOPT,23.692818,24.002464,23.597928,23.922556,14,Tuesday,23.803941,100.0,4.200985
2025-05-01,TOPT,24.382028,24.536851,24.237194,24.252178,18,Thursday,24.352063,100.0,4.106428
2025-06-02,TOPT,25.740471,26.070093,25.740471,26.030138,23,Monday,25.895293,100.0,3.861706
2025-07-01,TOPT,27.200001,27.254999,27.0,27.049999,27,Tuesday,27.12625,100.0,3.686466
2025-08-01,TOPT,28.1,28.110001,27.709999,27.809999,31,Friday,27.9325,100.0,3.580059
