Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2024-12-30,TOPT,26.18281,26.427277,26.073049,26.232702,1,Monday,26.22896,25.0,0.953145
2024-10-24,TOPT,24.687674,24.777411,24.607908,24.757469,43,Thursday,24.707616,25.0,1.011834
2024-10-28,TOPT,25.176242,25.176242,24.887088,24.90703,44,Monday,25.03665,25.0,0.998536
2024-11-04,TOPT,24.278872,24.343683,24.134295,24.189135,45,Monday,24.236496,25.0,1.031502
2024-11-11,TOPT,25.694724,25.694724,25.386626,25.515249,46,Monday,25.572831,25.0,0.9776
2024-11-18,TOPT,24.946914,25.096476,24.877119,25.036652,47,Monday,24.98929,25.0,1.000429
2024-11-25,TOPT,25.365688,25.415541,25.05759,25.166271,48,Monday,25.251273,25.0,0.990049
2024-12-02,TOPT,25.575072,25.764518,25.575072,25.744576,49,Monday,25.664809,25.0,0.974096
2024-12-09,TOPT,26.213206,26.213206,26.058658,26.163351,50,Monday,26.162105,25.0,0.955581
2024-12-16,TOPT,26.681831,26.86629,26.592094,26.831392,51,Monday,26.742902,25.0,0.934828
2024-12-23,TOPT,26.382376,26.591917,26.192789,26.591917,52,Monday,26.43975,25.0,0.945546
2025-01-02,TOPT,26.152874,26.232701,25.67392,25.913397,1,Thursday,25.993223,25.0,0.961789
2025-01-06,TOPT,26.561983,26.761546,26.447232,26.561983,2,Monday,26.583186,25.0,0.940444
2025-01-13,TOPT,25.444423,25.678911,25.375573,25.663942,3,Monday,25.540712,25.0,0.978829
2025-01-21,TOPT,26.242678,26.29257,26.033137,26.29257,4,Tuesday,26.215239,25.0,0.953644
2025-01-27,TOPT,25.663942,26.023158,25.663942,25.913397,5,Monday,25.816109,25.0,0.968388
2025-02-03,TOPT,25.63401,26.008193,25.564163,25.863508,6,Monday,25.767468,25.0,0.970216
2025-02-10,TOPT,26.442244,26.561983,26.412309,26.492134,7,Monday,26.477167,25.0,0.94421
2025-02-18,TOPT,26.97109,26.97109,26.691699,26.871307,8,Tuesday,26.876297,25.0,0.930188
2025-02-24,TOPT,26.342461,26.422287,25.993224,26.023159,9,Monday,26.195283,25.0,0.95437
2025-03-03,TOPT,25.833572,25.833572,24.864689,25.075228,10,Monday,25.401765,25.0,0.984184
2025-03-10,TOPT,24.187168,24.202135,23.478716,23.718193,11,Monday,23.896553,25.0,1.046176
2025-03-17,TOPT,24.027516,24.247036,23.8978,24.107342,12,Monday,24.069924,25.0,1.038641
2025-03-24,TOPT,24.541846,24.731628,24.488907,24.701662,13,Monday,24.616011,25.0,1.015599
2025-03-31,TOPT,23.373185,23.832659,23.143449,23.792704,14,Monday,23.535499,25.0,1.062225
2025-04-07,TOPT,20.556417,22.344367,20.366634,21.49534,15,Monday,21.19069,25.0,1.179763
2025-04-14,TOPT,23.812682,23.83266,23.153439,23.373186,16,Monday,23.542992,25.0,1.061887
2025-04-21,TOPT,22.194538,22.244482,21.655157,21.904871,17,Monday,21.999762,25.0,1.136376
2025-04-28,TOPT,23.942531,23.982487,23.548984,23.852634,18,Monday,23.831659,25.0,1.049025
2025-05-05,TOPT,24.282143,24.436966,24.222212,24.292131,19,Monday,24.308363,25.0,1.028453
2025-05-12,TOPT,25.280996,25.320951,24.966359,25.320951,20,Monday,25.222315,25.0,0.991186
2025-05-19,TOPT,25.520722,25.920265,25.520722,25.920265,21,Monday,25.720494,25.0,0.971988
2025-05-27,TOPT,25.510735,25.820379,25.510735,25.800402,22,Tuesday,25.660563,25.0,0.974258
2025-06-02,TOPT,25.740471,26.070093,25.740471,26.030138,23,Monday,25.895293,25.0,0.965426
2025-06-09,TOPT,26.169977,26.27985,26.140011,26.219919,24,Monday,26.202439,25.0,0.95411
2025-06-16,TOPT,26.33,26.52,26.33,26.43,25,Monday,26.4025,25.0,0.94688
2025-06-23,TOPT,26.129999,26.445,26.07,26.42,26,Monday,26.26625,25.0,0.951792
2025-06-30,TOPT,27.32,27.370001,27.139999,27.290001,27,Monday,27.28,25.0,0.916422
2025-07-07,TOPT,27.43,27.469999,27.184999,27.309999,28,Monday,27.34875,25.0,0.914119
2025-07-14,TOPT,27.549999,27.620001,27.440001,27.58,29,Monday,27.5475,25.0,0.907523
2025-07-21,TOPT,27.889999,28.07,27.889999,27.98,30,Monday,27.9575,25.0,0.894214
2025-07-28,TOPT,28.309999,28.396999,28.299999,28.370001,31,Monday,28.34425,25.0,0.882013
2025-08-04,TOPT,28.0,28.26,28.0,28.25,32,Monday,28.1275,25.0,0.88881
2025-08-11,TOPT,28.799999,28.955,28.700001,28.77,33,Monday,28.80625,25.0,0.867867
2025-08-18,TOPT,29.01,29.07,28.940001,29.030001,34,Monday,29.0125,25.0,0.861698
2025-08-25,TOPT,28.82,28.99,28.75,28.84,35,Monday,28.85,25.0,0.866551
