Date,Symbol,Buy_Price,Buy_Level,Shares Purchased
2015-08-31,TQQQ,3.827791,1%,1
2015-08-31,TQQQ,3.789127,2%,1
2015-09-01,TQQQ,3.465741,1%,1
2015-09-01,TQQQ,3.430733,2%,1
2015-09-01,TQQQ,3.395726,3%,1
2015-09-02,TQQQ,3.580238,1%,1
2015-09-02,TQQQ,3.544074,2%,1
2015-09-02,TQQQ,3.50791,3%,1
2015-09-03,TQQQ,3.729481,1%,1
2015-09-03,TQQQ,3.691809,2%,1
2015-09-03,TQQQ,3.654138,3%,1
2015-09-04,TQQQ,3.478374,1%,1
2015-09-08,TQQQ,3.701053,1%,1
2015-09-09,TQQQ,3.93005,1%,1
2015-09-09,TQQQ,3.890353,2%,1
2015-09-09,TQQQ,3.850655,3%,1
2015-09-09,TQQQ,3.810958,4%,1
2015-09-09,TQQQ,3.77126,5%,1
2015-09-14,TQQQ,3.888989,1%,1
2015-09-14,TQQQ,3.849706,2%,1
2015-09-14,TQQQ,3.810424,3%,1
2015-09-15,TQQQ,3.84003,1%,1
2015-09-16,TQQQ,3.952555,1%,1
2015-09-21,TQQQ,3.91031,1%,1
2015-09-21,TQQQ,3.870812,2%,1
2015-09-21,TQQQ,3.831314,3%,1
2015-09-22,TQQQ,3.704607,1%,1
2015-09-22,TQQQ,3.667187,2%,1
2015-09-23,TQQQ,3.738956,1%,1
2015-09-23,TQQQ,3.701189,2%,1
2015-09-24,TQQQ,3.60906,1%,1
2015-09-24,TQQQ,3.572605,2%,1
2015-09-25,TQQQ,3.800548,1%,1
2015-09-25,TQQQ,3.762159,2%,1
2015-09-25,TQQQ,3.72377,3%,1
2015-09-25,TQQQ,3.68538,4%,1
2015-09-25,TQQQ,3.646991,5%,1
2015-09-28,TQQQ,3.536808,1%,1
2015-09-28,TQQQ,3.501083,2%,1
2015-09-28,TQQQ,3.465357,3%,1
2015-09-28,TQQQ,3.429632,4%,1
2015-09-28,TQQQ,3.393907,5%,1
2015-09-29,TQQQ,3.3011,1%,1
2015-09-29,TQQQ,3.267756,2%,1
2015-09-29,TQQQ,3.234411,3%,1
2015-09-29,TQQQ,3.201067,4%,1
2015-09-30,TQQQ,3.363087,1%,1
2015-10-01,TQQQ,3.46416,1%,1
2015-10-01,TQQQ,3.429169,2%,1
2015-10-01,TQQQ,3.394177,3%,1
2015-10-02,TQQQ,3.350453,1%,1
2015-10-06,TQQQ,3.811209,1%,1
2015-10-06,TQQQ,3.772712,2%,1
2015-10-06,TQQQ,3.734215,3%,1
2015-10-07,TQQQ,3.851876,1%,1
2015-10-07,TQQQ,3.812968,2%,1
2015-10-07,TQQQ,3.77406,3%,1
2015-10-08,TQQQ,3.804102,1%,1
2015-10-08,TQQQ,3.765677,2%,1
2015-10-12,TQQQ,3.969533,1%,1
2015-10-14,TQQQ,3.896096,1%,1
2015-10-16,TQQQ,4.094691,1%,1
2015-10-20,TQQQ,4.166943,1%,1
2015-10-20,TQQQ,4.124853,2%,1
2015-10-21,TQQQ,4.187473,1%,1
2015-10-21,TQQQ,4.145176,2%,1
2015-10-21,TQQQ,4.102878,3%,1
2015-10-23,TQQQ,4.643493,1%,1
2015-10-26,TQQQ,4.64823,1%,1
2015-10-28,TQQQ,4.719693,1%,1
2015-10-28,TQQQ,4.672019,2%,1
