Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,TQQQ,3.866456,3.930265,3.756783,3.785099,36,Monday,3.834651,100.0,26.077994
2015-09-01,TQQQ,3.500748,3.67423,3.383099,3.441724,36,Tuesday,3.49995,100.0,28.571834
2015-10-01,TQQQ,3.499152,3.528265,3.361165,3.525872,40,Thursday,3.478614,100.0,28.747084
2015-11-02,TQQQ,4.807247,4.950419,4.780527,4.934468,45,Monday,4.868165,100.0,20.541619
2015-12-01,TQQQ,4.888604,4.977937,4.873051,4.977937,49,Tuesday,4.929382,100.0,20.286517
2016-01-04,TQQQ,4.252104,4.277229,4.097366,4.277229,1,Monday,4.225982,100.0,23.663138
2016-02-01,TQQQ,3.534248,3.658677,3.495563,3.613213,5,Monday,3.575425,100.0,27.968701
2016-03-01,TQQQ,3.468445,3.699754,3.440927,3.698956,9,Tuesday,3.577021,100.0,27.956227
2016-04-01,TQQQ,4.021594,4.224588,3.998862,4.219802,13,Friday,4.116211,100.0,24.294185
2016-05-02,TQQQ,3.716504,3.80823,3.67104,3.791081,18,Monday,3.746714,100.0,26.690058
2016-06-01,TQQQ,4.12967,4.195873,4.118505,4.169153,22,Wednesday,4.1533,100.0,24.077239
2016-07-01,TQQQ,3.834552,3.940635,3.830165,3.893974,26,Friday,3.874831,100.0,25.807575
2016-08-01,TQQQ,4.717914,4.816419,4.700366,4.780128,31,Monday,4.753707,100.0,21.036216
2016-09-01,TQQQ,4.85032,4.898177,4.778534,4.868665,35,Thursday,4.848924,100.0,20.623133
2016-10-03,TQQQ,5.110741,5.131878,5.050919,5.116723,40,Monday,5.102565,100.0,19.597986
2016-11-01,TQQQ,4.9233,4.9233,4.658889,4.791294,44,Tuesday,4.824196,100.0,20.728843
2016-12-01,TQQQ,4.920509,4.920908,4.644933,4.674045,48,Thursday,4.790099,100.0,20.876396
2017-01-03,TQQQ,5.168967,5.259896,5.119515,5.196883,1,Tuesday,5.186315,100.0,19.281513
2017-02-01,TQQQ,5.988521,6.023615,5.908758,5.98533,5,Wednesday,5.976556,100.0,16.732044
2017-03-01,TQQQ,6.776569,6.907379,6.744664,6.875473,9,Wednesday,6.826021,100.0,14.649823
2017-04-03,TQQQ,7.056531,7.105186,6.908971,7.020638,14,Monday,7.022832,100.0,14.23927
2017-05-01,TQQQ,7.673887,7.834209,7.664315,7.795125,18,Monday,7.741884,100.0,12.916752
2017-06-01,TQQQ,8.523352,8.581578,8.418864,8.5744,22,Thursday,8.524549,100.0,11.730826
2017-07-03,TQQQ,7.928328,7.953055,7.558234,7.577376,27,Monday,7.754248,100.0,12.896157
2017-08-01,TQQQ,8.85596,8.863139,8.745889,8.82565,31,Tuesday,8.822659,100.0,11.334451
2017-09-01,TQQQ,9.280293,9.315389,9.132734,9.203722,35,Friday,9.233035,100.0,10.830675
2017-10-02,TQQQ,9.159853,9.249985,9.016282,9.138317,40,Monday,9.141109,100.0,10.939592
