Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,TQQQ,3.866456,3.930265,3.756783,3.785099,36,Monday,3.834651,25.0,6.519498
2015-09-08,TQQQ,3.738438,3.846516,3.69417,3.838141,37,Tuesday,3.779316,25.0,6.614954
2015-09-14,TQQQ,3.928272,3.929468,3.807831,3.850105,38,Monday,3.878919,25.0,6.445095
2015-09-21,TQQQ,3.949808,4.018403,3.818599,3.923487,39,Monday,3.927574,25.0,6.365252
2015-09-28,TQQQ,3.572533,3.578915,3.278611,3.310516,40,Monday,3.435144,25.0,7.277716
2015-10-05,TQQQ,3.795468,3.90195,3.771141,3.878022,41,Monday,3.836645,25.0,6.516109
2015-10-12,TQQQ,4.00963,4.036349,3.965362,4.01282,42,Monday,4.00604,25.0,6.240577
2015-10-19,TQQQ,4.140837,4.241337,4.117705,4.234557,43,Monday,4.183609,25.0,5.975702
2015-10-26,TQQQ,4.695182,4.741044,4.64214,4.715122,44,Monday,4.698372,25.0,5.320992
2015-11-02,TQQQ,4.807247,4.950419,4.780527,4.934468,45,Monday,4.868165,25.0,5.135405
2015-11-09,TQQQ,4.898575,4.918515,4.705152,4.79648,46,Monday,4.829681,25.0,5.176326
2015-11-16,TQQQ,4.318707,4.520505,4.288398,4.513725,47,Monday,4.410334,25.0,5.668505
2015-11-23,TQQQ,4.897378,4.953212,4.790098,4.851914,48,Monday,4.873151,25.0,5.130151
2015-11-30,TQQQ,4.913729,4.914526,4.786509,4.834366,49,Monday,4.862282,25.0,5.141618
2015-12-07,TQQQ,4.971557,4.980729,4.823598,4.896182,50,Monday,4.918017,25.0,5.08335
2015-12-14,TQQQ,4.429176,4.512926,4.238544,4.508937,51,Monday,4.422396,25.0,5.653044
2015-12-21,TQQQ,4.443933,4.465867,4.346623,4.465469,52,Monday,4.430473,25.0,5.642738
2015-12-28,TQQQ,4.611831,4.643337,4.514123,4.643337,53,Monday,4.603157,25.0,5.431055
2016-01-04,TQQQ,4.252104,4.277229,4.097366,4.277229,1,Monday,4.225982,25.0,5.915784
2016-01-11,TQQQ,3.720492,3.750004,3.505534,3.676623,2,Monday,3.663163,25.0,6.824703
2016-01-19,TQQQ,3.418992,3.434545,3.190873,3.304135,3,Tuesday,3.337136,25.0,7.491454
2016-01-25,TQQQ,3.537438,3.592873,3.401844,3.408623,4,Monday,3.485194,25.0,7.173201
2016-02-01,TQQQ,3.534248,3.658677,3.495563,3.613213,5,Monday,3.575425,25.0,6.992175
2016-02-08,TQQQ,2.820778,2.886581,2.685582,2.851088,6,Monday,2.811007,25.0,8.893609
2016-02-16,TQQQ,3.103534,3.163355,3.045706,3.163355,7,Tuesday,3.118987,25.0,8.015422
2016-02-22,TQQQ,3.390677,3.468444,3.381105,3.456879,8,Monday,3.424276,25.0,7.300813
2016-02-29,TQQQ,3.459671,3.53704,3.375921,3.375921,9,Monday,3.437138,25.0,7.273493
2016-03-07,TQQQ,3.631159,3.695766,3.54023,3.619992,10,Monday,3.621787,25.0,6.902671
2016-03-14,TQQQ,3.725677,3.813415,3.72129,3.785498,11,Monday,3.76147,25.0,6.646338
2016-03-21,TQQQ,3.874033,3.950205,3.866455,3.937044,12,Monday,3.906934,25.0,6.398879
2016-03-28,TQQQ,3.91551,3.916308,3.843724,3.862468,13,Monday,3.884502,25.0,6.435831
2016-04-04,TQQQ,4.21342,4.227379,4.142433,4.167558,14,Monday,4.187697,25.0,5.969868
2016-04-11,TQQQ,4.10933,4.169551,4.010027,4.013218,15,Monday,4.075531,25.0,6.134169
2016-04-18,TQQQ,4.202254,4.308736,4.193879,4.299962,16,Monday,4.251208,25.0,5.880681
2016-04-25,TQQQ,4.001254,4.044723,3.985301,4.04233,17,Monday,4.018402,25.0,6.221378
2016-05-02,TQQQ,3.716504,3.80823,3.67104,3.791081,18,Monday,3.746714,25.0,6.672514
2016-05-09,TQQQ,3.67104,3.750004,3.665855,3.699754,19,Monday,3.696663,25.0,6.762855
2016-05-16,TQQQ,3.667051,3.833355,3.663063,3.793076,20,Monday,3.739136,25.0,6.686036
2016-05-23,TQQQ,3.761569,3.803844,3.726076,3.733652,21,Monday,3.756285,25.0,6.655512
2016-05-31,TQQQ,4.165563,4.187099,4.105742,4.167558,22,Tuesday,4.15649,25.0,6.01469
2016-06-06,TQQQ,4.153998,4.212623,4.136451,4.179522,23,Monday,4.170648,25.0,5.994272
2016-06-13,TQQQ,3.943027,4.00604,3.892379,3.907534,24,Monday,3.937245,25.0,6.349617
2016-06-20,TQQQ,3.903944,3.953397,3.830962,3.836545,25,Monday,3.881212,25.0,6.441286
2016-06-27,TQQQ,3.440528,3.445313,3.26226,3.315701,26,Monday,3.36595,25.0,7.427323
2016-07-05,TQQQ,3.843723,3.850902,3.763165,3.82498,27,Tuesday,3.820692,25.0,6.543317
2016-07-11,TQQQ,4.181914,4.2537,4.177925,4.205443,28,Monday,4.204745,25.0,5.945663
2016-07-18,TQQQ,4.315116,4.414022,4.311527,4.389295,29,Monday,4.35749,25.0,5.737248
2016-07-25,TQQQ,4.507741,4.522098,4.47464,4.5217,30,Monday,4.506545,25.0,5.547487
2016-08-01,TQQQ,4.717914,4.816419,4.700366,4.780128,31,Monday,4.753707,25.0,5.259054
2016-08-08,TQQQ,4.904955,4.907748,4.832373,4.881027,32,Monday,4.881526,25.0,5.12135
2016-08-15,TQQQ,4.965175,5.042943,4.960389,5.009842,33,Monday,4.994587,25.0,5.005419
2016-08-22,TQQQ,4.928486,4.988706,4.902962,4.956801,34,Monday,4.944239,25.0,5.05639
2016-08-29,TQQQ,4.89339,4.948026,4.890598,4.904158,35,Monday,4.909043,25.0,5.092642
2016-09-06,TQQQ,4.955205,5.021008,4.921307,5.017021,36,Tuesday,4.978635,25.0,5.021457
2016-09-12,TQQQ,4.496973,4.831176,4.488598,4.799669,37,Monday,4.654104,25.0,5.371603
2016-09-19,TQQQ,4.999075,5.046134,4.869861,4.896182,38,Monday,4.952813,25.0,5.047637
2016-09-26,TQQQ,5.003861,5.021807,4.94045,4.965176,39,Monday,4.982823,25.0,5.017236
2016-10-03,TQQQ,5.110741,5.131878,5.050919,5.116723,40,Monday,5.102565,25.0,4.899496
2016-10-10,TQQQ,5.174551,5.231182,5.171759,5.190503,41,Monday,5.191999,25.0,4.815102
2016-10-17,TQQQ,4.917318,4.942843,4.865075,4.884616,42,Monday,4.902463,25.0,5.099478
2016-10-24,TQQQ,5.147032,5.239157,5.143044,5.228788,43,Monday,5.189505,25.0,4.817415
2016-10-31,TQQQ,4.967569,4.967569,4.889402,4.891795,44,Monday,4.929083,25.0,5.071937
2016-11-07,TQQQ,4.697575,4.816818,4.679229,4.801664,45,Monday,4.748822,25.0,5.264464
2016-11-14,TQQQ,4.733069,4.743438,4.512926,4.564772,46,Monday,4.638551,25.0,5.389614
2016-11-21,TQQQ,4.941647,5.073652,4.939652,5.058098,47,Monday,5.003262,25.0,4.99674
2016-11-28,TQQQ,5.067669,5.128688,5.041747,5.062486,48,Monday,5.075148,25.0,4.925965
2016-12-05,TQQQ,4.768562,4.860687,4.702759,4.801265,49,Monday,4.783318,25.0,5.226497
2016-12-12,TQQQ,5.093592,5.126294,5.033771,5.092396,50,Monday,5.086513,25.0,4.914958
2016-12-19,TQQQ,5.242348,5.379937,5.218818,5.284223,51,Monday,5.281331,25.0,4.733655
2016-12-27,TQQQ,5.328093,5.468872,5.322509,5.376747,52,Tuesday,5.374055,25.0,4.65198
2017-01-03,TQQQ,5.168967,5.259896,5.119515,5.196883,1,Tuesday,5.186315,25.0,4.820378
2017-01-09,TQQQ,5.529093,5.599283,5.517925,5.571366,2,Monday,5.554417,25.0,4.500923
2017-01-17,TQQQ,5.631187,5.663092,5.58014,5.628794,3,Tuesday,5.625803,25.0,4.44381
2017-01-23,TQQQ,5.671068,5.726901,5.596889,5.701378,4,Monday,5.674059,25.0,4.406017
2017-01-30,TQQQ,5.979746,5.982936,5.805068,5.906365,5,Monday,5.918529,25.0,4.224023
2017-02-06,TQQQ,5.992508,6.047544,5.976557,6.044354,6,Monday,6.015241,25.0,4.15611
2017-02-13,TQQQ,6.325115,6.399294,6.315544,6.376163,7,Monday,6.354029,25.0,3.934511
2017-02-21,TQQQ,6.669686,6.738282,6.654532,6.728711,8,Tuesday,6.697803,25.0,3.732567
2017-02-27,TQQQ,6.657722,6.716746,6.621032,6.712758,9,Monday,6.677064,25.0,3.74416
2017-03-06,TQQQ,6.72871,6.792519,6.676864,6.755031,10,Monday,6.738281,25.0,3.710145
2017-03-13,TQQQ,6.844365,6.897008,6.837985,6.890627,11,Monday,6.867496,25.0,3.640337
2017-03-20,TQQQ,6.938484,7.008675,6.907377,6.959222,12,Monday,6.95344,25.0,3.595343
2017-03-27,TQQQ,6.624222,6.833198,6.57477,6.798103,13,Monday,6.707573,25.0,3.72713
2017-04-03,TQQQ,7.056531,7.105186,6.908971,7.020638,14,Monday,7.022832,25.0,3.559818
2017-04-10,TQQQ,6.99352,7.061318,6.917746,6.977568,15,Monday,6.987538,25.0,3.577798
2017-04-17,TQQQ,6.774971,6.886639,6.766996,6.877864,16,Monday,6.826618,25.0,3.662136
2017-04-24,TQQQ,7.27827,7.322139,7.247163,7.301401,17,Monday,7.287243,25.0,3.430653
2017-05-01,TQQQ,7.673887,7.834209,7.664315,7.795125,18,Monday,7.741884,25.0,3.229188
2017-05-08,TQQQ,7.868507,7.906792,7.820649,7.903602,19,Monday,7.874888,25.0,3.174648
2017-05-15,TQQQ,8.043984,8.124543,8.023245,8.110984,20,Monday,8.075689,25.0,3.095711
2017-05-22,TQQQ,7.933114,8.091841,7.924341,8.08227,21,Monday,8.007892,25.0,3.12192
2017-05-30,TQQQ,8.445186,8.514579,8.436413,8.483472,22,Tuesday,8.469913,25.0,2.951624
2017-06-05,TQQQ,8.859948,8.90621,8.822459,8.859948,23,Monday,8.862141,25.0,2.820989
2017-06-12,TQQQ,8.008091,8.124543,7.771199,8.087852,24,Monday,7.997921,25.0,3.125812
2017-06-19,TQQQ,8.181174,8.371805,8.144483,8.344686,25,Monday,8.260537,25.0,3.026438
2017-06-26,TQQQ,8.616675,8.667723,8.305604,8.364629,26,Monday,8.488658,25.0,2.945106
2017-07-03,TQQQ,7.928328,7.953055,7.558234,7.577376,27,Monday,7.754248,25.0,3.224039
2017-07-10,TQQQ,7.844579,8.036007,7.781567,7.978578,28,Monday,7.910183,25.0,3.160483
2017-07-17,TQQQ,8.610293,8.684471,8.544888,8.587163,29,Monday,8.606704,25.0,2.904712
2017-07-24,TQQQ,8.93572,9.077698,8.902221,9.054566,30,Monday,8.992551,25.0,2.780079
2017-07-31,TQQQ,8.956459,8.990757,8.709197,8.768221,31,Monday,8.856158,25.0,2.822894
2017-08-07,TQQQ,8.883878,9.002723,8.845592,8.988365,32,Monday,8.930139,25.0,2.799508
2017-08-14,TQQQ,8.729935,8.901423,8.727541,8.863137,33,Monday,8.805509,25.0,2.839132
2017-08-21,TQQQ,8.361435,8.41009,8.167614,8.331923,34,Monday,8.317766,25.0,3.005615
2017-08-28,TQQQ,8.550472,8.612686,8.471508,8.550472,35,Monday,8.546285,25.0,2.925248
2017-09-05,TQQQ,9.115983,9.178995,8.747483,8.957256,36,Tuesday,8.99993,25.0,2.7778
2017-09-11,TQQQ,9.066531,9.206913,9.063341,9.148686,37,Monday,9.121368,25.0,2.740817
