Date,Symbol,Buy_Price,Buy_Level,Shares Purchased
2015-08-31,UPRO,9.073233,1%,1
2015-09-01,UPRO,8.399045,1%,1
2015-09-01,UPRO,8.314206,2%,1
2015-09-01,UPRO,8.229367,3%,1
2015-09-02,UPRO,8.569165,1%,1
2015-09-02,UPRO,8.482607,2%,1
2015-09-02,UPRO,8.39605,3%,1
2015-09-03,UPRO,8.784971,1%,1
2015-09-03,UPRO,8.696234,2%,1
2015-09-04,UPRO,8.320281,1%,1
2015-09-08,UPRO,8.728263,1%,1
2015-09-09,UPRO,9.170897,1%,1
2015-09-09,UPRO,9.078262,2%,1
2015-09-09,UPRO,8.985627,3%,1
2015-09-09,UPRO,8.892991,4%,1
2015-09-09,UPRO,8.800356,5%,1
2015-09-11,UPRO,8.625874,1%,1
2015-09-14,UPRO,8.83853,1%,1
2015-09-14,UPRO,8.749252,2%,1
2015-09-17,UPRO,9.255957,1%,1
2015-09-18,UPRO,8.813322,1%,1
2015-09-21,UPRO,8.89996,1%,1
2015-09-22,UPRO,8.561289,1%,1
2015-09-22,UPRO,8.474812,2%,1
2015-09-23,UPRO,8.584918,1%,1
2015-09-24,UPRO,8.317129,1%,1
2015-09-24,UPRO,8.233118,2%,1
2015-09-25,UPRO,8.652652,1%,1
2015-09-25,UPRO,8.565252,2%,1
2015-09-25,UPRO,8.477851,3%,1
2015-09-25,UPRO,8.39045,4%,1
2015-09-28,UPRO,8.274599,1%,1
2015-09-28,UPRO,8.191018,2%,1
2015-09-28,UPRO,8.107436,3%,1
2015-09-28,UPRO,8.023854,4%,1
2015-09-28,UPRO,7.940272,5%,1
2015-09-29,UPRO,7.813063,1%,1
2015-09-29,UPRO,7.734143,2%,1
2015-09-30,UPRO,8.065097,1%,1
2015-10-01,UPRO,8.287201,1%,1
2015-10-01,UPRO,8.203492,2%,1
2015-10-01,UPRO,8.119783,3%,1
2015-10-02,UPRO,7.984758,1%,1
2015-10-06,UPRO,9.100013,1%,1
2015-10-07,UPRO,9.185073,1%,1
2015-10-07,UPRO,9.092295,2%,1
2015-10-09,UPRO,9.528473,1%,1
2015-10-14,UPRO,9.344174,1%,1
2015-10-16,UPRO,9.730098,1%,1
2015-10-21,UPRO,9.835638,1%,1
2015-10-21,UPRO,9.736288,2%,1
2015-10-23,UPRO,10.366484,1%,1
2015-10-26,UPRO,10.372783,1%,1
2015-10-28,UPRO,10.317653,1%,1
2015-10-30,UPRO,10.627969,1%,1
2015-11-04,UPRO,10.968216,1%,1
2015-11-04,UPRO,10.857426,2%,1
2015-11-05,UPRO,10.823298,1%,1
2015-11-06,UPRO,10.711455,1%,1
2015-11-09,UPRO,10.656323,1%,1
2015-11-09,UPRO,10.548684,2%,1
2015-11-09,UPRO,10.441044,3%,1
2015-11-11,UPRO,10.585438,1%,1
2015-11-12,UPRO,10.223139,1%,1
2015-11-12,UPRO,10.119875,2%,1
2015-11-13,UPRO,9.903373,1%,1
2015-11-13,UPRO,9.803339,2%,1
2015-11-17,UPRO,10.138078,1%,1
2015-11-23,UPRO,10.631119,1%,1
2015-11-30,UPRO,10.690979,1%,1
2015-12-02,UPRO,10.79967,1%,1
2015-12-02,UPRO,10.690583,2%,1
2015-12-02,UPRO,10.581495,3%,1
2015-12-03,UPRO,10.538182,1%,1
2015-12-03,UPRO,10.431735,2%,1
2015-12-03,UPRO,10.325289,3%,1
2015-12-03,UPRO,10.218843,4%,1
2015-12-03,UPRO,10.112397,5%,1
2015-12-07,UPRO,10.571263,1%,1
2015-12-07,UPRO,10.464482,2%,1
2015-12-08,UPRO,10.150679,1%,1
2015-12-09,UPRO,10.109725,1%,1
2015-12-09,UPRO,10.007607,2%,1
2015-12-11,UPRO,9.695444,1%,1
2015-12-11,UPRO,9.597511,2%,1
2015-12-14,UPRO,9.484364,1%,1
2015-12-14,UPRO,9.388562,2%,1
2015-12-16,UPRO,10.108148,1%,1
2015-12-16,UPRO,10.006046,2%,1
2015-12-17,UPRO,10.423191,1%,1
2015-12-17,UPRO,10.317906,2%,1
2015-12-17,UPRO,10.212621,3%,1
2015-12-17,UPRO,10.107337,4%,1
2015-12-17,UPRO,10.002052,5%,1
2015-12-18,UPRO,9.737971,1%,1
2015-12-18,UPRO,9.639608,2%,1
2015-12-18,UPRO,9.541245,3%,1
2015-12-18,UPRO,9.442881,4%,1
2015-12-21,UPRO,9.555249,1%,1
2015-12-21,UPRO,9.458732,2%,1
2015-12-22,UPRO,9.719514,1%,1
2015-12-28,UPRO,10.024185,1%,1
2015-12-30,UPRO,10.366743,1%,1
2015-12-30,UPRO,10.262028,2%,1
2015-12-31,UPRO,10.074705,1%,1
2016-01-04,UPRO,9.370641,1%,1
2016-01-04,UPRO,9.275988,2%,1
2016-01-05,UPRO,9.519034,1%,1
2016-01-05,UPRO,9.422882,2%,1
2016-01-06,UPRO,9.081753,1%,1
2016-01-07,UPRO,8.680787,1%,1
2016-01-07,UPRO,8.593102,2%,1
2016-01-08,UPRO,8.653952,1%,1
2016-01-08,UPRO,8.566538,2%,1
2016-01-08,UPRO,8.479124,3%,1
2016-01-08,UPRO,8.391711,4%,1
2016-01-08,UPRO,8.304297,5%,1
2016-01-11,UPRO,8.341386,1%,1
2016-01-11,UPRO,8.25713,2%,1
2016-01-11,UPRO,8.172873,3%,1
2016-01-11,UPRO,8.088617,4%,1
2016-01-12,UPRO,8.448732,1%,1
2016-01-12,UPRO,8.363391,2%,1
2016-01-12,UPRO,8.278051,3%,1
2016-01-12,UPRO,8.19271,4%,1
2016-01-13,UPRO,8.537135,1%,1
2016-01-13,UPRO,8.450902,2%,1
2016-01-13,UPRO,8.364668,3%,1
2016-01-13,UPRO,8.278434,4%,1
2016-01-13,UPRO,8.1922,5%,1
2016-01-14,UPRO,7.89306,1%,1
2016-01-14,UPRO,7.813332,2%,1
2016-01-14,UPRO,7.733604,3%,1
2016-01-15,UPRO,7.528402,1%,1
2016-01-15,UPRO,7.452357,2%,1
2016-01-19,UPRO,7.919896,1%,1
2016-01-19,UPRO,7.839897,2%,1
2016-01-19,UPRO,7.759898,3%,1
2016-01-19,UPRO,7.679899,4%,1
2016-01-19,UPRO,7.5999,5%,1
2016-01-20,UPRO,7.323183,1%,1
2016-01-20,UPRO,7.249212,2%,1
2016-01-20,UPRO,7.17524,3%,1
2016-01-20,UPRO,7.101269,4%,1
2016-01-20,UPRO,7.027297,5%,1
2016-01-21,UPRO,7.468414,1%,1
2016-01-21,UPRO,7.392975,2%,1
2016-01-22,UPRO,7.880433,1%,1
2016-01-25,UPRO,7.893061,1%,1
2016-01-25,UPRO,7.813333,2%,1
2016-01-25,UPRO,7.733605,3%,1
2016-01-27,UPRO,7.848858,1%,1
2016-01-27,UPRO,7.769577,2%,1
2016-01-27,UPRO,7.690295,3%,1
2016-01-27,UPRO,7.611014,4%,1
2016-01-28,UPRO,7.872539,1%,1
2016-01-28,UPRO,7.793018,2%,1
2016-01-28,UPRO,7.713498,3%,1
2016-01-28,UPRO,7.633977,4%,1
2016-02-02,UPRO,8.104595,1%,1
2016-02-02,UPRO,8.022731,2%,1
2016-02-02,UPRO,7.940866,3%,1
2016-02-03,UPRO,8.046186,1%,1
2016-02-03,UPRO,7.964911,2%,1
2016-02-03,UPRO,7.883637,3%,1
2016-02-03,UPRO,7.802362,4%,1
2016-02-03,UPRO,7.721088,5%,1
2016-02-04,UPRO,7.954624,1%,1
2016-02-05,UPRO,7.979884,1%,1
