Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,UPRO,9.16488,9.308081,9.01054,9.101234,36,Monday,9.146184,100.0,10.933522
2015-09-01,UPRO,8.483882,8.697092,8.146562,8.292947,36,Tuesday,8.405121,100.0,11.897509
2015-10-01,UPRO,8.370909,8.420234,8.07496,8.382047,40,Thursday,8.312037,100.0,12.030745
2015-11-02,UPRO,10.611215,10.966037,10.593714,10.919893,45,Monday,10.772715,100.0,9.282711
2015-12-01,UPRO,10.738504,10.950124,10.692361,10.929439,49,Tuesday,10.827607,100.0,9.235651
2016-01-04,UPRO,9.465297,9.557781,9.2006,9.554592,1,Monday,9.444568,100.0,10.588097
2016-02-01,UPRO,8.266186,8.545234,8.189648,8.424047,5,Monday,8.356279,100.0,11.967049
2016-03-01,UPRO,8.522909,8.929522,8.451154,8.924738,9,Tuesday,8.707081,100.0,11.484905
2016-04-01,UPRO,9.905392,10.319977,9.85915,10.281708,13,Friday,10.091557,100.0,9.909274
2016-05-02,UPRO,10.25779,10.437974,10.179656,10.401299,18,Monday,10.31918,100.0,9.690693
2016-06-01,UPRO,10.533648,10.740941,10.500163,10.707455,22,Wednesday,10.620552,100.0,9.415707
2016-07-01,UPRO,10.620288,10.794313,10.618691,10.701713,26,Friday,10.683751,100.0,9.360008
2016-08-01,UPRO,11.827281,11.900722,11.69796,11.78098,31,Monday,11.801736,100.0,8.47333
2016-09-01,UPRO,11.832072,11.883161,11.60536,11.832072,35,Thursday,11.788167,100.0,8.483083
2016-10-03,UPRO,11.660186,11.700108,11.540423,11.647411,40,Monday,11.637032,100.0,8.593256
2016-11-01,UPRO,11.16676,11.176341,10.649381,10.874537,44,Tuesday,10.966755,100.0,9.118468
2016-12-01,UPRO,12.381964,12.385158,12.12008,12.182358,48,Thursday,12.26739,100.0,8.151693
2017-01-03,UPRO,13.314521,13.44706,13.110125,13.341668,1,Tuesday,13.303344,100.0,7.516907
2017-02-01,UPRO,13.844677,13.903761,13.608343,13.737688,5,Wednesday,13.773617,100.0,7.260257
2017-03-01,UPRO,15.727357,16.099421,15.724162,15.984447,9,Wednesday,15.883847,100.0,6.295704
2017-04-03,UPRO,15.356891,15.401603,14.984825,15.272257,14,Monday,15.253894,100.0,6.555703
2017-05-01,UPRO,15.851919,15.955714,15.767286,15.855111,18,Monday,15.857507,100.0,6.306161
2017-06-01,UPRO,16.436361,16.726985,16.382067,16.7206,22,Thursday,16.566503,100.0,6.036277
