Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,UPRO,9.16488,9.308081,9.01054,9.101234,36,Monday,9.146184,25.0,2.73338
2015-09-08,UPRO,8.816428,9.03123,8.716187,9.010545,37,Tuesday,8.893598,25.0,2.811011
2015-09-14,UPRO,8.927805,8.940533,8.728914,8.798923,38,Monday,8.849044,25.0,2.825164
2015-09-21,UPRO,8.98986,9.155337,8.8212,8.99145,39,Monday,8.989462,25.0,2.781034
2015-09-28,UPRO,8.358183,8.372503,7.810836,7.850614,40,Monday,8.098034,25.0,3.087169
2015-10-05,UPRO,8.943715,9.250802,8.930986,9.212615,41,Monday,9.084529,25.0,2.751931
2015-10-12,UPRO,9.624718,9.674043,9.554709,9.653358,42,Monday,9.626707,25.0,2.596942
2015-10-19,UPRO,9.769511,9.896802,9.717004,9.893619,43,Monday,9.819234,25.0,2.546024
2015-10-26,UPRO,10.47756,10.479152,10.358226,10.428235,44,Monday,10.435793,25.0,2.395601
2015-11-02,UPRO,10.611215,10.966037,10.593714,10.919893,45,Monday,10.772715,25.0,2.320678
2015-11-09,UPRO,10.763963,10.784648,10.394822,10.568254,46,Monday,10.627922,25.0,2.352294
2015-11-16,UPRO,9.702682,10.18002,9.681999,10.175246,47,Monday,9.934987,25.0,2.51636
2015-11-23,UPRO,10.738505,10.827609,10.60485,10.681224,48,Monday,10.713047,25.0,2.333603
2015-11-30,UPRO,10.798968,10.811696,10.604849,10.628716,49,Monday,10.711057,25.0,2.334037
2015-12-07,UPRO,10.678043,10.678043,10.364591,10.539615,50,Monday,10.565073,25.0,2.366288
2015-12-14,UPRO,9.580167,9.72655,9.296947,9.720187,51,Monday,9.580963,25.0,2.609341
2015-12-21,UPRO,9.651767,9.705866,9.45765,9.68359,52,Monday,9.624718,25.0,2.597479
2015-12-28,UPRO,10.125439,10.190816,9.99628,10.189221,53,Monday,10.125439,25.0,2.469029
2016-01-04,UPRO,9.465297,9.557781,9.2006,9.554592,1,Monday,9.444568,25.0,2.647024
2016-01-11,UPRO,8.425643,8.481452,8.019031,8.304457,2,Monday,8.307646,25.0,3.009276
2016-01-19,UPRO,7.999896,8.012652,7.531096,7.763901,3,Tuesday,7.826886,25.0,3.194118
2016-01-25,UPRO,7.972787,8.003084,7.65866,7.696929,4,Monday,7.832865,25.0,3.19168
2016-02-01,UPRO,8.266186,8.545234,8.189648,8.424047,5,Monday,8.356279,25.0,2.991762
2016-02-08,UPRO,7.405126,7.454558,7.051134,7.360478,6,Monday,7.317824,25.0,3.416316
2016-02-16,UPRO,7.765498,7.880306,7.621988,7.870739,7,Tuesday,7.784632,25.0,3.211455
2016-02-22,UPRO,8.387372,8.526098,8.382589,8.500586,8,Monday,8.449161,25.0,2.958874
2016-02-29,UPRO,8.553208,8.683963,8.307647,8.307647,9,Monday,8.463116,25.0,2.953995
2016-03-07,UPRO,9.093763,9.324974,9.073033,9.256408,10,Monday,9.187044,25.0,2.721223
2016-03-14,UPRO,9.460509,9.588074,9.409484,9.513129,11,Monday,9.492799,25.0,2.633575
2016-03-21,UPRO,9.879881,10.007445,9.846395,9.970771,12,Monday,9.926123,25.0,2.518607
2016-03-28,UPRO,9.814502,9.844798,9.683748,9.765071,13,Monday,9.77703,25.0,2.557014
2016-04-04,UPRO,10.284897,10.30722,10.135008,10.187628,14,Monday,10.228688,25.0,2.444106
2016-04-11,UPRO,10.034551,10.142982,9.832043,9.843204,15,Monday,9.963195,25.0,2.509235
2016-04-18,UPRO,10.291275,10.616565,10.275329,10.611781,16,Monday,10.448737,25.0,2.392634
2016-04-25,UPRO,10.463489,10.514514,10.351869,10.512919,17,Monday,10.460698,25.0,2.389898
2016-05-02,UPRO,10.25779,10.437974,10.179656,10.401299,18,Monday,10.31918,25.0,2.422673
2016-05-09,UPRO,10.032953,10.162113,10.012224,10.09833,19,Monday,10.076405,25.0,2.481044
2016-05-16,UPRO,9.938877,10.284896,9.930904,10.19879,20,Monday,10.088367,25.0,2.478102
2016-05-23,UPRO,10.007442,10.056874,9.930904,9.958011,21,Monday,9.988308,25.0,2.502926
2016-05-31,UPRO,10.758483,10.776023,10.544812,10.648458,22,Tuesday,10.681944,25.0,2.340398
2016-06-06,UPRO,10.776022,10.933883,10.747319,10.874885,23,Monday,10.833027,25.0,2.307758
2016-06-13,UPRO,10.552782,10.713832,10.407678,10.428407,24,Monday,10.525675,25.0,2.375145
2016-06-20,UPRO,10.635698,10.750506,10.473053,10.488998,25,Monday,10.587064,25.0,2.361372
2016-06-27,UPRO,9.520261,9.520261,9.100367,9.220109,26,Monday,9.340249,25.0,2.676588
2016-07-05,UPRO,10.558018,10.57558,10.369624,10.484576,27,Tuesday,10.49695,25.0,2.381644
2016-07-11,UPRO,11.204629,11.33874,11.164715,11.228578,28,Monday,11.234165,25.0,2.225355
2016-07-18,UPRO,11.64368,11.74107,11.592591,11.712333,29,Monday,11.672419,25.0,2.141801
2016-07-25,UPRO,11.801739,11.808125,11.630908,11.752246,30,Monday,11.748255,25.0,2.127976
2016-08-01,UPRO,11.827281,11.900722,11.69796,11.78098,31,Monday,11.801736,25.0,2.118332
2016-08-08,UPRO,12.022065,12.03803,11.90871,11.961395,32,Monday,11.98255,25.0,2.086367
2016-08-15,UPRO,12.090714,12.191297,12.089117,12.135417,33,Monday,12.126636,25.0,2.061577
2016-08-22,UPRO,11.983743,12.06836,11.910301,12.025253,34,Monday,11.996915,25.0,2.083869
2016-08-29,UPRO,11.840053,12.039622,11.83686,11.986937,35,Monday,11.925868,25.0,2.096283
2016-09-06,UPRO,12.03803,12.103489,11.90392,12.0987,36,Tuesday,12.036035,25.0,2.077096
2016-09-12,UPRO,10.998669,11.694767,10.9843,11.613342,37,Monday,11.32277,25.0,2.20794
2016-09-19,UPRO,11.42016,11.541498,11.247732,11.298821,38,Monday,11.377053,25.0,2.197406
