Date,Symbol,Buy_Price,Buy_Level,Shares Purchased
2015-09-01,VGT,90.290891,1%,1
2015-09-01,VGT,89.378862,2%,1
2015-09-09,VGT,92.313787,1%,1
2015-09-09,VGT,91.381324,2%,1
2015-09-25,VGT,91.783037,1%,1
2015-09-28,VGT,90.25331,1%,1
2015-09-29,VGT,88.93056,1%,1
2015-10-01,VGT,90.271281,1%,1
2015-10-07,VGT,94.005603,1%,1
2015-10-21,VGT,95.967245,1%,1
2015-11-09,VGT,101.501216,1%,1
2015-11-13,VGT,98.270795,1%,1
2015-11-23,VGT,101.285253,1%,1
2015-12-03,VGT,101.465241,1%,1
2015-12-03,VGT,100.44034,2%,1
2015-12-07,VGT,101.672179,1%,1
2015-12-09,VGT,100.484387,1%,1
2015-12-11,VGT,98.684742,1%,1
2015-12-14,VGT,97.514937,1%,1
2015-12-17,VGT,100.20549,1%,1
2015-12-18,VGT,98.08188,1%,1
2015-12-31,VGT,99.232244,1%,1
2016-01-04,VGT,96.016922,1%,1
2016-01-05,VGT,96.604017,1%,1
2016-01-07,VGT,92.593871,1%,1
2016-01-08,VGT,92.304881,1%,1
2016-01-11,VGT,91.248122,1%,1
2016-01-12,VGT,92.11521,1%,1
2016-01-13,VGT,92.648089,1%,1
2016-01-13,VGT,91.71225,2%,1
2016-01-13,VGT,90.77641,3%,1
2016-01-14,VGT,89.839165,1%,1
2016-01-15,VGT,88.439255,1%,1
2016-01-19,VGT,89.532118,1%,1
2016-01-19,VGT,88.627754,2%,1
2016-01-20,VGT,86.90384,1%,1
2016-01-21,VGT,88.294756,1%,1
2016-01-25,VGT,90.444323,1%,1
2016-01-27,VGT,89.495976,1%,1
2016-01-27,VGT,88.591977,2%,1
2016-01-28,VGT,89.080525,1%,1
2016-02-02,VGT,91.943605,1%,1
2016-02-03,VGT,90.968179,1%,1
2016-02-03,VGT,90.049309,2%,1
2016-02-05,VGT,89.857254,1%,1
2016-02-05,VGT,88.949605,2%,1
2016-02-05,VGT,88.041956,3%,1
2016-02-08,VGT,85.576173,1%,1
2016-02-18,VGT,90.706252,1%,1
2016-02-23,VGT,90.977214,1%,1
2016-03-10,VGT,94.418305,1%,1
2016-03-10,VGT,93.464585,2%,1
2016-04-07,VGT,98.964043,1%,1
2016-04-19,VGT,100.079144,1%,1
2016-04-28,VGT,96.942324,1%,1
2016-04-29,VGT,95.101953,1%,1
2016-05-12,VGT,95.609637,1%,1
2016-05-17,VGT,95.700322,1%,1
2016-06-17,VGT,98.139053,1%,1
2016-06-27,VGT,94.437778,1%,1
2016-06-27,VGT,93.483861,2%,1
2016-08-02,VGT,105.11582,1%,1
2016-09-09,VGT,107.125917,1%,1
2016-10-11,VGT,110.43839,1%,1
2016-11-01,VGT,109.370595,1%,1
2016-11-10,VGT,109.826917,1%,1
2016-11-10,VGT,108.717554,2%,1
2016-11-10,VGT,107.608192,3%,1
2016-11-14,VGT,108.476205,1%,1
2016-11-30,VGT,111.232384,1%,1
2016-12-01,VGT,109.845187,1%,1
2016-12-01,VGT,108.73564,2%,1
2016-12-16,VGT,113.408605,1%,1
2016-12-28,VGT,113.600942,1%,1
2016-12-30,VGT,112.456154,1%,1
2017-01-12,VGT,114.489302,1%,1
2017-01-30,VGT,117.218526,1%,1
2017-03-21,VGT,125.003175,1%,1
2017-03-21,VGT,123.740516,2%,1
2017-04-11,VGT,123.367144,1%,1
2017-05-17,VGT,131.246343,1%,1
2017-05-17,VGT,129.920622,2%,1
2017-06-09,VGT,135.929766,1%,1
2017-06-09,VGT,134.556738,2%,1
2017-06-09,VGT,133.18371,3%,1
2017-06-09,VGT,131.810682,4%,1
2017-06-12,VGT,130.649423,1%,1
2017-06-14,VGT,132.697295,1%,1
2017-06-26,VGT,134.313531,1%,1
2017-06-27,VGT,132.320787,1%,1
2017-06-29,VGT,131.659186,1%,1
2017-06-29,VGT,130.329295,2%,1
2017-07-03,VGT,130.388264,1%,1
2017-07-27,VGT,137.940027,1%,1
2017-07-27,VGT,136.546694,2%,1
2017-08-02,VGT,137.037547,1%,1
2017-08-10,VGT,135.564003,1%,1
2017-08-17,VGT,136.742773,1%,1
2017-09-05,VGT,138.612369,1%,1
2017-09-20,VGT,140.389823,1%,1
2017-09-25,VGT,138.667637,1%,1
2017-11-01,VGT,151.460716,1%,1
2017-11-09,VGT,152.35651,1%,1
2017-11-29,VGT,155.00709,1%,1
2017-11-29,VGT,153.441362,2%,1
2017-11-29,VGT,151.875634,3%,1
2017-12-01,VGT,151.599174,1%,1
2017-12-04,VGT,152.495097,1%,1
2017-12-04,VGT,150.954743,2%,1
2018-01-16,VGT,161.640926,1%,1
2018-01-24,VGT,165.511605,1%,1
2018-01-25,VGT,164.733744,1%,1
2018-02-02,VGT,162.177987,1%,1
2018-02-05,VGT,157.640686,1%,1
2018-02-05,VGT,156.048356,2%,1
2018-02-08,VGT,155.797909,1%,1
2018-02-08,VGT,154.224192,2%,1
2018-02-08,VGT,152.650476,3%,1
2018-02-08,VGT,151.07676,4%,1
2018-02-09,VGT,151.029073,1%,1
2018-02-09,VGT,149.503527,2%,1
2018-02-09,VGT,147.977981,3%,1
2018-02-15,VGT,160.289015,1%,1
2018-02-27,VGT,166.983904,1%,1
2018-02-28,VGT,166.132,1%,1
2018-03-01,VGT,164.678219,1%,1
2018-03-01,VGT,163.014802,2%,1
2018-03-13,VGT,172.058329,1%,1
2018-03-19,VGT,167.617568,1%,1
2018-03-19,VGT,165.924461,2%,1
2018-03-22,VGT,163.052251,1%,1
2018-03-23,VGT,160.500509,1%,1
2018-03-23,VGT,158.879292,2%,1
2018-03-26,VGT,159.572639,1%,1
2018-03-27,VGT,163.516226,1%,1
2018-03-27,VGT,161.864547,2%,1
2018-03-27,VGT,160.212868,3%,1
2018-03-27,VGT,158.561189,4%,1
2018-03-28,VGT,156.46409,1%,1
2018-04-02,VGT,157.995172,1%,1
2018-04-02,VGT,156.399261,2%,1
2018-04-02,VGT,154.803351,3%,1
2018-04-03,VGT,156.092932,1%,1
2018-04-05,VGT,159.730309,1%,1
2018-04-06,VGT,157.354932,1%,1
2018-04-13,VGT,162.35633,1%,1
2018-04-20,VGT,162.569756,1%,1
2018-04-23,VGT,161.382027,1%,1
2018-04-24,VGT,160.751048,1%,1
2018-04-24,VGT,159.1273,2%,1
2018-04-24,VGT,157.503552,3%,1
2018-04-25,VGT,157.364173,1%,1
2018-04-27,VGT,161.474846,1%,1
2018-05-24,VGT,169.770345,1%,1
2018-06-07,VGT,176.423429,1%,1
2018-06-21,VGT,175.449149,1%,1
2018-06-22,VGT,173.769647,1%,1
2018-06-25,VGT,171.190044,1%,1
2018-06-25,VGT,169.460851,2%,1
2018-06-27,VGT,169.881689,1%,1
2018-07-03,VGT,171.20015,1%,1
2018-07-24,VGT,178.746038,1%,1
2018-07-27,VGT,179.555531,1%,1
2018-07-27,VGT,177.741839,2%,1
2018-07-30,VGT,175.991916,1%,1
2018-07-30,VGT,174.21422,2%,1
2018-08-15,VGT,179.025164,1%,1
2018-09-05,VGT,188.813344,1%,1
2018-09-06,VGT,186.022082,1%,1
2018-09-12,VGT,186.170858,1%,1
2018-09-17,VGT,188.059685,1%,1
2018-10-04,VGT,189.292899,1%,1
2018-10-04,VGT,187.380849,2%,1
2018-10-05,VGT,186.604568,1%,1
2018-10-05,VGT,184.719674,2%,1
2018-10-08,VGT,183.421541,1%,1
2018-10-10,VGT,181.442674,1%,1
2018-10-10,VGT,179.609919,2%,1
2018-10-10,VGT,177.777165,3%,1
2018-10-10,VGT,175.944411,4%,1
2018-10-11,VGT,173.088419,1%,1
2018-10-12,VGT,176.028648,1%,1
2018-10-15,VGT,176.243349,1%,1
2018-10-17,VGT,179.99584,1%,1
2018-10-18,VGT,178.110234,1%,1
2018-10-18,VGT,176.311141,2%,1
2018-10-19,VGT,176.234038,1%,1
2018-10-23,VGT,172.817643,1%,1
2018-10-24,VGT,175.216614,1%,1
2018-10-24,VGT,173.446749,2%,1
2018-10-24,VGT,171.676884,3%,1
2018-10-24,VGT,169.90702,4%,1
2018-10-26,VGT,168.887827,1%,1
2018-10-29,VGT,172.052261,1%,1
2018-10-29,VGT,170.314359,2%,1
2018-10-29,VGT,168.576458,3%,1
2018-10-29,VGT,166.838556,4%,1
2018-11-02,VGT,174.283147,1%,1
2018-11-05,VGT,172.080216,1%,1
2018-11-09,VGT,175.851321,1%,1
2018-11-12,VGT,172.920331,1%,1
2018-11-12,VGT,171.173661,2%,1
2018-11-14,VGT,170.278676,1%,1
2018-11-14,VGT,168.558689,2%,1
2018-11-19,VGT,169.625231,1%,1
2018-11-19,VGT,167.911845,2%,1
2018-11-19,VGT,166.198458,3%,1
2018-11-21,VGT,162.951162,1%,1
2018-11-29,VGT,169.755965,1%,1
2018-12-03,VGT,174.693856,1%,1
2018-12-04,VGT,172.976306,1%,1
2018-12-04,VGT,171.229071,2%,1
2018-12-04,VGT,169.481835,3%,1
2018-12-07,VGT,167.272973,1%,1
2018-12-07,VGT,165.583347,2%,1
2018-12-07,VGT,163.893721,3%,1
2018-12-11,VGT,166.834279,1%,1
2018-12-11,VGT,165.149084,2%,1
2018-12-13,VGT,166.773313,1%,1
2018-12-14,VGT,163.859847,1%,1
2018-12-17,VGT,161.386623,1%,1
2018-12-17,VGT,159.756455,2%,1
2018-12-19,VGT,159.466127,1%,1
2018-12-19,VGT,157.855358,2%,1
2018-12-20,VGT,155.718825,1%,1
2018-12-20,VGT,154.145907,2%,1
2018-12-21,VGT,153.105059,1%,1
2018-12-21,VGT,151.558543,2%,1
2018-12-21,VGT,150.012028,3%,1
2018-12-24,VGT,147.465384,1%,1
2018-12-27,VGT,151.746688,1%,1
2018-12-28,VGT,156.009286,1%,1
2019-01-03,VGT,152.458718,1%,1
2019-01-03,VGT,150.918731,2%,1
2019-01-08,VGT,158.388766,1%,1
2019-01-22,VGT,164.365704,1%,1
2019-01-23,VGT,163.494499,1%,1
2019-01-29,VGT,165.592937,1%,1
2019-02-07,VGT,173.050071,1%,1
2019-03-04,VGT,183.074105,1%,1
2019-03-04,VGT,181.224871,2%,1
2019-03-22,VGT,190.473447,1%,1
2019-03-22,VGT,188.549473,2%,1
2019-03-27,VGT,187.344461,1%,1
2019-04-04,VGT,193.292387,1%,1
2019-04-25,VGT,201.683296,1%,1
2019-05-01,VGT,202.406826,1%,1
2019-05-02,VGT,199.747651,1%,1
2019-05-07,VGT,197.154282,1%,1
2019-05-09,VGT,192.606462,1%,1
2019-05-10,VGT,192.305768,1%,1
2019-05-13,VGT,188.763343,1%,1
2019-05-23,VGT,187.353873,1%,1
2019-06-03,VGT,183.031541,1%,1
2019-06-03,VGT,181.182738,2%,1
2019-06-05,VGT,187.692148,1%,1
2019-06-11,VGT,197.389168,1%,1
2019-06-25,VGT,199.056156,1%,1
2019-07-01,VGT,202.976787,1%,1
2019-07-19,VGT,207.971795,1%,1
2019-07-29,VGT,210.431564,1%,1
2019-07-31,VGT,209.715338,1%,1
2019-07-31,VGT,207.597002,2%,1
2019-08-01,VGT,206.152885,1%,1
2019-08-02,VGT,203.108701,1%,1
2019-08-05,VGT,195.63504,1%,1
2019-08-05,VGT,193.658929,2%,1
2019-08-09,VGT,200.639446,1%,1
