Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,VGT,92.526141,93.147245,91.869031,92.121071,36,Monday,92.415872,100.0,1.082065
2015-09-01,VGT,91.202928,91.202928,88.673516,89.1866,36,Tuesday,90.066493,100.0,1.110291
2015-10-01,VGT,91.183127,91.183127,89.674319,90.937721,40,Thursday,90.744574,100.0,1.101994
2015-11-02,VGT,100.863149,101.472126,100.335972,101.363052,45,Monday,101.008575,100.0,0.990015
2015-12-01,VGT,101.890253,102.526503,101.799362,102.499229,49,Tuesday,102.178837,100.0,0.978676
2016-01-04,VGT,96.986797,97.26049,95.736948,97.26049,1,Monday,96.811182,100.0,1.032939
2016-02-01,VGT,92.552988,93.620386,92.324913,93.218971,5,Monday,92.929315,100.0,1.076087
2016-03-01,VGT,92.854053,94.879364,92.744582,94.879364,9,Tuesday,93.839341,100.0,1.065651
2016-04-01,VGT,99.725614,101.080926,99.514988,101.062614,13,Friday,100.346036,100.0,0.996552
2016-05-02,VGT,95.696266,96.328138,95.28418,96.172455,18,Monday,95.87026,100.0,1.043076
2016-06-01,VGT,100.384911,100.87026,100.220075,100.668793,22,Wednesday,100.53601,100.0,0.994668
2016-07-01,VGT,98.276504,98.91043,98.166254,98.451065,26,Friday,98.451063,100.0,1.015733
2016-08-01,VGT,106.003016,106.49913,105.810083,106.306198,31,Monday,106.154607,100.0,0.942022
2016-09-01,VGT,108.13446,108.731636,107.776156,108.713264,35,Thursday,108.338879,100.0,0.92303
2016-10-03,VGT,110.788789,111.010033,110.373956,110.641289,40,Monday,110.703517,100.0,0.903314
2016-11-01,VGT,110.475356,110.659732,108.613208,109.470535,44,Tuesday,109.804708,100.0,0.910708
2016-12-01,VGT,110.954711,111.08377,107.97711,108.25367,48,Thursday,109.567315,100.0,0.912681
2017-01-03,VGT,113.12951,113.888085,112.61146,113.286774,1,Tuesday,113.228957,100.0,0.883166
2017-02-01,VGT,118.384042,118.495048,117.486701,118.088013,5,Wednesday,118.113451,100.0,0.846644
2017-03-01,VGT,123.694047,124.952173,123.63853,124.767143,9,Wednesday,124.262973,100.0,0.804745
