Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2015-08-31,VGT,92.526141,93.147245,91.869031,92.121071,36,Monday,92.415872,25.0,0.270516
2015-09-08,VGT,91.968042,92.652155,91.526971,92.553139,37,Tuesday,92.175077,25.0,0.271223
2015-09-14,VGT,93.165227,93.246237,92.292084,92.51712,38,Monday,92.805167,25.0,0.269382
2015-09-21,VGT,93.030216,93.77734,92.571139,93.29126,39,Monday,93.167489,25.0,0.268334
2015-09-28,VGT,91.164968,91.419465,89.428922,89.492546,40,Monday,90.376475,25.0,0.276621
2015-10-05,VGT,92.810132,94.428014,92.810132,94.155334,41,Monday,93.550903,25.0,0.267234
2015-10-12,VGT,96.082204,96.082204,95.464136,95.927689,42,Monday,95.889058,25.0,0.260718
2015-10-19,VGT,96.609394,97.145655,96.345805,97.12748,43,Monday,96.807083,25.0,0.258246
2015-10-26,VGT,100.608663,100.608663,99.890613,100.263268,44,Monday,100.342801,25.0,0.249146
2015-11-02,VGT,100.863149,101.472126,100.335972,101.363052,45,Monday,101.008575,25.0,0.247504
2015-11-09,VGT,102.526465,102.526465,100.981293,101.535736,46,Monday,101.89249,25.0,0.245357
2015-11-16,VGT,97.645566,99.127107,97.463784,99.081665,47,Monday,98.32953,25.0,0.254247
2015-11-23,VGT,102.30832,102.30832,101.044919,101.372131,48,Monday,101.758423,25.0,0.24568
2015-11-30,VGT,101.826608,101.881141,101.299431,101.590286,49,Monday,101.649367,25.0,0.245943
2015-12-07,VGT,102.699186,102.699186,101.644839,102.062943,50,Monday,102.276538,25.0,0.244435
2015-12-14,VGT,98.499975,98.999878,97.254748,98.999878,51,Monday,98.43862,25.0,0.253965
2015-12-21,VGT,98.245448,98.381788,97.463781,98.254539,52,Monday,98.086389,25.0,0.254877
2015-12-28,VGT,99.477407,99.705482,98.756688,99.705482,53,Monday,99.411265,25.0,0.251481
2016-01-04,VGT,96.986797,97.26049,95.736948,97.26049,1,Monday,96.811182,25.0,0.258235
2016-01-11,VGT,92.169851,92.489155,90.856134,92.060379,2,Monday,91.89388,25.0,0.272053
2016-01-19,VGT,90.43646,90.582432,88.411156,89.25959,3,Tuesday,89.67241,25.0,0.278793
2016-01-25,VGT,91.357894,91.576844,90.08067,90.153656,4,Monday,90.792266,25.0,0.275354
2016-02-01,VGT,92.552988,93.620386,92.324913,93.218971,5,Monday,92.929315,25.0,0.269022
2016-02-08,VGT,86.440617,86.595707,84.798471,86.331139,6,Monday,86.041483,25.0,0.290558
2016-02-16,VGT,88.310803,89.223104,88.027984,89.095383,7,Tuesday,88.664319,25.0,0.281962
2016-02-22,VGT,92.26109,92.461798,91.896175,92.324951,8,Monday,92.236004,25.0,0.271044
2016-02-29,VGT,92.61686,93.483551,92.08773,92.08773,9,Monday,92.568968,25.0,0.270069
2016-03-07,VGT,95.070959,95.381145,94.167782,94.934113,10,Monday,94.8885,25.0,0.263467
2016-03-14,VGT,95.983268,96.594509,95.9559,96.34819,11,Monday,96.220467,25.0,0.25982
2016-03-21,VGT,98.342788,98.873927,98.251214,98.773193,12,Monday,98.560281,25.0,0.253652
2016-03-28,VGT,98.443573,98.544307,97.875803,98.031487,13,Monday,98.223792,25.0,0.254521
2016-04-04,VGT,101.016797,101.108378,100.375772,100.531448,14,Monday,100.758099,25.0,0.248119
2016-04-11,VGT,99.569897,100.302496,98.901394,98.956337,15,Monday,99.432531,25.0,0.251427
2016-04-18,VGT,99.917895,100.851961,99.917895,100.833649,16,Monday,100.38035,25.0,0.249053
2016-04-25,VGT,98.535097,98.901399,98.269527,98.690773,17,Monday,98.599199,25.0,0.253552
2016-05-02,VGT,95.696266,96.328138,95.28418,96.172455,18,Monday,95.87026,25.0,0.260769
2016-05-09,VGT,95.705425,96.044249,95.513117,95.586372,19,Monday,95.712291,25.0,0.261199
2016-05-16,VGT,95.604683,97.115678,95.604683,96.731056,20,Monday,96.264025,25.0,0.259702
2016-05-23,VGT,96.996604,97.518584,96.932502,96.950821,21,Monday,97.099628,25.0,0.257468
2016-05-31,VGT,100.632166,100.806161,100.128498,100.72374,22,Tuesday,100.572641,25.0,0.248577
2016-06-06,VGT,100.503974,100.989322,100.403241,100.696281,23,Monday,100.648205,25.0,0.24839
2016-06-13,VGT,99.386742,99.908721,98.965496,99.020439,24,Monday,99.32035,25.0,0.251711
2016-06-20,VGT,99.185288,99.798848,98.855616,98.947197,25,Monday,99.196737,25.0,0.252024
2016-06-27,VGT,95.391702,95.391702,93.214311,93.655304,26,Monday,94.413255,25.0,0.264793
2016-07-05,VGT,97.909015,98.000886,97.201596,97.651772,27,Tuesday,97.690817,25.0,0.255909
2016-07-11,VGT,100.610086,101.161322,100.610086,100.89489,28,Monday,100.819096,25.0,0.247969
2016-07-18,VGT,102.576193,103.26524,102.429193,103.099869,29,Monday,102.842624,25.0,0.24309
2016-07-25,VGT,104.303368,104.477928,104.018564,104.284996,30,Monday,104.271214,25.0,0.239759
2016-08-01,VGT,106.003016,106.49913,105.810083,106.306198,31,Monday,106.154607,25.0,0.235506
2016-08-08,VGT,107.711862,107.840484,107.353558,107.59243,32,Monday,107.624584,25.0,0.232289
2016-08-15,VGT,107.996674,108.676532,107.785363,108.419289,33,Monday,108.219464,25.0,0.231012
2016-08-22,VGT,108.033426,108.272298,107.70269,108.088554,34,Monday,108.024242,25.0,0.23143
2016-08-29,VGT,108.36416,108.933775,108.290667,108.612221,35,Monday,108.550206,25.0,0.230308
2016-09-06,VGT,109.383969,109.641212,109.080794,109.641212,36,Tuesday,109.436797,25.0,0.228442
2016-09-12,VGT,105.736598,108.235544,105.653916,108.09774,37,Monday,106.93095,25.0,0.233796
2016-09-19,VGT,109.613631,110.265928,108.915402,109.135895,38,Monday,109.482714,25.0,0.228347
2016-09-26,VGT,109.535065,109.783964,109.138666,109.406006,39,Monday,109.465925,25.0,0.228382
2016-10-03,VGT,110.788789,111.010033,110.373956,110.641289,40,Monday,110.703517,25.0,0.225828
2016-10-10,VGT,110.788762,111.867333,110.788762,111.498589,41,Monday,111.235861,25.0,0.224748
2016-10-17,VGT,109.719434,109.940684,109.396785,109.470535,42,Monday,109.63186,25.0,0.228036
2016-10-24,VGT,111.17595,111.913438,111.17595,111.830467,43,Monday,111.523951,25.0,0.224167
2016-10-31,VGT,110.622842,110.751901,110.337069,110.364723,44,Monday,110.519134,25.0,0.226205
2016-11-07,VGT,109.101764,110.0144,109.055675,109.959091,45,Monday,109.532733,25.0,0.228242
2016-11-14,VGT,109.571909,109.58113,107.396326,107.96788,46,Monday,108.629311,25.0,0.23014
2016-11-21,VGT,111.341892,112.14391,111.166737,112.07016,47,Monday,111.680675,25.0,0.223853
2016-11-28,VGT,112.070173,112.623286,111.913459,112.042519,48,Monday,112.162359,25.0,0.222891
2016-12-05,VGT,109.276936,110.208014,108.898971,109.876144,49,Monday,109.565016,25.0,0.228175
2016-12-12,VGT,112.99204,113.176408,112.374397,112.85376,50,Monday,112.849151,25.0,0.221535
2016-12-19,VGT,113.823332,114.609659,113.481046,114.165619,51,Monday,114.019914,25.0,0.21926
2016-12-27,VGT,114.10087,115.035216,114.026868,114.517166,52,Tuesday,114.42003,25.0,0.218493
2017-01-03,VGT,113.12951,113.888085,112.61146,113.286774,1,Tuesday,113.228957,25.0,0.220792
2017-01-09,VGT,115.22022,115.618009,115.136958,115.303474,2,Monday,115.319665,25.0,0.216789
2017-01-17,VGT,115.803032,115.840037,115.136965,115.4515,3,Tuesday,115.557884,25.0,0.216342
2017-01-23,VGT,116.071329,116.358106,115.49777,116.237846,4,Monday,116.041263,25.0,0.215441
2017-01-30,VGT,118.402529,118.402529,117.0889,117.810471,5,Monday,117.926107,25.0,0.211997
2017-02-06,VGT,118.976101,119.253632,118.680065,119.253632,6,Monday,119.040857,25.0,0.210012
2017-02-13,VGT,121.15931,121.621856,121.15931,121.418335,7,Monday,121.339703,25.0,0.206033
2017-02-21,VGT,123.25003,123.684825,123.166775,123.647827,8,Tuesday,123.437364,25.0,0.202532
