Date,Open,High,Low,Close,Capital Gains,Date_add,Symbol,week_of_year,week_day,avg_daily_price,Year,Month,Week
2015-08-31 00:00:00-04:00,92.52614126506076,93.14724509615478,91.86903071806198,92.1210708618164,0.0,2015-08-31,VGT,36,Monday,92.41587198527348,2015,8,36
2015-09-01 00:00:00-04:00,91.20292784189444,91.20292784189444,88.67351602444239,89.18659973144531,0.0,2015-09-01,VGT,36,Tuesday,90.06649285991915,2015,9,36
2015-09-02 00:00:00-04:00,90.07772030752955,91.27491760253906,89.53763341933482,91.27491760253906,0.0,2015-09-02,VGT,36,Wednesday,90.54129723298563,2015,9,36
2015-09-03 00:00:00-04:00,91.64398025085902,92.48111738517406,91.0678866173065,91.36493682861328,0.0,2015-09-03,VGT,36,Thursday,91.6394802704882,2015,9,36
2015-09-04 00:00:00-04:00,90.46478778491438,90.66282125499727,89.61864727367937,90.04171752929688,0.0,2015-09-04,VGT,36,Friday,90.19699346072197,2015,9,36
2015-09-08 00:00:00-04:00,91.9680416547169,92.65215547849263,91.52697143103575,92.55313873291016,0.0,2015-09-08,VGT,37,Tuesday,92.17507682428885,2015,9,37
2015-09-09 00:00:00-04:00,93.24624932123776,93.63331290924914,91.2209180306714,91.43695831298828,0.0,2015-09-09,VGT,37,Wednesday,92.38435964353664,2015,9,37
2015-09-10 00:00:00-04:00,91.32892233201754,92.94018643672474,91.17589897593348,92.33708953857422,0.0,2015-09-10,VGT,37,Thursday,91.9455243208125,2015,9,37
2015-09-11 00:00:00-04:00,91.83302485752901,92.78718566894531,91.67099806823785,92.78718566894531,0.0,2015-09-11,VGT,37,Friday,92.26959856591438,2015,9,37
2015-09-14 00:00:00-04:00,93.16522738980878,93.24623733458007,92.29208358019332,92.51712036132812,0.0,2015-09-14,VGT,38,Monday,92.80516716647757,2015,9,38
2015-09-15 00:00:00-04:00,92.83215640745536,93.97534692814862,92.58911974240979,93.69629669189453,0.0,2015-09-15,VGT,38,Tuesday,93.27322994247709,2015,9,38
2015-09-16 00:00:00-04:00,93.77735312128513,94.32644356545454,93.53431635353479,94.20942687988281,0.0,2015-09-16,VGT,38,Wednesday,93.96188498003931,2015,9,38
2015-09-17 00:00:00-04:00,94.04736033541268,95.14553389209529,93.55227674494292,93.69629669189453,0.0,2015-09-17,VGT,38,Thursday,94.11036691608635,2015,9,38
2015-09-18 00:00:00-04:00,92.6251397792222,93.48027679395427,92.31008966156182,92.526123046875,0.0,2015-09-18,VGT,38,Friday,92.73540732040331,2015,9,38
2015-09-21 00:00:00-04:00,93.03021624090425,93.77734010121759,92.57113922380371,93.291259765625,0.0,2015-09-21,VGT,39,Monday,93.16748883288764,2015,9,39
2015-09-22 00:00:00-04:00,91.9140246258976,92.17506811950238,91.1849076432075,91.8330078125,0.0,2015-09-22,VGT,39,Tuesday,91.77675205027687,2015,9,39
2015-09-23 00:00:00-04:00,92.07387883121433,92.31019375715725,91.46489530866661,91.96480560302734,0.0,2015-09-23,VGT,39,Wednesday,91.95344337501638,2015,9,39
2015-09-24 00:00:00-04:00,91.04680112507589,92.11023920585737,90.31966699856793,91.8739242553711,0.0,2015-09-24,VGT,39,Thursday,91.33765789621808,2015,9,39
2015-09-25 00:00:00-04:00,92.71013853056222,92.91010268397672,91.18314773620699,91.6557846069336,0.0,2015-09-25,VGT,39,Friday,92.11479338941987,2015,9,39
2015-09-28 00:00:00-04:00,91.1649677894816,91.41946508678,89.42892175721838,89.49254608154297,0.0,2015-09-28,VGT,40,Monday,90.37647517875573,2015,9,40
2015-09-29 00:00:00-04:00,89.82885595507636,90.27422625465495,88.39275604350102,89.02899932861328,0.0,2015-09-29,VGT,40,Tuesday,89.38120939546141,2015,9,40
2015-09-30 00:00:00-04:00,90.12879631563555,90.98317910930956,89.83793433621992,90.89228820800781,0.0,2015-09-30,VGT,40,Wednesday,90.46054949229321,2015,9,40
